"","SCV_AUCs"
"Replicate1","0.84434"
"Replicate2","0.90692"
"Replicate3","0.83926"
"Replicate4","0.83648"
"Replicate5","0.96042"
"Replicate6","0.90792"
"Replicate7","0.90288"
"Replicate8","0.88498"
"Replicate9","0.87326"
"Replicate10","0.92776"
"Replicate11","0.91362"
"Replicate12","0.94398"
"Replicate13","0.90418"
"Replicate14","0.8524"
"Replicate15","0.81302"
"Replicate16","0.92028"
"Replicate17","0.91534"
"Replicate18","0.9219"
"Replicate19","0.84816"
"Replicate20","0.95466"
"Replicate21","0.86438"
"Replicate22","0.8238"
"Replicate23","0.8593"
"Replicate24","0.94212"
"Replicate25","0.85124"
"Replicate26","0.93974"
"Replicate27","0.81742"
"Replicate28","0.87168"
"Replicate29","0.90066"
"Replicate30","0.88466"
"Replicate31","0.8604"
"Replicate32","0.8824"
"Replicate33","0.93954"
"Replicate34","0.87078"
"Replicate35","0.88804"
"Replicate36","0.85356"
"Replicate37","0.90644"
"Replicate38","0.73944"
"Replicate39","0.90808"
"Replicate40","0.93294"
"Replicate41","0.8475"
"Replicate42","0.88734"
"Replicate43","0.8438"
"Replicate44","0.8729"
"Replicate45","0.91582"
"Replicate46","0.92372"
"Replicate47","0.88654"
"Replicate48","0.90166"
"Replicate49","0.85268"
"Replicate50","0.9699"
"Replicate51","0.9169"
"Replicate52","0.83826"
"Replicate53","0.86998"
"Replicate54","0.87082"
"Replicate55","0.86598"
"Replicate56","0.91176"
"Replicate57","0.84714"
"Replicate58","0.92416"
"Replicate59","0.82202"
"Replicate60","0.83996"
"Replicate61","0.8835"
"Replicate62","0.86462"
"Replicate63","0.92148"
"Replicate64","0.9428"
"Replicate65","0.95514"
"Replicate66","0.8892"
"Replicate67","0.87014"
"Replicate68","0.88178"
"Replicate69","0.88942"
"Replicate70","0.88356"
"Replicate71","0.78886"
"Replicate72","0.8759"
"Replicate73","0.79682"
"Replicate74","0.83686"
"Replicate75","0.90192"
"Replicate76","0.8346"
"Replicate77","0.93034"
"Replicate78","0.88516"
"Replicate79","0.895"
"Replicate80","0.87032"
"Replicate81","0.9034"
"Replicate82","0.93222"
"Replicate83","0.93818"
"Replicate84","0.86374"
"Replicate85","0.9121"
"Replicate86","0.85152"
"Replicate87","0.90644"
"Replicate88","0.91234"
"Replicate89","0.91884"
"Replicate90","0.75194"
"Replicate91","0.91842"
"Replicate92","0.82152"
"Replicate93","0.90996"
"Replicate94","0.87862"
"Replicate95","0.87712"
"Replicate96","0.8912"
"Replicate97","0.80816"
"Replicate98","0.92784"
"Replicate99","0.94208"
"Replicate100","0.90568"
"Mean","0.884 [0.875-0.893]"
