NUTSM,rep_1,rep_2,rep_3,rep_4,rep_5,rep_6,rep_7,rep_8,rep_9,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15,rep_16,rep_17,rep_18,rep_19,rep_20,rep_21,rep_22,rep_23,rep_24,rep_25,rep_26,rep_27,rep_28,rep_29,rep_30,rep_31,rep_32,rep_33,rep_34,rep_35,rep_36,rep_37,rep_38,rep_39,rep_40,rep_41,rep_42,rep_43,rep_44,rep_45,rep_46,rep_47,rep_48,rep_49,rep_50,rep_51,rep_52,rep_53,rep_54,rep_55,rep_56,rep_57,rep_58,rep_59,rep_60,rep_61,rep_62,rep_63,rep_64,rep_65,rep_66,rep_67,rep_68,rep_69,rep_70,rep_71,rep_72,rep_73,rep_74,rep_75,rep_76,rep_77,rep_78,rep_79,rep_80,rep_81,rep_82,rep_83,rep_84,rep_85,rep_86,rep_87,rep_88,rep_89,rep_90,rep_91,rep_92,rep_93,rep_94,rep_95,rep_96,rep_97,rep_98,rep_99,rep_100
AD,0.701672572,0.570480861,0.509757039,0.630256931,0.515741867,0.671073796,0.76082868,0.536175392,0.359781554,0.322671488,0.561701744,0.748941421,0.566055901,0.469032941,0.531045947,0.641929294,0.644944811,0.67780125,0.650975565,0.432402785,0.662980391,0.328216368,0.445318639,0.531787645,0.713661108,0.518090184,0.140846248,0.511527777,0.317846826,0.50070988,0.454725975,0.583508347,0.629729236,0.619125432,0.421723262,0.370687418,0.465596648,0.548093053,0.459077979,0.426782191,0.518373935,0.452855175,0.322736295,0.241347105,0.513168569,0.71315454,0.628835098,0.452789608,0.552056515,0.519881463,0.20540943,0.538021724,0.513414456,0.306301917,0.612790745,0.422510275,0.481047594,0.360546012,0.545659135,0.390364682,0.36305878,0.394568865,0.473475073,0.447823663,0.334063276,0.541215959,0.462980136,0.327493654,0.328548579,0.302378059,0.687324592,0.450197808,0.364803002,0.440283311,0.330628064,0.4281874,0.523102816,0.625100267,0.498677709,0.518771177,0.53979558,0.484410636,0.410743224,0.38942463,0.514829184,0.698118195,0.597460255,0.87803178,0.478321772,0.591835133,0.29764811,0.513388882,0.407500601,0.463618866,0.828284667,0.524337904,0.697195932,0.421086576,0.59450988,0.356016152
AL013,0.876083908,0.775061456,0.650617527,0.747872222,0.789779846,0.505730804,0.811072494,0.774513593,0.817737074,0.739546788,0.661019281,0.638293485,0.687119262,0.30226052,0.738331923,0.727426206,0.671389645,0.710364606,0.772819122,0.563678449,0.611904975,0.62804275,0.637727231,0.779595453,0.755108245,0.727661318,0.904912258,0.837040042,0.70096028,0.635729876,0.379968657,0.909424811,0.734434321,0.8914996,0.793589217,0.661438369,0.782615827,0.591962499,0.506590299,0.756709806,0.54770983,0.683532863,0.664844477,0.844360001,0.617353088,0.675108151,0.810547862,0.539751232,0.691508104,0.771368599,0.620993346,0.711908301,0.77829997,0.520881579,0.718928817,0.354564365,0.5248186,0.779241418,0.626199755,0.670081625,0.542257524,0.463544368,0.745284772,0.488512078,0.796062356,0.713463986,0.829207335,0.693120502,0.696833846,0.579839285,0.516656945,0.652975328,0.397465201,0.686511687,0.678638693,0.376943769,0.735496628,0.842898199,0.698545408,0.862335903,0.766979159,0.690858873,0.616669727,0.39188067,0.864306652,0.47318647,0.794022026,0.941833587,0.357895027,0.689826261,0.471540455,0.48370296,0.798985856,0.882539065,0.828626476,0.686448302,0.784930402,0.389451315,0.651352783,0.629288518
AL015,0.903278812,0.779872677,0.745448312,0.781819367,0.835196227,0.774188363,0.96594888,0.856428527,0.962996633,0.852503581,0.747883955,0.782233342,0.913547334,0.659393853,0.734430226,0.84575116,0.797800898,0.869577192,0.816693633,0.764346621,0.851193947,0.818697036,0.696782244,0.793050601,0.879792248,0.840909481,0.911387073,0.906633422,0.877598287,0.743320568,0.814008607,0.945847154,0.895424919,0.926776856,0.891405871,0.763529333,0.833933592,0.889631218,0.826800001,0.860198809,0.718129915,0.778804033,0.874515336,0.870430448,0.847558669,0.913297798,0.919131894,0.819192254,0.7143442,0.906922174,0.754933701,0.47444503,0.826162705,0.64211768,0.821347333,0.769783188,0.810965074,0.821732625,0.792267579,0.915793958,0.78721666,0.747200071,0.880338159,0.626908468,0.905849192,0.668163712,0.937044913,0.757117874,0.826058415,0.697625472,0.72956595,0.720738638,0.440581949,0.767312227,0.824769523,0.516598841,0.764022284,0.946833556,0.744690165,0.922158839,0.897539409,0.691366963,0.794468188,0.767163399,0.878421941,0.694398087,0.869161439,0.974878525,0.641850907,0.850973703,0.822152004,0.665126507,0.854302676,0.875734036,0.915217085,0.893224919,0.952311776,0.749083693,0.86240357,0.803021789
AL014,0.898052037,0.782322243,0.758463652,0.853185526,0.827900325,0.718780274,0.970986557,0.872089903,0.959179962,0.871350608,0.718438288,0.680316032,0.894275443,0.667665716,0.770311157,0.84730278,0.842791515,0.890048013,0.799699122,0.723785697,0.855757808,0.804786369,0.691784729,0.828340702,0.885360163,0.828079926,0.888854828,0.887665879,0.866036658,0.773418784,0.872897043,0.933779868,0.880798242,0.878836538,0.893030944,0.792744773,0.852360019,0.880760479,0.827091394,0.868059604,0.662832298,0.783508999,0.845381278,0.84968853,0.797341795,0.918567585,0.883829988,0.792589083,0.665485205,0.89748402,0.729890977,0.630205016,0.815320159,0.651183101,0.817662533,0.833769979,0.774482063,0.811381283,0.766678604,0.907142147,0.756439817,0.712676956,0.870316703,0.486750383,0.907597719,0.704916494,0.905167785,0.748416355,0.823380047,0.577531332,0.758291678,0.679095628,0.53373655,0.710679305,0.822131467,0.656137291,0.794017791,0.943463371,0.771819287,0.945765468,0.879413995,0.738833114,0.858639054,0.697527229,0.868069015,0.645731314,0.856643694,0.969563101,0.672659908,0.819492088,0.790930809,0.616910563,0.847897119,0.855612847,0.925165351,0.850420805,0.964517828,0.752772805,0.849007515,0.745414769
AL011,0.8349734,0.677349695,0.737307555,0.763627928,0.779487489,0.31138728,0.945020735,0.764434265,0.927291217,0.601625269,0.610869391,0.648356489,0.783450477,0.399387541,0.731740282,0.787401051,0.738132214,0.720553715,0.691870415,0.594253234,0.556214267,0.790926176,0.625925679,0.765180493,0.397099747,0.727837098,0.83674877,0.821011737,0.842984624,0.444034469,0.716390938,0.866888686,0.63575284,0.834604701,0.823971475,0.720584549,0.634039306,0.594259306,0.614587242,0.768028263,0.659173911,0.746610972,0.811122818,0.836307676,0.694394352,0.663631395,0.801045232,0.539579577,0.698405652,0.751249195,0.527413499,0.698040144,0.75573637,0.558454133,0.657789391,0.470557884,0.473798534,0.763569001,0.450277801,0.723699446,0.621250569,0.427056403,0.571210036,0.437389688,0.840702676,0.677918104,0.772687609,0.687125901,0.579268393,0.515452064,0.525355738,0.530531789,0.454778004,0.639505012,0.70402484,0.44929244,0.742630474,0.801798291,0.663872939,0.89119922,0.822353628,0.643065357,0.765375405,0.407852343,0.836589582,0.321755804,0.629955177,0.971264096,0.343780783,0.674166256,0.420996141,0.528426601,0.721813869,0.846872685,0.878620092,0.737263585,0.915247988,0.435928059,0.795745673,0.672934492
AL012,0.971760827,0.896077413,0.895322363,0.872072491,0.907589903,0.941181225,0.981970066,0.915916167,0.993260428,0.933236249,0.795300256,0.763126129,0.940634883,0.863182903,0.903794897,0.902484372,0.942790373,0.94569511,0.884425466,0.841547578,0.917929614,0.956728644,0.794856068,0.904072206,0.946700181,0.86551516,0.945560969,0.955735329,0.916893201,0.804942352,0.979286069,0.96410514,0.861928915,0.97213919,0.893539817,0.764798056,0.934428687,0.87366184,0.830538874,0.898926796,0.816840134,0.865681062,0.925474097,0.917708079,0.886630642,0.970606416,0.947470179,0.79483376,0.83479762,0.92661616,0.8242218,0.851348666,0.896346847,0.695343432,0.913395984,0.939422796,0.925081994,0.862654841,0.906208359,0.913177084,0.830782664,0.773768245,0.769662561,0.807040335,0.927533533,0.829518083,0.970534983,0.791910217,0.834265737,0.595251541,0.880254456,0.847450757,0.825675502,0.823486942,0.836476227,0.885199791,0.879722411,0.968680572,0.848788576,0.965769198,0.919392815,0.849176862,0.922987068,0.89345377,0.924920231,0.840814603,0.926926067,0.985098686,0.948180275,0.837250015,0.889069871,0.504933603,0.884548177,0.943099271,0.955727024,0.93048242,0.989681791,0.714353675,0.895872314,0.882589796
AL021,0.955747019,0.803170381,0.856490153,0.837731156,0.850566655,0.801314786,0.983551518,0.914619528,0.982314971,0.933696594,0.735238684,0.890295305,0.946191371,0.691690444,0.845893872,0.841131873,0.878210741,0.941091781,0.904892751,0.846194084,0.859858764,0.924688383,0.80862649,0.884437649,0.781036647,0.861535466,0.95632139,0.934728215,0.961074689,0.503563365,0.945977776,0.956361316,0.736680911,0.965584489,0.957101655,0.808041594,0.862462595,0.802427374,0.803864099,0.842510936,0.797946946,0.853314905,0.879971489,0.900351084,0.848278372,0.907232065,0.928218715,0.763661959,0.881612355,0.780051558,0.784344496,0.832575421,0.864558846,0.735586771,0.891845546,0.684409995,0.84080217,0.848650197,0.876474249,0.887419298,0.865606197,0.664243909,0.853252105,0.524371462,0.890743105,0.895546456,0.95732532,0.806811312,0.852788107,0.835909951,0.77996287,0.641614384,0.729282339,0.873356846,0.858485711,0.783620739,0.821746618,0.960175019,0.854895725,0.956746413,0.885139339,0.82917576,0.906075118,0.88667434,0.908493853,0.373220156,0.958429466,0.97738109,0.322753661,0.729271388,0.564505761,0.738479849,0.883312518,0.953355419,0.93116513,0.936825778,0.941180472,0.530435213,0.893868647,0.878709226
AL022,0.977950366,0.857034653,0.918602316,0.866864106,0.886800793,0.957027612,0.986968277,0.941027164,0.994958655,0.957713835,0.778119592,0.904437002,0.962842003,0.863067692,0.922608492,0.910221464,0.96615427,0.978575429,0.924201965,0.896592566,0.944028492,0.963306507,0.857399795,0.918141256,0.965721673,0.890674766,0.963306037,0.95003977,0.977495837,0.862303312,0.973522023,0.963830387,0.73020642,0.979676328,0.963964961,0.824353895,0.943518766,0.874715273,0.865673561,0.899485548,0.848980297,0.889339141,0.94870946,0.92381563,0.887010591,0.96228933,0.965664584,0.696726932,0.901588259,0.953030714,0.897952413,0.89941729,0.93162399,0.817184311,0.900335884,0.964253026,0.954715027,0.870679823,0.926804575,0.932527974,0.873589091,0.650294577,0.886287698,0.852061051,0.914707369,0.926149363,0.960642289,0.848060465,0.885956326,0.805906818,0.881671933,0.851316792,0.877629831,0.879965179,0.888001077,0.937467999,0.898069789,0.966238063,0.887127144,0.974796745,0.929739884,0.892198035,0.937474815,0.899630603,0.926056702,0.868744248,0.95599835,0.983807342,0.957849819,0.777006493,0.918594852,0.790570341,0.919074012,0.948596356,0.96254583,0.973407962,0.987486184,0.61519281,0.910890072,0.905218646
AL034,0.661382678,0.4114431,0.376583399,0.574989257,0.517170417,0.119184143,0.613550547,0.64297703,0.111501592,0.264823315,0.316479578,0.335703045,0.346505612,0.209828512,0.236901817,0.562272119,0.428381446,0.339877279,0.329155877,0.417119869,0.227772375,0.272465028,0.407670849,0.24683737,0.563468943,0.525756437,0.563864827,0.377081349,0.802395578,0.476876788,0.37941553,0.689550148,0.416312627,0.351894089,0.486307739,0.539916831,0.569716665,0.5836378,0.557677606,0.433284769,0.445684218,0.313849413,0.357251068,0.33313979,0.417667104,0.556023916,0.693754288,0.527920622,0.294834703,0.313780909,0.474685106,0.357256615,0.317730085,0.427494968,0.42323603,0.208759825,0.408790068,0.483825724,0.150428422,0.608340824,0.462243501,0.42511661,0.631569738,0.179222512,0.761744315,0.468898637,0.488227755,0.440839351,0.622126257,0.462724722,0.623536839,0.383898509,0.212411945,0.342717705,0.646048494,0.217879266,0.427225959,0.612105065,0.275872525,0.716054968,0.666188926,0.418772474,0.485609479,0.351048079,0.559549953,0.458869824,0.771745687,0.793150595,0.408317973,0.654722704,0.69256855,0.45107482,0.644586089,0.314072228,0.399141375,0.436585958,0.385731457,0.195819008,0.340619825,0.384189606
AL031,0.854450917,0.6728408,0.754322371,0.722420045,0.701039786,0.389623974,0.952145434,0.825300425,0.933476392,0.587729832,0.628921484,0.568802043,0.787427879,0.515900811,0.741730844,0.773132228,0.836213207,0.808099651,0.686434649,0.489567758,0.629624821,0.506091272,0.653605939,0.737593533,0.422532084,0.776092109,0.811518691,0.852964282,0.818396869,0.444175406,0.74176814,0.757296511,0.579028423,0.648409986,0.798738814,0.767899218,0.67236132,0.729449574,0.678119031,0.812461392,0.511584439,0.765124092,0.70384765,0.79610032,0.574894929,0.796624043,0.810234735,0.645853427,0.719572353,0.693575477,0.340989584,0.659443373,0.748455977,0.574565849,0.669710038,0.477083587,0.429568389,0.802098089,0.571362575,0.637896663,0.636469812,0.529376804,0.638398089,0.317413881,0.824027671,0.579009148,0.745394706,0.719000915,0.556533648,0.382337447,0.565805724,0.551394935,0.541347952,0.603846732,0.693722097,0.541988709,0.790061457,0.828072791,0.694127759,0.881891733,0.768859941,0.730654245,0.858471861,0.439563856,0.822017617,0.448559258,0.613912555,0.967668433,0.410056967,0.648162734,0.389935969,0.574778799,0.726211202,0.801981391,0.578916096,0.719698968,0.872665434,0.485763742,0.814288634,0.670076852
