AUC,SIpcc,threshold
0.944,1,0.37
0.876,0.991,0.47
0.851,0.991,0.44
0.811,0.991,0.53
0.821,1,0.45
0.899,1,0.4
0.945,1,0.18
0.886,0.991,0.49
0.97,1,0.23
0.87,1,0.37
0.809,0.991,0.46
0.884,1,0.54
0.933,1,0.53
0.882,1,0.53
0.843,0.991,0.39
0.85,1,0.62
0.942,1,0.5
0.841,1,0.35
0.834,0.991,0.49
0.811,1,0.45
0.841,1,0.67
0.894,1,0.55
0.836,0.973,0.6
0.857,1,0.53
0.918,1,0.3
0.821,0.991,0.52
0.903,1,0.43
0.837,1,0.51
0.95,1,0.39
0.822,1,0.53
0.896,1,0.44
0.905,1,0.45
0.931,1,0.58
0.952,1,0.25
0.911,1,0.48
0.787,0.983,0.44
0.858,1,0.54
0.881,1,0.47
0.891,0.991,0.51
0.887,1,0.49
0.787,1,0.52
0.891,1,0.51
0.837,1,0.38
0.806,0.991,0.4
0.859,1,0.48
0.911,1,0.36
0.887,1,0.36
0.836,1,0.58
0.793,1,0.58
0.871,1,0.32
0.835,0.991,0.48
0.855,1,0.43
0.864,0.991,0.49
0.819,0.991,0.57
0.887,1,0.57
0.907,1,0.33
0.895,1,0.39
0.836,1,0.45
0.872,1,0.52
0.908,1,0.52
0.836,0.983,0.51
0.914,0.983,0.51
0.843,1,0.6
0.879,1,0.49
0.915,0.991,0.36
0.886,1,0.55
0.914,1,0.38
0.752,0.983,0.53
0.863,0.991,0.56
0.8,0.974,0.45
0.894,1,0.53
0.819,0.991,0.52
0.793,1,0.5
0.797,1,0.49
0.886,0.983,0.51
0.883,1,0.55
0.861,0.991,0.46
0.918,1,0.39
0.839,0.983,0.5
0.928,1,0.25
0.876,0.991,0.52
0.797,0.983,0.41
0.878,0.983,0.44
0.831,0.991,0.42
0.889,1,0.54
0.821,0.991,0.38
0.876,1,0.51
0.955,1,0.23
0.836,1,0.36
0.872,1,0.6
0.855,1,0.39
0.823,1,0.56
0.866,0.991,0.47
0.846,0.991,0.31
0.91,1,0.3
0.921,1,0.45
0.948,1,0.29
0.758,1,0.46
0.848,1,0.65
0.853,0.991,0.56
0.867 (0.858-0.876),0.996 (0.995-0.997),0.462 (0.443-0.481)
