"","Sorensen_index","maximised_threshold"
"Replicate1","0.991452991452991","0.47"
"Replicate2","1","0.53"
"Replicate3","1","0.53"
"Replicate4","1","0.53"
"Replicate5","1","0.32"
"Replicate6","1","0.21"
"Replicate7","1","0.47"
"Replicate8","1","0.57"
"Replicate9","1","0.55"
"Replicate10","1","0.53"
"Replicate11","1","0.34"
"Replicate12","1","0.27"
"Replicate13","0.982456140350877","0.56"
"Replicate14","0.991452991452991","0.44"
"Replicate15","0.991452991452991","0.46"
"Replicate16","1","0.54"
"Replicate17","1","0.47"
"Replicate18","1","0.27"
"Replicate19","0.991452991452991","0.49"
"Replicate20","1","0.41"
"Replicate21","1","0.29"
"Replicate22","1","0.47"
"Replicate23","0.991304347826087","0.48"
"Replicate24","1","0.38"
"Replicate25","1","0.46"
"Replicate26","1","0.2"
"Replicate27","0.96551724137931","0.52"
"Replicate28","1","0.53"
"Replicate29","0.991452991452991","0.4"
"Replicate30","1","0.56"
"Replicate31","0.982758620689655","0.56"
"Replicate32","1","0.39"
"Replicate33","1","0.16"
"Replicate34","1","0.34"
"Replicate35","0.991452991452991","0.44"
"Replicate36","1","0.52"
"Replicate37","0.991452991452991","0.52"
"Replicate38","0.982456140350877","0.56"
"Replicate39","1","0.42"
"Replicate40","1","0.37"
"Replicate41","1","0.5"
"Replicate42","1","0.39"
"Replicate43","1","0.42"
"Replicate44","0.991452991452991","0.37"
"Replicate45","1","0.4"
"Replicate46","1","0.32"
"Replicate47","1","0.63"
"Replicate48","1","0.53"
"Replicate49","1","0.55"
"Replicate50","1","0.32"
"Replicate51","1","0.44"
"Replicate52","0.991452991452991","0.43"
"Replicate53","1","0.44"
"Replicate54","0.991452991452991","0.39"
"Replicate55","0.991452991452991","0.52"
"Replicate56","0.991452991452991","0.41"
"Replicate57","0.991304347826087","0.54"
"Replicate58","1","0.25"
"Replicate59","1","0.48"
"Replicate60","1","0.38"
"Replicate61","1","0.57"
"Replicate62","1","0.39"
"Replicate63","1","0.52"
"Replicate64","1","0.31"
"Replicate65","1","0.15"
"Replicate66","1","0.4"
"Replicate67","1","0.58"
"Replicate68","1","0.52"
"Replicate69","1","0.41"
"Replicate70","1","0.59"
"Replicate71","0.991304347826087","0.54"
"Replicate72","1","0.34"
"Replicate73","0.982758620689655","0.51"
"Replicate74","0.991452991452991","0.47"
"Replicate75","1","0.51"
"Replicate76","0.991304347826087","0.54"
"Replicate77","1","0.25"
"Replicate78","1","0.45"
"Replicate79","1","0.41"
"Replicate80","1","0.44"
"Replicate81","1","0.39"
"Replicate82","1","0.37"
"Replicate83","1","0.4"
"Replicate84","1","0.6"
"Replicate85","0.991452991452991","0.4"
"Replicate86","1","0.43"
"Replicate87","1","0.37"
"Replicate88","1","0.35"
"Replicate89","1","0.53"
"Replicate90","1","0.58"
"Replicate91","1","0.55"
"Replicate92","1","0.54"
"Replicate93","1","0.21"
"Replicate94","0.982758620689655","0.48"
"Replicate95","0.991452991452991","0.55"
"Replicate96","1","0.49"
"Replicate97","0.991452991452991","0.48"
"Replicate98","1","0.34"
"Replicate99","1","0.37"
"Replicate100","1","0.48"
"Mean","0.997 [0.996-0.998]","0.44 [0.42-0.461]"
