"","Sorensen_index","maximised_threshold"
"Replicate1","0.919328641039523","0.44"
"Replicate2","0.912995594713656","0.5"
"Replicate3","0.921576821284301","0.54"
"Replicate4","0.925187032418953","0.52"
"Replicate5","0.916893732970027","0.45"
"Replicate6","0.923960612691466","0.46"
"Replicate7","0.917073170731707","0.44"
"Replicate8","0.91509817197021","0.45"
"Replicate9","0.913375102152002","0.47"
"Replicate10","0.922991226848628","0.56"
"Replicate11","0.916689503973691","0.48"
"Replicate12","0.918717168924523","0.52"
"Replicate13","0.919703951962016","0.55"
"Replicate14","0.916112956810631","0.53"
"Replicate15","0.919575113808801","0.5"
"Replicate16","0.923076923076923","0.49"
"Replicate17","0.925737817433082","0.47"
"Replicate18","0.927837874845954","0.45"
"Replicate19","0.925266903914591","0.46"
"Replicate20","0.926509552363687","0.53"
"Replicate21","0.911083710097274","0.51"
"Replicate22","0.913903594315965","0.57"
"Replicate23","0.920443653293167","0.48"
"Replicate24","0.912023857936831","0.45"
"Replicate25","0.916484118291347","0.48"
"Replicate26","0.913978494623656","0.52"
"Replicate27","0.918275154004107","0.48"
"Replicate28","0.923645320197044","0.49"
"Replicate29","0.922742110990207","0.44"
"Replicate30","0.92269669092407","0.48"
"Replicate31","0.917559769167354","0.49"
"Replicate32","0.909797391063003","0.55"
"Replicate33","0.915021929824561","0.48"
"Replicate34","0.917024518631389","0.52"
"Replicate35","0.914405594405594","0.57"
"Replicate36","0.914129692832764","0.46"
"Replicate37","0.918589834348011","0.61"
"Replicate38","0.922255680262798","0.48"
"Replicate39","0.917433713422173","0.49"
"Replicate40","0.920467185761958","0.53"
"Replicate41","0.914044408118785","0.46"
"Replicate42","0.921271660526675","0.45"
"Replicate43","0.917591564927858","0.53"
"Replicate44","0.912861915367483","0.55"
"Replicate45","0.923354623715635","0.52"
"Replicate46","0.915203073545554","0.49"
"Replicate47","0.916947250280584","0.59"
"Replicate48","0.920309905921417","0.5"
"Replicate49","0.916158743058377","0.44"
"Replicate50","0.918798665183537","0.53"
"Replicate51","0.921751216122307","0.53"
"Replicate52","0.92103052366284","0.55"
"Replicate53","0.911948810682988","0.55"
"Replicate54","0.925255924835226","0.58"
"Replicate55","0.915818431911967","0.51"
"Replicate56","0.920196775075157","0.48"
"Replicate57","0.913422911760632","0.53"
"Replicate58","0.925027262813522","0.45"
"Replicate59","0.914301310043668","0.48"
"Replicate60","0.909993108201241","0.53"
"Replicate61","0.918733726188845","0.49"
"Replicate62","0.920801658604008","0.51"
"Replicate63","0.918738713710238","0.56"
"Replicate64","0.912505102735066","0.46"
"Replicate65","0.91369169744221","0.48"
"Replicate66","0.913377040033478","0.57"
"Replicate67","0.922044115632278","0.46"
"Replicate68","0.921038100496963","0.48"
"Replicate69","0.92042476899738","0.5"
"Replicate70","0.918732782369146","0.51"
"Replicate71","0.921535421958792","0.6"
"Replicate72","0.913880169237068","0.48"
"Replicate73","0.924089635854342","0.57"
"Replicate74","0.921457489878542","0.4"
"Replicate75","0.916399162595953","0.56"
"Replicate76","0.923776705720193","0.5"
"Replicate77","0.921052631578947","0.58"
"Replicate78","0.915836101882614","0.56"
"Replicate79","0.927257525083612","0.56"
"Replicate80","0.922379447726336","0.48"
"Replicate81","0.908772874058127","0.45"
"Replicate82","0.919899525537259","0.54"
"Replicate83","0.919852034525277","0.48"
"Replicate84","0.913336933045356","0.45"
"Replicate85","0.912120397742542","0.41"
"Replicate86","0.919198991737852","0.57"
"Replicate87","0.914632501685772","0.42"
"Replicate88","0.911034955448938","0.52"
"Replicate89","0.92169341449917","0.52"
"Replicate90","0.913878222709819","0.49"
"Replicate91","0.914092140921409","0.46"
"Replicate92","0.913894592744695","0.5"
"Replicate93","0.914931264461685","0.48"
"Replicate94","0.926403326403326","0.5"
"Replicate95","0.910517621145374","0.5"
"Replicate96","0.916587549165875","0.46"
"Replicate97","0.909620991253644","0.55"
"Replicate98","0.916818118272054","0.57"
"Replicate99","0.914517218095881","0.44"
"Replicate100","0.918251214434421","0.55"
"Mean","0.918 [0.917-0.919]","0.503 [0.494-0.512]"
