"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density"
"AD",-0.717863440513611,4.67385959625244,14.4454107284546,7.39784526824951,15.1632747650146,2.64899516105652,3.74120402336121,3.9531934261322,2.78560066223145,77.7271423339844,77.7843551635742,77.3615417480469,78.9671173095703,0.142606809735298,0.0699687525629997,0.0226643495261669,0.00938284490257502,0.00021636659221258,0.0526679866015911,0.165899842977524,0.536593079566956,9.60083730811072,0.0202628546519598
"AL013",0.0528038553893566,8.16759300231934,17.8772468566895,10.0803308486938,17.82444190979,4.08302068710327,3.93563199043274,2.38523530960083,4.11390733718872,80.1123352050781,73.711311340332,68.5110321044922,76.6944046020508,0.163933292031288,0.154852017760277,0.0028017486911267,0.00820884108543396,0.128748908638954,0,0.539842188358307,0,12.2577554226532,0.00528021776203441
"AL015",1.77024102210999,9.23190975189209,18.8289356231689,11.425651550293,17.0586948394775,5.35856437683105,4.76576852798462,2.40640425682068,5.75720024108887,77.956916809082,73.877815246582,69.4891586303711,76.2422180175781,0.157435938715935,0.118939392268658,0.00485514057800174,0.00593504589051008,0.168939128518105,0,0.500280141830444,0,12.4233627865146,0.00347502396023381
"AL014",3.84281063079834,10.8228235244751,20.1100006103516,13.1492233276367,16.2671890258789,4.39407253265381,3.99378561973572,1.65289926528931,4.76169586181641,76.2241897583008,73.6347732543945,69.3814926147461,74.6584930419922,0.204271584749222,0.104482844471931,9.80104442049878e-10,0.00313891982659698,0.161002025008202,0,0.453039139509201,0,11.9857030752019,0.00723540907084184
"AL011",0.60213977098465,8.38804340362549,18.1191024780273,10.6371355056763,17.5169620513916,3.9569685459137,3.81578826904297,1.85634255409241,3.89843535423279,81.0417098999023,75.0061874389648,68.8513641357422,76.8978881835938,0.182930320501328,0.126506492495537,0.000411981658544391,0.00395097676664591,0.161104217171669,0,0.512151062488556,0,12.3846936789295,0.00491430091062687
"AL012",6.11747312545776,12.4514265060425,21.463888168335,14.9876127243042,15.3464155197144,3.93558764457703,3.48268461227417,1.32397663593292,4.36003732681274,74.1719665527344,72.8452377319336,69.5169906616211,73.2923278808594,0.304130524396896,0.115484938025475,9.84354486810446e-10,0.00869870651513338,0.140178397297859,0,0.390753895044327,0,11.7356866306844,0.0152502241818606
"AL021",2.77534317970276,10.0595541000366,19.6799926757812,12.5150556564331,16.9046497344971,3.39074277877808,3.20120143890381,1.35811734199524,3.35671973228455,79.8835906982422,73.3635864257812,66.6437225341797,75.0682220458984,0.196977019309998,0.127832397818565,0.0024683780502528,0.00563021562993526,0.154689803719521,0,0.506230115890503,0,12.7859435144116,0.00386381147501057
"AL022",5.9360785484314,12.2967824935913,21.3575458526611,14.8909530639648,15.4214677810669,3.61490511894226,3.22238564491272,1.25889444351196,3.8989315032959,75.0756378173828,72.9533081054688,69.2649078369141,73.487548828125,0.333648949861526,0.126298382878304,1.10857234503214e-09,0.0111276991665363,0.137143775820732,0,0.386669337749481,0,12.7474751817284,0.00770152241893393
"AL034",0.419444113969803,7.93420314788818,18.0439796447754,10.6262512207031,17.6245346069336,2.78398609161377,2.54937624931335,1.00814247131348,2.54854202270508,83.0833358764648,74.2961349487305,64.6524810791016,75.3701400756836,0.20098589360714,0.101759292185307,0.0176943298429251,0.00353744067251682,0.0213086623698473,0.35424393415451,0.0974186807870865,0.145705848932266,12.3727213054718,0.00334856035794093
"AL031",4.1730055809021,11.1006355285645,20.7309341430664,13.6245450973511,16.5579280853271,3.04183411598206,2.8156909942627,1.04561698436737,3.21285200119019,78.3842391967773,72.0137710571289,64.1985168457031,73.8063049316406,0.280965268611908,0.167698532342911,0.00500044971704483,0.0044989543966949,0.113318204879761,0,0.426116168498993,0,12.2126190615389,0.00671907741456045
