"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density"
"AD",-0.614969372749329,5.41370820999146,14.7433786392212,7.37135410308838,15.3583478927612,2.48887825012207,3.66821479797363,3.80228543281555,2.84285688400269,76.6047897338867,76.760124206543,76.2975692749023,78.1467056274414,0.184793293476105,0.0488860979676247,0.0397295542061329,0.0031330157071352,0.00069177575642243,0.0596785768866539,0.17553149163723,0.487556219100952,9.45489119077143,0.0199548310007137
"AL013",0.740694344043732,8.95965576171875,18.6500015258789,10.4020433425903,17.9093074798584,4.54567956924438,3.88425350189209,2.34377408027649,4.46420431137085,80.739372253418,72.5367965698242,66.9477233886719,76.9685668945312,0.0854166373610497,0.137491717934608,0.00653803674504161,0.000463130680145696,0.285295963287354,0,0.483181476593018,0,10.9170160087156,0.00470267351974599
"AL015",2.38970327377319,10.0084552764893,19.5169544219971,11.6799907684326,17.1272506713867,5.92882823944092,4.73977565765381,2.38895153999329,6.25420093536377,78.7325057983398,72.9504623413086,68.4642715454102,76.7934341430664,0.0721810236573219,0.107055254280567,0.00772942509502172,0.00150572543498129,0.333911657333374,0,0.434001743793488,0,11.139998522518,0.0031160453452056
"AL014",4.33601331710815,11.4872722625732,20.6807117462158,13.3595914840698,16.3446998596191,4.9996395111084,4.12370777130127,1.73997628688812,4.90181636810303,77.0271530151367,73.2480316162109,68.7666473388672,75.3039016723633,0.0862161442637444,0.109789542853832,0.000394857255741954,0.000460991956060752,0.338477671146393,0,0.390595287084579,0,10.6607826445083,0.00643559438811225
"AL011",1.19509851932526,9.12141036987305,18.7523822784424,10.8951940536499,17.5572834014893,4.58869361877441,3.89186334609985,1.8738557100296,4.10444831848145,81.7657775878906,74.1918334960938,67.9999389648438,77.4204940795898,0.0794177129864693,0.130220100283623,0.000928896653931588,0.000523405731655657,0.342864394187927,0,0.433100521564484,0,11.1404925268287,0.0044205964223863
"AL012",6.54818344116211,13.0417203903198,21.9645347595215,15.1217250823975,15.4163522720337,4.53508996963501,3.69410037994385,1.48943865299225,4.50117969512939,74.9802703857422,72.8556671142578,69.2335662841797,74.1327972412109,0.122788198292255,0.121507987380028,0.000183180076419376,0.00106697622686625,0.329867869615555,0,0.383832216262817,0,10.2271212393757,0.0132898820958422
"AL021",3.36213827133179,10.7165298461914,20.2392082214355,12.6490335464478,16.8770694732666,4.02659511566162,3.35520839691162,1.41760504245758,3.58813118934631,80.4092788696289,72.8414840698242,66.0645751953125,75.8834915161133,0.0771656557917595,0.127031356096268,0.00907957646995783,0.000654885894618928,0.341451287269592,0,0.438445180654526,0,11.3983938564411,0.00344450489160744
"AL022",6.37864780426025,12.8802442550659,21.8507690429688,15.0061655044556,15.4721202850342,4.22785711288452,3.44995212554932,1.42805552482605,4.06635522842407,75.8467102050781,72.9727478027344,69.0357971191406,74.3755874633789,0.132812112569809,0.132488533854485,4.04614240778756e-07,0.00132716249208897,0.334149211645126,0,0.394110709428787,0,11.2078888786457,0.00677136501442531
"AL034",1.18393230438232,8.6866865158081,18.7289180755615,10.8280038833618,17.5449848175049,3.31848001480103,2.60044455528259,1.02814698219299,2.77628779411316,83.2454452514648,73.0729446411133,63.0274505615234,75.9058990478516,0.0900854244828224,0.100229792296886,0.022607171908021,0.000485398777527735,0.0501280464231968,0.519665896892548,0.0823629647493362,0.0770894140005112,11.0026135113365,0.00297775360231488
"AL031",4.68429470062256,11.6963443756104,21.2352237701416,13.666410446167,16.5509281158447,3.65644359588623,2.96735143661499,1.16866314411163,3.51298570632935,78.9640502929688,71.7113952636719,63.8075523376465,74.7505798339844,0.116848699748516,0.160324722528458,0.0207009296864271,0.000649270368739963,0.280620157718658,0,0.418453812599182,0,10.9200126839561,0.00600791773015782
"AL032",7.3972897529602,13.9042415618896,23.1898612976074,15.9696016311646,15.7925729751587,3.46944212913513,2.83443737030029,1.22358453273773,3.62931799888611,76.3995208740234,71.2433853149414,64.8325424194336,74.1299133300781,0.2259501516819,0.188811868429184,0.00156388804316521,0.00139975664205849,0.225686594843864,0,0.342985332012177,0,11.2592432692212,0.00607677219097964
"AL035",7.44870853424072,13.0721683502197,22.3353462219238,15.6916351318359,14.8866376876831,5.02032470703125,2.97855138778687,0.941325068473816,5.13561582565308,76.6541748046875,74.3806304931641,67.8663558959961,75.5785751342773,0.101388938724995,0.19252260029316,0.0423540361225605,0.000232528560445644,0.123657919466496,0.00315152620896697,0.367932796478271,0.000715411093551666,11.4581620118034,0.00420003378223347
"AL033",4.84644651412964,11.4681949615479,21.0901737213135,13.6496276855469,16.2437267303467,4.77325057983398,3.05946516990662,0.929445922374725,4.5861668586731,78.4882965087891,72.7114868164062,63.6663932800293,74.8387069702148,0.0976142436265945,0.181226819753647,0.0373308807611465,0.000203813906409778,0.176830321550369,0.0176218282431364,0.437323719263077,0.000991600449196994,11.0499160068855,0.00384849502092839
"AT11",0.441083282232285,9.5893440246582,18.36794090271,9.16286659240723,17.9268569946289,1.7052857875824,2.14154815673828,2.93273949623108,2.19346952438354,82.0856094360352,70.3774719238281,71.0173873901367,80.9138793945312,0.470457583665848,0.224416613578796,2.64840371855257e-09,0.00907951034605503,0.0029637748375535,0.0529544465243816,0.14861099421978,0.0718230977654457,12.5933033460426,0.00318548099015246
"AT12",-0.442197650671005,8.11461353302002,16.8654518127441,7.9261531829834,17.3076477050781,1.92073202133179,2.4822518825531,3.40736865997314,2.208735704422,83.1400680541992,72.7234115600586,73.1964416503906,82.1618347167969,0.436512410640717,0.2021793872118,0.00246951240114868,0.0132668791338801,9.25408361052149e-11,0.193754002451897,0.0714427977800369,0.0800316408276558,14.8782358770424,0.000779031137959745
"AT13",0.593438804149628,9.40572547912598,18.3453197479248,9.08804321289062,17.751880645752,1.64229595661163,2.07075905799866,2.74492597579956,1.95235502719879,82.0608596801758,70.7887649536133,69.9076385498047,79.9629745483398,0.484918534755707,0.15446200966835,1.47002632289173e-09,0.080790713429451,0,0.227718129754066,0,0.0521106272935867,12.8311178801558,0.0302666019062639
"AT21",-4.15981149673462,4.65010738372803,13.8150796890259,5.45831441879272,17.9748916625977,2.5143678188324,3.70065188407898,4.5681848526001,3.80977201461792,82.1361618041992,77.2067489624023,78.4461288452148,84.4338989257812,0.0883564800024033,0.149573862552643,0.061768189072609,0.00430757086724043,0.0132119785994291,0,0.678648352622986,0,12.9370491721015,0.0013685024003075
"AT22",-2.87793731689453,5.7750940322876,14.6277160644531,6.11019802093506,17.5056533813477,2.47308087348938,3.30560088157654,4.67833089828491,3.04079461097717,83.5481033325195,76.0423126220703,78.4512100219727,84.9230041503906,0.11335676163435,0.147312939167023,0.0306992270052433,0.00678293546661735,0.0108257215470076,0.0469107367098331,0.630475401878357,0.0126917818561196,13.8272204166727,0.000844597946043654
"AT31",-1.42922687530518,7.06546401977539,15.605715751648,7.14427709579468,17.0349426269531,2.99232268333435,3.34758543968201,4.71010828018188,3.0442841053009,84.726676940918,74.8072052001953,76.6199493408203,84.2555541992188,0.267497658729553,0.34678053855896,0.008995795622468,0.009522320702672,4.53616727513761e-11,0.0835911333560944,0.208453685045242,0.0704351589083672,13.7354487719837,0.00115138431049534
"AT32",-5.34757947921753,2.52735590934753,11.6646394729614,3.73832988739014,17.0122184753418,3.68742609024048,4.51568078994751,6.37429189682007,4.2973256111145,83.0767440795898,79.3318557739258,80.6236877441406,85.0231628417969,0.0689949691295624,0.224865049123764,0.159121468663216,0.00341285998001695,1.87299198373125e-09,0,0.526858568191528,0,12.4172142102842,0.00173357458293446
"AT33",-6.91483736038208,1.31029832363129,10.4425115585327,2.55604028701782,17.357349395752,3.32766008377075,4.46073341369629,6.41346025466919,4.24636316299438,79.6551361083984,77.6183700561523,79.1601791381836,82.6961898803711,0.0764861851930618,0.215339794754982,0.19631490111351,0.00347417942248285,7.65890217735432e-05,0,0.487111538648605,0,12.9343937502482,0.00102664441697597
