"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density"
"AD",3.15604257583618,7.19893646240234,16.7906856536865,9.4022741317749,13.6346426010132,2.27663612365723,4.06929540634155,3.76288866996765,3.6861686706543,69.5854187011719,72.7203826904297,72.4463882446289,79.9344940185547,0.149121657013893,0.0724348351359367,0.018662866204977,0.0174704194068909,0.00011546396126505,0.0504847131669521,0.163045778870583,0.528664290904999,19092.22265625,40.2947076646771
"AL013",3.75377202033997,11.2567205429077,22.6443061828613,11.1021785736084,18.8905334472656,3.48227787017822,4.15017700195312,1.68998920917511,4.63451480865479,77.0315093994141,73.5360641479492,58.4643592834473,75.5599517822266,0.13751383125782,0.123230025172234,0.00313242757692933,0.0136862313374877,0.0910826325416565,0,0.629741847515106,0,151797.078125,65.3889395328674
"AL015",5.14155340194702,12.3948965072632,23.513204574585,12.529125213623,18.3716506958008,5.03223419189453,4.73010921478271,1.5760293006897,6.1558895111084,76.4431991577148,73.6229782104492,61.0571098327637,75.3306427001953,0.139759361743927,0.0707683265209198,0.00215391255915165,0.0108052724972367,0.120029263198376,0,0.612868666648865,0,215967.59375,60.4097759851255
"AL014",7.05930137634277,13.6646823883057,24.5279445648193,14.2868204116821,17.4686431884766,3.81715083122253,4.45037794113159,1.09873151779175,5.39256763458252,73.5961608886719,73.4077453613281,62.6727752685547,73.4860153198242,0.19639864563942,0.0855527296662331,3.41321748642542e-10,0.00873793382197618,0.11297020316124,0,0.522274971008301,0,102793.640625,62.053434424034
"AL011",4.47632789611816,11.3927659988403,22.4808521270752,11.7144832611084,18.0045223236084,3.38122487068176,4.39842844009399,1.45417141914368,4.66880369186401,75.9424667358398,74.4061813354492,62.2909622192383,76.1945343017578,0.174825236201286,0.130381613969803,0.00127112050540745,0.00906015187501907,0.11317978054285,0,0.558337152004242,0,136943.421875,54.339751977042
"AL012",8.91571712493896,15.0755796432495,25.5962715148926,16.0358715057373,16.6805534362793,3.24914884567261,4.18075227737427,0.843104004859924,5.18041086196899,72.2062301635742,72.8196716308594,65.1329956054688,72.5961227416992,0.29424050450325,0.102838903665543,1.49995305065431e-09,0.0250614639371634,0.0999152213335037,0,0.437190383672714,0,246083.625,319.779367567867
"AL021",6.34826803207397,12.9206590652466,23.8481845855713,13.4692153930664,17.4999179840088,2.93396663665771,3.91485357284546,1.04752993583679,4.13229656219482,74.8317031860352,72.626594543457,62.4071617126465,75.0628280639648,0.189270183444023,0.12589867413044,0.00761980377137661,0.0132546555250883,0.115634597837925,0,0.542150020599365,0,393202.15625,118.822596205374
"AL022",8.80259704589844,14.8901529312134,25.3607444763184,15.8704509735107,16.5581455230713,2.89597725868225,4.06507873535156,0.861070394515991,4.86214542388916,72.4510040283203,72.8593063354492,65.8778457641602,73.1928863525391,0.323450952768326,0.121475338935852,2.13673345683674e-09,0.0314943976700306,0.0990956500172615,0,0.41937181353569,0,751793.1875,454.203832946628
"AL034",4.48715209960938,11.1127071380615,22.3852863311768,11.7977094650269,17.8981342315674,2.42895483970642,2.93673729896545,0.843784332275391,2.49077343940735,76.3959121704102,72.5374984741211,59.4258079528809,74.1837844848633,0.190494880080223,0.0899675562977791,0.015208326280117,0.00740554556250572,0.0161216296255589,0.318372696638107,0.10118842869997,0.203895032405853,169329.296875,45.8273775796501
"AL031",7.29096508026123,13.8653631210327,24.8156909942627,14.5581350326538,17.5247268676758,2.52173066139221,3.56851077079773,0.755909204483032,3.62535238265991,74.5655670166016,71.1040191650391,60.4044914245605,73.5317916870117,0.271617025136948,0.166049629449844,0.0128696085885167,0.0102868191897869,0.0818908214569092,0,0.454883635044098,0,103186.90625,56.7708538004114
