"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density"
"AD",-0.582783877849579,5.7508807182312,15.107216835022,7.9941873550415,15.6900005340576,2.73249673843384,3.52463603019714,3.70537233352661,2.87138295173645,77.3023681640625,75.9857788085938,75.4811630249023,78.1793899536133,0.143984138965607,0.0671595558524132,0.0289156511425972,0.00422164378687739,0.000365504180081189,0.0537597723305225,0.165511161088943,0.536082565784454,9.26378366303393,0.0195514928403879
"AL013",0.465493768453598,8.72975635528564,18.9337100982666,10.6208477020264,18.4682159423828,5.01068878173828,4.06192493438721,2.2702898979187,3.81430149078369,80.7753372192383,73.6474151611328,67.1101608276367,74.9908828735352,0.135546982288361,0.194587737321854,0.00365584925748408,0.0038713738322258,0.179993480443954,0,0.480731546878815,0,11.6934703141452,0.00503714322268692
"AL015",2.14276313781738,9.86290836334229,19.8923149108887,11.9527654647827,17.7495517730713,6.76291704177856,4.79384899139404,2.25889229774475,5.21651172637939,78.8794479370117,73.6278457641602,68.2214813232422,74.5986328125,0.122737422585487,0.153708443045616,0.00653320550918579,0.00329376338049769,0.230889245867729,0,0.439222723245621,0,11.8102032648786,0.00330351290757073
"AL014",4.18476390838623,11.365026473999,21.1176872253418,13.5931539535522,16.9329223632812,5.33946561813354,4.27807474136353,1.58146929740906,4.5378851890564,76.8376693725586,73.6009979248047,68.4072494506836,73.6230087280273,0.14536739885807,0.1646758466959,0.00019283834262751,0.00140041264239699,0.224289700388908,0,0.390008300542831,0,11.3639858842709,0.00686009706999084
"AL011",1.01400792598724,8.95223140716553,19.0881729125977,11.0969085693359,18.0741634368896,4.76023006439209,4.14094018936157,1.78973567485809,3.78749656677246,81.6409912109375,74.9242172241211,68.1107177734375,75.7585220336914,0.133132085204124,0.190740928053856,0.000266594550339505,0.00162539852317423,0.223287492990494,0,0.438002526760101,0,11.8211094835569,0.00469066822367177
"AL012",6.44954586029053,12.9488315582275,22.4356594085693,15.3398809432983,15.9861125946045,4.79796504974365,3.82350730895996,1.23552846908569,4.12821435928345,74.626708984375,73.0353546142578,68.8620834350586,72.6835098266602,0.21366585791111,0.182027727365494,9.6650852356106e-05,0.00362936686724424,0.205012127757072,0,0.354814738035202,0,10.9483767881318,0.0142271352074057
"AL021",3.2166223526001,10.5816411972046,20.5847759246826,12.8129692077637,17.3681526184082,4.1350736618042,3.63026094436646,1.33351397514343,3.29640126228333,80.2520904541016,73.4721603393555,66.3221206665039,74.4733963012695,0.13885086774826,0.193367406725883,0.00843929965049028,0.00242719147354364,0.217835828661919,0,0.432907342910767,0,12.0811735302178,0.00365083553396237
"AL022",6.28984975814819,12.7828063964844,22.2999038696289,15.2051515579224,16.0100536346436,4.39839553833008,3.60704827308655,1.16355752944946,3.70637154579163,75.45458984375,73.2188568115234,68.8301620483398,73.031120300293,0.233828172087669,0.198257923126221,2.15031747075045e-07,0.00459882337599993,0.203341588377953,0,0.354861438274384,0,11.9304151744116,0.0072078869441237
"AL034",1.03559052944183,8.54800033569336,18.9443168640137,10.9595775604248,17.908727645874,3.40528297424316,2.93430733680725,1.08193862438202,2.47691512107849,83.2302398681641,74.028923034668,64.0220794677734,74.4884948730469,0.150553077459335,0.145882621407509,0.0260798465460539,0.00161122647114098,0.0303719658404589,0.41205045580864,0.0826548114418983,0.0934500619769096,11.670864073137,0.00315860931587787
"AL031",4.57365036010742,11.5907287597656,21.5950984954834,13.8267202377319,17.021448135376,3.81965613365173,3.22834062576294,1.10379910469055,3.18773150444031,78.8063201904297,72.2231979370117,64.0530548095703,73.4382095336914,0.198808863759041,0.251510888338089,0.0188681129366159,0.00205903453752398,0.166112408041954,0,0.360238254070282,0,11.6112779582649,0.0063882345867366
"AL032",7.35099792480469,13.8370141983032,23.6579113006592,16.1640701293945,16.3069133758545,3.66905975341797,2.98563742637634,1.02543377876282,3.30027914047241,75.9869995117188,71.3599548339844,64.5561141967773,72.8740692138672,0.372412890195847,0.28291779756546,0.00179294706322253,0.00439813593402505,0.101802311837673,0,0.22307351231575,0,11.9873378185245,0.00646973507523539
"AL035",7.43895578384399,13.0484476089478,22.751392364502,15.8729476928711,15.3124361038208,5.49119567871094,3.194819688797,0.891008198261261,4.58923101425171,76.4612731933594,74.5125274658203,67.8899230957031,74.2838134765625,0.17946657538414,0.288887917995453,0.0426556654274464,0.000731371808797121,0.0581473745405674,0.00168037100229412,0.259339064359665,0.00104741239920259,12.0928268692861,0.00443267265041126
"AL033",4.75948238372803,11.3903579711914,21.4132270812988,13.7990007400513,16.6537437438965,5.11609363555908,3.36322021484375,0.926902234554291,4.04076957702637,78.4875793457031,73.2450103759766,64.1538925170898,73.5370635986328,0.170506030321121,0.285824656486511,0.0337857864797115,0.00069864367833361,0.099610798060894,0.0135200088843703,0.341659665107727,0.00353765022009611,11.7106633198227,0.00407862190536315
"AT11",-0.692641854286194,9.46686172485352,18.9467830657959,9.86497116088867,19.63942527771,1.51693665981293,2.10244679450989,2.86468839645386,1.8888486623764,82.563346862793,70.085334777832,70.0287551879883,78.0702590942383,0.406686156988144,0.199333399534225,2.2858459942654e-06,0.0144587801769376,0.00038085860433057,0.0461209565401077,0.196477010846138,0.116846553981304,12.6110731665678,0.00318997587318085
