"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density"
"AD",2.27403855323792,7.61767101287842,18.3016567230225,10.8135051727295,16.0276184082031,2.35634088516235,2.97256827354431,1.71778118610382,2.71660614013672,73.3805618286133,73.27734375,68.9026947021484,75.9021224975586,0.0941915065050125,0.0601658821105957,0.0389862917363644,0.0165985282510519,9.6698226116132e-05,0.0314617678523064,0.165037631988525,0.593461692333221,18944.328125,39.9825718275239
"AL013",0.0419871658086777,8.67826461791992,19.645715713501,10.8457708358765,19.6037292480469,4.09309387207031,3.14478421211243,1.87606430053711,4.30038213729858,79.5189971923828,70.1953735351562,62.2784042358398,73.7355041503906,0.15328124165535,0.168993338942528,0.00510628800839186,0.0192447789013386,0.079556904733181,0,0.572204411029816,0,147462.234375,63.5216385323846
"AL015",1.01686465740204,9.0506477355957,20.0908985137939,11.5090579986572,19.0740337371826,5.5582447052002,3.96209931373596,1.80073142051697,5.96395397186279,77.1651840209961,70.235725402832,63.1942672729492,73.1883239746094,0.158022284507751,0.129737228155136,0.00613437965512276,0.0137719362974167,0.110737852752209,0,0.537981152534485,0,201972.84375,56.4952085364254
"AL014",5.44179391860962,13.1159563064575,23.9727993011475,15.4910850524902,18.5310039520264,4.42621326446533,3.35734534263611,1.60231459140778,4.70747804641724,75.3185882568359,69.8254089355469,63.5623092651367,72.7311935424805,0.206124663352966,0.119124017655849,5.29534194271264e-10,0.0176426116377115,0.107192017138004,0,0.475851207971573,0,91400.28125,55.1756054596411
"AL011",2.29238724708557,10.3756761550903,21.3661441802979,12.7685813903809,19.0737571716309,3.61333298683167,2.94225597381592,1.58656072616577,3.85711336135864,79.9639587402344,71.4864120483398,64.0179214477539,74.6508865356445,0.180373772978783,0.168322339653969,0.00163301837164909,0.0120655791833997,0.103184290230274,0,0.521476030349731,0,122749.90625,48.707702564338
"AL012",7.35130548477173,14.230767250061,24.9400100708008,16.9293918609619,17.5887050628662,3.83758449554443,2.95838284492493,1.24973690509796,4.01606798171997,72.9772262573242,68.885498046875,63.5246925354004,71.5428085327148,0.303784966468811,0.119763344526291,4.93267426904254e-10,0.0331254377961159,0.0899699032306671,0,0.412602871656418,0,230406.734375,299.40764974433
"AL021",3.61468553543091,10.9155292510986,21.8344039916992,13.6549301147461,18.2197189331055,3.12983226776123,2.56327700614929,1.26114618778229,3.28831887245178,78.2246246337891,70.0661849975586,62.8638572692871,73.2803268432617,0.19488462805748,0.161146447062492,0.00932514760643244,0.0164901949465275,0.0987251549959183,0,0.513256371021271,0,361039.34375,109.103247463841
"AL022",6.99940633773804,13.6848888397217,24.3891868591309,16.5323009490967,17.3897800445557,3.32188057899475,2.65363216400146,1.10006070137024,3.43092846870422,73.68994140625,69.0560989379883,63.610912322998,71.7084884643555,0.331411302089691,0.134852454066277,6.481362113675e-10,0.0371618792414665,0.0849700346589088,0,0.406492471694946,0,705756.0625,426.390015289704
"AL034",1.69856059551239,9.55079746246338,20.5847263336182,12.1229639053345,18.8861637115479,2.67116451263428,2.2028968334198,1.06552767753601,2.86629724502563,80.7785110473633,70.6433410644531,60.8808250427246,73.3947372436523,0.199656113982201,0.105069987475872,0.023998562246561,0.00851318426430225,0.0142941940575838,0.36380672454834,0.0964170098304749,0.130898326635361,152994.359375,41.4064807687155
"AL031",5.01483535766602,11.8393383026123,22.6226863861084,14.6929693222046,17.6078510284424,3.23344683647156,2.44904375076294,1.06248497962952,3.39706659317017,76.3881301879883,69.0207290649414,61.724925994873,72.4016952514648,0.280104637145996,0.179013758897781,0.0151804117485881,0.0144009850919247,0.0764723345637321,0,0.43242546916008,0,89296.921875,49.128931962648
"AL032",9.23172950744629,15.2450590133667,25.6678810119629,18.2417984008789,16.4361534118652,3.25723266601562,2.40303802490234,0.947748899459839,3.61167883872986,73.5855102539062,68.1111068725586,62.2577438354492,71.9681930541992,0.50700569152832,0.185002148151398,0.00161175755783916,0.0281470902264118,0.0381116569042206,0,0.226519241929054,0,201888.53125,108.96208413326
"AL035",7.92497491836548,14.1878890991211,24.6783103942871,17.0950813293457,16.7533359527588,4.67195796966553,2.6669237613678,0.776964426040649,4.7304310798645,75.1969909667969,71.1810684204102,64.5212707519531,73.8710479736328,0.230157062411308,0.178231775760651,0.0341623090207577,0.00575437163934112,0.0304716415703297,0.00476441532373428,0.347383409738541,0.00103079481050372,57584.03125,21.1076502774219
"AL033",4.28943252563477,11.1245765686035,22.0191955566406,13.9839782714844,17.7297611236572,4.6689829826355,2.72065138816833,0.898071467876434,4.50633382797241,76.3655471801758,69.910774230957,61.3173637390137,72.5963821411133,0.234476611018181,0.174679920077324,0.0219957940280437,0.00597825041040778,0.0564489848911762,0.0137515971437097,0.438588321208954,0.00322378263808787,46785.8125,16.2946909591115
"AT11",1.12434434890747,11.4216241836548,21.1175231933594,11.4508008956909,19.9931774139404,1.33761322498322,1.82921373844147,2.8061032295227,2.08004641532898,79.7320251464844,65.9984817504883,63.7807846069336,77.5802917480469,0.299166262149811,0.153049543499947,0.000184729680768214,0.0182048492133617,0,0.0353728868067265,0.230196356773376,0.244131371378899,378985.0625,95.8644192847834
"AT12",0.266761481761932,10.1572103500366,19.783576965332,10.488094329834,19.5168151855469,2.06602764129639,2.3014805316925,3.01713705062866,1.9854987859726,81.6376571655273,69.4684371948242,67.3628845214844,78.6442031860352,0.270737558603287,0.124852545559406,0.00297457026317716,0.0246395450085402,0,0.144854202866554,0.0773849114775658,0.354213327169418,3395085.75,177.768220449747
"AT13",1.59837102890015,11.7236585617065,21.4833564758301,11.7737474441528,19.8849830627441,1.61035287380219,1.9335275888443,2.33809638023376,1.8380651473999,80.2823257446289,67.2617645263672,63.4622535705566,76.2459030151367,0.260276347398758,0.0870762020349503,2.47817016907348e-10,0.129283249378204,0,0.126945942640305,0,0.396418273448944,473392.6875,1116.65937073637
"AT21",-2.15661191940308,6.07744216918945,15.7822303771973,7.7668628692627,17.9388408660889,2.02312898635864,2.89952397346497,4.21595478057861,3.81998586654663,80.4249496459961,73.1585159301758,73.4156112670898,81.8575973510742,0.0875404924154282,0.0835728198289871,0.0453551858663559,0.01388278324157,0,0,0.765515148639679,0,631982.875,66.8521909351487
"AT22",-1.54348826408386,7.29548025131226,16.7788410186768,8.49061679840088,18.3223285675049,2.33099699020386,2.80525684356689,4.36181116104126,2.93309307098389,81.6434555053711,72.3002166748047,73.5705337524414,81.9210510253906,0.0989342778921127,0.0834867358207703,0.0242017656564713,0.0183459799736738,0,0.0538454949855804,0.709728479385376,0.0105127990245819,1342887.75,82.0266258321578
