"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density","total_population_density"
"AD",2.29183149337769,7.54041147232056,18.2408466339111,10.8732633590698,15.9490165710449,2.48394107818604,2.97293257713318,2.43703651428223,3.14646983146667,74.4626159667969,74.3379364013672,73.6221084594727,77.5815048217773,0.0936185643076897,0.0566466152667999,0.0367029421031475,0.0178468078374863,6.119111640146e-05,0.0314546711742878,0.166115581989288,0.597553610801697,18749.42578125,NA,39.5712245943616
"AL013",0.964558124542236,8.9898681640625,20.411808013916,10.7054357528687,19.4472503662109,3.97035527229309,3.17434334754944,1.51423597335815,3.96696996688843,78.1508712768555,70.7461166381836,58.6321029663086,71.2695693969727,0.177354022860527,0.151631459593773,0.00449328077957034,0.0256104059517384,0.0516287535429001,0,0.587669014930725,0,131417.8125,NA,56.6102556205194
"AL015",1.81477892398834,9.28440952301025,20.7467613220215,11.2919483184814,18.9319839477539,5.53299522399902,4.10643291473389,1.57247507572174,5.43647766113281,76.6652297973633,71.2560729980469,60.5730438232422,71.2961959838867,0.212497383356094,0.102989420294762,0.0046259150840342,0.0165965594351292,0.0690646395087242,0,0.550610899925232,0,171551.078125,NA,47.9857279492332
"AL014",5.92677450180054,13.2790117263794,24.6402912139893,15.3750267028809,18.7135181427002,4.34967803955078,3.2842903137207,1.31969559192657,4.19811964035034,76.1181793212891,70.4895324707031,60.8390007019043,70.8539581298828,0.222634196281433,0.110239170491695,5.29534194271264e-10,0.0214291140437126,0.0709935948252678,0,0.500638425350189,0,70403.1640625,NA,42.5002762606147
"AL011",2.88139033317566,10.6165113449097,22.0970802307129,12.6828327178955,19.2156887054443,3.63796496391296,2.87731409072876,1.23287606239319,3.40607213973999,79.9784393310547,72.0392303466797,60.164981842041,71.9957656860352,0.187844887375832,0.159474357962608,0.00155097257811576,0.013685773126781,0.075159378349781,0,0.549339711666107,0,98176.984375,NA,38.9570591105943
"AL012",7.77398157119751,14.355655670166,25.5684051513672,16.816780090332,17.7944221496582,3.7744574546814,2.86679863929749,0.989966571331024,3.5796205997467,74.1267318725586,69.7293319702148,61.2365875244141,69.7131958007812,0.322992622852325,0.109186641871929,4.93267426904254e-10,0.0374675579369068,0.0690044611692429,0,0.420595228672028,0,184705.109375,NA,240.019558645932
"AL021",4.12089443206787,11.1314907073975,22.531623840332,13.5921363830566,18.4107303619385,3.21166729927063,2.5221221446991,0.948327720165253,2.89800143241882,78.5766525268555,70.7169952392578,59.2978935241699,70.6848754882812,0.204430505633354,0.152073860168457,0.00889347027987242,0.0185149721801281,0.0868828222155571,0,0.523032307624817,0,287206.71875,NA,86.7916094229244
"AL022",7.43636703491211,13.8233127593994,25.0255756378174,16.4326248168945,17.5892086029053,3.30491185188293,2.55968236923218,0.821654856204987,3.0474545955658,74.6799087524414,69.9363632202148,61.0745124816895,69.5994644165039,0.348328679800034,0.123768150806427,6.481362113675e-10,0.0409481152892113,0.073150210082531,0,0.408692985773087,0,567287.6875,NA,342.732876980119
"AL034",2.15870022773743,9.80549335479736,21.2802639007568,12.0768299102783,19.1215629577637,2.74916052818298,2.22434759140015,0.888569712638855,2.65057778358459,81.291374206543,71.0615386962891,57.2492485046387,70.8687057495117,0.203153282403946,0.0997867062687874,0.0228102318942547,0.00932368822395802,0.0125340195372701,0.362634181976318,0.0974059328436852,0.135006055235863,124196.890625,NA,33.6127173851786
"AL031",5.41971683502197,12.0196237564087,23.2734794616699,14.6537322998047,17.8537635803223,3.27970886230469,2.43293476104736,0.839211940765381,2.90731000900269,77.2195663452148,69.6779251098633,58.6578102111816,70.1590881347656,0.294455081224442,0.168073192238808,0.0145011022686958,0.0174591094255447,0.0672441497445107,0,0.435864955186844,0,66217.0234375,NA,36.4309493644571
