"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density","total_population_density"
"AD",2.16552305221558,8.16129112243652,18.0471858978271,10.758846282959,15.8816623687744,2.84984254837036,2.90610504150391,2.46319842338562,2.59543347358704,74.6848678588867,73.4930267333984,72.6703414916992,76.2781219482422,0.09445670992136,0.0552727095782757,0.0358048640191555,0.0183884371072054,5.72298195038456e-05,0.031436201184988,0.166368409991264,0.598215460777283,17627.111328125,NA,37.2025463314508
"AL013",-0.535633862018585,9.53426837921143,19.5650196075439,10.4191741943359,20.1006526947021,4.34836769104004,3.2673077583313,1.81741380691528,4.00643968582153,78.0430755615234,70.8476943969727,63.8899040222168,73.7794799804688,0.216483592987061,0.141044735908508,0.0041152723133564,0.027213741093874,0.0205675456672907,0,0.588962078094482,0,111987.671875,NA,48.2404219838205
"AL015",0.419141680002213,9.77698421478271,19.9165096282959,11.0155992507935,19.4973678588867,6.05558156967163,4.06122589111328,1.81494081020355,5.63269710540771,76.1470565795898,71.5582733154297,65.5088424682617,73.73046875,0.275465101003647,0.0863202884793282,0.00368385575711727,0.0170577559620142,0.0264764055609703,0,0.547381401062012,0,138919.390625,NA,38.8580949666037
"AL014",4.91043376922607,13.7458248138428,24.0479831695557,15.1348066329956,19.1375503540039,5.004075050354,3.36968731880188,1.45575714111328,4.43760967254639,75.1060562133789,71.6830062866211,64.4133453369141,72.6423034667969,0.244918704032898,0.103346765041351,5.29534194271264e-10,0.0206517092883587,0.0295246746391058,0,0.527492702007294,0,51515.45703125,NA,31.0983346370101
"AL011",1.69408297538757,11.1192951202393,21.4208183288574,12.3902425765991,19.726734161377,4.0599102973938,3.02793979644775,1.41577804088593,3.64324903488159,79.3954925537109,72.6581192016602,64.767204284668,74.4308929443359,0.210461243987083,0.151003360748291,0.00147030060179532,0.0128252850845456,0.0451348386704922,0,0.566159963607788,0,77167.0234375,NA,30.6202142241477
"AL012",6.81111764907837,14.8162889480591,25.0068778991699,16.5717086791992,18.1957607269287,4.44023656845093,2.91934657096863,1.1463680267334,3.90952301025391,73.0246276855469,71.0176773071289,64.4051132202148,71.4765625,0.343562871217728,0.101694792509079,4.93267426904254e-10,0.0361926332116127,0.0518394857645035,0,0.425956696271896,0,146032.953125,NA,189.766082137243
"AL021",2.98783445358276,11.5978174209595,21.8832874298096,13.2584867477417,18.8954524993896,3.63620448112488,2.61689376831055,1.14032578468323,3.27206015586853,78.2921829223633,71.554931640625,63.4149627685547,73.2641906738281,0.230526983737946,0.143726915121078,0.00843578763306141,0.0174955297261477,0.0839113369584084,0,0.509731411933899,0,224142.96875,NA,67.7342406309732
"AL022",6.42879343032837,14.2956695556641,24.4421157836914,16.1638641357422,18.0133209228516,3.88472390174866,2.62027764320374,1.0063601732254,3.41147303581238,73.7117538452148,71.0353088378906,64.4761428833008,71.6045989990234,0.36821374297142,0.115621276199818,6.481362113675e-10,0.039461862295866,0.07062978297472,0,0.400961458683014,0,450942.21875,NA,272.441527270034
"AL034",1.06445598602295,10.1924362182617,20.6809234619141,11.7191038131714,19.6164665222168,3.23703980445862,2.3694314956665,1.0012332201004,3.0981719493866,81.648307800293,72.4744415283203,60.8536529541016,73.6753616333008,0.217648595571518,0.09459587931633,0.0216261055320501,0.00865324772894382,0.0117521481588483,0.357176959514618,0.0929726138710976,0.138228520750999,104423.46875,NA,28.2612271998962
"AL031",4.40753173828125,12.4225769042969,22.7042045593262,14.3041543960571,18.2966747283936,3.83688068389893,2.46079134941101,0.983546674251556,3.41742849349976,77.2200927734375,71.0288391113281,61.7753639221191,72.6283569335938,0.331808596849442,0.158419981598854,0.0137579357251525,0.0166409723460674,0.0633716881275177,0,0.413598388433456,0,45914.28515625,NA,25.2608907920996
"AL032",8.71944046020508,15.7783851623535,25.7990016937256,17.9122772216797,17.0795612335205,3.8093318939209,2.26300096511841,0.821351945400238,3.52596807479858,73.9994049072266,70.2403945922852,62.3350944519043,71.8682174682617,0.542368292808533,0.157091096043587,0.00136859400663525,0.0307944510132074,0.0325602665543556,0,0.222214832901955,0,108891.1796875,NA,58.7701035270143
"AL035",7.40488004684448,14.7439289093018,24.8410415649414,16.7671508789062,17.4361610412598,5.3368763923645,2.58698868751526,0.639069437980652,4.55139446258545,75.4647903442383,72.9030685424805,64.2618942260742,73.6530838012695,0.244802594184875,0.15071177482605,0.028899535536766,0.00609800079837441,0.0231305807828903,0.00476441532373428,0.372070491313934,0.00147839647252113,35397.9453125,NA,12.9752543192355
"AL033",3.65292191505432,11.7092170715332,22.1030197143555,13.5765933990479,18.4500980377197,5.34025573730469,2.80140328407288,0.818343162536621,4.42899799346924,77.255126953125,71.8197174072266,61.2865829467773,72.6469879150391,0.268534481525421,0.154521465301514,0.0192249808460474,0.00701826950535178,0.0460649393498898,0.0135944094508886,0.436738729476929,0.0034459843300283,28677.14453125,NA,9.98775446566185
"AT11",1.05181801319122,12.0894594192505,20.621862411499,11.40793800354,19.5700435638428,1.28367698192596,2.34092450141907,2.95651507377625,2.11355400085449,78.724250793457,68.4934387207031,68.3441009521484,78.5095291137695,0.339914888143539,0.0579613298177719,7.03578625689261e-05,0.0194695629179478,0,0.0105122243985534,0.255822688341141,0.296554982662201,327587.65625,NA,82.8634253395396
