"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density","total_population_density"
"AD",3.38983607292175,8.48437213897705,19.0787124633789,11.6817274093628,15.6888761520386,2.15087151527405,2.97084474563599,2.06576561927795,2.63866233825684,72.1547698974609,72.2252426147461,69.6661529541016,75.1923522949219,0.09445670992136,0.0552727095782757,0.0358048640191555,0.0183884371072054,5.72298195038456e-05,0.031436201184988,0.166368409991264,0.598215460777283,17627.111328125,NA,37.2025463314508
"AL013",1.11800754070282,9.51662445068359,20.4497890472412,11.092098236084,19.3317832946777,3.64831876754761,3.01043367385864,1.54243969917297,4.34609413146973,77.2078018188477,69.742057800293,60.2190170288086,72.3701171875,0.216483592987061,0.141044735908508,0.0041152723133564,0.027213741093874,0.0205675456672907,0,0.588962078094482,0,111987.671875,NA,48.2404219838205
"AL015",2.04534721374512,9.87644100189209,20.8818340301514,11.7566890716553,18.8364868164062,5.0817699432373,3.83161783218384,1.52788555622101,5.99046182632446,75.424186706543,70.2487716674805,62.0824928283691,72.4031982421875,0.275465101003647,0.0863202884793282,0.00368385575711727,0.0170577559620142,0.0264764055609703,0,0.547381401062012,0,138919.390625,NA,38.8580949666037
"AL014",6.19973421096802,13.8631143569946,24.6531658172607,15.7949714660645,18.4534320831299,4.00726747512817,3.04710912704468,1.33736145496368,4.90148878097534,74.1237335205078,69.7436752319336,63.1882820129395,72.0249862670898,0.244918704032898,0.103346765041351,5.29534194271264e-10,0.0206517092883587,0.0295246746391058,0,0.527492702007294,0,51515.45703125,NA,31.0983346370101
"AL011",3.13520336151123,11.1555805206299,22.0343379974365,13.0126867294312,18.8991355895996,3.23609018325806,2.74505376815796,1.30024421215057,4.00353050231934,78.2875747680664,71.03955078125,63.0283012390137,73.7237319946289,0.210461243987083,0.151003360748291,0.00147030060179532,0.0128252850845456,0.0451348386704922,0,0.566159963607788,0,77167.0234375,NA,30.6202142241477
"AL012",8.04477787017822,14.9592342376709,25.6300029754639,17.2641525268555,17.58522605896,3.43325042724609,2.61417293548584,1.04612171649933,4.33664464950562,72.1230163574219,68.9784545898438,63.4858512878418,70.9619369506836,0.343562871217728,0.101694792509079,4.93267426904254e-10,0.0361926332116127,0.0518394857645035,0,0.425956696271896,0,146032.953125,NA,189.766082137243
"AL021",4.42464876174927,11.6785440444946,22.5590629577637,13.9353580474854,18.1344146728516,2.84411692619324,2.35337233543396,1.03191578388214,3.58883881568909,76.9658203125,69.6582107543945,61.6948852539062,72.3458099365234,0.230526983737946,0.143726915121078,0.00843578763306141,0.0174955297261477,0.0839113369584084,0,0.509731411933899,0,224142.96875,NA,67.7342406309732
"AL022",7.69932460784912,14.4184503555298,25.0802536010742,16.8566093444824,17.3809299468994,2.94131445884705,2.33710694313049,0.912107408046722,3.78543424606323,72.8039474487305,69.0824203491211,63.4691886901855,71.0957565307617,0.36821374297142,0.115621276199818,6.481362113675e-10,0.039461862295866,0.07062978297472,0,0.400961458683014,0,450942.21875,NA,272.441527270034
"AL034",2.52829146385193,10.3089141845703,21.3630714416504,12.4180517196655,18.8347797393799,2.46445035934448,2.08930563926697,0.971910774707794,3.25407695770264,79.4708099365234,70.134521484375,59.0790901184082,72.1665115356445,0.217648595571518,0.09459587931633,0.0216261055320501,0.00865324772894382,0.0117521481588483,0.357176959514618,0.0929726138710976,0.138228520750999,104423.46875,NA,28.2612271998962
"AL031",5.81216764450073,12.5800666809082,23.4473457336426,15.0474424362183,17.6351795196533,2.9894335269928,2.2044825553894,0.85201108455658,3.78667688369751,75.509391784668,68.678840637207,59.9846954345703,71.3014678955078,0.331808596849442,0.158419981598854,0.0137579357251525,0.0166409723460674,0.0633716881275177,0,0.413598388433456,0,45914.28515625,NA,25.2608907920996
