"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density","total_population_density"
"AD",1.79081654548645,7.41704559326172,18.4511871337891,10.9448518753052,16.6603698730469,2.69323182106018,2.79404473304749,2.39963173866272,2.84260678291321,74.4506912231445,73.69189453125,73.1647491455078,76.7287673950195,0.09445670992136,0.0552727095782757,0.0358048640191555,0.0183884371072054,5.72298195038456e-05,0.031436201184988,0.166368409991264,0.598215460777283,17627.111328125,NA,37.2025463314508
"AL013",0.281690776348114,8.84380626678467,20.1539707183838,11.3184146881104,19.8722801208496,4.51861906051636,3.10021162033081,1.83270394802094,4.30711317062378,78.265869140625,70.4168319702148,63.6240386962891,73.9438781738281,0.216483592987061,0.141044735908508,0.0041152723133564,0.027213741093874,0.0205675456672907,0,0.588962078094482,0,111987.671875,NA,48.2404219838205
"AL015",1.20054090023041,9.19509410858154,20.5992126464844,11.9067678451538,19.3986740112305,6.5203332901001,3.85572481155396,1.76972424983978,6.05426263809204,76.7033157348633,70.5541534423828,64.7726974487305,73.7419662475586,0.275465101003647,0.0863202884793282,0.00368385575711727,0.0170577559620142,0.0264764055609703,0,0.547381401062012,0,138919.390625,NA,38.8580949666037
"AL014",5.67002201080322,13.1652870178223,24.5898513793945,16.0360126495361,18.919828414917,5.03055763244629,3.23828458786011,1.48909640312195,4.48750400543213,75.642822265625,70.4201812744141,63.5756912231445,72.4206924438477,0.244918704032898,0.103346765041351,5.29534194271264e-10,0.0206517092883587,0.0295246746391058,0,0.527492702007294,0,51515.45703125,NA,31.0983346370101
"AL011",2.58036732673645,10.481987953186,21.860559463501,13.3057022094727,19.2801914215088,4.12701082229614,2.9043824672699,1.52455711364746,3.76936388015747,79.428955078125,71.9128723144531,64.8907089233398,74.4411773681641,0.210461243987083,0.151003360748291,0.00147030060179532,0.0128252850845456,0.0451348386704922,0,0.566159963607788,0,77167.0234375,NA,30.6202142241477
"AL012",7.52075290679932,14.2491254806519,25.5873527526855,17.471118927002,18.0665988922119,4.48923349380493,2.87668037414551,1.1926611661911,3.8531014919281,73.7056579589844,69.6682586669922,63.3766632080078,71.2310562133789,0.343562871217728,0.101694792509079,4.93267426904254e-10,0.0361926332116127,0.0518394857645035,0,0.425956696271896,0,146032.953125,NA,189.766082137243
"AL021",3.8449010848999,10.9877433776855,22.384557723999,14.2087965011597,18.5396556854248,3.68295669555664,2.56934142112732,1.2509218454361,3.20039701461792,78.0936813354492,70.5475769042969,63.2693519592285,73.0219192504883,0.230526983737946,0.143726915121078,0.00843578763306141,0.0174955297261477,0.0839113369584084,0,0.509731411933899,0,224142.96875,NA,67.7342406309732
"AL022",7.16480302810669,13.7130928039551,25.0016689300537,17.0685691833496,17.8368663787842,3.95755434036255,2.61803770065308,1.08573520183563,3.3388512134552,74.2612991333008,69.8510437011719,63.728946685791,71.4462966918945,0.36821374297142,0.115621276199818,6.481362113675e-10,0.039461862295866,0.07062978297472,0,0.400961458683014,0,450942.21875,NA,272.441527270034
"AL034",1.9403715133667,9.58368682861328,21.2206554412842,12.7081050872803,19.2802848815918,3.27766394615173,2.2940845489502,1.16479277610779,2.87537264823914,80.7592468261719,70.9911804199219,60.6326599121094,72.8289794921875,0.217648595571518,0.09459587931633,0.0216261055320501,0.00865324772894382,0.0117521481588483,0.357176959514618,0.0929726138710976,0.138228520750999,104423.46875,NA,28.2612271998962
"AL031",5.21637392044067,11.858359336853,23.2948913574219,15.2879838943481,18.0785179138184,3.78259301185608,2.43705153465271,1.01099300384521,3.23463034629822,76.802360534668,69.4921646118164,61.0027122497559,71.8737869262695,0.331808596849442,0.158419981598854,0.0137579357251525,0.0166409723460674,0.0633716881275177,0,0.413598388433456,0,45914.28515625,NA,25.2608907920996
