"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density"
"AD",2.11670088768005,7.32789611816406,17.8204250335693,10.4612159729004,15.703724861145,2.46687579154968,2.91273427009583,2.32009148597717,2.88675785064697,73.4506225585938,73.9943695068359,72.6562423706055,77.4095458984375,0.171516045928001,0.0417806915938854,0.0267916619777679,0.0160337835550308,9.00903323781677e-05,0.0294321347028017,0.15366567671299,0.560689926147461,19010.2109375,40.1216194762766
"AL013",-0.218867152929306,8.32423686981201,19.4168548583984,10.137978553772,19.6357231140137,3.66503596305847,3.16202235221863,1.82172787189484,3.66673803329468,77.2654190063477,70.7225875854492,62.8651733398438,73.9984664916992,0.151827931404114,0.181701391935349,0.00549816945567727,0.0151309967041016,0.0798403322696686,0,0.564388155937195,0,152918.140625,65.8718545463218
"AL015",0.725640118122101,8.67666339874268,19.76780128479,10.7979183197021,19.0421600341797,5.05658197402954,3.97294068336487,1.87053573131561,5.06084871292114,75.3091049194336,70.9553298950195,64.6756057739258,73.692497253418,0.157890573143959,0.134266540408134,0.00625638384371996,0.010923819616437,0.110923580825329,0,0.536123931407928,0,210923.15625,58.998761795197
"AL014",5.13563203811646,12.7539472579956,23.7467880249023,14.8525485992432,18.611156463623,3.98015403747559,3.38238477706909,1.44529402256012,4.02715682983398,73.7611465454102,70.4966430664062,64.4047317504883,72.8968658447266,0.156816050410271,0.129345953464508,5.29534194271264e-10,0.0112155973911285,0.10829684138298,0,0.520260035991669,0,95316.7578125,57.539864766605
"AL011",2.00370645523071,10.077709197998,21.1977558135986,12.0969572067261,19.1940498352051,3.29792332649231,2.99759197235107,1.40912973880768,3.26427817344666,78.0273742675781,71.8778686523438,63.7889671325684,74.6529006958008,0.16593511402607,0.19139389693737,0.00190707051660866,0.0100406464189291,0.102545395493507,0,0.515232920646667,0,127230.578125,50.4856528670568
"AL012",7.02614212036133,13.8466386795044,24.6767845153809,16.3136882781982,17.6506423950195,3.38336062431335,2.99844908714294,1.1463223695755,3.4083731174469,71.758415222168,69.7973098754883,64.7980346679688,71.7607421875,0.215947061777115,0.124856553971767,4.93267426904254e-10,0.0256031583994627,0.0916496962308884,0,0.501190006732941,0,241942.21875,314.397716222855
"AL021",3.29959940910339,10.6082391738892,21.6747016906738,13.0173482894897,18.3751010894775,2.84606838226318,2.63984036445618,1.13322937488556,2.84957957267761,76.6527938842773,70.6585006713867,62.6603546142578,73.3158187866211,0.165268987417221,0.181787744164467,0.0107043301686645,0.0138982441276312,0.0980784893035889,0,0.52409017086029,0,378220.3125,114.295200965999
"AL022",6.6727032661438,13.3156929016113,24.1317386627197,15.913423538208,17.4590339660645,2.91568183898926,2.71117448806763,1.01019012928009,2.88749766349792,72.4727020263672,69.9636001586914,64.6554412841797,71.8868865966797,0.241730913519859,0.142602756619453,6.481362113675e-10,0.0308131575584412,0.0861962661147118,0,0.493545025587082,0,741341.8125,447.889523820806
"AL034",1.34956085681915,9.25725555419922,20.5103454589844,11.4965629577637,19.1607837677002,2.36569380760193,2.34374666213989,1.0356502532959,2.63513040542603,79.2820892333984,71.3092422485352,60.2210807800293,73.5154190063477,0.192271873354912,0.122207328677177,0.0291093979030848,0.00795490853488445,0.0141619024798274,0.358429610729218,0.0938183814287186,0.12470069527626,160854.15625,43.5336606822769
"AL031",4.6747317314148,11.5041189193726,22.4911670684814,14.1056318283081,17.8164329528809,2.90880417823792,2.52321696281433,0.991983592510223,2.96097779273987,75.1232452392578,69.8059234619141,61.5151138305664,72.4488830566406,0.222947001457214,0.196015045046806,0.0173555444926023,0.0106653580442071,0.0760814175009727,0,0.474533230066299,0,93158.4921875,51.2534713215451
