"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density"
"AD",2.65004372596741,8.49538516998291,19.6594676971436,11.9873456954956,17.0094223022461,2.96820831298828,2.76629304885864,2.2316837310791,2.49206757545471,74.8660278320312,73.633674621582,69.8640289306641,75.6788787841797,0.171516045928001,0.0417806915938854,0.0267916619777679,0.0160337835550308,9.00903323781677e-05,0.0294321347028017,0.15366567671299,0.560689926147461,19010.2109375,40.1216194762766
"AL013",1.38370251655579,9.87349319458008,20.2971248626709,11.4472389221191,18.9134216308594,4.63157653808594,3.69475221633911,1.96086061000824,4.46392297744751,78.8109283447266,72.7858200073242,66.2760772705078,76.1474380493164,0.151827931404114,0.181701391935349,0.00549816945567727,0.0151309967041016,0.0798403322696686,0,0.564388155937195,0,152918.140625,65.8718545463218
"AL015",2.21440553665161,10.1698665618896,20.7063274383545,12.1031837463379,18.49192237854,6.61835861206055,4.91529035568237,2.14202642440796,6.18022298812866,76.9428482055664,73.1967010498047,67.6363830566406,75.7371444702148,0.157890573143959,0.134266540408134,0.00625638384371996,0.010923819616437,0.110923580825329,0,0.536123931407928,0,210923.15625,58.998761795197
"AL014",6.15792417526245,14.0464735031128,24.5883350372314,16.1483097076416,18.4304103851318,4.9412407875061,3.52335500717163,1.84268760681152,4.90855646133423,75.9162979125977,72.1940155029297,66.9988861083984,74.4118576049805,0.156816050410271,0.129345953464508,5.29534194271264e-10,0.0112155973911285,0.10829684138298,0,0.520260035991669,0,95316.7578125,57.539864766605
"AL011",3.18791198730469,11.4166440963745,21.9824237823486,13.3691539764404,18.7945117950439,4.08471202850342,3.07726359367371,1.75399947166443,4.02201509475708,79.9440231323242,73.7281646728516,67.8178787231445,76.3087921142578,0.16593511402607,0.19139389693737,0.00190707051660866,0.0100406464189291,0.102545395493507,0,0.515232920646667,0,127230.578125,50.4856528670568
"AL012",7.99693250656128,15.1053791046143,25.5438709259033,17.6138362884521,17.5469398498535,4.3976469039917,3.11229038238525,1.55015850067139,4.25531816482544,73.8101577758789,71.4413833618164,66.9265441894531,73.1269607543945,0.215947061777115,0.124856553971767,4.93267426904254e-10,0.0256031583994627,0.0916496962308884,0,0.501190006732941,0,241942.21875,314.397716222855
"AL021",4.51362991333008,11.9258480072021,22.4902191162109,14.2946300506592,17.9765892028809,3.71320962905884,2.7086238861084,1.48668026924133,3.54802393913269,78.428337097168,72.4127349853516,66.3571929931641,74.7019729614258,0.165268987417221,0.181787744164467,0.0107043301686645,0.0138982441276312,0.0980784893035889,0,0.52409017086029,0,378220.3125,114.295200965999
"AL022",7.68776178359985,14.5789842605591,24.9889717102051,17.2065544128418,17.3012104034424,3.88393974304199,2.7922854423523,1.39618515968323,3.67587041854858,74.3794860839844,71.6403503417969,67.1332168579102,73.2420501708984,0.241730913519859,0.142602756619453,6.481362113675e-10,0.0308131575584412,0.0861962661147118,0,0.493545025587082,0,741341.8125,447.889523820806
"AL034",2.67425656318665,10.5777931213379,21.3096542358398,12.7882652282715,18.6353969573975,3.38978290557861,2.44594693183899,1.3927184343338,3.2742657661438,81.2084045410156,73.1808776855469,64.0418014526367,74.6133804321289,0.192271873354912,0.122207328677177,0.0291093979030848,0.00795490853488445,0.0141619024798274,0.358429610729218,0.0938183814287186,0.12470069527626,160854.15625,43.5336606822769
"AL031",5.89876842498779,12.8122177124023,23.3636207580566,15.405083656311,17.4648532867432,3.93015456199646,2.61129951477051,1.3023008108139,3.65119433403015,77.0213394165039,71.3930816650391,64.4458923339844,73.5259323120117,0.222947001457214,0.196015045046806,0.0173555444926023,0.0106653580442071,0.0760814175009727,0,0.474533230066299,0,93158.4921875,51.2534713215451
"AL032",9.91052150726318,16.1039752960205,26.4496898651123,19.0434398651123,16.5391674041748,3.91575145721436,2.55587410926819,1.09343647956848,3.64444303512573,74.7801818847656,70.5983734130859,64.3317260742188,72.9267807006836,0.365291476249695,0.188846737146378,0.00164514628704637,0.0226624086499214,0.0387525856494904,0,0.369199216365814,0,211370.21875,114.079484436802
"AL035",8.67920875549316,15.0825395584106,25.4991302490234,17.897439956665,16.8199195861816,5.26019525527954,2.75919771194458,0.881039083003998,4.75599145889282,76.1768264770508,73.561767578125,66.5941314697266,74.7038269042969,0.186340183019638,0.191267639398575,0.0369804352521896,0.0041660787537694,0.0306034237146378,0.00471148500218987,0.376977503299713,0.000908989924937487,59229.22265625,21.7107015763451
"AL033",5.20858764648438,12.0960273742676,22.766975402832,14.6895780563354,17.5583877563477,5.26969623565674,2.87773585319519,1.12967765331268,4.75643682479858,76.9384078979492,72.4042587280273,64.1323471069336,73.5426025390625,0.212985798716545,0.19332417845726,0.0244904719293118,0.00406250590458512,0.0561373606324196,0.0135226901620626,0.441603124141693,0.00301710795611143,48269.09765625,16.8112935771665
"AT11",2.34103679656982,12.1842184066772,21.6359672546387,12.3373031616211,19.2949295043945,1.64623200893402,2.30652713775635,3.82326865196228,2.15878176689148,81.2760391235352,70.1874160766602,70.6759872436523,80.1292343139648,0.323995321989059,0.0696869716048241,7.64297947171144e-05,0.0139970472082496,1.40129846432482e-45,0.0350899621844292,0.268278688192368,0.269181579351425,374528.53125,94.737137967975
"AT12",1.50986337661743,11.1112985610962,20.6242408752441,11.5907583236694,19.1143779754639,2.46797609329224,2.79063129425049,3.73433589935303,2.06049394607544,83.0691986083984,71.8648910522461,72.5889739990234,81.46240234375,0.290510237216949,0.155749574303627,0.00301654613576829,0.0202560387551785,0,0.139859244227409,0.0748657509684563,0.315399289131165,3311342.25,173.383373036325
"AT13",3.01717257499695,12.6863174438477,22.2582988739014,12.8322067260742,19.2411251068115,1.9843373298645,2.36255836486816,3.10262060165405,1.88064932823181,81.8053131103516,69.5605621337891,69.0584259033203,79.0087966918945,0.264483451843262,0.116911239922047,2.47817016907348e-10,0.121139988303185,0,0.123712562024593,0,0.373752802610397,457325.21875,1078.75872288637
"AT21",-1.20685589313507,7.15128374099731,16.6236743927002,8.83790397644043,17.830530166626,3.0590558052063,3.44638657569885,5.23702573776245,3.91142964363098,81.8009262084961,75.7031784057617,78.7479019165039,83.9946517944336,0.100936643779278,0.09340038895607,0.0561784543097019,0.0115987621247768,0,0,0.733752191066742,0,631506.9375,66.8018454813684
"AT22",-0.520469069480896,8.26068019866943,17.6576671600342,9.53295421600342,18.1781368255615,3.01079869270325,3.31911039352417,5.25200700759888,3.03217387199402,83.2162322998047,75.2185974121094,78.4416885375977,84.3045501708984,0.134490847587585,0.0716162249445915,0.0235663242638111,0.0137390280142426,9.4071860162832e-25,0.0511208027601242,0.693445026874542,0.0110772484913468,1316156,80.3937899863555
"AT31",0.952680051326752,9.9887752532959,19.2908744812012,11.0544128417969,18.3381938934326,3.74497294425964,3.70077013969421,4.83102560043335,2.84535098075867,84.3085098266602,73.9819793701172,76.4496154785156,83.4631881713867,0.228871271014214,0.21888966858387,0.0107400305569172,0.0201999600976706,0,0.0775535926222801,0.314587831497192,0.124433904886246,1503414.75,126.024870687008
"AT32",-1.692103266716,5.29930877685547,14.4456768035889,7.62784481048584,16.1377792358398,4.18078088760376,4.23996067047119,6.44286346435547,3.72524738311768,82.8092346191406,77.5966186523438,81.0252685546875,84.383056640625,0.0650717169046402,0.15055724978447,0.146659329533577,0.0102456891909242,0,0,0.610718965530396,0,525238.5625,73.3288647926279
"AT33",-2.42638564109802,4.50872182846069,13.4543771743774,6.83299255371094,15.880763053894,3.55020403862,3.53602504730225,5.66823577880859,3.41029930114746,78.6578063964844,75.4645004272461,79.9118728637695,81.8058013916016,0.0732474252581596,0.13480994105339,0.166395649313927,0.0089791789650917,0,0,0.595371007919312,0,874564.9375,69.4170308794014
"AT34",-0.952382922172546,6.0884051322937,15.0628852844238,8.33653545379639,16.015266418457,4.40947961807251,4.19745779037476,5.95171117782593,3.92891263961792,78.199348449707,74.8134460449219,78.5030288696289,80.6281204223633,0.109550446271896,0.172018364071846,0.125628709793091,0.0273813083767891,0.00044550996972248,0,0.55646938085556,0,432345.03125,164.647301170317
"BAG1652",2.20234560966492,10.5323886871338,20.5889053344727,12.1152715682983,18.3865585327148,3.86883068084717,3.82963991165161,3.21144676208496,3.95912003517151,81.2343902587891,73.7429733276367,72.2248611450195,80.0262451171875,0.181135147809982,0.154652655124664,0.0306780450046062,0.0105370990931988,0.00112469075247645,0.113884061574936,0.447573333978653,0.0524218752980232,1604269,59.986376774659
"BAG1653",2.75441551208496,11.4841241836548,21.5137367248535,12.7444543838501,18.7593212127686,3.7349808216095,3.81498122215271,3.35268187522888,3.65797138214111,80.9634475708008,72.7666015625,72.4075469970703,79.563591003418,0.218925684690475,0.115479879081249,0.0262622404843569,0.0088772801682353,0.00223007751628757,0.13969911634922,0.393824428319931,0.0855995863676071,1168525,47.6737914540406
"BE10",5.04388284683228,11.1027374267578,20.0643672943115,13.5131816864014,15.0204839706421,2.80150604248047,2.34452676773071,2.42262530326843,2.44575715065002,86.655158996582,76.6950454711914,74.2978591918945,83.4408187866211,0.337062418460846,0.140471026301384,7.14613257457586e-10,0.261127859354019,0,0,0,0.261338740587234,184765.203125,1222.22554925814
"BE21",5.10145092010498,11.0618829727173,20.089822769165,13.3771657943726,14.9883718490601,2.67704963684082,2.17789077758789,2.35151243209839,2.48182010650635,86.4326934814453,75.9690322875977,73.5588302612305,83.4348068237305,0.227114856243134,0.142619416117668,1.39280897926142e-09,0.124937884509563,0,3.27176979952881e-10,0,0.486338973045349,1466029.125,514.419647365517
"BE22",4.64802694320679,11.0336179733276,20.1498584747314,13.2841024398804,15.5018329620361,2.74199199676514,2.36430335044861,2.3733766078949,2.41836524009705,86.2269744873047,75.2850952148438,72.8751678466797,83.0956878662109,0.22302308678627,0.15921838581562,7.23819393311231e-10,0.105997756123543,0,0,0,0.511760771274567,1045147.75,430.333310924879
"BE23",5.18730354309082,10.8533535003662,19.9301071166992,13.7162952423096,14.7428035736084,2.84562420845032,2.06842827796936,2.30579590797424,2.51238799095154,86.6362457275391,77.0588912963867,75.3872451782227,83.7348327636719,0.273139744997025,0.163997679948807,1.29170163454262e-09,0.12047141045332,0,2.65593907977646e-10,0,0.366686254739761,1488424.25,492.729191934661
"BE24",4.80811834335327,11.0616655349731,20.1751518249512,13.4616632461548,15.3670330047607,2.71890950202942,2.33175206184387,2.36023116111755,2.3587806224823,86.5707855224609,76.3665924072266,74.034553527832,83.3949737548828,0.3636135160923,0.154957011342049,1.60340363208888e-09,0.170515865087509,0,2.61982727178811e-11,0,0.309393137693405,1489745.5,704.458737359169
"BE25",5.27674150466919,10.5236463546753,19.3958320617676,13.6946392059326,14.1190910339355,3.02668738365173,2.17958855628967,2.2940456867218,2.70357728004456,85.9818878173828,77.6067657470703,76.1410293579102,83.2251815795898,0.367977827787399,0.162378907203674,3.99082572544174e-10,0.102689564228058,0,0,0,0.246896296739578,1260074.75,399.902484841291
"BE31",4.78939294815063,11.0711860656738,20.2075786590576,13.4805335998535,15.4181861877441,2.71027588844299,2.32577633857727,2.34114027023315,2.32682394981384,86.6023406982422,76.4215316772461,74.0775375366211,83.3977279663086,0.384405672550201,0.153833448886871,1.92275995125613e-09,0.170297920703888,0,0,0,0.291462987661362,731112,679.388662260609
"BE32",4.8363094329834,10.9171314239502,20.0447559356689,13.4596939086914,15.2084455490112,3.09415125846863,2.40226769447327,2.36642217636108,2.52712559700012,87.2666397094727,77.2260513305664,75.2567443847656,84.1238250732422,0.330645561218262,0.172834634780884,8.31857693839311e-10,0.109427846968174,0,0,0.201285392045975,0.185806587338448,1825248.375,480.176778900299
