"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density"
"AD",3.35759377479553,8.94374942779541,19.8853149414062,11.8690881729126,16.5277214050293,2.395827293396,2.84734320640564,1.78223323822021,2.79942417144775,74.7646255493164,73.4034194946289,69.1592712402344,76.7249755859375,0.171516045928001,0.0417806915938854,0.0267916619777679,0.0160337835550308,9.00903323781677e-05,0.0294321347028017,0.15366567671299,0.560689926147461,19010.2109375,40.1216194762766
"AL013",1.6990282535553,9.93926906585693,21.264404296875,12.0416412353516,19.5653762817383,4.28754758834839,3.42334270477295,1.3490697145462,4.29776477813721,78.9308395385742,71.7504196166992,60.5517082214355,73.1319808959961,0.151827931404114,0.181701391935349,0.00549816945567727,0.0151309967041016,0.0798403322696686,0,0.564388155937195,0,152918.140625,65.8718545463218
"AL015",2.52124094963074,10.267632484436,21.5952529907227,12.5844097137451,19.074010848999,5.97442483901978,4.35063362121582,1.31597900390625,6.14222717285156,77.0072937011719,72.0376052856445,62.6294136047363,73.3800430297852,0.157890573143959,0.134266540408134,0.00625638384371996,0.010923819616437,0.110923580825329,0,0.536123931407928,0,210923.15625,58.998761795197
"AL014",6.788254737854,14.2321853637695,25.442798614502,16.6154193878174,18.6545448303223,4.97742319107056,3.50258445739746,1.05967390537262,4.96573162078857,75.4238815307617,71.8535537719727,62.8489265441895,72.7514877319336,0.156816050410271,0.129345953464508,5.29534194271264e-10,0.0112155973911285,0.10829684138298,0,0.520260035991669,0,95316.7578125,57.539864766605
"AL011",3.78444147109985,11.5620059967041,22.9473552703857,13.9467439651489,19.1629123687744,4.07679557800293,3.07901477813721,1.05199182033539,3.94152927398682,79.9273681640625,73.122444152832,62.3576812744141,74.1948852539062,0.16593511402607,0.19139389693737,0.00190707051660866,0.0100406464189291,0.102545395493507,0,0.515232920646667,0,127230.578125,50.4856528670568
"AL012",8.45989799499512,15.3161783218384,26.3693199157715,17.9978904724121,17.9094219207764,4.34646320343018,3.10955119132996,0.870487868785858,4.34072399139404,73.7707595825195,70.7737731933594,63.2794914245605,71.8993225097656,0.215947061777115,0.124856553971767,4.93267426904254e-10,0.0256031583994627,0.0916496962308884,0,0.501190006732941,0,241942.21875,314.397716222855
"AL021",4.816086769104,12.0721855163574,23.4212036132812,14.7933979034424,18.6051177978516,3.61643528938293,2.72019171714783,0.857835233211517,3.43703007698059,78.8253631591797,71.3563537597656,61.3065757751465,73.0904006958008,0.165268987417221,0.181787744164467,0.0107043301686645,0.0138982441276312,0.0980784893035889,0,0.52409017086029,0,378220.3125,114.295200965999
"AL022",8.05148506164551,14.7827415466309,25.8434085845947,17.5934410095215,17.7919235229492,3.78047275543213,2.80425071716309,0.785975754261017,3.7228901386261,74.7262496948242,70.7282104492188,63.2144813537598,72.0545654296875,0.241730913519859,0.142602756619453,6.481362113675e-10,0.0308131575584412,0.0861962661147118,0,0.493545025587082,0,741341.8125,447.889523820806
"AL034",3.04563736915588,10.7324533462524,22.3197326660156,13.3971099853516,19.2740936279297,3.24705576896667,2.39633011817932,0.828464865684509,2.87568712234497,80.984260559082,71.6147994995117,58.0921592712402,72.099235534668,0.192271873354912,0.122207328677177,0.0291093979030848,0.00795490853488445,0.0141619024798274,0.358429610729218,0.0938183814287186,0.12470069527626,160854.15625,43.5336606822769
"AL031",6.06531524658203,12.9590330123901,24.1659564971924,15.8258085250854,18.1006412506104,3.78810739517212,2.58621048927307,0.714602112770081,3.53319549560547,77.3429718017578,70.2861328125,60.2226219177246,72.3624649047852,0.222947001457214,0.196015045046806,0.0173555444926023,0.0106653580442071,0.0760814175009727,0,0.474533230066299,0,93158.4921875,51.2534713215451
"AL032",10.1315231323242,16.3158168792725,27.1627235412598,19.3559398651123,17.0311985015869,3.66995072364807,2.49890351295471,0.61503404378891,3.73862218856812,74.9591598510742,69.6311340332031,61.3645324707031,72.2175750732422,0.365291476249695,0.188846737146378,0.00164514628704637,0.0226624086499214,0.0387525856494904,0,0.369199216365814,0,211370.21875,114.079484436802
"AL035",8.7415361404419,15.2098913192749,25.9684925079346,18.1209392547607,17.226957321167,5.17437648773193,2.62630796432495,0.442903429269791,4.80717086791992,75.9716186523438,72.6625518798828,64.8131942749023,74.2534484863281,0.186340183019638,0.191267639398575,0.0369804352521896,0.0041660787537694,0.0306034237146378,0.00471148500218987,0.376977503299713,0.000908989924937487,59229.22265625,21.7107015763451
"AL033",5.25192642211914,12.2121782302856,23.408109664917,15.0415620803833,18.1561832427979,5.27119874954224,2.8051450252533,0.584846615791321,4.52718544006348,77.0206604003906,71.1589508056641,60.641471862793,72.6472625732422,0.212985798716545,0.19332417845726,0.0244904719293118,0.00406250590458512,0.0561373606324196,0.0135226901620626,0.441603124141693,0.00301710795611143,48269.09765625,16.8112935771665
"AT11",2.93507814407349,12.7047185897827,22.5426025390625,13.0239610671997,19.6075229644775,1.27153861522675,2.15806341171265,2.80411386489868,2.09270596504211,81.095703125,67.5548706054688,65.0426483154297,77.7371368408203,0.323995321989059,0.0696869716048241,7.64297947171144e-05,0.0139970472082496,1.40129846432482e-45,0.0350899621844292,0.268278688192368,0.269181579351425,374528.53125,94.737137967975
"AT12",2.17642498016357,11.5026597976685,21.1673774719238,12.0265855789185,18.9909534454346,1.92137777805328,2.6651599407196,3.00553417205811,2.16129374504089,82.9795303344727,70.993049621582,69.1575164794922,79.8752365112305,0.290510237216949,0.155749574303627,0.00301654613576829,0.0202560387551785,0,0.139859244227409,0.0748657509684563,0.315399289131165,3311342.25,173.383373036325
"AT13",3.56439328193665,13.0647983551025,22.8656692504883,13.361442565918,19.3012752532959,1.50717711448669,2.25075364112854,2.38420748710632,1.85856008529663,81.3972320556641,68.4450759887695,64.7384414672852,76.9759292602539,0.264483451843262,0.116911239922047,2.47817016907348e-10,0.121139988303185,0,0.123712562024593,0,0.373752802610397,457325.21875,1078.75872288637
"AT21",-0.506775379180908,7.29460191726685,17.2108287811279,9.17919826507568,17.7176055908203,1.8997118473053,3.39494514465332,4.3486123085022,3.86490345001221,81.7672424316406,75.6537246704102,76.2553405761719,83.523567199707,0.100936643779278,0.09340038895607,0.0561784543097019,0.0115987621247768,0,0,0.733752191066742,0,631506.9375,66.8018454813684
"AT22",0.110193647444248,8.60363674163818,18.2013053894043,9.938889503479,18.0911121368408,2.15229535102844,3.24887228012085,4.35180807113647,3.2718780040741,83.1363372802734,74.4578552246094,75.9488525390625,83.5559844970703,0.134490847587585,0.0716162249445915,0.0235663242638111,0.0137390280142426,9.4071860162832e-25,0.0511208027601242,0.693445026874542,0.0110772484913468,1316156,80.3937899863555
"AT31",1.47338032722473,10.320595741272,19.7105083465576,11.2464551925659,18.2371292114258,3.12010169029236,3.76351809501648,4.11630964279175,3.19523882865906,85.0249176025391,73.9851989746094,74.4202728271484,83.5768432617188,0.228871271014214,0.21888966858387,0.0107400305569172,0.0201999600976706,0,0.0775535926222801,0.314587831497192,0.124433904886246,1503414.75,126.024870687008
"AT32",-1.1392605304718,5.40935373306274,14.9350337982178,7.85100650787354,16.0742950439453,3.05861878395081,4.50826787948608,5.60188579559326,4.23247575759888,83.489616394043,78.9110946655273,79.8333206176758,85.1180267333984,0.0650717169046402,0.15055724978447,0.146659329533577,0.0102456891909242,0,0,0.610718965530396,0,525238.5625,73.3288647926279
"AT33",-1.54434859752655,4.60022258758545,13.9401502609253,6.9082841873169,15.4844989776611,2.68744850158691,3.81043410301208,4.9240517616272,3.76651358604431,80.020622253418,77.3576736450195,78.781120300293,83.0987243652344,0.0732474252581596,0.13480994105339,0.166395649313927,0.0089791789650917,0,0,0.595371007919312,0,874564.9375,69.4170308794014
"AT34",0.213223308324814,6.45815706253052,15.5364809036255,8.31321620941162,15.3232583999634,3.68759417533875,4.47625017166138,5.17083597183228,4.41584253311157,79.847785949707,76.0607757568359,77.1481246948242,82.1191940307617,0.109550446271896,0.172018364071846,0.125628709793091,0.0273813083767891,0.00044550996972248,0,0.55646938085556,0,432345.03125,164.647301170317
