"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density"
"AD",2.30205225944519,8.37045574188232,19.4238567352295,11.1259355545044,17.1218070983887,2.51566100120544,2.69745779037476,2.10661268234253,2.60193157196045,73.6408996582031,71.9824981689453,66.89306640625,74.8458938598633,0.171516045928001,0.0417806915938854,0.0267916619777679,0.0160337835550308,9.00903323781677e-05,0.0294321347028017,0.15366567671299,0.560689926147461,19010.2109375,40.1216194762766
"AL013",1.03959059715271,9.07366943359375,19.5497856140137,10.9060125350952,18.5101947784424,4.34869527816772,3.29600930213928,1.69687354564667,4.1624698638916,76.3952789306641,71.237190246582,66.0148849487305,75.1461791992188,0.151827931404114,0.181701391935349,0.00549816945567727,0.0151309967041016,0.0798403322696686,0,0.564388155937195,0,152918.140625,65.8718545463218
"AL015",1.95109057426453,9.42270565032959,19.9983921051025,11.5497808456421,18.0473022460938,6.08034753799438,4.11257457733154,1.77829456329346,5.73929929733276,74.5795745849609,71.3231506347656,67.3127288818359,74.6413497924805,0.157890573143959,0.134266540408134,0.00625638384371996,0.010923819616437,0.110923580825329,0,0.536123931407928,0,210923.15625,58.998761795197
"AL014",6.25041151046753,13.5407676696777,24.2217102050781,15.6327886581421,17.9712982177734,4.6538872718811,3.51166987419128,1.53814136981964,4.64118480682373,73.6726379394531,70.3659210205078,65.2062225341797,73.3938293457031,0.156816050410271,0.129345953464508,5.29534194271264e-10,0.0112155973911285,0.10829684138298,0,0.520260035991669,0,95316.7578125,57.539864766605
"AL011",3.18607139587402,10.8242444992065,21.498067855835,12.8698902130127,18.3119964599609,3.8510422706604,3.0794506072998,1.49823355674744,3.85052275657654,77.5176849365234,72.044563293457,66.0934600830078,75.6367263793945,0.16593511402607,0.19139389693737,0.00190707051660866,0.0100406464189291,0.102545395493507,0,0.515232920646667,0,127230.578125,50.4856528670568
"AL012",8.11127758026123,14.6329412460327,25.2096881866455,17.0505199432373,17.0984115600586,4.01239061355591,3.17964577674866,1.24378657341003,4.11501121520996,71.7010269165039,69.5901718139648,65.1676559448242,72.3028411865234,0.215947061777115,0.124856553971767,4.93267426904254e-10,0.0256031583994627,0.0916496962308884,0,0.501190006732941,0,241942.21875,314.397716222855
"AL021",4.40852165222168,11.3549928665161,22.0853233337402,13.7453699111938,17.6768035888672,3.36466526985168,2.7481746673584,1.20173943042755,3.48256039619446,76.4387588500977,70.6102905273438,64.380989074707,74.2521591186523,0.165268987417221,0.181787744164467,0.0107043301686645,0.0138982441276312,0.0980784893035889,0,0.52409017086029,0,378220.3125,114.295200965999
"AL022",7.77105331420898,14.0857839584351,24.6198959350586,16.6268177032471,16.8488445281982,3.47985863685608,2.89580059051514,1.1063312292099,3.62145686149597,72.2686538696289,69.840934753418,65.4311981201172,72.6456298828125,0.241730913519859,0.142602756619453,6.481362113675e-10,0.0308131575584412,0.0861962661147118,0,0.493545025587082,0,741341.8125,447.889523820806
"AL034",2.41114735603333,10.0143346786499,21.0540218353271,12.2561340332031,18.6428737640381,2.92718243598938,2.42870783805847,1.05627238750458,3.18527698516846,79.4640426635742,70.9145660400391,61.2993278503418,74.0734481811523,0.192271873354912,0.122207328677177,0.0291093979030848,0.00795490853488445,0.0141619024798274,0.358429610729218,0.0938183814287186,0.12470069527626,160854.15625,43.5336606822769
"AL031",5.65463447570801,12.2721834182739,23.1323738098145,14.8419561386108,17.4777393341064,3.45352149009705,2.61612296104431,1.01742696762085,3.6294424533844,75.5866775512695,69.3501586914062,61.946533203125,72.9479217529297,0.222947001457214,0.196015045046806,0.0173555444926023,0.0106653580442071,0.0760814175009727,0,0.474533230066299,0,93158.4921875,51.2534713215451
"AL032",9.78336906433105,15.6244096755981,26.2517356872559,18.4040336608887,16.4683666229248,3.3328070640564,2.55635666847229,0.900453090667725,3.65402984619141,73.3818588256836,68.6754302978516,62.2274856567383,72.4446716308594,0.365291476249695,0.188846737146378,0.00164514628704637,0.0226624086499214,0.0387525856494904,0,0.369199216365814,0,211370.21875,114.079484436802
"AL035",8.4487190246582,14.5975351333618,25.3855152130127,17.2709007263184,16.9367961883545,4.68872308731079,2.82962703704834,0.684752702713013,4.78787851333618,74.9457168579102,71.4932250976562,64.0059661865234,74.1246109008789,0.186340183019638,0.191267639398575,0.0369804352521896,0.0041660787537694,0.0306034237146378,0.00471148500218987,0.376977503299713,0.000908989924937487,59229.22265625,21.7107015763451
"AL033",4.91745710372925,11.5516548156738,22.5437602996826,14.1074466705322,17.6263027191162,4.74688911437988,2.95831418037415,0.843104958534241,4.77827310562134,75.5168609619141,70.2684631347656,61.5163612365723,73.0989151000977,0.212985798716545,0.19332417845726,0.0244904719293118,0.00406250590458512,0.0561373606324196,0.0135226901620626,0.441603124141693,0.00301710795611143,48269.09765625,16.8112935771665
"AT11",2.39893364906311,11.5771732330322,21.2710590362549,11.7175340652466,18.8721256256104,1.38657081127167,2.10677456855774,2.61625623703003,2.27441787719727,78.9408721923828,68.4811172485352,68.4068603515625,79.1063232421875,0.323995321989059,0.0696869716048241,7.64297947171144e-05,0.0139970472082496,1.40129846432482e-45,0.0350899621844292,0.268278688192368,0.269181579351425,374528.53125,94.737137967975
"AT12",1.52316343784332,10.4640760421753,20.112398147583,10.7014207839966,18.5892333984375,2.08692359924316,2.44154143333435,2.94812917709351,2.28282141685486,80.8792495727539,70.5402297973633,70.5463409423828,80.7605285644531,0.290510237216949,0.155749574303627,0.00301654613576829,0.0202560387551785,0,0.139859244227409,0.0748657509684563,0.315399289131165,3311342.25,173.383373036325
"AT13",2.95055890083313,11.9917039871216,21.6966457366943,11.9666452407837,18.7460880279541,1.63322961330414,2.04559206962585,2.35384774208069,2.06282186508179,79.5090560913086,68.7253952026367,67.5317306518555,78.5911712646484,0.264483451843262,0.116911239922047,2.47817016907348e-10,0.121139988303185,0,0.123712562024593,0,0.373752802610397,457325.21875,1078.75872288637
"AT21",-1.22920799255371,6.457932472229,16.1041088104248,7.99894142150879,17.3333168029785,2.32906746864319,3.12724375724792,4.23078727722168,4.07754039764404,79.430549621582,74.4381103515625,76.3652114868164,82.7277679443359,0.100936643779278,0.09340038895607,0.0561784543097019,0.0115987621247768,0,0,0.733752191066742,0,631506.9375,66.8018454813684
"AT22",-0.432783722877502,7.61380243301392,17.2195377349854,8.75415802001953,17.652322769165,2.43048000335693,3.03254795074463,4.09528112411499,3.26962542533875,80.7737503051758,73.5933456420898,76.0355224609375,83.2262649536133,0.134490847587585,0.0716162249445915,0.0235663242638111,0.0137390280142426,9.4071860162832e-25,0.0511208027601242,0.693445026874542,0.0110772484913468,1316156,80.3937899863555
