"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density"
"AD",3.87045454978943,8.5855302810669,20.4124946594238,12.6658763885498,16.5420417785645,2.36616492271423,2.86876630783081,1.9127162694931,2.46322774887085,71.60205078125,71.4156875610352,67.0767440795898,74.0497436523438,0.182240843772888,0.0595459155738354,0.0355205796658993,0.0158773418515921,5.45881157449912e-05,0.0280041601508856,0.145879596471786,0.532876968383789,19565.505859375,41.2935860381325
"AL013",1.8835037946701,9.64628314971924,22.1066513061523,12.3182935714722,20.2231464385986,3.75549054145813,3.12829041481018,1.47907829284668,3.76674103736877,77.0986862182617,69.256217956543,58.1399955749512,70.8224639892578,0.145056962966919,0.189292088150978,0.00582505902275443,0.0177214369177818,0.0553643926978111,0,0.585126996040344,0,149634.40625,64.4573351686032
"AL015",2.79035758972168,9.97347831726074,22.492338180542,12.9753065109253,19.7019805908203,5.19073295593262,3.96138548851013,1.46618485450745,5.05691385269165,75.4122085571289,69.6056442260742,60.2384414672852,70.8263397216797,0.157432034611702,0.132561758160591,0.00615057814866304,0.0117703853175044,0.077351026237011,0,0.571119010448456,0,202178.984375,56.5528695436231
"AL014",6.82739305496216,13.996789932251,26.2110939025879,16.9611644744873,19.3837032318115,4.26678037643433,3.44623064994812,1.20643413066864,4.01283359527588,74.1350021362305,69.5017471313477,61.685432434082,70.5336990356445,0.135564476251602,0.130483105778694,5.29534194271264e-10,0.0115861501544714,0.0749916210770607,0,0.573309123516083,0,83395.5078125,50.3433640820325
"AL011",3.81347918510437,11.3319025039673,23.6646785736084,14.2156600952148,19.8511981964111,3.39320683479309,2.99386382102966,1.18409979343414,3.31819748878479,78.0867385864258,70.7225570678711,61.1484527587891,72.0013656616211,0.128406226634979,0.229160889983177,0.00242221052758396,0.010790609754622,0.0736887827515602,0,0.542586326599121,0,113090.2421875,44.8747053881982
"AL012",8.66471195220947,15.1005392074585,27.1337947845459,18.4115695953369,18.4690818786621,3.69371056556702,3.1119863986969,0.987224817276001,3.40007853507996,72.1727447509766,68.7758331298828,62.2838401794434,69.5037841796875,0.195795074105263,0.109479896724224,4.93267426904254e-10,0.0252138208597898,0.0738565474748611,0,0.554901123046875,0,216845.65625,281.785376070691
"AL021",5.09740924835205,11.8709545135498,24.1552352905273,15.129451751709,19.0578269958496,2.98322486877441,2.67353582382202,0.992695927619934,2.86737132072449,76.7141189575195,69.3363494873047,60.0138282775879,70.6587753295898,0.134239062666893,0.213387101888657,0.0131271490827203,0.0144668072462082,0.0835257768630981,0,0.535082042217255,0,338224.21875,102.208696296816
"AL022",8.33470153808594,14.5787677764893,26.5883464813232,18.0099830627441,18.25364112854,3.16321682929993,2.81937479972839,0.890316307544708,2.906245470047,72.7813262939453,68.8684844970703,62.2532424926758,69.5734100341797,0.216224551200867,0.134649112820625,6.481362113675e-10,0.0302931759506464,0.0760704353451729,0,0.53765082359314,0,665560.375,402.105364093094
"AL034",3.23601150512695,10.5305032730103,22.9813213348389,13.6446437835693,19.7453098297119,2.61477828025818,2.38166117668152,0.933122098445892,2.59287071228027,79.278205871582,69.596061706543,57.2216682434082,70.1586380004883,0.14560167491436,0.155288502573967,0.0401488542556763,0.00875630415976048,0.0119526879861951,0.3396355509758,0.0933649316430092,0.147905617952347,145094.734375,39.2685217486654
"AL031",6.4722056388855,12.7817535400391,25.0247230529785,16.2325763702393,18.5525169372559,3.15266752243042,2.57736325263977,0.854107558727264,2.95930814743042,75.3341979980469,68.332878112793,58.4547233581543,69.6668243408203,0.188430622220039,0.214032843708992,0.021111261099577,0.011056843213737,0.06512700766325,0,0.497839003801346,0,79968.453125,43.9966418801749
"AL032",10.5559873580933,16.1325988769531,28.066370010376,19.8418521881104,17.5103816986084,3.13797163963318,2.52577185630798,0.717641472816467,2.88895320892334,73.1964645385742,67.7549362182617,59.7352180480957,69.5397796630859,0.331202775239944,0.164888605475426,0.0014359432971105,0.0221911445260048,0.0353272035717964,0,0.431351870298386,0,183618.859375,99.1016848742965
"AL035",9.17224025726318,15.0959558486938,27.0230903625488,18.6113758087158,17.85085105896,4.52975034713745,2.73991370201111,0.647177755832672,4.01309108734131,74.6106185913086,70.8503952026367,62.5656967163086,71.5600433349609,0.149307429790497,0.185439452528954,0.0365022495388985,0.00418219994753599,0.0260404739528894,0.00457914592698216,0.425009459257126,0.000895378296263516,51787.8515625,18.9830381039932
"AL033",5.71956872940063,12.0878400802612,24.4114551544189,15.4932203292847,18.6918869018555,4.56340026855469,2.85340571403503,0.77882307767868,3.99420166015625,75.2395172119141,69.2356567382812,58.2506103515625,69.7050933837891,0.16449648141861,0.21509838104248,0.0272958278656006,0.00462513184174895,0.047523271292448,0.0127688273787498,0.473987460136414,0.00334782246500254,42436.34375,14.7798460663876
"AT11",4.00752258300781,11.9746446609497,23.7506351470947,13.2920179367065,19.7431125640869,1.30053997039795,2.07463788986206,2.62217092514038,1.88007974624634,77.3101577758789,66.2341156005859,59.9877395629883,74.4806060791016,0.321204632520676,0.0138628501445055,6.29200530966045e-06,0.012266356498003,1.40129846432482e-45,0.0252633783966303,0.298863381147385,0.30883914232254,343195.59375,86.8114592140164
"AT12",3.03588318824768,10.748405456543,22.3509864807129,12.3125877380371,19.3151035308838,2.10556864738464,2.53707146644592,2.88930487632751,2.02984142303467,79.886116027832,69.4458618164062,63.4309310913086,77.1026153564453,0.281679749488831,0.181437358260155,0.00377312628552318,0.0202291719615459,0,0.0997565165162086,0.0744956061244011,0.338285118341446,3315559.25,173.604177057442
"AT13",4.63085985183716,12.4093408584595,24.0103034973145,13.6464185714722,19.3794441223145,1.73694014549255,2.02076601982117,2.24725461006165,1.83804702758789,78.5863647460938,66.9492492675781,59.686336517334,74.4352798461914,0.251187115907669,0.167120099067688,2.47817016907348e-10,0.116770669817924,0,0.0853981450200081,0,0.37952396273613,470517.5,1109.87725274157
"AT21",0.215485319495201,6.70910406112671,18.4513721466064,9.64729976654053,18.2358875274658,2.38997220993042,3.44071698188782,4.13365125656128,3.44558835029602,78.8564758300781,73.6549987792969,69.5180740356445,78.7866592407227,0.118844196200371,0.104843080043793,0.0626261457800865,0.0113469772040844,0,0,0.698206007480621,0,611733.5,64.7101786475255
"AT22",0.995739817619324,7.85595226287842,19.4363613128662,10.3074741363525,18.4406204223633,2.38593363761902,3.2413980960846,4.09879541397095,2.75784420967102,80.038200378418,72.6747360229492,69.3621368408203,79.3973846435547,0.135394215583801,0.0707503035664558,0.0249181687831879,0.0137368207797408,9.4071860162832e-25,0.0376910790801048,0.692307233810425,0.024257717654109,1287145.625,78.6217705637526
"AT31",2.39885878562927,9.50759410858154,20.9761924743652,11.6677141189575,18.5773334503174,3.27815532684326,3.51997804641724,4.14601135253906,2.83943223953247,81.401741027832,72.256462097168,67.9711074829102,79.822868347168,0.231312423944473,0.231596574187279,0.0119124688208103,0.0194584261626005,0,0.0563428662717342,0.304602354764938,0.140051141381264,1405277.625,117.7984524696
"AT32",-0.414990484714508,4.82791376113892,16.3890857696533,8.4128007888794,16.8040752410889,3.36792206764221,4.11418390274048,5.63933324813843,3.49575901031494,80.2171783447266,76.1627883911133,71.8702621459961,79.9399719238281,0.0957268252968788,0.168062180280685,0.156798616051674,0.00935985986143351,0,0,0.553305447101593,0,541684.8125,75.6249354330919
"AT33",-1.16223454475403,3.83500528335571,15.8415908813477,7.60929679870605,17.0038242340088,3.01934885978699,3.45796918869019,5.30300998687744,3.07878470420837,76.5896072387695,74.9678802490234,71.0872650146484,77.8364028930664,0.0818479433655739,0.167167097330093,0.197274714708328,0.00735623110085726,0,0,0.52515721321106,0,889519.3125,70.6040077025571
"AT34",0.378809720277786,5.49493598937988,17.5249786376953,9.03823757171631,17.146167755127,4.12779331207275,4.17554473876953,5.83268404006958,3.62576532363892,76.4562530517578,74.2635650634766,70.5411529541016,77.6265411376953,0.114336974918842,0.193980097770691,0.142907053232193,0.024994969367981,0.00037938158493489,0,0.51489520072937,0,426344.125,162.362012923145
"BAG1652",3.40231657028198,10.4268321990967,22.6716766357422,13.078143119812,19.269359588623,2.84955430030823,3.0783429145813,2.05792427062988,3.1333429813385,78.1544189453125,69.5435180664062,63.0818023681641,74.4866485595703,0.173461258411407,0.153957709670067,0.030225295573473,0.0114304190501571,0.000113792491902132,0.113345794379711,0.451284050941467,0.0581885948777199,1394485.125,52.1421969226529
"BAG1653",3.88175940513611,11.315486907959,23.6225833892822,13.6914968490601,19.7408256530762,2.65679264068604,2.99594140052795,2.22401237487793,2.8394021987915,77.9256591796875,68.4836654663086,62.487964630127,73.8220748901367,0.209954530000687,0.113494329154491,0.0257729049772024,0.00969723705202341,0.000225679963477887,0.139311835169792,0.398105800151825,0.0943359881639481,994450.375,40.5718489455874
"BE10",6.36506414413452,11.0307455062866,20.4470062255859,13.6779880523682,14.0819425582886,3.1528160572052,2.07347679138184,2.22953796386719,2.3915524482727,84.1441040039062,74.0392074584961,71.2242889404297,82.9154434204102,0.362351566553116,0.106236569583416,7.14613257457586e-10,0.259109526872635,0,0,0,0.272302389144897,199453.25,1319.38727590198
"BE21",6.40470790863037,10.978385925293,20.4796886444092,13.5289611816406,14.0749788284302,3.03088426589966,1.88401877880096,2.14234328269958,2.48189544677734,83.926872253418,73.3921051025391,70.4514389038086,82.9306564331055,0.273272275924683,0.113739192485809,1.39280897926142e-09,0.125116720795631,0,2.21877197170706e-10,0,0.468882888555527,1508752.875,529.411120614135
"BE22",6.00480222702026,10.9383640289307,20.5703144073486,13.4439058303833,14.5655117034912,3.0839991569519,2.07960867881775,2.2334885597229,2.38220191001892,83.7121429443359,72.7754135131836,69.6265335083008,82.5064697265625,0.271802067756653,0.12613745033741,7.23819393311231e-10,0.106464043259621,0,0,0,0.495596438646317,1050387,432.490540655569
"BE23",6.11477041244507,10.7507009506226,20.0281829833984,13.6914596557617,13.9134130477905,2.99277520179749,1.89485514163971,2.19101715087891,2.49487805366516,84.4900360107422,74.9853515625,73.8705368041992,83.5210266113281,0.281149357557297,0.160267323255539,1.29170163454262e-09,0.120935201644897,0,1.80114242964713e-10,0,0.361943244934082,1561953.875,517.070499669676
"BE24",6.13647651672363,10.9795894622803,20.562801361084,13.6214599609375,14.4263248443604,3.06705260276794,2.04962563514709,2.19368839263916,2.32884669303894,84.0479431152344,73.7718811035156,70.9440231323242,82.8515167236328,0.392663389444351,0.118710622191429,1.60340363208888e-09,0.169657304883003,0,1.7766529566976e-11,0,0.317448228597641,1587769.375,750.811470234384
"BE25",6.05959272384644,10.4242267608643,19.3716297149658,13.6066789627075,13.3120374679565,3.09975504875183,2.03409624099731,2.21476173400879,2.69617223739624,83.9928970336914,75.6841583251953,75.275276184082,83.0778732299805,0.364803731441498,0.161310195922852,3.99082572544174e-10,0.102788746356964,0,0,0,0.251039922237396,1342809.625,426.159563713424
"BE31",6.12827825546265,10.9898910522461,20.6020603179932,13.6459627151489,14.4737796783447,3.0644416809082,2.0378258228302,2.17184615135193,2.29978775978088,84.0638732910156,73.8004837036133,70.9444198608398,82.8413543701172,0.412534326314926,0.116463772952557,1.92275995125613e-09,0.169366046786308,0,0,0,0.301635891199112,781620.625,726.323997983963
"BE32",5.95635795593262,10.8116569519043,20.2594261169434,13.5169925689697,14.3030691146851,3.34727096557617,2.20025897026062,2.26310157775879,2.4867832660675,84.9961853027344,74.9365615844727,73.1022796630859,83.7653503417969,0.349153697490692,0.154192626476288,8.31857693839311e-10,0.109867237508297,0,0,0.200819209218025,0.185967266559601,1941252.25,510.694470519914
"BE33",5.25735664367676,10.3897495269775,20.3000545501709,12.9538774490356,15.0426988601685,3.57123255729675,2.38186049461365,2.34291172027588,2.67055153846741,85.4540176391602,74.5322952270508,70.8406372070312,83.9815521240234,0.215657949447632,0.111448727548122,1.42255263124724e-09,0.0772271826863289,0,6.08425290672069e-15,0.285632014274597,0.310034155845642,1250065.375,323.443164687766
"BE34",4.8466272354126,9.89236164093018,20.2068367004395,12.3463745117188,15.3602085113525,4.20668458938599,2.58869981765747,2.37637782096863,2.94046664237976,86.6948089599609,75.3027954101562,70.7130355834961,85.0117263793945,0.28653010725975,0.144608065485954,0.000378167402232066,0.0313570648431778,2.80782411210545e-11,1.08620630316856e-36,0.444859564304352,0.0922669991850853,394012.96875,88.3728900155052
"BE35",5.60681200027466,10.5555515289307,20.4402103424072,13.1764364242554,14.8333969116211,3.74307823181152,2.41416883468628,2.34408164024353,2.61805105209351,85.61669921875,75.090461730957,71.8376312255859,84.2765426635742,0.321068733930588,0.144322842359543,1.71768097061431e-05,0.0522919520735741,0,1.51607310423993e-36,0.0782268419861794,0.404072523117065,722787.3125,196.64129698675
"BG311",3.80877113342285,13.0482721328735,25.4640712738037,14.3964290618896,21.6553001403809,1.44267559051514,1.75119888782501,1.39033508300781,1.57853043079376,79.961669921875,66.3919677734375,57.2929954528809,71.6630477905273,0.10222414880991,0.180027991533279,0.00463152723386884,0.00550112687051296,0,0.0389622449874878,0,0.666341841220856,77538.6640625,25.8195776796795
"BG312",3.23634052276611,12.6615953445435,25.0670318603516,14.0983390808105,21.8306922912598,1.34877216815948,1.82295966148376,1.61499178409576,1.65173363685608,79.2779998779297,65.881965637207,57.2633476257324,70.6318893432617,0.0773394703865051,0.198611542582512,0.0192011184990406,0.00587956653907895,0,0.0340653024613857,0,0.66300243139267,89251.984375,24.4720179545661
"BG313",3.39929389953613,13.1760301589966,25.835168838501,14.7198514938354,22.4358768463135,1.37319135665894,1.9466325044632,1.85161411762238,1.73003458976746,79.4506301879883,65.9121170043945,57.4948348999023,70.3865814208984,0.120915278792381,0.175262287259102,0.0280457139015198,0.00775299174711108,0,0.00345437438227236,0,0.662930130958557,104202.46875,28.5215914671751
"BG314",3.49828505516052,13.8798398971558,26.7288036346436,15.3435583114624,23.2305202484131,1.38008689880371,1.63076412677765,1.73370337486267,1.45202696323395,79.1943283081055,65.1578826904297,56.8590621948242,69.7555236816406,0.449092179536819,0.182171225547791,0.0108986748382449,0.00793355889618397,0,0.00576428044587374,0,0.342988103628159,176938.03125,38.6170389593561
"BG315",2.43159604072571,12.212438583374,24.9568920135498,13.9371900558472,22.525297164917,1.51441860198975,2.13581466674805,2.43641996383667,1.79494893550873,78.0903625488281,67.411979675293,61.1677093505859,71.4535217285156,0.265023946762085,0.11973662674427,0.00598612893372774,0.00997901614755392,0,1.82667481567478e-05,0,0.599244177341461,139472.375,33.7179953718411
"BG321",3.43900752067566,13.1643886566162,26.0613708496094,14.9337310791016,22.6223640441895,1.51784098148346,1.71578359603882,1.79340529441833,1.6355185508728,79.008903503418,66.9373779296875,60.1628913879395,71.4402694702148,0.366103619337082,0.150082513689995,0.00312348548322916,0.00978774297982454,0,0.00252881995402277,0,0.467994540929794,167452.71875,35.918710214247
"BG322",1.95897674560547,11.4322776794434,24.2625102996826,13.3269262313843,22.3035335540771,1.6471916437149,2.03552603721619,2.35792279243469,1.75316405296326,78.3125915527344,68.0198135375977,62.0164680480957,72.0910797119141,0.214325681328773,0.100690498948097,0.00056390673853457,0.0115150650963187,0,2.24978812184418e-05,0,0.672317087650299,76930.515625,38.6956690570319
"BG323",3.68258500099182,13.8092517852783,26.6255359649658,15.2289390563965,22.9429512023926,1.56466293334961,1.66656363010406,1.69770920276642,1.68370926380157,79.7914352416992,65.7488479614258,59.5199394226074,71.4404296875,0.517119526863098,0.109987527132034,0.00614945916458964,0.0120809078216553,0,0.0108000449836254,0,0.341719001531601,150662.484375,52.2874473413047
"BG324",3.57275176048279,13.4248533248901,26.139612197876,14.9364471435547,22.5668601989746,1.50068140029907,1.66988933086395,1.70438754558563,1.83368217945099,79.648567199707,66.9982070922852,62.0258140563965,73.1099700927734,0.520985960960388,0.0340895056724548,0.000303575419820845,0.00861786119639874,0,0.00360079645179212,0,0.432319462299347,67883.3359375,28.548729963907
"BG325",4.016845703125,13.6391983032227,26.3598365783691,15.1857290267944,22.3429908752441,1.46412467956543,1.56918585300446,1.64817583560944,1.72577297687531,79.7667465209961,66.8095245361328,61.1821365356445,72.5366973876953,0.518915116786957,0.0691602826118469,0.00641222205013037,0.00818920694291592,0,0.00942255929112434,0,0.380538105964661,127356.8984375,44.4113028800684
"BG331",5.36674070358276,13.0663576126099,25.9787654876709,16.091775894165,20.612024307251,1.3036721944809,1.35923719406128,1.33057510852814,1.93305242061615,78.2455215454102,70.2265090942383,65.5076293945312,74.2281951904297,0.427264869213104,0.0273460000753403,0.000121904646221083,0.0133418561890721,0,5.11154685227666e-05,0,0.438205301761627,322342.3125,84.8305784734991
"BG332",4.65259885787964,13.0295248031616,25.7188491821289,15.5164785385132,21.0662517547607,1.23593866825104,1.28856015205383,1.35156953334808,1.88942301273346,79.1260986328125,69.4505844116211,65.3679275512695,74.1497116088867,0.50912868976593,0.0419270731508732,2.80941181429739e-09,0.00694566732272506,0,0.00559979397803545,0,0.431100338697433,128910.640625,27.0429968864214
"BG333",4.2348313331604,13.0687475204468,25.8664226531982,15.2411460876465,21.631591796875,1.35619223117828,1.52653121948242,1.5721081495285,1.79160785675049,79.1702423095703,68.9218902587891,63.7900466918945,74.0237045288086,0.49789109826088,0.0340903326869011,0.000142695571412332,0.0081674000248313,0,6.66132518745144e-06,0,0.45954817533493,106476.9296875,31.1974837485999
"BG334",3.67838525772095,13.109206199646,25.8379459381104,14.8940525054932,22.1595611572266,1.36439228057861,1.61983811855316,1.66767418384552,1.69813692569733,79.2221450805664,68.2404937744141,63.7119560241699,73.9440155029297,0.439678132534027,0.0337090529501438,8.71137744979933e-05,0.00765405735000968,0,0.000319375132676214,0,0.518545150756836,65863.8671875,24.5314344013588
"BG341",6.13343143463135,13.6152467727661,26.2977752685547,16.7391624450684,20.164342880249,1.60991823673248,1.45507729053497,1.25459682941437,1.91936182975769,77.3540649414062,70.4089508056641,64.7569808959961,72.7121047973633,0.324188470840454,0.0243329852819443,0.00112929299939424,0.00710422731935978,0,0.0331434160470963,0,0.486488610506058,254777.046875,32.8350203953752
"BG342",3.53608512878418,12.312237739563,25.076229095459,14.414496421814,21.5401458740234,1.39604341983795,1.46011364459991,1.53749847412109,1.59265220165253,78.0238418579102,68.6426467895508,61.7747535705566,72.3815155029297,0.348668813705444,0.0380607843399048,0.00131062150467187,0.00877408031374216,0,1.69937156897504e-05,0,0.603168666362762,117261.2421875,33.5293118345879
"BG343",5.76358079910278,13.9374895095825,26.6554718017578,16.31955909729,20.8918914794922,1.50465726852417,1.39758336544037,1.30748307704926,1.65530645847321,77.3046112060547,67.9348526000977,59.0717468261719,70.4366073608398,0.48975396156311,0.0364812687039375,0.00247863261029124,0.00626069121062756,0,0.000973102287389338,0,0.463904947042465,72449.1796875,21.6705904709102
"BG344",3.8248782157898,12.6770496368408,25.5492382049561,14.7663526535034,21.7243595123291,1.63249039649963,1.64998531341553,1.79659461975098,1.723628282547,77.5586090087891,67.3518753051758,58.4037933349609,70.1640472412109,0.297664135694504,0.12336890399456,0.00193091202527285,0.0106346290558577,0,1.48814024214516e-05,0,0.566181540489197,222047.21875,42.9354746083987
"BG411",2.31410264968872,11.1736268997192,23.3520317077637,13.2347183227539,21.0379314422607,1.52631342411041,2.35741853713989,2.42219853401184,2.10399341583252,76.7159118652344,66.5266571044922,60.9624977111816,70.4091262817383,0.042621549218893,0.0368086472153664,0.00669496180489659,0.0517120994627476,0,2.70453274424654e-05,0,0.861449956893921,533698.25,405.307507263915
"BG412",1.69068956375122,10.5623331069946,22.9140472412109,12.6741313934326,21.2233562469482,1.68029618263245,2.55594730377197,2.46183156967163,2.13414597511292,77.1812057495117,67.7098770141602,62.2719383239746,71.3968734741211,0.0491694286465645,0.0529512129724026,0.00606250995770097,0.0154491513967514,0,0.0100665166974068,0,0.864068567752838,688983.8125,96.8369063199204
"BG413",2.04086136817932,10.485390663147,22.8263378143311,12.903073310852,20.7854766845703,1.59292900562286,1.88881993293762,1.56376838684082,1.64653658866882,75.5229949951172,67.2562713623047,60.0341262817383,69.9025039672852,0.116752617061138,0.167113453149796,0.0252491850405931,0.00560683198273182,0,0.0616438314318657,0,0.620640277862549,200505.5625,31.229481552563
"BG414",2.0581111907959,10.8396291732788,22.9125461578369,12.9701480865479,20.854434967041,1.43784832954407,1.97173070907593,1.90272688865662,1.81663739681244,76.1304168701172,66.055305480957,59.9707908630371,69.9337615966797,0.0420286729931831,0.040025070309639,0.0113842701539397,0.0149511527270079,0,0.108813628554344,0,0.782775580883026,231316.890625,97.1843745654313
"BG415",1.90369963645935,10.4565467834473,22.564338684082,12.8089952468872,20.6606407165527,1.56880593299866,2.04638648033142,1.89817154407501,1.79132831096649,74.0025787353516,64.4833526611328,56.7552070617676,67.5274276733398,0.0390907451510429,0.0815641656517982,0.0186940617859364,0.00797262880951166,0,0.145126566290855,0,0.7075315117836,90577.1328125,29.642019613486
"BG421",3.18357276916504,12.1786451339722,24.9225215911865,14.1419458389282,21.7389488220215,1.76973748207092,1.97882342338562,2.129962682724,1.80983114242554,76.8124008178711,67.5831527709961,59.9018287658691,70.881217956543,0.277969837188721,0.11566798388958,0.00458492850884795,0.0157940723001957,0,0.00150730309542269,0,0.5838223695755,553928.625,92.489479832925
"BG422",5.43884992599487,13.63099193573,26.2440967559814,15.8612442016602,20.8052444458008,1.7718380689621,1.55882966518402,1.10215723514557,1.74925625324249,77.5791244506836,67.2955856323242,55.8033752441406,68.9877624511719,0.381222188472748,0.163063958287239,0.0181904137134552,0.00722998613491654,0,0.0458972491323948,0,0.38260018825531,178808.25,32.2970279707526
"BG423",2.13633728027344,10.9469995498657,23.411979675293,13.03014087677,21.2756423950195,1.73563325405121,2.13050150871277,1.93024277687073,1.73347222805023,76.3638229370117,68.1283111572266,62.0582466125488,71.5301513671875,0.179793655872345,0.0892847776412964,0.00689849629998207,0.00902471132576466,0,0.0502243377268314,0,0.658809959888458,188075.25,42.2572465985702
"BG424",1.55992698669434,9.89160251617432,22.2475185394287,12.1139097213745,20.6875915527344,2.13875675201416,2.08305716514587,1.80156910419464,1.90977394580841,77.1173400878906,70.7695693969727,65.1476211547852,73.3024368286133,0.105536930263042,0.0459213182330132,0.0156827662140131,0.00386112509295344,0,0.14784337580204,0,0.673655271530151,77225.3359375,24.2203066344962
