"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density"
"AD",3.40071988105774,8.73838996887207,19.7654495239258,11.8269300460815,16.3647289276123,2.7409336566925,2.93922781944275,2.14485573768616,2.69340062141418,74.6173477172852,73.2835998535156,70.9490280151367,76.2631912231445,0.182240843772888,0.0595459155738354,0.0355205796658993,0.0158773418515921,5.45881157449912e-05,0.0280041601508856,0.145879596471786,0.532876968383789,19565.505859375,41.2935860381325
"AL013",1.43507969379425,10.0354404449463,21.3337631225586,12.6480665206909,19.898681640625,4.18440532684326,2.91593170166016,1.85347902774811,3.82342720031738,78.0719451904297,70.3010864257812,62.7177696228027,71.8446426391602,0.145056962966919,0.189292088150978,0.00582505902275443,0.0177214369177818,0.0553643926978111,0,0.585126996040344,0,149634.40625,64.4573351686032
"AL015",2.33656215667725,10.3678941726685,21.7498435974121,13.1718120574951,19.4132823944092,6.02166938781738,3.678959608078,1.830730676651,5.56586265563965,76.361457824707,70.433837890625,63.9276123046875,72.0312881469727,0.157432034611702,0.132561758160591,0.00615057814866304,0.0117703853175044,0.077351026237011,0,0.571119010448456,0,202178.984375,56.5528695436231
"AL014",6.71447515487671,14.3295993804932,25.8215866088867,17.2676582336426,19.1071109771729,4.69242715835571,3.15292859077454,1.4907637834549,4.10357856750488,75.3830261230469,70.1918792724609,62.3008651733398,70.5766220092773,0.135564476251602,0.130483105778694,5.29534194271264e-10,0.0115861501544714,0.0749916210770607,0,0.573309123516083,0,83395.5078125,50.3433640820325
"AL011",3.63487315177917,11.6830377578735,23.1090068817139,14.6031818389893,19.4741325378418,3.81882190704346,2.71559810638428,1.51401054859161,3.29895377159119,79.3285369873047,71.6883316040039,63.5422477722168,72.3156967163086,0.128406226634979,0.229160889983177,0.00242221052758396,0.010790609754622,0.0736887827515602,0,0.542586326599121,0,113090.2421875,44.8747053881982
"AL012",8.56311511993408,15.411506652832,26.8290576934814,18.6648750305176,18.2659435272217,4.12159013748169,2.85242009162903,1.17194008827209,3.62988233566284,73.4680862426758,69.4157638549805,61.9655990600586,69.519775390625,0.195795074105263,0.109479896724224,4.93267426904254e-10,0.0252138208597898,0.0738565474748611,0,0.554901123046875,0,216845.65625,281.785376070691
"AL021",4.88513898849487,12.1832294464111,23.6819095611572,15.4405832290649,18.7967720031738,3.3217978477478,2.41276168823242,1.19043600559235,2.93041896820068,78.0212554931641,70.2931976318359,61.6220474243164,71.2101974487305,0.134239062666893,0.213387101888657,0.0131271490827203,0.0144668072462082,0.0835257768630981,0,0.535082042217255,0,338224.21875,102.208696296816
"AL022",8.2111349105835,14.8876934051514,26.2542362213135,18.27024269104,18.0431003570557,3.58843970298767,2.57849478721619,1.05013954639435,3.15097689628601,74.1044692993164,69.5934677124023,62.2342262268066,69.6903305053711,0.216224551200867,0.134649112820625,6.481362113675e-10,0.0302931759506464,0.0760704353451729,0,0.53765082359314,0,665560.375,402.105364093094
"AL034",2.94010090827942,10.808051109314,22.6066341400146,13.9359397888184,19.6665344238281,2.84883856773376,2.16277289390564,1.01469266414642,2.73326706886292,80.4636917114258,70.6944580078125,58.4367713928223,71.2108917236328,0.14560167491436,0.155288502573967,0.0401488542556763,0.00875630415976048,0.0119526879861951,0.3396355509758,0.0933649316430092,0.147905617952347,145094.734375,39.2685217486654
"AL031",6.22214365005493,13.0432367324829,24.6417064666748,16.4496440887451,18.419563293457,3.38379573822021,2.31840062141418,0.943137764930725,3.05918049812317,76.5490570068359,69.1927795410156,59.0947570800781,70.5244750976562,0.188430622220039,0.214032843708992,0.021111261099577,0.011056843213737,0.06512700766325,0,0.497839003801346,0,79968.453125,43.9966418801749
"AL032",10.3637161254883,16.3591613769531,27.6994094848633,19.9395008087158,17.3356952667236,3.29237699508667,2.26909613609314,0.762790858745575,3.11893963813782,74.371337890625,68.5111770629883,59.2653770446777,70.2230758666992,0.331202775239944,0.164888605475426,0.0014359432971105,0.0221911445260048,0.0353272035717964,0,0.431351870298386,0,183618.859375,99.1016848742965
"AL035",9.05870723724365,15.3458585739136,26.8396549224854,18.8119525909424,17.7809467315674,4.56891679763794,2.55754208564758,0.557404339313507,4.19530725479126,75.7837066650391,71.4020919799805,60.7935829162598,72.0960235595703,0.149307429790497,0.185439452528954,0.0365022495388985,0.00418219994753599,0.0260404739528894,0.00457914592698216,0.425009459257126,0.000895378296263516,51787.8515625,18.9830381039932
"AL033",5.47712135314941,12.3548030853271,24.0841865539551,15.7395877838135,18.6070652008057,4.7329831123352,2.62444162368774,0.780724704265594,4.14406394958496,76.5105972290039,70.1507110595703,58.4959526062012,70.6629028320312,0.16449648141861,0.21509838104248,0.0272958278656006,0.00462513184174895,0.047523271292448,0.0127688273787498,0.473987460136414,0.00334782246500254,42436.34375,14.7798460663876
"AT11",2.49838852882385,12.386715888977,22.3171329498291,12.9113655090332,19.8187446594238,1.33954834938049,1.95536315441132,2.99871826171875,2.31681394577026,79.6432037353516,67.8706817626953,67.2002182006836,78.9998474121094,0.321204632520676,0.0138628501445055,6.29200530966045e-06,0.012266356498003,1.40129846432482e-45,0.0252633783966303,0.298863381147385,0.30883914232254,343195.59375,86.8114592140164
"AT12",1.72681522369385,11.2635192871094,21.1645107269287,11.9585857391357,19.4376945495605,1.93321442604065,2.32022881507874,3.30192828178406,2.27195715904236,80.7617340087891,70.1451110839844,70.1631927490234,80.4744567871094,0.281679749488831,0.181437358260155,0.00377312628552318,0.0202291719615459,0,0.0997565165162086,0.0744956061244011,0.338285118341446,3315559.25,173.604177057442
"AT13",3.02567291259766,12.8079223632812,22.8312187194824,13.2897396087646,19.8055458068848,1.51086342334747,1.88833236694336,2.6137113571167,2.07975172996521,80.0198974609375,67.9189682006836,65.8727798461914,77.8723068237305,0.251187115907669,0.167120099067688,2.47817016907348e-10,0.116770669817924,0,0.0853981450200081,0,0.37952396273613,470517.5,1109.87725274157
"AT21",-0.732081055641174,7.40943431854248,17.2608737945557,9.1615047454834,17.992956161499,2.38689231872559,3.34116959571838,4.89932250976562,4.31259965896606,78.9918823242188,74.2262268066406,77.3958053588867,83.3502807617188,0.118844196200371,0.104843080043793,0.0626261457800865,0.0113469772040844,0,0,0.698206007480621,0,611733.5,64.7101786475255
"AT22",-0.0793199241161346,8.49587345123291,18.271110534668,9.91897964477539,18.3504295349121,2.30786895751953,2.94339799880981,4.7351975440979,3.29819345474243,80.5195007324219,73.2993927001953,76.4752883911133,83.4422836303711,0.135394215583801,0.0707503035664558,0.0249181687831879,0.0137368207797408,9.4071860162832e-25,0.0376910790801048,0.692307233810425,0.024257717654109,1287145.625,78.6217705637526
"AT31",1.32771813869476,10.217625617981,19.8409156799316,11.2384176254272,18.5131969451904,3.04913234710693,3.25910925865173,4.63339424133301,3.09093689918518,81.3893661499023,72.1776351928711,75.0677337646484,82.7337646484375,0.231312423944473,0.231596574187279,0.0119124688208103,0.0194584261626005,0,0.0563428662717342,0.304602354764938,0.140051141381264,1405277.625,117.7984524696
"AT32",-1.15364050865173,5.67825841903687,15.1731452941895,7.9423303604126,16.3267860412598,3.17811799049377,3.99718427658081,6.27092170715332,4.1414794921875,79.3304748535156,75.8582000732422,79.9404525756836,83.5338973999023,0.0957268252968788,0.168062180280685,0.156798616051674,0.00935985986143351,0,0,0.553305447101593,0,541684.8125,75.6249354330919
"AT33",-1.84667897224426,4.94973564147949,14.2028350830078,7.05721998214722,16.0495147705078,2.92795085906982,3.44652128219604,5.54310894012451,3.82732534408569,75.1977844238281,73.8690948486328,78.9734039306641,80.9463500976562,0.0818479433655739,0.167167097330093,0.197274714708328,0.00735623110085726,0,0,0.52515721321106,0,889519.3125,70.6040077025571
