"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density","total_population_density"
"AD",4.01558685302734,9.55647087097168,21.1974925994873,13.2821216583252,17.1819076538086,2.32289862632751,2.9878978729248,2.27267622947693,2.95852994918823,73.6026382446289,73.1718215942383,69.3063278198242,75.80029296875,0.178662642836571,0.0785980299115181,0.0452646911144257,0.0136244399473071,5.11625585204456e-05,0.0269092340022326,0.141026645898819,0.515863120555878,21215.412109375,NA,44.7757625879702
"AL013",2.05275249481201,10.9204845428467,23.6219882965088,13.8649778366089,21.5692367553711,3.96710705757141,3.17276859283447,1.33007395267487,3.60823774337769,78.0893402099609,68.7639923095703,54.8085174560547,70.3251266479492,0.13218092918396,0.194751918315887,0.00605995394289494,0.0192152019590139,0.0288866516202688,0,0.61729234457016,0,144907.5,NA,62.4211471814783
"AL015",2.94991278648376,11.231761932373,23.9063453674316,14.4112796783447,20.9564323425293,5.55449819564819,4.02199029922485,1.38211905956268,4.9273247718811,76.2397918701172,69.0829086303711,56.8848304748535,70.4485855102539,0.153114423155785,0.133199974894524,0.00613349722698331,0.0119941150769591,0.0405989214777946,0,0.611343860626221,0,196338.859375,NA,54.9192881490759
"AL014",7.21441030502319,15.2714519500732,27.7512130737305,18.315896987915,20.5368003845215,4.33535766601562,3.07209253311157,1.0430383682251,3.91789245605469,74.7948303222656,68.6235580444336,57.919849395752,70.3317413330078,0.106085814535618,0.138564184308052,5.29534194271264e-10,0.0107497666031122,0.0390667878091335,0,0.631467938423157,0,75296.0859375,NA,45.4539862845633
"AL011",4.11863279342651,12.6393556594849,25.4273223876953,15.7260007858276,21.3086891174316,3.56261014938354,2.7244701385498,0.986154317855835,3.12979412078857,79.0172882080078,69.778076171875,55.7839126586914,71.2062683105469,0.0643184930086136,0.257940858602524,0.00278105470351875,0.0107417069375515,0.048229742795229,0,0.60304319858551,0,103491.171875,NA,41.0657520785054
"AL012",9.06787014007568,16.3475666046143,28.6140613555908,19.6853218078613,19.5461902618408,3.81732606887817,2.62705779075623,0.765884459018707,3.42626094818115,72.7339477539062,67.9509735107422,59.0099906921387,69.6780700683594,0.175344198942184,0.109479896724224,4.93267426904254e-10,0.022864306345582,0.0601835548877716,0,0.591374516487122,0,198103.25,NA,257.430099211758
"AL021",5.37575340270996,13.1481580734253,25.8329048156738,16.5376148223877,20.4571514129639,3.13690686225891,2.31484484672546,0.761918842792511,2.79552865028381,77.5648574829102,68.541374206543,55.3717269897461,70.3371429443359,0.0843393132090569,0.238993555307388,0.0148336058482528,0.0140176797285676,0.0813154354691505,0,0.560328364372253,0,309085.875,NA,93.4033182019452
"AL022",8.71311283111572,15.8268518447876,28.1272296905518,19.3089294433594,19.4141178131104,3.34413623809814,2.32989096641541,0.630580008029938,2.94636297225952,73.4056930541992,68.0421295166016,58.588306427002,69.6763076782227,0.186862245202065,0.139430910348892,6.481362113675e-10,0.0276679582893848,0.0756098851561546,0,0.565317153930664,0,608569.9375,NA,367.673986442701
"AL034",3.42313313484192,11.7856292724609,24.65576171875,15.0213012695312,21.232629776001,2.69046092033386,1.9837611913681,0.720590114593506,2.52339720726013,80.0606002807617,69.0158386230469,52.9475898742676,70.3701477050781,0.0643533170223236,0.180581912398338,0.0483819656074047,0.00887215044349432,0.0115776946768165,0.32847785949707,0.0974131003022194,0.20299606025219,134207.875,NA,36.322095911895
"AL031",6.72986841201782,14.0107049942017,26.4765396118164,17.4794769287109,19.7466697692871,3.23255944252014,2.15623021125793,0.695994794368744,2.98030304908752,76.0402679443359,67.79443359375,55.3618965148926,70.0755844116211,0.137229114770889,0.232905730605125,0.0237757917493582,0.0104231229051948,0.0634338930249214,0,0.529829919338226,0,71635.53125,NA,39.4120767770238
