"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density"
"AD",2.37834763526917,7.67404079437256,18.0210876464844,10.9947185516357,15.6427412033081,2.38056492805481,3.04368925094604,2.46225690841675,3.34233140945435,74.5493850708008,75.0267562866211,74.011100769043,77.5772171020508,0.0966834276914597,0.0665047392249107,0.0431184619665146,0.0200678892433643,8.93027972779237e-05,0.0313368737697601,0.161688670516014,0.58051061630249,19144.14453125,40.4042903367523
"AL013",1.08741295337677,9.13422775268555,20.2540340423584,10.9466533660889,19.1666221618652,3.86509943008423,3.3314802646637,1.66775918006897,3.79406523704529,78.4294128417969,72.232063293457,60.5712661743164,72.9091720581055,0.150688022375107,0.179330259561539,0.00543484091758728,0.0186855047941208,0.0795449391007423,0,0.564703404903412,0,141413.03125,60.9158507119041
"AL015",1.95895218849182,9.45714282989502,20.6434440612793,11.5788106918335,18.6844902038574,5.35732555389404,4.30969953536987,1.81494510173798,5.17401933670044,76.6188888549805,72.6223983764648,62.0133285522461,72.7362976074219,0.152528807520866,0.138503506779671,0.00658278819173574,0.0128609500825405,0.111590594053268,0,0.534318149089813,0,190645.84375,53.3268557261625
"AL014",6.04749298095703,13.4527139663696,24.3882503509521,15.5400981903076,18.3407573699951,4.12588787078857,3.37831521034241,1.61725008487701,4.31272220611572,75.6457138061523,71.9527816772461,63.1087684631348,72.4796447753906,0.201556116342545,0.12600776553154,5.29534194271264e-10,0.0199109893292189,0.106691502034664,0,0.471768110990524,0,83770.1484375,50.5695233786063
"AL011",2.9397177696228,10.7496271133423,21.8026313781738,12.8275594711304,18.8629150390625,3.42447900772095,2.99184775352478,1.47695863246918,3.48659610748291,79.9533538818359,73.7211990356445,62.9958953857422,74.0078506469727,0.180787578225136,0.177975296974182,0.0017262912588194,0.0127194160595536,0.102436207234859,0,0.511410236358643,0,113556.6328125,45.0597712390432
"AL012",7.91711711883545,14.5516986846924,25.3287944793701,16.9789714813232,17.4116764068604,3.61379837989807,3.03949618339539,1.30356132984161,3.76598882675171,73.5852661132812,71.1407012939453,63.3941993713379,71.4944686889648,0.298381954431534,0.126710444688797,4.93267426904254e-10,0.0352259129285812,0.0896877646446228,0,0.409240424633026,0,212089.8125,275.605278932466
"AL021",4.18975448608398,11.2766227722168,22.2440280914307,13.7204208374023,18.0542736053467,3.02328991889954,2.69740557670593,1.1748982667923,3.05476999282837,78.5131530761719,72.3988952636719,62.0550842285156,72.8181991577148,0.194026470184326,0.170370221138,0.00985873583704233,0.0166771523654461,0.0979486852884293,0,0.504946708679199,0,332797.65625,100.568831828955
"AL022",7.56544208526611,14.0130786895752,24.7748928070068,16.586124420166,17.2094497680664,3.17159557342529,2.77421689033508,1.12331748008728,3.24662017822266,74.2804336547852,71.4078063964844,63.3952369689941,71.5939254760742,0.327523082494736,0.142649412155151,6.481362113675e-10,0.0386189706623554,0.0846447572112083,0,0.401451945304871,0,649815.875,392.593157323027
"AL034",2.20739841461182,9.93909740447998,21.0089626312256,12.1958522796631,18.8015670776367,2.64525461196899,2.36353206634521,0.976958870887756,2.81570935249329,81.3297576904297,72.8969268798828,59.9452857971191,73.1014556884766,0.202475860714912,0.111092321574688,0.0253510270267725,0.00945509225130081,0.0141976410523057,0.363076686859131,0.095066025853157,0.121939450502396,141026.78125,38.1675685924416
"AL031",5.51070642471313,12.1781978607178,23.0124340057373,14.7649993896484,17.5017261505127,3.09759449958801,2.5907576084137,1.01520729064941,3.16547966003418,76.9804840087891,71.3075256347656,61.1299667358398,72.1304550170898,0.277892976999283,0.189322263002396,0.0160492248833179,0.013200618326664,0.0759148821234703,0,0.425217598676682,0,81769.703125,44.9876445579782
