"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density"
"AD",2.95318794250488,8.88433265686035,19.6397266387939,12.2166233062744,16.6865386962891,2.38991212844849,2.73575520515442,1.93707072734833,2.59048843383789,73.3058547973633,72.0289840698242,66.7843475341797,73.9874114990234,0.0966834276914597,0.0665047392249107,0.0431184619665146,0.0200678892433643,8.93027972779237e-05,0.0313368737697601,0.161688670516014,0.58051061630249,19144.14453125,40.4042903367523
"AL013",1.49761807918549,9.99219989776611,21.4121322631836,12.2030162811279,19.914514541626,4.4269528388977,3.62138605117798,1.58114719390869,3.99834370613098,77.6557846069336,71.1823654174805,60.8067245483398,74.2540130615234,0.150688022375107,0.179330259561539,0.00543484091758728,0.0186855047941208,0.0795449391007423,0,0.564703404903412,0,141413.03125,60.9158507119041
"AL015",2.29381704330444,10.2448797225952,21.7786846160889,12.8796215057373,19.4848670959473,6.20965957641602,4.55520915985107,1.59506952762604,5.40808725357056,75.8750534057617,71.8801574707031,62.8118629455566,73.8470458984375,0.152528807520866,0.138503506779671,0.00658278819173574,0.0128609500825405,0.111590594053268,0,0.534318149089813,0,190645.84375,53.3268557261625
"AL014",6.22923994064331,14.1409797668457,25.2488117218018,16.7015361785889,19.0195732116699,4.66904783248901,3.65423345565796,1.43367111682892,4.29360437393188,75.2417678833008,72.053092956543,65.094970703125,73.3213195800781,0.201556116342545,0.12600776553154,5.29534194271264e-10,0.0199109893292189,0.106691502034664,0,0.471768110990524,0,83770.1484375,50.5695233786063
"AL011",3.39465475082397,11.5264768600464,22.7718734741211,13.9337749481201,19.3772201538086,3.81208801269531,3.27147531509399,1.45718395709991,3.52611422538757,78.7612838745117,72.6998291015625,63.9737205505371,75.2769012451172,0.180787578225136,0.177975296974182,0.0017262912588194,0.0127194160595536,0.102436207234859,0,0.511410236358643,0,113556.6328125,45.0597712390432
"AL012",8.03333950042725,15.2162494659424,26.1543674468994,18.1433849334717,18.1210289001465,4.11334848403931,3.27425479888916,1.13124215602875,3.69561910629272,73.3418807983398,71.4835510253906,65.7066497802734,72.1216201782227,0.298381954431534,0.126710444688797,4.93267426904254e-10,0.0352259129285812,0.0896877646446228,0,0.409240424633026,0,212089.8125,275.605278932466
"AL021",4.73829174041748,12.0665044784546,23.2608108520508,14.8367052078247,18.5225200653076,3.42014837265015,2.94401741027832,1.18443441390991,3.1517927646637,77.246208190918,71.3474731445312,62.7287635803223,73.867057800293,0.194026470184326,0.170370221138,0.00985873583704233,0.0166771523654461,0.0979486852884293,0,0.504946708679199,0,332797.65625,100.568831828955
"AL022",7.76207542419434,14.7037763595581,25.6284866333008,17.7307300567627,17.8664112091064,3.59410715103149,2.991614818573,1.01507651805878,3.18248653411865,73.7959213256836,71.4157104492188,65.4577484130859,72.3024444580078,0.327523082494736,0.142649412155151,6.481362113675e-10,0.0386189706623554,0.0846447572112083,0,0.401451945304871,0,649815.875,392.593157323027
"AL034",2.95190000534058,10.7317171096802,22.1242237091064,13.3181819915771,19.1723232269287,3.08909368515015,2.6601505279541,1.097012758255,2.95272278785706,79.9495697021484,71.8583068847656,59.8511848449707,73.8094711303711,0.202475860714912,0.111092321574688,0.0253510270267725,0.00945509225130081,0.0141976410523057,0.363076686859131,0.095066025853157,0.121939450502396,141026.78125,38.1675685924416
"AL031",6.11559343338013,12.9648942947388,24.1094951629639,15.9447860717773,17.9939041137695,3.61793804168701,2.8768937587738,1.00458300113678,3.35827445983887,75.8993148803711,70.4705657958984,61.2402534484863,72.7575149536133,0.277892976999283,0.189322263002396,0.0160492248833179,0.013200618326664,0.0759148821234703,0,0.425217598676682,0,81769.703125,44.9876445579782
"AL032",9.98854732513428,16.2368698120117,27.0725116729736,19.5698852539062,17.0839653015137,3.57468843460083,2.78318405151367,0.764563143253326,3.32520270347595,74.1889572143555,70.4764022827148,63.1119079589844,72.1025848388672,0.504736602306366,0.195733547210693,0.00170525046996772,0.0273326933383942,0.0377445667982101,0,0.219144940376282,0,185045.28125,99.8715448529241
"AL035",8.74566841125488,15.2036542892456,26.1283302307129,18.3591060638428,17.382661819458,5.10304164886475,3.06787943840027,0.626559138298035,4.51400136947632,75.5974197387695,73.2248001098633,65.0756149291992,74.0472640991211,0.232436463236809,0.192491814494133,0.0368911363184452,0.00853742938488722,0.0299570895731449,0.00472334586083889,0.326033264398575,0.000885228510014713,53815.66796875,19.7263420825584
"AL033",5.44619369506836,12.2671432495117,23.516731262207,15.2046308517456,18.0705375671387,5.0426287651062,3.21184349060059,0.834601938724518,4.54501342773438,75.7640991210938,71.3083419799805,60.7306365966797,72.8981552124023,0.235997498035431,0.185734272003174,0.0234470088034868,0.00659365253522992,0.0559164173901081,0.0137218246236444,0.42472043633461,0.00301213143393397,43306.484375,15.0829010272337
"AT11",3.30169177055359,12.3891477584839,23.3277835845947,13.3692064285278,20.0260925292969,1.27282762527466,2.12654614448547,2.57567119598389,2.09991216659546,78.1989593505859,67.5278167724609,62.0031700134277,77.273811340332,0.318678706884384,0.167155057191849,0.000196381864952855,0.0186286121606827,2.40619273754563e-30,0.0330400876700878,0.216814443469048,0.225792691111565,385726.5,97.5696685281679
"AT12",2.5297794342041,11.2662010192871,22.0503463745117,12.4404764175415,19.5205669403076,1.93943321704865,2.61307859420776,2.93952441215515,2.08392310142517,79.897590637207,70.274658203125,65.5127639770508,79.2774658203125,0.29945969581604,0.155002012848854,0.0035886955447495,0.0243675075471401,2.69342872007513e-32,0.13586238026619,0.0761191323399544,0.305257230997086,3539825,185.346832831402
"AT13",4.09249925613403,12.7095241546631,23.7499389648438,13.7071561813354,19.6574401855469,1.48353207111359,2.18039059638977,2.32239389419556,1.96588087081909,78.2209854125977,68.3186569213867,61.8837966918945,77.2524261474609,0.285119473934174,0.100767128169537,2.47817016907348e-10,0.13029445707798,0,0.119626969099045,0,0.364191949367523,500808.46875,1181.3289143251
"AT21",-0.320265382528305,7.5285496711731,17.9396724700928,9.68317127227783,18.2599353790283,2.19841957092285,3.40180850028992,4.10175085067749,3.72750782966614,78.8727035522461,73.4583282470703,71.7114562988281,81.577522277832,0.0900074988603592,0.0986280515789986,0.0530956536531448,0.0158357862383127,0,0,0.738299429416656,0,648291.5,68.5773441877423
"AT22",0.419295191764832,8.63379383087158,19.1393642425537,10.4758129119873,18.7200679779053,2.2846212387085,3.20812439918518,3.89162349700928,2.98050332069397,80.2688827514648,72.7287216186523,70.6282272338867,81.4432678222656,0.102282345294952,0.0988739803433418,0.0287099238485098,0.0182357095181942,2.52466136916892e-24,0.0505027808248997,0.687944948673248,0.0125058647245169,1378917.5,84.2274045808479
"AT31",1.80300772190094,10.2238836288452,20.5195331573486,11.7915477752686,18.7165260314941,3.15591907501221,3.58118152618408,4.17206621170044,2.8783004283905,81.7910461425781,72.4550018310547,70.3147506713867,81.5045776367188,0.232785239815712,0.222543150186539,0.0116639751940966,0.0245251301676035,0,0.0756486877799034,0.304074972867966,0.124035127460957,1578854.75,132.348685352673
"AT32",-0.927650153636932,5.69549036026001,15.622465133667,8.34464359283447,16.5501155853271,3.30240345001221,4.30437421798706,5.39971256256104,3.7962338924408,79.9760589599609,75.6784362792969,74.7236175537109,82.1617050170898,0.0805333480238914,0.135803952813148,0.137151196599007,0.0137060768902302,5.64976968214953e-32,0,0.616058349609375,0,551643.4375,77.0152649295966
"AT33",-1.62689292430878,4.97232866287231,14.4942407608032,7.45556116104126,16.1211338043213,2.77993059158325,3.63803005218506,4.91874837875366,3.38103818893433,76.2994384765625,73.7032241821289,74.1206436157227,79.9147872924805,0.0788789689540863,0.12214057892561,0.155172169208527,0.0134869916364551,6.46000149784646e-32,0,0.609124481678009,0,903016.625,71.6753327905257
"AT34",-0.0574194826185703,6.76978921890259,16.0241565704346,8.88862991333008,16.0815773010254,3.68870306015015,4.27666997909546,5.43196582794189,3.82923030853271,76.1649017333984,72.5335540771484,73.0340270996094,79.0469055175781,0.110834009945393,0.162446528673172,0.119198650121689,0.0377328060567379,0.000447072350652888,0,0.560834646224976,0,444187.46875,169.157183862887
"BAG1652",2.52636218070984,10.5905351638794,21.9122772216797,13.0350027084351,19.3859157562256,3.39290475845337,3.43575692176819,2.13014626502991,3.54939866065979,79.7257461547852,72.1809387207031,65.66162109375,77.4683837890625,0.185914188623428,0.166989341378212,0.0314555838704109,0.0123152453452349,0.00106673070695251,0.115690588951111,0.443111658096313,0.0354636088013649,1493010.125,55.8262161062956
"BAG1653",3.06925082206726,11.5110235214233,22.9354553222656,13.6877679824829,19.8662033081055,3.25511837005615,3.37762308120728,2.22513175010681,3.20739412307739,79.6018295288086,71.0047149658203,64.9095993041992,76.9550018310547,0.224155589938164,0.13115631043911,0.0280648525804281,0.0100918402895331,0.0021116507705301,0.141018584370613,0.389171689748764,0.0651277750730515,1093764.5,44.6236928374087
"BE10",4.93155765533447,11.2059183120728,20.2084083557129,13.8262948989868,15.2768507003784,2.53541207313538,1.97064483165741,2.12754416465759,2.39163422584534,84.8804702758789,75.4854049682617,71.2930450439453,82.8431167602539,0.333106368780136,0.140577673912048,7.14613257457586e-10,0.266051292419434,0,0,0,0.260264664888382,192806.328125,1275.41775349115
"BE21",4.9918327331543,11.1543350219727,20.2502670288086,13.6723108291626,15.2584342956543,2.39404034614563,1.85588896274567,2.03979253768921,2.46590852737427,84.6468276977539,74.8028259277344,70.6150131225586,82.8714904785156,0.219960644841194,0.133616760373116,1.39280897926142e-09,0.134272053837776,0,3.14457460071083e-10,0,0.493161648511887,1522669.75,534.294457382721
"BE22",4.58010816574097,11.1475734710693,20.3253154754639,13.5767211914062,15.7452068328857,2.50626134872437,2.04164576530457,2.08260560035706,2.38235712051392,84.4062652587891,74.0626678466797,69.9763641357422,82.5211410522461,0.215478897094727,0.15045340359211,7.23819393311231e-10,0.115806609392166,0,0,0,0.518261075019836,1071096.75,441.017655875332
