"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density","total_population_density"
"AD",4.65123987197876,10.4189891815186,21.535717010498,13.8671836853027,16.8844776153564,2.59469485282898,2.87681221961975,1.9576495885849,2.6654999256134,75.7195587158203,74.2936172485352,68.4265213012695,74.4765777587891,0.0966761633753777,0.0665047392249107,0.0431184619665146,0.0279050841927528,4.7047567932168e-05,0.0311771687120199,0.160094439983368,0.574476897716522,19260.39453125,NA,40.6496394430537
"AL013",3.41354131698608,11.3689384460449,23.1219635009766,14.123363494873,19.7084217071533,5.33914232254028,2.97330641746521,1.29178929328918,3.79535865783691,80.0491256713867,71.1345596313477,58.8970947265625,70.5993423461914,0.15067346394062,0.179330259561539,0.00543484091758728,0.0225980281829834,0.0503976941108704,0,0.589952707290649,0,119673.328125,NA,51.551137301989
"AL015",4.18604803085327,11.6620311737061,23.3932018280029,14.6284227371216,19.2071552276611,7.47297620773315,3.67074799537659,1.28438770771027,5.36208724975586,78.3409729003906,71.5240478515625,61.0434036254883,71.1057357788086,0.152487561106682,0.138503506779671,0.00658278819173574,0.0149424122646451,0.0707328990101814,0,0.573135614395142,0,150111.171875,NA,41.988624813455
"AL014",8.35766983032227,15.6051054000854,27.1553993225098,18.5470542907715,18.7977275848389,5.87561655044556,2.83578419685364,1.02874517440796,4.26562166213989,76.5019073486328,70.9804992675781,61.5305061340332,70.7460174560547,0.201391234993935,0.12600776553154,5.29534194271264e-10,0.0268356911838055,0.0674155876040459,0,0.504284203052521,0,55482.609375,NA,33.4931853915535
"AL011",5.42215967178345,13.0028686523438,24.779821395874,15.9680461883545,19.3576622009277,4.88377714157104,2.57430052757263,1.01083183288574,3.47946429252625,81.0692443847656,72.0121765136719,60.9340324401855,71.7969436645508,0.18070937693119,0.177975296974182,0.0017262912588194,0.0153595479205251,0.0715172365307808,0,0.539767265319824,0,80379.78125,NA,31.8950506515076
"AL012",9.98137378692627,16.6679153442383,28.0613288879395,19.8775844573975,18.0799560546875,4.98070192337036,2.52244710922241,0.891553282737732,3.75963377952576,74.7142868041992,69.8769683837891,62.2188835144043,70.1628036499023,0.298092812299728,0.126710444688797,4.93267426904254e-10,0.042784508317709,0.0683877170085907,0,0.423271000385284,0,147821.65625,NA,192.09045603282
"AL021",6.37855291366577,13.4838342666626,25.2369365692139,16.7596683502197,18.8583850860596,4.13315582275391,2.25381374359131,0.894590497016907,3.07570171356201,79.7911987304688,70.2459411621094,60.148998260498,70.9866180419922,0.193907126784325,0.170370221138,0.00985873583704233,0.0194081496447325,0.0856286436319351,0,0.51465505361557,0,230683.765625,NA,69.7108179553492
"AL022",9.57615566253662,16.150671005249,27.5717506408691,19.4842548370361,17.9955940246582,4.27376794815063,2.30483174324036,0.82666003704071,3.27499723434448,75.6297988891602,69.7268218994141,62.2287178039551,70.2896041870117,0.327218651771545,0.142649412155151,6.481362113675e-10,0.0448836907744408,0.0736560225486755,0,0.406480371952057,0,454414.96875,NA,274.539626038541
"AL034",4.58875703811646,12.1651191711426,24.2399520874023,15.4343090057373,19.651195526123,3.70465159416199,2.01889204978943,0.876120388507843,2.69754719734192,82.3307495117188,70.8114242553711,56.6975364685059,69.8684692382812,0.202406033873558,0.111092321574688,0.0253510270267725,0.0112291183322668,0.0124107943847775,0.362320125102997,0.096533328294754,0.121311329305172,101569.609375,NA,27.4888570693222
"AL031",7.53650236129761,14.2809715270996,25.8797454833984,17.7089042663574,18.343240737915,4.24817180633545,2.12589240074158,0.777257800102234,3.19637894630432,78.4098358154297,69.5937805175781,59.0634078979492,70.6318511962891,0.277684032917023,0.189322263002396,0.0160492248833179,0.0157022420316935,0.0666093975305557,0,0.432230412960052,0,51966.54296875,NA,28.5906915965097
