"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density"
"AD",3.25142741203308,9.30364418029785,19.8929615020752,11.7208404541016,16.6415328979492,2.68040180206299,2.80635929107666,2.28351545333862,2.51159119606018,75.0887451171875,73.3048934936523,71.4047164916992,76.1978378295898,0.0966761633753777,0.0665047392249107,0.0431184619665146,0.0279050841927528,4.7047567932168e-05,0.0311771687120199,0.160094439983368,0.574476897716522,19260.39453125,40.6496394430537
"AL013",1.06081211566925,10.1322412490845,21.7822723388672,11.8282022476196,20.7214603424072,3.88912916183472,2.88678359985352,1.51147866249084,4.0251989364624,78.6290740966797,69.9402084350586,59.5727348327637,73.5969543457031,0.15067346394062,0.179330259561539,0.00543484091758728,0.0225980281829834,0.0503976941108704,0,0.589952707290649,0,119673.328125,51.551137301989
"AL015",1.99578034877777,10.400143623352,22.0834522247314,12.4146213531494,20.0876712799072,5.52152395248413,3.64765620231628,1.51506471633911,5.52572822570801,76.9922637939453,70.8115005493164,61.5006294250488,73.430793762207,0.152487561106682,0.138503506779671,0.00658278819173574,0.0149424122646451,0.0707328990101814,0,0.573135614395142,0,150111.171875,41.988624813455
"AL014",6.33990955352783,14.3681354522705,25.9937515258789,16.4752902984619,19.6538391113281,4.22018957138062,3.09155130386353,1.26774454116821,4.31140422821045,75.4229431152344,70.6691818237305,61.479076385498,72.5634155273438,0.201391234993935,0.12600776553154,5.29534194271264e-10,0.0268356911838055,0.0674155876040459,0,0.504284203052521,0,55482.609375,33.4931853915535
"AL011",3.19281625747681,11.7055311203003,23.6566200256348,13.8317222595215,20.4638061523438,3.41961860656738,2.67237877845764,1.25514984130859,3.5823974609375,79.571159362793,71.7283020019531,60.4732780456543,73.922233581543,0.18070937693119,0.177975296974182,0.0017262912588194,0.0153595479205251,0.0715172365307808,0,0.539767265319824,0,80379.78125,31.8950506515076
"AL012",8.24243068695068,15.4433441162109,26.8337459564209,17.8807716369629,18.5913143157959,3.75755906105042,2.75260472297668,1.0007027387619,3.77594017982483,73.4626541137695,70.228759765625,62.3754386901855,71.6940689086914,0.298092812299728,0.126710444688797,4.93267426904254e-10,0.042784508317709,0.0683877170085907,0,0.423271000385284,0,147821.65625,192.09045603282
"AL021",4.45366525650024,12.1832361221313,24.0240268707275,14.6759634017944,19.5703620910645,3.04912328720093,2.37852358818054,1.01411640644073,3.22153568267822,78.4904098510742,70.8440551757812,59.9755821228027,72.9334487915039,0.193907126784325,0.170370221138,0.00985873583704233,0.0194081496447325,0.0856286436319351,0,0.51465505361557,0,230683.765625,69.7108179553492
"AL022",7.88879585266113,14.9107332229614,26.3307151794434,17.4985084533691,18.4419193267822,3.29818058013916,2.47238254547119,0.886993110179901,3.30130362510681,74.1512756347656,70.3875885009766,62.3067436218262,71.7853698730469,0.327218651771545,0.142649412155151,6.481362113675e-10,0.0448836907744408,0.0736560225486755,0,0.406480371952057,0,454414.96875,274.539626038541
"AL034",2.40588068962097,10.7463541030884,22.7868804931641,13.1134223937988,20.3810024261475,2.59483647346497,2.17985224723816,0.921658754348755,2.96093106269836,81.8362503051758,71.6543045043945,57.7664108276367,73.3399429321289,0.202406033873558,0.111092321574688,0.0253510270267725,0.0112291183322668,0.0124107943847775,0.362320125102997,0.096533328294754,0.121311329305172,101569.609375,27.4888570693222
"AL031",5.7849817276001,13.0303573608398,24.6629943847656,15.664345741272,18.8780117034912,3.19037079811096,2.29959797859192,0.866755902767181,3.39208316802979,77.2868804931641,70.1800689697266,59.5176696777344,72.4674758911133,0.277684032917023,0.189322263002396,0.0160492248833179,0.0157022420316935,0.0666093975305557,0,0.432230412960052,0,51966.54296875,28.5906915965097
"AL032",10.0628070831299,16.4113388061523,27.4636859893799,19.1801776885986,17.40087890625,3.17605090141296,2.18188548088074,0.698316812515259,3.45528841018677,74.4472961425781,69.4065170288086,61.5189018249512,72.2813491821289,0.504247426986694,0.195733547210693,0.00170525046996772,0.0312248133122921,0.0335091203451157,0,0.219977378845215,0,120222.859375,64.885970673284
"AL035",8.70584678649902,15.3518114089966,26.596809387207,18.0593204498291,17.8909645080566,4.63298082351685,2.54226231575012,0.576761901378632,4.56026840209961,75.8310394287109,72.1518402099609,63.2097778320312,73.8864898681641,0.232260525226593,0.192491814494133,0.0368911363184452,0.0121021121740341,0.0246032867580652,0.00463774986565113,0.328130453824997,0.000838668376673013,38706.140625,14.1878861581302
"AL033",5.03404521942139,12.3003692626953,24.099552154541,14.9527130126953,19.0655078887939,4.65080738067627,2.65023064613342,0.724866330623627,4.51231575012207,77.2432556152344,71.1581192016602,59.1550827026367,72.53125,0.235885173082352,0.185734272003174,0.0234470088034868,0.00898817926645279,0.0482179224491119,0.0136939892545342,0.430185884237289,0.00299082836136222,30015.599609375,10.4539152673087
"AT11",2.94411373138428,13.1024723052979,22.4567756652832,12.4283847808838,19.5126628875732,1.32242095470428,2.03054666519165,2.6031756401062,2.05739212036133,79.4374237060547,67.7797470092773,65.5131149291992,78.036735534668,0.318678736686707,0.167155057191849,0.000196381864952855,0.0223682355135679,2.40619273754563e-30,0.000917593075428158,0.215162187814713,0.255827844142914,379524.5,96.0008702106769
"AT12",2.07344150543213,12.029333114624,21.178674697876,11.4632701873779,19.1052341461182,1.99773859977722,2.44701862335205,3.01059794425964,2.04544973373413,80.6685943603516,70.3028945922852,70.0295944213867,80.2118606567383,0.29945969581604,0.155002012848854,0.0035886955447495,0.0279907453805208,2.69342872007513e-32,0.00383290322497487,0.0756203457713127,0.434162259101868,4036641.25,211.360355657156
"AT13",3.37754487991333,13.5578002929688,22.7184181213379,12.699556350708,19.3408737182617,1.59896457195282,2.00443887710571,2.39745116233826,1.85948634147644,79.5206756591797,68.2744979858398,66.6587677001953,78.280143737793,0.285119473934174,0.100767128169537,2.47817016907348e-10,0.136319220066071,0,0.00339084980078042,0,0.474403321743011,611299.3125,1441.9595478602
"AT21",-0.228306099772453,8.11991024017334,17.3218746185303,8.70865821838379,17.5501823425293,2.46704602241516,3.3228747844696,4.30469131469727,4.09728622436523,80.0622787475586,74.3548965454102,75.5555953979492,82.5992202758789,0.0900074988603592,0.0986280515789986,0.0530956536531448,0.0200166273862123,0,0,0.734118580818176,0,661103.25,69.9325922349515
"AT22",0.284229427576065,9.25254058837891,18.372465133667,9.48146343231201,18.0882339477539,2.30355024337769,3.11078119277954,4.15990686416626,3.12302136421204,80.4490051269531,72.903564453125,75.3704071044922,82.5500564575195,0.102282345294952,0.0988739803433418,0.0287099238485098,0.0230448935180902,2.52466136916892e-24,0.00143389706499875,0.683547794818878,0.0611626505851746,1463661,89.4037295314682
"AT31",1.63886797428131,10.9598016738892,19.9406814575195,10.8855533599854,18.3018131256104,3.06154012680054,3.48917865753174,4.24151563644409,2.91768264770508,81.6530075073242,72.3527450561523,74.0402603149414,81.6891860961914,0.232785239815712,0.222543150186539,0.0116639751940966,0.0284470077604055,0,0.00212920550256968,0.301565259695053,0.196142420172691,1632524.75,136.847613416118
"AT32",-0.800134122371674,6.50665616989136,15.28977394104,7.58520793914795,16.0899085998535,3.19221925735474,4.37296485900879,5.63867712020874,3.91488480567932,79.6892013549805,75.5449981689453,78.1510925292969,82.1264190673828,0.0805333480238914,0.135803952813148,0.137151196599007,0.0166839957237244,5.64976968214953e-32,0,0.613080441951752,0,597146.3125,83.3679480849787
"AT33",-1.44934451580048,5.70041179656982,14.1905212402344,6.64301061630249,15.6398658752441,2.77642011642456,3.79694843292236,4.97674560546875,3.52870845794678,76.387565612793,74.2564392089844,77.7228240966797,80.2836532592773,0.0788789689540863,0.12214057892561,0.155172169208527,0.0174513459205627,6.46000149784646e-32,0,0.605160117149353,0,958361.125,76.0682036921276
