"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density","total_population_density"
"AD",6.58670663833618,12.6837339401245,26.1807384490967,17.6258029937744,19.5940322875977,2.92607498168945,2.91833543777466,2.03872632980347,2.29162454605103,73.0600051879883,68.6755218505859,62.869815826416,71.1156539916992,0.0966519117355347,0.0665047392249107,0.0431184619665146,0.0353687144815922,1.59495448315283e-05,0.0310240089893341,0.158572748303413,0.568743467330933,18455.4765625,NA,38.9508359653869
"AL013",6.12547636032104,13.7371826171875,26.4863414764404,17.1097984313965,20.3608665466309,4.60540580749512,3.35548543930054,1.95855975151062,3.60815763473511,77.4403228759766,68.2932662963867,59.0521697998047,69.7882232666016,0.150624856352806,0.179330259561539,0.00543484091758728,0.019755719229579,0.0149646969512105,0,0.628276586532593,0,101537.5234375,NA,43.7388588922933
"AL015",6.82832527160645,13.9472846984863,26.7837772369385,17.7096862792969,19.955451965332,6.7574052810669,4.47243022918701,2.12411522865295,5.1426477432251,75.4332275390625,69.1389083862305,61.1489906311035,70.0361709594727,0.152338758111,0.138503506779671,0.00658278819173574,0.0144845768809319,0.0210027247667313,0,0.623472452163696,0,120021.5546875,NA,33.5720517424081
"AL014",10.3612546920776,17.8947429656982,30.3524856567383,21.436128616333,19.9912300109863,4.83677577972412,3.12341070175171,1.86728346347809,3.79235982894897,74.9388122558594,68.0681228637695,62.2429618835449,70.0915908813477,0.200759068131447,0.12600776553154,5.29534194271264e-10,0.0279268771409988,0.0200119819492102,0,0.551228821277618,0,37896.8125,NA,22.8771678388899
"AL011",7.49779272079468,15.4124240875244,27.9233303070068,18.7044944763184,20.425537109375,3.89043712615967,2.77263832092285,1.77612817287445,2.95540833473206,78.8867950439453,68.6892776489258,62.3428421020508,71.2357177734375,0.180434748530388,0.177975296974182,0.0017262912588194,0.0149351451545954,0.0381726250052452,0,0.573810935020447,0,60304.1953125,NA,23.928969873759
"AL012",12.181999206543,18.954044342041,31.255615234375,22.882137298584,19.073616027832,4.31750965118408,2.73110795021057,1.56730818748474,3.21901941299438,72.935676574707,67.517333984375,62.4308433532715,69.2374572753906,0.296968430280685,0.126710444688797,4.93267426904254e-10,0.0442567691206932,0.0504707619547844,0,0.440840095281601,0,108815.1875,NA,141.402548993371
"AL021",8.83801937103271,15.9639415740967,28.4380855560303,19.6280117034912,19.6000671386719,3.5230700969696,2.41671347618103,1.50485634803772,2.51070666313171,77.4347534179688,67.3182983398438,60.9935035705566,69.9109649658203,0.193463861942291,0.170370221138,0.00985873583704233,0.0190479885786772,0.085582785308361,0,0.51550430059433,0,168407.625,NA,50.8914585162096
"AL022",11.9095964431763,18.4844207763672,30.7482795715332,22.4862022399902,18.8386840820312,3.78452086448669,2.45282030105591,1.41005861759186,2.68942618370056,73.5164566040039,67.4596328735352,62.4663772583008,69.2514495849609,0.326038837432861,0.142649412155151,6.481362113675e-10,0.0459223166108131,0.0735632628202438,0,0.4067143201828,0,336269.125,NA,203.160560664975
"AL034",7.00377559661865,14.6622629165649,27.3244132995605,18.1353206634521,20.3206386566162,3.09061193466187,2.15168976783752,1.41717708110809,2.13152241706848,80.0596618652344,67.3761978149414,58.3466300964355,69.4076461791992,0.202172994613647,0.111092321574688,0.0253510270267725,0.0106241619214416,0.0124046755954623,0.362292915582657,0.0966453030705452,0.122070662677288,80627.4921875,NA,21.8210705174338
"AL031",10.2240333557129,16.8624668121338,29.3071613311768,20.7545547485352,19.0831298828125,3.68069767951965,2.31333756446838,1.32864594459534,2.58866500854492,76.0297317504883,66.4577178955078,59.2988624572754,68.9492111206055,0.276889801025391,0.189322263002396,0.0160492248833179,0.0156807173043489,0.0665710344910622,0,0.433084547519684,0,33631.85546875,NA,18.503405317988
"AL032",14.1356105804443,20.0483436584473,32.2338829040527,24.3490295410156,18.0982723236084,3.74302220344543,2.21044969558716,1.14208197593689,2.63397550582886,73.9200820922852,66.5633926391602,59.9227256774902,69.2741470336914,0.502345502376556,0.195733547210693,0.00170525046996772,0.0319829024374485,0.033283457159996,0,0.221346914768219,0,80004.5703125,NA,43.1795935482887
"AL035",12.8292598724365,19.0571689605713,31.2007617950439,23.0679416656494,18.3715019226074,5.00307750701904,2.42911672592163,0.921580374240875,3.57703709602356,75.1285705566406,69.440315246582,62.3386650085449,70.9095306396484,0.230354309082031,0.192491814494133,0.0368911363184452,0.0128144240006804,0.0218226872384548,0.00462331110611558,0.332125931978226,0.000832163670565933,29498.283203125,NA,10.8127102622033
"AL033",9.53106689453125,16.2161540985107,28.7343273162842,20.0191860198975,19.2032604217529,4.97191095352173,2.56575179100037,1.17351388931274,3.50824451446533,75.8319244384766,67.2361221313477,59.0263824462891,68.8398056030273,0.235171720385551,0.185734272003174,0.0234470088034868,0.00896802917122841,0.0470809303224087,0.0136929880827665,0.432045251131058,0.00300302659161389,22216.0625,NA,7.73747111404351
"AT11",7.26187038421631,15.8205585479736,27.5538578033447,17.7575969696045,20.2919864654541,1.98450493812561,2.35357880592346,3.33731961250305,2.25480818748474,78.6815185546875,67.1986618041992,64.7877655029297,76.6169967651367,0.318678706884384,0.167155057191849,0.000196381864952855,0.0236030351370573,2.40619273754563e-30,6.55632714785526e-10,0.214599385857582,0.256073415279388,345398.34375,NA,87.3686456851311
"AT12",6.40401601791382,14.7004671096802,26.309045791626,16.8599834442139,19.905029296875,3.0295205116272,2.8084888458252,3.28053259849548,2.42127585411072,80.9927749633789,69.7999267578125,67.7518157958984,79.1041641235352,0.29945969581604,0.155002012848854,0.0035886955447495,0.0294272992759943,2.69342872007513e-32,1.02211676622499e-11,0.0753364339470863,0.436842501163483,4204082,NA,220.12762881315
