"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density","total_population_density"
"AD",4.29102659225464,11.6073045730591,25.9720706939697,14.4714546203613,21.6810455322266,2.48675131797791,2.32570886611938,1.76197731494904,2.38506317138672,72.118408203125,66.8425827026367,53.7131462097168,69.2454986572266,0.0966519117355347,0.0665047392249107,0.0431184619665146,0.0353687144815922,1.59495448315283e-05,0.0310240089893341,0.158572748303413,0.568743467330933,18455.4765625,NA,38.9508359653869
"AL013",3.15304946899414,12.3879222869873,24.0731868743896,14.0391321182251,20.9201374053955,4.09905862808228,2.97012448310852,1.32080745697021,4.02936410903931,73.2455444335938,66.2284317016602,56.793083190918,70.8047790527344,0.150624856352806,0.179330259561539,0.00543484091758728,0.019755719229579,0.0149646969512105,0,0.628276586532593,0,101537.5234375,NA,43.7388588922933
"AL015",4.09826946258545,12.7258386611938,24.5963592529297,14.6879386901855,20.4980888366699,5.66533517837524,3.72025537490845,1.33802211284637,5.61332750320435,71.4086303710938,66.4438247680664,57.8163604736328,70.1947250366211,0.152338758111,0.138503506779671,0.00658278819173574,0.0144845768809319,0.0210027247667313,0,0.623472452163696,0,120021.5546875,NA,33.5720517424081
"AL014",8.18858623504639,17.0584316253662,30.4109954833984,19.4068489074707,22.2224082946777,4.33452129364014,2.9364321231842,1.27287673950195,4.08568286895752,71.2379150390625,63.9013710021973,49.9866752624512,65.6573638916016,0.200759068131447,0.12600776553154,5.29534194271264e-10,0.0279268771409988,0.0200119819492102,0,0.551228821277618,0,37896.8125,NA,22.8771678388899
"AL011",5.11060047149658,14.3424091339111,27.4129371643066,16.5968837738037,22.3023376464844,3.62365007400513,2.55987048149109,1.20112490653992,3.41319966316223,75.2848510742188,65.7052459716797,51.6865921020508,68.4379425048828,0.180434748530388,0.177975296974182,0.0017262912588194,0.0149351451545954,0.0381726250052452,0,0.573810935020447,0,60304.1953125,NA,23.928969873759
"AL012",10.0841150283813,18.1965389251709,31.5851879119873,20.9065189361572,21.5010719299316,3.7382960319519,2.50941610336304,1.00293147563934,3.50707650184631,69.1823043823242,62.8134384155273,49.1431999206543,63.8932991027832,0.296968430280685,0.126710444688797,4.93267426904254e-10,0.0442567691206932,0.0504707619547844,0,0.440840095281601,0,108815.1875,NA,141.402548993371
"AL021",6.31735277175903,14.852029800415,28.0743827819824,17.5400562286377,21.7570304870605,3.18092155456543,2.16065335273743,0.939954519271851,2.99058938026428,74.4802551269531,64.4779815673828,50.4763793945312,67.0482711791992,0.193463861942291,0.170370221138,0.00985873583704233,0.0190479885786772,0.085582785308361,0,0.51550430059433,0,168407.625,NA,50.8914585162096
"AL022",9.75608253479004,17.6683235168457,30.9630832672119,20.4981441497803,21.2070026397705,3.25995993614197,2.20731449127197,0.864070355892181,3.03494787216187,69.7796401977539,62.9819374084473,49.4037132263184,64.1624374389648,0.326038837432861,0.142649412155151,6.481362113675e-10,0.0459223166108131,0.0735632628202438,0,0.4067143201828,0,336269.125,NA,203.160560664975
"AL034",4.20041656494141,13.4495391845703,27.013879776001,16.0615329742432,22.8134632110596,2.80551624298096,1.86372351646423,0.830475747585297,2.70557165145874,78.3126754760742,65.5331039428711,49.0320243835449,67.594841003418,0.202172994613647,0.111092321574688,0.0253510270267725,0.0106241619214416,0.0124046755954623,0.362292915582657,0.0966453030705452,0.122070662677288,80627.4921875,NA,21.8210705174338
"AL031",7.48577117919922,15.6493797302246,29.0380744934082,18.6216335296631,21.5523014068604,3.28527355194092,2.02109432220459,0.817029118537903,3.13974785804749,74.1931228637695,64.104377746582,49.8639221191406,66.6598281860352,0.276889801025391,0.189322263002396,0.0160492248833179,0.0156807173043489,0.0665710344910622,0,0.433084547519684,0,33631.85546875,NA,18.503405317988
