"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density","total_population_density"
"AD",7.39226484298706,13.6798486709595,26.2775611877441,18.219799041748,18.8852958679199,2.19677925109863,2.43970131874084,1.41260576248169,1.86987257003784,72.3514556884766,65.3294143676758,54.7072105407715,65.6517333984375,0.0966519117355347,0.0665047392249107,0.0431184619665146,0.0353687144815922,1.59495448315283e-05,0.0310240089893341,0.158572748303413,0.568743467330933,18455.4765625,NA,38.9508359653869
"AL013",6.85630130767822,14.6669473648071,28.1774864196777,17.2157192230225,21.3211860656738,3.96906304359436,3.22514700889587,1.15664684772491,3.09724164009094,73.3760452270508,65.0347442626953,48.7274017333984,65.5172958374023,0.150624856352806,0.179330259561539,0.00543484091758728,0.019755719229579,0.0149646969512105,0,0.628276586532593,0,101537.5234375,NA,43.7388588922933
"AL015",7.37585496902466,14.8933439254761,28.4738006591797,17.9997310638428,21.0979461669922,5.66404867172241,3.9747109413147,1.1564234495163,4.10726356506348,72.0942001342773,66.1759414672852,51.9564781188965,65.7674331665039,0.152338758111,0.138503506779671,0.00658278819173574,0.0144845768809319,0.0210027247667313,0,0.623472452163696,0,120021.5546875,NA,33.5720517424081
"AL014",10.574857711792,18.5353870391846,31.1820468902588,21.5631561279297,20.6071891784668,4.21148824691772,3.20145153999329,1.16465783119202,3.23505282402039,71.9484786987305,67.4380340576172,57.9298210144043,67.3754806518555,0.200759068131447,0.12600776553154,5.29534194271264e-10,0.0279268771409988,0.0200119819492102,0,0.551228821277618,0,37896.8125,NA,22.8771678388899
"AL011",7.9586443901062,16.0594425201416,29.0392990112305,18.7509498596191,21.0806541442871,3.32391309738159,2.80402874946594,1.11359620094299,2.49737143516541,75.3647766113281,66.5791549682617,54.2252540588379,67.7830657958984,0.180434748530388,0.177975296974182,0.0017262912588194,0.0149351451545954,0.0381726250052452,0,0.573810935020447,0,60304.1953125,NA,23.928969873759
"AL012",12.2299280166626,19.5728435516357,31.9759864807129,23.0641956329346,19.746057510376,3.72378826141357,2.82126998901367,0.876313865184784,2.69101786613464,70.3279495239258,67.6135711669922,59.8117828369141,66.9248886108398,0.296968430280685,0.126710444688797,4.93267426904254e-10,0.0442567691206932,0.0504707619547844,0,0.440840095281601,0,108815.1875,NA,141.402548993371
"AL021",9.16002750396729,16.6016120910645,29.5330905914307,19.7205219268799,20.3730640411377,2.92660737037659,2.43560481071472,0.835853815078735,2.05885648727417,74.1848754882812,65.5255126953125,53.5105514526367,66.7069549560547,0.193463861942291,0.170370221138,0.00985873583704233,0.0190479885786772,0.085582785308361,0,0.51550430059433,0,168407.625,NA,50.8914585162096
"AL022",11.9783296585083,19.09889793396,31.5352725982666,22.6631965637207,19.5569438934326,3.22013640403748,2.52988886833191,0.737478196620941,2.20727205276489,70.8732299804688,67.2898101806641,59.1034126281738,66.826530456543,0.326038837432861,0.142649412155151,6.481362113675e-10,0.0459223166108131,0.0735632628202438,0,0.4067143201828,0,336269.125,NA,203.160560664975
"AL034",7.40271806716919,15.2840929031372,28.54079246521,18.1701221466064,21.1380748748779,2.50886797904968,2.13633489608765,0.750459015369415,1.87942576408386,76.517219543457,65.1856155395508,49.5472068786621,65.8613510131836,0.202172994613647,0.111092321574688,0.0253510270267725,0.0106241619214416,0.0124046755954623,0.362292915582657,0.0966453030705452,0.122070662677288,80627.4921875,NA,21.8210705174338
"AL031",10.4484767913818,17.4960479736328,30.3484745025635,20.8773078918457,19.8999977111816,3.08324599266052,2.34593200683594,0.664823114871979,2.17677474021912,72.9584808349609,65.0254898071289,52.686840057373,65.9906158447266,0.276889801025391,0.189322263002396,0.0160492248833179,0.0156807173043489,0.0665710344910622,0,0.433084547519684,0,33631.85546875,NA,18.503405317988
