"NUTS_ID","2024","2025-2049","2050-2074","2075-2100"
"AD",19092.22265625,18944.328125,18749.42578125,17627.111328125
"AL013",151797.078125,147462.234375,131417.8125,111987.671875
"AL015",215967.59375,201972.84375,171551.078125,138919.390625
"AL014",102793.640625,91400.28125,70403.1640625,51515.45703125
"AL011",136943.421875,122749.90625,98176.984375,77167.0234375
"AL012",246083.625,230406.734375,184705.109375,146032.953125
"AL021",393202.15625,361039.34375,287206.71875,224142.96875
"AL022",751793.1875,705756.0625,567287.6875,450942.21875
"AL034",169329.296875,152994.359375,124196.890625,104423.46875
"AL031",103186.90625,89296.921875,66217.0234375,45914.28515625
"AL032",228274.640625,201888.53125,152419.15625,108891.1796875
"AL035",63995.17578125,57584.03125,45641.71484375,35397.9453125
"AL033",52718.578125,46785.8125,36859.96875,28677.14453125
"AT11",388474.53125,378985.0625,364794.1875,327587.65625
"AT12",3292300.75,3395085.75,3509188.75,3322429.75
"AT13",446695.84375,473392.6875,503652.84375,484517.5
"AT21",645077.1875,631982.875,617723.625,569335.6875
"AT22",1330383.75,1342887.75,1340373.75,1248108
"AT31",1543795.125,1535941,1533068.875,1410498.375
"AT32",522067.46875,535567.125,547296.25,522780.03125
"AT33",881398.875,880510.6875,874026.125,823133.1875
"AT34",434442.46875,432392.65625,427593.09375,399161.3125
"BAG1652",1723553.5,1572050.875,1287454.875,1038678.25
"BAG1653",1278561.75,1145689.875,921045.8125,732037.3125
"BE10",178698.15625,187751.046875,200984.609375,198571.296875
"BE21",1443176.625,1478644.75,1523824.375,1478769
"BE22",1043040.75,1050054.125,1047056.1875,984256.375
"BE23",1454262.5,1507560.875,1592743.625,1571949.75
"BE24",1448661.5,1511568.25,1604896.75,1580619.25
"BE25",1223112,1284896.75,1394527.375,1416755.875
"BE31",710102.8125,742685.4375,792535.3125,783342.4375
"BE32",1776103.25,1853838.875,1980546.375,1971932.25
"BE33",1241036.875,1247551.125,1245980.875,1175866
"BE34",405342.09375,404321.03125,402320.5625,380788.40625
"BE35",696278.6875,710207.6875,728967.8125,704928.0625
"BG311",95801.515625,86970.828125,75622.5859375,69011.8671875
"BG312",116372.2109375,103342.78125,86858.890625,75968.6015625
"BG313",137108,121081.96875,101325.9453125,84431.4609375
"BG314",219667.21875,199558.125,172353.296875,153050.875
"BG315",176201.859375,159034.390625,137601.3125,123065.9453125
"BG321",220675.953125,195354.078125,164597.109375,146805.390625
"BG322",99911.015625,88972.0546875,76641.859375,68026.9609375
"BG323",208162.328125,183089.265625,143488.21875,113821.6484375
"BG324",99088.0078125,84444.625,64207.01953125,48431.76171875
"BG325",159068.71875,144367.0625,121618.90625,98694.6484375
"BG331",408188.9375,371232.65625,302193.625,235153.625
"BG332",171100.203125,151868.5,122896.859375,96886.53125
"BG333",151288.390625,130273.5546875,102267.4375,82867.9921875
"BG334",94075.078125,80658.84375,63159.5703125,51182.33984375
"BG341",329342.28125,297035.125,244646.984375,205629.671875
"BG342",159762.75,141280.46875,115668.609375,103230.0078125
"BG343",89175.9296875,81565.4765625,69330.578125,60595.1953125
"BG344",285999.59375,256241.671875,217985.5,182062.359375
"BG411",649527.75,603064.375,534678.625,431636.46875
"BG412",843726.25,779058.375,688160.625,572364.375
"BG413",246144.3125,226280.625,201471.375,180875.78125
"BG414",281548.75,261026.765625,232205.234375,191311.828125
"BG415",111414.3515625,101887.046875,90875.5703125,82087.3828125
"BG421",667746.3125,621243.1875,555207.0625,492190.96875
"BG422",227795.546875,205077.390625,174448.921875,144841.4375
"BG423",239063.9375,214915.734375,183014.0625,153365.0625
"BG424",93624.671875,86333.265625,78505.515625,73389.78125
"BG425",138968.515625,126181.4296875,109549.015625,94258.46875
"CH01",1283085.625,1343386.75,1435053.625,1404111.375
"CH02",2018806.375,2100569.25,2215561,2137065.75
"CH03",841906.375,880258.0625,939356.3125,913620.25
"CH04",943033.75,1005586.6875,1122046.375,1126766.5
"CH05",1323487,1349433.875,1394301.375,1337067.875
"CH06",1284534.75,1363259,1500434.375,1490056.75
"CH07",424336.34375,430931.875,440931.59375,414445.6875
"CZ01",253482.5625,258416.859375,250966.796875,228888.109375
"CZ02",2360581.75,2361456.25,2272794.75,2060823.375
"CZ03",1338335.625,1288253.625,1223838,1109322.875
"CZ04",1305367.125,1278500.375,1219321.625,1106130.375
"CZ05",1605824.125,1526645.5,1413083.625,1248909.75
"CZ06",1665770.625,1639040.375,1596908.5,1467946.5
"CZ07",1194541,1138010.25,1056939.375,933001.1875
"CZ08",1240288.25,1209133,1175262.875,1067392.75
"DE11",3881418,3858599,3788776.25,3574268.5
"DE12",2550998,2535802.25,2488822.25,2331451.5
"DE13",2508238.75,2546292.25,2599312.25,2503249.25
"DE14",2138192.75,2111031.5,2060316.25,1944789.25
"DE21",4698538,4750403,4752213,4572335
"DE22",1249770,1214090.75,1162899.875,1061978.125
"DE23",1296531,1271985.375,1231133.125,1143622.25
"DE24",1058137.625,1025497.5625,976840.0625,888460.875
"DE25",1613466,1613722.25,1586742.25,1489430.875
"DE26",1235849.5,1197173.25,1140668.875,1028867.5625
"DE27",1932277.25,1942235.25,1928778,1849580.75
"DE30",701837.375,707101.9375,697287.9375,673548.3125
"DE40",5566802.5,5546090.5,5435355,5171673
"DE50",172931.71875,169550.0625,164263.21875,149447.03125
"DE60",385841.8125,381144,372454.125,344177.125
"DE71",3813664.25,3798008.25,3727581,3501764.25
"DE72",1428390.5,1385918.75,1322421.875,1191888.75
"DE73",1237468.125,1197974.5,1143106.875,1039264.125
"DE80",1295179.5,1257921,1219052.75,1130426.875
"DE91",1448501.875,1418640.125,1375034,1270215.5
"DE92",2333852.25,2287604.25,2213490.25,2037505.125
"DE93",2518897.25,2456428.5,2366039,2145367.5
"DE94",2232241,2166119,2073787.75,1877154.625
"DEA1",4816741,4768492,4654293.5,4318016.5
"DEA2",4854280.5,4801989.5,4683224.5,4354839.5
"DEA3",3270199.75,3192457.75,3073982,2794145.5
"DEA4",1973758.75,1934065.375,1873408.875,1723080.875
"DEA5",3112101,3029192.25,2901256.75,2641245.25
"DEB1",1869443.875,1809178.5,1718283.625,1542285
"DEB2",644204.125,632900.75,619273.1875,569177.5
"DEB3",2433711,2408264.25,2349691.75,2182738.25
"DEC0",746020.375,724692.8125,693045.8125,633432.3125
"DED2",1452222.625,1425972.25,1391047.375,1295443.125
"DED4",1408188.125,1386173.125,1352266.5,1271922.375
"DED5",793808.4375,784762.6875,768730.4375,721677.375
"DEE0",2506853.75,2455531.5,2394960.25,2241333.75
"DEF0",3622017.75,3564601,3472497.25,3202471.75
"DEG0",2246352.75,2176638.5,2091954.625,1934245.375
"DK01",662589.1875,688499.4375,734742.125,758751.375
"DK02",467174,474425.1875,486286.53125,483832.28125
"DK03",869968.75,871002.0625,873237.3125,847366.9375
"DK04",1181687.125,1205178.75,1242090,1244995.875
"DK05",404693.9375,410078.9375,418708.21875,416187.09375
"EE001",411702.84375,391514.125,362076.75,326231.9375
"EE004",95066.6640625,88718.671875,81280.3984375,72838.75
"EE006",319082.125,301492.65625,279019.15625,251534.046875
"EE007",54985.23828125,50701.62109375,46876.6484375,42617.22265625
"EE008",277289.5625,258232.125,239025.453125,215674.0625
"EL301",53925.125,53977.2109375,51906.98046875,47057.38671875
"EL302",33598.515625,33630.96875,32341.09375,29319.51171875
"EL303",19915.109375,19934.345703125,19169.7890625,17378.783203125
"EL305",578231.3125,578772.25,556558.5,504530.53125
"EL306",209877.5625,209385.4375,200765.65625,181120.328125
"EL411",22898.646484375,22308.951171875,20944.6875,18415.962890625
"EL412",5822.68115234375,5588.9453125,5192.12744140625,4445.49365234375
"EL431",195074,196192.09375,188459.390625,169452.84375
"EL432",14506.4853515625,14550.619140625,13933.35546875,12579.3671875
"EL433",46780.22265625,46177.953125,43151.7421875,37969.9375
"EL434",41381.79296875,40612.96484375,37825.5546875,33712.59765625
"EL511",56888.84375,53278.01953125,45781.62109375,37974.70703125
"EL512",78879.96875,76528.9140625,71582.1640625,64843.69140625
"EL513",73054.0859375,68895.53125,62336.875,55977.9765625
"EL514",136797.40625,135166.921875,128345.8125,115869.2109375
"EL515",40677.72265625,39980.72265625,37820.87109375,34069.16796875
