"nutsm_ids","rep_1","rep_2","rep_3","rep_4","rep_5","rep_6","rep_7","rep_8","rep_9","rep_10","rep_11","rep_12","rep_13","rep_14","rep_15","rep_16","rep_17","rep_18","rep_19","rep_20","rep_21","rep_22","rep_23","rep_24","rep_25","rep_26","rep_27","rep_28","rep_29","rep_30","rep_31","rep_32","rep_33","rep_34","rep_35","rep_36","rep_37","rep_38","rep_39","rep_40","rep_41","rep_42","rep_43","rep_44","rep_45","rep_46","rep_47","rep_48","rep_49","rep_50","rep_51","rep_52","rep_53","rep_54","rep_55","rep_56","rep_57","rep_58","rep_59","rep_60","rep_61","rep_62","rep_63","rep_64","rep_65","rep_66","rep_67","rep_68","rep_69","rep_70","rep_71","rep_72","rep_73","rep_74","rep_75","rep_76","rep_77","rep_78","rep_79","rep_80","rep_81","rep_82","rep_83","rep_84","rep_85","rep_86","rep_87","rep_88","rep_89","rep_90","rep_91","rep_92","rep_93","rep_94","rep_95","rep_96","rep_97","rep_98","rep_99","rep_100"
"AD",0.326465436185165,0.21833238099822,0.695458392905087,0.422916336081373,0.440790366015305,0.413885597884223,0.363641378626135,0.656627158848298,0.644807052275952,0.642688173357289,0.616272316412748,0.85061044482363,0.478694981264657,0.485915257720554,0.485466783736734,0.583904439989313,0.627143334042598,0.301163823877245,0.46298033764254,0.33841482166556,0.642647534204663,0.363175590686449,0.204341232659555,0.219176152777296,0.594814021139432,0.766422432109273,0.363349659991208,0.631905438331579,0.281588616931839,0.434175539107377,0.579165065545157,0.709073446784756,0.542409078327281,0.265551532653169,0.425887221441126,0.672108144210238,0.621625406031558,0.377312642360778,0.700519669754759,0.458832313990577,0.760905989539577,0.390244663669905,0.487714132460761,0.520568181949861,0.508908159653581,0.582698265914812,0.475597030315083,0.467752801691944,0.323840904820791,0.82657018002795,0.326754805288009,0.30938147138421,0.566981413300274,0.619362322393513,0.426008164436876,0.370361902682276,0.37819846879805,0.41656163686698,0.550620285457217,0.266855362745672,0.255345590170597,0.64954273638837,0.426988835367777,0.468203876891404,0.769431479981541,0.414995890488624,0.422122028871055,0.48310772037102,0.405015518278239,0.549373868841953,0.385996294454551,0.352656972784508,0.353485134286238,0.328827860397521,0.689126758297411,0.449523190913823,0.240105052819324,0.550954409283031,0.228515231384145,0.491893597175067,0.361236262453714,0.761379033534742,0.268835264652667,0.43651758845578,0.570810220759567,0.561885386651354,0.474033209489721,0.490569914831303,0.479933234534675,0.370577125759044,0.420612704976725,0.491486858412906,0.511061485903339,0.351108347198088,0.652850233544048,0.328015256596227,0.627909295193212,0.587311006197488,0.341212736497015,0.540945310621643
"AL013",0.836015683315266,0.879458903769585,0.722082496677615,0.664061219922626,0.916218915916678,0.882369683552574,0.493084311534737,0.430534121899563,0.685689907884943,0.756714324951511,0.887088301398999,0.952256608546444,0.668212128176683,0.477971500698548,0.714266795911851,0.527905030521396,0.749655347610671,0.59208254612591,0.677637640476743,0.830749052204887,0.839117791655574,0.562611387485494,0.534524513004006,0.74977401132999,0.85045945917676,0.901085040599896,0.607656672272332,0.651379773993317,0.696213670316711,0.745608036410767,0.800039772380883,0.742225014065355,0.915482256376947,0.922626537314704,0.775950098477748,0.622547496430745,0.836974550578218,0.544468121676192,0.895510408227431,0.815778540547053,0.771914551855711,0.86489337553421,0.657393326167577,0.636651920454159,0.558833380276756,0.708131690034342,0.804009669365724,0.778532383505162,0.776596376670704,0.864534860776017,0.890860065098498,0.468952852001479,0.740724354029137,0.712866457559466,0.476661725727761,0.751322756152586,0.690726581097496,0.864896286203651,0.79158408937785,0.64215752371032,0.730117756353178,0.682642324770855,0.766579287018973,0.939008262792395,0.95857681112925,0.54930045264419,0.811691999228824,0.901010010705281,0.386717400952114,0.745683433583687,0.682401115341323,0.593370632233928,0.626229707890203,0.609234576112053,0.692417610499141,0.528729902383559,0.60047939564103,0.847093382572674,0.77498177965954,0.697193316383625,0.709872313119245,0.495072704910811,0.841505897082364,0.554653662989097,0.637537779773275,0.7821452207593,0.371696823902374,0.559094258471586,0.792250016787062,0.760139381985542,0.823706288404716,0.711712066636168,0.960106723406204,0.420631389185208,0.743043276317642,0.79335169360192,0.711832470745844,0.869608087245201,0.838320759262506,0.786607796363698
"AL015",0.914726698467437,0.913637768982707,0.805845887055935,0.910086022362471,0.985150832512829,0.93830040753561,0.776951985960859,0.801040088815303,0.863132733924586,0.849120667726566,0.943329126314725,0.969893901816622,0.797290590504055,0.685211366966327,0.794429570464912,0.843674849455482,0.859130380078685,0.919863312927124,0.747154237360381,0.850805585388315,0.923501782804073,0.782641958282168,0.555235118978844,0.950216432559071,0.91385565801808,0.973472152329718,0.64216133477983,0.871568961299327,0.743453517312753,0.835775069045087,0.839796134879238,0.734339925326975,0.767691878871212,0.94074956639942,0.863629547728052,0.65595889646744,0.872819450432598,0.549402116943214,0.957487098432603,0.918339423514203,0.616588312285887,0.911316901315705,0.606942419477843,0.717404748018455,0.903348648222694,0.940446981089853,0.918626543948324,0.913073765692616,0.89099555085127,0.949133212103316,0.822956064475347,0.563017885698251,0.929662122093298,0.788054783923317,0.782269605072512,0.934074825676897,0.790637374474887,0.935603418880227,0.880604933404592,0.875575254370841,0.821645449002605,0.819381317432081,0.873229007010567,0.969905958318911,0.987561060654105,0.852049410043393,0.897250372044038,0.942620201941034,0.739451642338218,0.918843878760469,0.622102867722866,0.791536917304458,0.712243401009481,0.734644303526205,0.891494064443263,0.381946629536522,0.563847062594632,0.892766722480343,0.908085611358558,0.769389981894726,0.809870196013609,0.84028762190077,0.8741794978778,0.840509184757047,0.901409809864282,0.908010519123659,0.736118732865713,0.672961301620218,0.838910779549246,0.883321305767827,0.873044312708529,0.779312841624688,0.974153380346582,0.49638939571072,0.877966553675994,0.941959979941054,0.885690541761324,0.948139092423324,0.927324523210917,0.88958135837585
"AL014",0.90834725045057,0.89923223038062,0.792301538794662,0.894451615571382,0.984727234508437,0.961985814640059,0.757217893938178,0.84977620043421,0.869090490415132,0.842629508796512,0.944105502234695,0.974200095827514,0.835008244322162,0.79490598907629,0.741496887544235,0.820962484206265,0.82007052114483,0.899184595566108,0.656711540901934,0.841025932616325,0.920390751318282,0.792261936277383,0.766028377995269,0.948416493767086,0.93388250433721,0.984158363429873,0.663480125262022,0.876454239409269,0.768160872639394,0.787532445954163,0.841020263882927,0.725781195898727,0.939833649544532,0.936457093063035,0.838466442757203,0.736253531651122,0.877736253048727,0.531917831798891,0.965312863342139,0.931536605467577,0.723501971459465,0.90810852884335,0.673762005722266,0.691038282858329,0.894270918639778,0.936313330995791,0.924160097394476,0.920592172676762,0.835092520864039,0.946572562314644,0.788022180671858,0.49140944400112,0.866109636346675,0.650236036964594,0.825432691712802,0.887462029551866,0.814168374219669,0.931411066636142,0.880068958336331,0.84997402342276,0.790981695658447,0.860725701509629,0.880973314768184,0.972871966356449,0.983127305947074,0.867712541141593,0.882519188448041,0.924279059462353,0.757295456139467,0.90915460145801,0.671004918243268,0.773656607881596,0.7492166748591,0.710337445032968,0.876462440189178,0.45910856456197,0.705654987860892,0.920066559092872,0.872346674826559,0.82635852977021,0.781238133261809,0.891730850232493,0.896674544833872,0.863349313561957,0.804289658121349,0.912804854674677,0.654138132367115,0.878444230850397,0.797506783228185,0.864990578871113,0.872626991636324,0.744612352890062,0.973960671550865,0.489024716489521,0.891165758412724,0.927777240812757,0.87961075591151,0.945335435734141,0.91546959060692,0.794375688031955
"AL011",0.699589540717462,0.863165053755238,0.534692789463455,0.760866479224269,0.929665993337131,0.928882940505826,0.594228238174818,0.541727815601595,0.785310415652684,0.843625041318457,0.926653294792608,0.902546090956159,0.671757186720137,0.638430930612496,0.752588860104618,0.502797985016784,0.691559581785327,0.761856527358831,0.691149585653881,0.747291097143937,0.91043497935949,0.689497388625636,0.531396970614683,0.94022543278538,0.814735437642506,0.941196407066442,0.657538026882641,0.762195043663706,0.70333474033857,0.650441083293517,0.837453388152928,0.676172144268182,0.912388958807366,0.91455228130289,0.788132112354988,0.643985636620223,0.814394826369575,0.51240215207483,0.927007811876158,0.744080162927386,0.803994566717819,0.847649420956253,0.698986435222194,0.667023486888399,0.878802185576743,0.792363816835111,0.69298154948453,0.760780316395328,0.81271314825535,0.672129514093576,0.897889667091043,0.409751005790524,0.731404788268732,0.765131746214157,0.583268013722143,0.69564407557683,0.73007005356835,0.910566798536817,0.813777913415175,0.515597432003925,0.782519500369521,0.818489195074785,0.769313816647076,0.937381112563085,0.963766084754712,0.320335395226272,0.690202894697268,0.909565820047325,0.377027462808177,0.776997335049542,0.678391564893294,0.652284196261436,0.651284942183154,0.514183319881528,0.719141206800137,0.512592242303245,0.716035345979102,0.81490456460246,0.691038322826535,0.753064478017015,0.618512626946874,0.724552856360179,0.487612456991342,0.582438515958298,0.527327355214587,0.682462858085234,0.545987652425005,0.308313430756797,0.645186791411677,0.741157690095574,0.878890220988727,0.592182049559721,0.951390770226353,0.470474746604775,0.666826960974966,0.921134566243203,0.741483156483695,0.876587772500516,0.8469860265175,0.820611056279869
"AL012",0.90700599457879,0.912858776067437,0.780393410342688,0.902878645575139,0.988860327059756,0.97030537698401,0.661059322069826,0.857693065407988,0.864178816134655,0.856209021715386,0.957844762351374,0.976021804272485,0.858104280214174,0.759493529538406,0.750109829274666,0.772664715737002,0.869035997734379,0.914938885010345,0.681809239541975,0.925156472075114,0.932211068331126,0.777425733012902,0.820441688122652,0.95988743410532,0.935028938006981,0.987025402662886,0.685795009964428,0.900483543202875,0.777081476458695,0.856402474747464,0.845195898830937,0.851015896996039,0.990807889613904,0.940153305443298,0.899612704105736,0.693383739126998,0.859119619997851,0.55687665037785,0.969676768846951,0.938038446244397,0.811323069284845,0.891700153303426,0.819981687423272,0.709937162214013,0.867992426690667,0.929526292998195,0.937768157869131,0.928783530193337,0.862528781349012,0.947110584776257,0.900317566649729,0.519785611308972,0.926912511865854,0.759011891178719,0.857811077315913,0.930983420570224,0.790444618634026,0.948954268658361,0.884981893158867,0.769011969872063,0.75907811979408,0.927698081591804,0.855360258771389,0.96856949526331,0.988570681289906,0.947731464897782,0.893365313199476,0.93410479171429,0.760613482973394,0.839223643558009,0.686502142977478,0.77520321154077,0.768678462349673,0.76143665609499,0.862612629365855,0.563059809253581,0.897476605809771,0.933454372815457,0.890655379404559,0.853890041860626,0.79286581214215,0.756538271777881,0.922082386363892,0.845230228768386,0.904774442731435,0.940543671693829,0.794460964655173,0.933084437751352,0.799615724692815,0.883854551856912,0.854656445992292,0.621142056131657,0.977796698793585,0.623263242006001,0.881649811995891,0.950812183771488,0.886541749823476,0.954400435288153,0.921760851936383,0.878534559955884
"AL021",0.752965302973405,0.92622608447847,0.657700151869428,0.921379166629676,0.971528256534758,0.958300915500646,0.764949932310671,0.714152763057977,0.892555654991745,0.857796711089486,0.976240606158844,0.942556039804391,0.82686707744395,0.78809516754636,0.805124882680904,0.561233311208774,0.899971534618698,0.957427150371951,0.808011911522002,0.875011075583424,0.960334656621066,0.795052448154515,0.778128260384972,0.960441664505297,0.939486251765825,0.979998111568872,0.740234315096802,0.919707726645608,0.853104120393315,0.861574076598773,0.87295643573435,0.873973320355633,0.978587339858517,0.934567484219649,0.913425981787998,0.79549103200334,0.902011680403548,0.621578607338534,0.954793931260522,0.858985461194547,0.827975693947617,0.895263276849123,0.846244541183942,0.804761136019402,0.914095881893244,0.835224753768564,0.882776949842295,0.90135356720951,0.841415228042481,0.981280410207424,0.920865495521866,0.504702099613143,0.478510097785192,0.828730673397837,0.767174161185189,0.947752801496396,0.794659575458506,0.971157601885326,0.862208981921036,0.571216763087838,0.88134841932435,0.970656821084037,0.86621687759022,0.956672957880959,0.98355213910343,0.965467836433604,0.839698567768509,0.956683286811368,0.603130874668601,0.803576663276879,0.802717916381015,0.754565731908092,0.80244438361349,0.851404037057422,0.8109130000209,0.521364603182867,0.791370981931736,0.893577108983164,0.844051057423812,0.881996059207277,0.672327889763589,0.945737578315684,0.92861619940902,0.718711014185813,0.741572291971326,0.794381050655255,0.67555255735252,0.96648869748171,0.829606180330879,0.930265179460382,0.95428072164156,0.853269155725405,0.97361362390957,0.622930992216632,0.892592873111864,0.967211047417543,0.898360453072961,0.913818126324826,0.922180083198457,0.929241896207403
"AL022",0.889421185487769,0.935807260818816,0.772923920016361,0.911049282528059,0.974986385138482,0.972507033495756,0.532533097383304,0.86781879270587,0.860918286921544,0.851625083838112,0.969067206952245,0.976724794528936,0.85484527501979,0.7495350558281,0.766512291505596,0.563101658448558,0.911625404930738,0.95994066260823,0.727887574775188,0.925887296941393,0.939936541063456,0.818946671382801,0.874250232216894,0.964144283604727,0.966589903954539,0.983113071951717,0.723743371422624,0.92492663896025,0.837588023599604,0.894311071438154,0.831368835676582,0.901456880157961,0.992544024355958,0.946414452534851,0.898262819749953,0.716505312525439,0.91274901067938,0.61412902018092,0.975732628398419,0.93724517602674,0.797610255930875,0.862898058538042,0.883858545053044,0.7673562359586,0.921205240526421,0.842896300637114,0.942516359912647,0.93636070161162,0.778331527323347,0.937395225381306,0.920763782952451,0.547574956752332,0.948398838031766,0.84261864418027,0.87302019992285,0.942955812057711,0.793326373659001,0.956873806914987,0.868785723291466,0.454024432620508,0.865673115340096,0.936108315510966,0.880925935911885,0.970422152924885,0.98814657110663,0.977511625888498,0.898855780282309,0.949500725710718,0.705016314779929,0.716626785891105,0.718107387705945,0.753957384776084,0.855896926136895,0.849751294502018,0.766956249633829,0.594652271939723,0.807080621050358,0.931354986514676,0.904806169811745,0.869676911737484,0.747264945836068,0.82991411100902,0.95733975455583,0.81941622385044,0.847170672868371,0.920143069524022,0.754593379977442,0.952080054132061,0.834619321584035,0.918300186436077,0.947382534324764,0.822775283179096,0.978654579115765,0.67536650821518,0.886460993957728,0.966726824738452,0.908227576672312,0.9472225453603,0.922375347365044,0.924916024463664
"AL034",0.857845996269362,0.720094235858381,0.354084791183059,0.820785999183236,0.528313469978368,0.414944016409127,0.537735507304876,0.555533225544562,0.667288781579895,0.800611247159952,0.234773400999582,0.163130171249505,0.612878756244929,0.300845032903633,0.287125572831473,0.311164869838309,0.151103940043285,0.336235989330467,0.525832269390961,0.77257683517087,0.389753135187222,0.529694808723646,0.514966642724732,0.623242039482397,0.700522618714148,0.44827629650806,0.545399566711144,0.555156318949167,0.627877107508398,0.501548114649971,0.711045772196838,0.310001445807933,0.470270752525841,0.59315593370527,0.304839739484517,0.626932552881459,0.450714050879231,0.304381609258026,0.603650620505385,0.723851804643406,0.612283242795697,0.600862016033664,0.338341032823096,0.412836224520191,0.704607646949201,0.806921896445937,0.408176329949727,0.378525090582313,0.32109348397043,0.87693154006405,0.443630854440326,0.577769062400111,0.285497673674136,0.603451480536707,0.393148470906878,0.371061114797682,0.476895277920933,0.240184415498234,0.452618777784172,0.422046637514339,0.328614659183494,0.572797898643037,0.642741793430674,0.236409131070312,0.861520410521803,0.473299257939619,0.472599178478708,0.305475217940919,0.333141776451067,0.396581259594656,0.582869938587889,0.451940996382278,0.423214437833196,0.569570789944596,0.67079483543786,0.354603465357751,0.343758010407456,0.750372382972317,0.750267227870817,0.62776082041747,0.270281054915606,0.527771011943704,0.270358160348396,0.621819369576267,0.513093668092508,0.610795608500711,0.27877741434894,0.481606739004078,0.526467154980603,0.562894821017664,0.440796007831097,0.725326924570927,0.697208346058859,0.330429953935431,0.398578656309019,0.492066301074779,0.630036389573528,0.837384050034323,0.493504314597484,0.707545625669558
"AL031",0.636799697605158,0.886534672913675,0.531104179519123,0.747896792619791,0.919058562177268,0.965587817249912,0.724295840935325,0.617367339591604,0.894285764458746,0.898921174292905,0.902889019911366,0.879513661662842,0.86956567005895,0.701893712409757,0.725306541148732,0.386589863448127,0.708401794373927,0.457690373042258,0.768529497523,0.835455808072892,0.951385966785913,0.692945919495927,0.75559241683863,0.923838940101444,0.876975900632947,0.966772587551042,0.703128774754047,0.812274477369239,0.862699659309877,0.644645106116992,0.855309410376845,0.784850255200236,0.91308345879571,0.923740083077396,0.825552432905092,0.65190900185083,0.820952582391569,0.636197034553667,0.79928153033182,0.810998715369791,0.816516182795102,0.882302362484147,0.760285227216588,0.85186671234352,0.79180434340652,0.773870439496892,0.819919961588342,0.822625037525624,0.775237541853299,0.888131102133551,0.875935420877722,0.564724679814454,0.67036164701644,0.752481598815891,0.732176539444866,0.761541984844268,0.761175257151976,0.854416245608986,0.857026101249355,0.480451548298213,0.739768348474541,0.932670633742259,0.677175725145583,0.955871754323177,0.936874769866266,0.656310016197701,0.700483331625721,0.912464557239577,0.474095195597703,0.731484477433542,0.722817394683974,0.677566075725738,0.6768713818938,0.608073189865612,0.744651443804303,0.625421867639831,0.633149422456891,0.865849788949043,0.680977817368066,0.937343637858286,0.560024422562325,0.854250223986925,0.55343290095848,0.649129089729592,0.43212462626318,0.732308979836783,0.559347862103576,0.438316226189368,0.629076987085564,0.751540175995421,0.875529492896308,0.574435667676699,0.948251133026135,0.538463465096319,0.751787525555678,0.915897834597485,0.857068589473273,0.863794120518295,0.874157897205517,0.567825562664877
