"NUTM","run1","run2","run3","run4","run5","run6","run7","run8","run9","run10","run11","run12","run13","run14","run15","run16","run17","run18","run19","run20","run21","run22","run23","run24","run25","run26","run27","run28","run29","run30","run31","run32","run33","run34","run35","run36","run37","run38","run39","run40","run41","run42","run43","run44","run45","run46","run47","run48","run49","run50","run51","run52","run53","run54","run55","run56","run57","run58","run59","run60","run61","run62","run63","run64","run65","run66","run67","run68","run69","run70","run71","run72","run73","run74","run75","run76","run77","run78","run79","run80","run81","run82","run83","run84","run85","run86","run87","run88","run89","run90","run91","run92","run93","run94","run95","run96","run97","run98","run99","run100","mean"
"AD",0.127379514332913,0.11089169851453,0.127494735932316,0.157216092070819,0.0931989966341491,0.198874665172202,0.160934064203686,0.132201599521332,0.102176473781059,0.144565663954309,0.125497033154077,0.137290193169059,0.183510556521909,0.118774484806038,0.149461421017501,0.119525353487918,0.140759385514539,0.185106705015619,0.166828231469012,0.173415532404958,0.107224464166127,0.103079663650694,0.130863819234313,0.112080549988189,0.0986539985554489,0.105387482459676,0.134561370406164,0.192045414108018,0.168917428146633,0.139613958549088,0.112230524938157,0.107632415785988,0.117307805908078,0.147689769422031,0.122185959866197,0.111533944817694,0.155302988543251,0.172242765764161,0.154491800020206,0.110156211789247,0.12277334560367,0.109900311709771,0.107218418729997,0.105598248761282,0.179646817558935,0.112571648366579,0.131359705139082,0.138029759499994,0.130996884637465,0.128435451299782,0.129290115311356,0.14984824439849,0.0975264704388098,0.139646942172537,0.121778400273853,0.128490173757041,0.101606621568637,0.160346955742099,0.100831500838141,0.101010375596631,0.152589105761939,0.101758488563139,0.118651363865513,0.126466668207245,0.133700409971037,0.106250899655458,0.204326958101468,0.144921352809114,0.111440145355142,0.135776380417333,0.111665453532976,0.110467090708573,0.162959619291313,0.124927409769476,0.11339919988753,0.123701321872543,0.146394166581211,0.110680150860768,0.16548545721948,0.109206759879423,0.0972145452166111,0.138135093312479,0.134277070079352,0.125810337113114,0.111238005106744,0.116161561685409,0.139403328172316,0.107603677866324,0.117350145775649,0.0982713099362709,0.13044434869998,0.0977495902182294,0.0970630666517252,0.121127997276379,0.126484559379667,0.15734566441062,0.110861570308879,0.117891500669964,0.157380487612699,0.128885464487946,0.130006788544925
"AL013",0.127899658598109,0.0882016471646805,0.14259147511183,0.127050569034472,0.0816192177892761,0.143639191079374,0.139692320995862,0.108410767414759,0.105711809943668,0.147340430164926,0.109061032190557,0.132262666227021,0.18411535908899,0.124854482350891,0.154384042464708,0.109302179104069,0.130181911643794,0.126933191331293,0.111173288789948,0.153148981345206,0.0940136562303969,0.0874587419268179,0.117340122802844,0.116870504583891,0.122855080001241,0.106476923429205,0.104276462237702,0.217475969037337,0.192400409395094,0.12876186441235,0.0936116328059713,0.110953455750879,0.119893698235231,0.139745646775669,0.112164645567632,0.115969571804066,0.159359088166958,0.167804034908737,0.16652793133516,0.127191273898319,0.110784544518728,0.106779201974421,0.115788279418825,0.0975180514184025,0.144814456367101,0.0984275121847783,0.119726869604902,0.114311858170691,0.125013577683426,0.117377990493315,0.11140343522623,0.153665362726415,0.128253444026956,0.143757785256488,0.106118931623786,0.151347369399222,0.109114113710414,0.124410749554972,0.0897215298290769,0.0990393806976264,0.150391025241146,0.10326143805026,0.106537788889063,0.123289976631238,0.113067870772974,0.104366157304093,0.194455817411874,0.106481861058487,0.101100433086613,0.124668981175485,0.114098667947785,0.114742234648662,0.132253059452997,0.10475731254496,0.10308657007536,0.108667427184889,0.132305271068378,0.124458896011231,0.151039715667175,0.107878180297417,0.10149729653108,0.108723989173315,0.125149182921059,0.12856898505038,0.0990227916541476,0.118161541878914,0.154073270588139,0.103726046412595,0.123726483392943,0.104838328528964,0.12372699722453,0.110119971141245,0.104532503443107,0.130840145731693,0.111845499587919,0.12609854296126,0.118375940236902,0.115478570626703,0.145793422292596,0.116230421812861,0.123075379947351
"AL015",0.21735694958822,0.151463327999824,0.218985590769376,0.164370855230406,0.149799759984518,0.186634625632216,0.147207578775047,0.155912049189379,0.151945996456171,0.163648565871341,0.169464473906477,0.188498574620759,0.239053908900851,0.196037940294003,0.196325714207753,0.181285389334297,0.154939910424108,0.180607938311023,0.17064935269856,0.220951671787679,0.125176964225466,0.121403572563171,0.127508437532004,0.158864246638438,0.187240586561089,0.132295141526432,0.150566126608868,0.317857170286629,0.224404058334482,0.217130275722422,0.148017536428306,0.165726823707911,0.167289629374503,0.234569767368698,0.155633215041908,0.167243341388554,0.214883900056957,0.227562702806707,0.201375402019815,0.123209074636986,0.147006682080573,0.118699011468954,0.149001528360377,0.11298839400455,0.201646421876644,0.138660230067516,0.178294122317617,0.202085069819925,0.162536828712759,0.156016510452737,0.149165603444043,0.211984497471013,0.177023224250986,0.247484132252748,0.134242966591812,0.179237939177975,0.142194653773022,0.161673550512898,0.140690642088972,0.153673984853417,0.215304628944505,0.13484754114016,0.147136070692171,0.148384731428464,0.138632434564004,0.157834602631434,0.258731299232242,0.15187448789989,0.159115214508865,0.202566164006693,0.18416632715015,0.188670118507956,0.165924796216311,0.19025173852942,0.169240525471378,0.160173983166215,0.194059702120548,0.18331182104052,0.210988569963398,0.175914268405094,0.137640269567893,0.219021363942662,0.13166008084916,0.179535299299664,0.169929741049633,0.155701232487473,0.235609133609528,0.13144975812386,0.141040028672513,0.135514569625457,0.190628209025465,0.18727545010811,0.148400922345212,0.199463343684471,0.15488077192878,0.212635436970277,0.164921282548631,0.139466834860145,0.196963953423373,0.130146550754094,0.173364173988857
"AL014",0.457381434130641,0.352809290791922,0.44962566651256,0.525248727150976,0.379058773772489,0.363430699925844,0.425718984060364,0.383779038698982,0.353841049804645,0.51736516919877,0.401686988128876,0.397497630553605,0.519246511286197,0.369023974883024,0.470500014123658,0.334239950122626,0.433831221559554,0.415513652751622,0.399076968138755,0.522535041330114,0.222036116280831,0.257308107364668,0.464391818310509,0.373780204792545,0.292011999374532,0.322567355543464,0.391029194369158,0.624706355178504,0.557988789864471,0.514120842836843,0.360205183483306,0.30352728386987,0.318192458510633,0.404945122698069,0.368205661371807,0.39466046610203,0.483621873457432,0.432518537637635,0.514673222680533,0.384700360512749,0.469532935460909,0.402501363012005,0.320243195468538,0.380468487310636,0.365749669531547,0.339005622938128,0.368164670156389,0.389088925682047,0.276328328755649,0.365671703087669,0.437509805418706,0.457872280602844,0.2595319528492,0.524181315845924,0.343239947184614,0.399732129498617,0.360294103988617,0.398096767432341,0.298135463518465,0.332502308941527,0.471420158254219,0.370800513743433,0.450129857991603,0.281259699741419,0.364104427352497,0.348085762800185,0.503057547008155,0.418925137167171,0.378243834111612,0.341183608498872,0.375677382066129,0.428397275752464,0.466532063274842,0.489800616643597,0.347362730512292,0.455021342349428,0.37814924676211,0.391995554239711,0.495513249831377,0.448000218244586,0.26605853593247,0.435004202341931,0.391578952083449,0.426891509335062,0.340178702167477,0.397485666126181,0.496702111529844,0.296442086514758,0.45667017178455,0.287954057973662,0.339320154898185,0.369439985301276,0.390795342697488,0.498311981910445,0.283718821928528,0.405776576265076,0.350325709121728,0.406630027594809,0.433596542975886,0.383810338064103,0.398048044207418
"AL011",0.182503363546988,0.138627036531178,0.195067190269203,0.18810283820409,0.134767085765848,0.162830554920617,0.18292668543825,0.15814089619514,0.135167834378625,0.184995210536858,0.16425026459227,0.165310851876123,0.238799423465783,0.152554609018361,0.189472814303467,0.138520500205202,0.178689237087087,0.161561480201557,0.162900916312685,0.198497724947363,0.129116481438776,0.126800721814949,0.146818058779384,0.155483292779094,0.15231991737827,0.129354420161809,0.164625203242163,0.280555499457544,0.271308989698564,0.208830884285177,0.140563365827685,0.14106066610115,0.150995547152591,0.183944169041745,0.149585256002265,0.142353123412874,0.210694820841946,0.211846901635659,0.203475465219995,0.174902926106172,0.17105061725206,0.171644338770172,0.140332214377943,0.136924300133214,0.197760171011059,0.141087240742298,0.150189073764706,0.183278376059631,0.155723632173568,0.163084144672121,0.13338990925726,0.187876486500061,0.148462591168907,0.164780302361658,0.151795790752832,0.187223786764023,0.151534544195446,0.178185223871308,0.122171851547779,0.135748155077983,0.214918410652161,0.130445089904485,0.151783811449832,0.14223348497274,0.156313004246897,0.142284470263987,0.283438329155046,0.148572916899281,0.146937015906228,0.162985942486526,0.165587704282225,0.140059181764373,0.166849605487081,0.16259299957236,0.163503522422465,0.144372629135734,0.185250695914466,0.14643849624327,0.228526582669024,0.147212455201062,0.120401340985276,0.156614942443343,0.163538389747261,0.168411737814272,0.125371765591701,0.161126362320914,0.198004935289585,0.13555681553131,0.175021313343428,0.132311335538544,0.139198758325375,0.136312239753851,0.150099932213261,0.19101745910256,0.124369537018971,0.178593854147726,0.15159916678652,0.148714721402592,0.237420568935005,0.158720590668587,0.165432770942179
"AL012",0.496528125006907,0.377813839995313,0.539405823976474,0.576263205386513,0.460095583869407,0.452130369231609,0.499058101833135,0.457293201486158,0.428727366904502,0.594001204620007,0.435111600282024,0.428940806359994,0.546664364138219,0.461244364000761,0.568971607586034,0.351078203486824,0.565302063524461,0.458433384367569,0.503913985096814,0.509183696193494,0.241191953676691,0.317818516602625,0.50999884323053,0.421159788069783,0.373970213583333,0.3562385933952,0.423924339817597,0.640152521284544,0.617357455124754,0.530269158289733,0.374783806624221,0.318722891949227,0.368188850653478,0.455243366141534,0.392331936978352,0.485950744091974,0.540563918496761,0.538025387097507,0.579144850690067,0.417414672199127,0.512896053548225,0.467744730272096,0.400448021989542,0.468122839211227,0.476867641911051,0.393070073643259,0.43954598663352,0.458352107898464,0.384803515864708,0.414007568859375,0.533603851316728,0.546915829407017,0.300362407355991,0.569171000923268,0.430769458582471,0.431408492835384,0.410692213193076,0.479596709117563,0.387089425173374,0.402654123198595,0.546750440514288,0.477150004346409,0.49125840380279,0.361644351604271,0.450073577360814,0.435191177314387,0.618614289977897,0.462040933255622,0.465726035032923,0.36838675320704,0.45969572100378,0.454213353565776,0.492710835185395,0.53509020370983,0.390826967877615,0.529669548390654,0.428064572219006,0.405114955340578,0.548194485104055,0.457344689265754,0.349839463295165,0.540729343671556,0.468677650486966,0.417047229984676,0.413942876108258,0.463839562456658,0.515419373956559,0.305966104395456,0.491952119327532,0.320101238591472,0.435465656326215,0.466246481158032,0.497322522420702,0.542281571938202,0.345152487993596,0.479769164622698,0.411347669594362,0.465187532322943,0.455208578376897,0.428228821488019,0.45712221502873
"AL021",0.236032269964685,0.210672633683165,0.313288661682384,0.326499338401377,0.219778944445366,0.265228367328101,0.344544059445347,0.229957008954495,0.193446609086702,0.26980991761547,0.236934367757886,0.260837337648275,0.341838903776148,0.252682850688256,0.335805425941443,0.244925213374784,0.31625603282583,0.267552495650017,0.256292704257704,0.278099192194474,0.158350665332021,0.193133652921476,0.285737400080144,0.200332652576588,0.174820091160737,0.197628389163447,0.251709279621324,0.357637717847161,0.345248717686842,0.32873407640879,0.220784513470993,0.218685136758253,0.215460134194792,0.266068940525519,0.205178015042108,0.237337850108837,0.368843296191143,0.336180347400143,0.300068988918709,0.20926630904164,0.273842902126787,0.269264649377452,0.210465012555482,0.214574021359639,0.232009425996488,0.228276007962135,0.234233857380764,0.268308863065587,0.210613484737414,0.266136522699804,0.244358366460122,0.244736888524257,0.16346910436392,0.278694795703967,0.208904870177113,0.22071744150637,0.204494061397469,0.268734867525782,0.18250943148055,0.200758144804338,0.297139356569408,0.210397835565121,0.258792875681825,0.210113900265819,0.286300487780842,0.217399044240152,0.313146269018254,0.224337130320877,0.229981595097264,0.283639409731997,0.246004355517699,0.214445703910952,0.298669314900161,0.292335827534248,0.215794639523763,0.247313973801078,0.218593276132038,0.200868274870769,0.307420110583411,0.215695306890637,0.200545599949012,0.261435513925007,0.281844894721,0.211668976248542,0.237107531151136,0.286899062690733,0.265238286043743,0.170066095248066,0.232080693255379,0.197515894262693,0.237811720654917,0.206609319725888,0.21847298050517,0.235942791513962,0.200792080462101,0.318537505862173,0.213185455891794,0.264102329444255,0.33183372966319,0.309801409276523,0.249666717868096
"AL022",0.496815479062622,0.3676616075335,0.537532335390319,0.599522213147642,0.461672754825183,0.460140057495698,0.490272581511196,0.46949694750561,0.429400020259203,0.579951589190962,0.436647806729213,0.422078929052527,0.554004639881775,0.465215336891052,0.567131685226801,0.370343881290813,0.572616638831493,0.450971015996916,0.527064884870251,0.506343384342107,0.239931902334686,0.317510009176327,0.510700041150231,0.417544567295197,0.363004914854112,0.355889213281408,0.416466904916091,0.629622130475781,0.614480055588647,0.533451972564549,0.374312603924383,0.321877348485633,0.366147854377443,0.457330524497426,0.386836188123921,0.490492263167525,0.539829795297833,0.527175680549795,0.577989004841669,0.409583662906203,0.517985730407545,0.469392543134781,0.401586151055101,0.465398963159523,0.475098091126607,0.393811413300346,0.436211419441658,0.459545452358637,0.387673973913235,0.417418819608884,0.52172655170905,0.547177402792814,0.301483581117585,0.561075324396263,0.429194804588393,0.42748902082797,0.416319249599329,0.490706553437448,0.391699433618228,0.399402638153551,0.546318522252112,0.47601184931823,0.494945605653525,0.359978980460319,0.448775651067359,0.434510623493419,0.610385715168816,0.447354892063411,0.458293667167175,0.360566426247314,0.489590814945097,0.454673058487277,0.480760206790575,0.545506057839831,0.396369069932241,0.552078698332567,0.44887987067634,0.402111504051453,0.544438024304842,0.460670227338088,0.349359180001339,0.542112953915183,0.474389137853226,0.411990410510395,0.411464659578256,0.459999070574286,0.509073986171016,0.305136415159226,0.481661460376115,0.320535724349155,0.439000605320866,0.465988170062301,0.499228756920724,0.542058025256626,0.344309141879166,0.479322488992554,0.412105502708964,0.470456115464336,0.460207415902847,0.426708610212144,0.457427848413894
"AL034",0.129388187265121,0.101068269094286,0.140451593564105,0.152171393895986,0.098715697220006,0.176856200992438,0.158514530918429,0.131081580125604,0.099688618104752,0.135476282100493,0.112273877989603,0.133634578056647,0.19989311142349,0.105305862231939,0.13551721522661,0.108315217897428,0.13420760007104,0.139645744572108,0.125354795157214,0.16411650352708,0.106651401308946,0.0987555634172697,0.124281223754038,0.106326821562917,0.0926461368460526,0.104067765797487,0.129215431405625,0.157940311428014,0.166858562346237,0.152953339767625,0.106232112625531,0.105599695963592,0.116138930358081,0.155659285989951,0.124619303109042,0.10911981048856,0.153272474932099,0.153394635916896,0.161558345342456,0.109184755263512,0.121019095472885,0.122133657389259,0.107303030240998,0.107235007716259,0.152131599309796,0.117885269747977,0.137551074532134,0.122683239696194,0.123564110330864,0.126717105458165,0.120311876198816,0.135091961788778,0.100853262197437,0.130028504742012,0.124388083224488,0.113223838241464,0.112570560449713,0.135585852147104,0.0957415678869537,0.102206514445852,0.140254097427998,0.0931674631343215,0.117541859240837,0.101032431591524,0.124162992432665,0.0999997029289079,0.20509271403129,0.110349167844379,0.101971282271925,0.132959344285219,0.110251168888919,0.108795348136833,0.148772243899473,0.115360514693665,0.106226000859598,0.119777767520256,0.137172719925049,0.097998121474392,0.173004315691578,0.110802120404838,0.103122801047613,0.138651071383461,0.136847567497813,0.117761756729503,0.109165275554987,0.11163479642842,0.128028373727106,0.103042790531768,0.116015821273988,0.0976983858143977,0.129738521082656,0.0941565845753643,0.0939334560756927,0.107747609007531,0.108085329176625,0.128075743796175,0.115597415198233,0.110579021946834,0.162204153106193,0.126627000255828,0.124177828291693
"AL031",0.341013230389991,0.265433239823077,0.36432799859057,0.370915417729016,0.308322764249041,0.320484278563402,0.350390730121892,0.316576059365879,0.300508427848465,0.331598275959515,0.28165504609991,0.335805109611283,0.42404967431339,0.28710899882338,0.292466791245285,0.243336584471625,0.348799166683337,0.273247088006342,0.284245158805323,0.332771469482503,0.18194498980309,0.22095964015017,0.300893647361375,0.274591283383528,0.188518181928736,0.287497135915472,0.268281308472227,0.35379219400591,0.395377854625532,0.355617112249292,0.296561161219339,0.257814762204586,0.272705445389015,0.32695438803716,0.276641074404355,0.335196997278871,0.365277868534704,0.32061419525037,0.423585969313894,0.265278903798752,0.38101569640313,0.29873057437043,0.260349181934329,0.330834364225486,0.208218991343582,0.270659128578354,0.248330583241363,0.376634127050387,0.219143529368,0.290847488703232,0.28997865140674,0.276835185278732,0.196117524500046,0.328270858012698,0.308132747032729,0.252841276916853,0.261337222778158,0.262816274702237,0.277754025932161,0.294361292614678,0.346391899179089,0.282150619116522,0.366731358424947,0.238459056947795,0.298370524239918,0.264208746513675,0.385966677695581,0.287022109746312,0.278085454507269,0.279809523589224,0.31439657081189,0.308437751430671,0.36723987912444,0.348981501074771,0.298259052823544,0.338492994389922,0.237993393103223,0.303344215948647,0.392023892214675,0.304454761213054,0.240198167148015,0.324339258735831,0.342529798423506,0.295276557108442,0.328988211682061,0.299139317255007,0.346025539885728,0.257640985233488,0.28437968334913,0.251759570871742,0.324158055854179,0.233875602006418,0.291902393203625,0.31253071523541,0.273792997880669,0.313562718325591,0.282372023760863,0.317403921503964,0.335342990393465,0.332589947499474,0.302029967853547
