"year","disease","region_name","case_numbers","source","nutM_code"
2013,"Dengue",NA,NA,"ECDC","FRL04"
2014,"Dengue",NA,NA,"ECDC","FRL05"
2014,"Dengue",NA,NA,"ECDC","FRL04"
2014,"Dengue",NA,NA,"ECDC","FRL05"
2014,"Dengue",NA,NA,"ECDC","FRL04"
2015,"Dengue",NA,NA,"ECDC","FRJ12"
2015,"Dengue",NA,NA,"ECDC","FRJ12"
2015,"Dengue",NA,NA,"ECDC","FRJ12"
2015,"Dengue",NA,NA,"ECDC","FRJ12"
2015,"Dengue",NA,NA,"ECDC","FRJ12"
2015,"Dengue",NA,NA,"ECDC","FRJ12"
2015,"Dengue",NA,NA,"ECDC","FRJ12"
2015,"Dengue",NA,NA,"ECDC","FRJ12"
2018,"Dengue",NA,NA,"ECDC","FRL03"
2018,"Dengue",NA,NA,"ECDC","FRL03"
2018,"Dengue",NA,NA,"ECDC","ES620"
2018,"Dengue",NA,NA,"ECDC","FRJ13"
2018,"Dengue",NA,NA,"ECDC","FRL03"
2018,"Dengue",NA,NA,"ECDC","ES620"
2018,"Dengue",NA,NA,"ECDC","FRJ12"
2018,"Dengue",NA,NA,"ECDC","FRL03"
2018,"Dengue",NA,NA,"ECDC","FRL03"
2018,"Dengue",NA,NA,"ECDC","FRJ13"
2018,"Dengue",NA,NA,"ECDC","ES511"
2019,"Dengue",NA,NA,"ECDC","FRK26"
2019,"Dengue",NA,NA,"ECDC","FRL03"
2019,"Dengue",NA,NA,"ECDC","FRL03"
2019,"Dengue",NA,NA,"ECDC","FRK26"
2019,"Dengue",NA,NA,"ECDC","FRL03"
2019,"Dengue",NA,NA,"ECDC","FRL03"
2019,"Dengue",NA,NA,"ECDC","ES511"
2019,"Dengue",NA,NA,"ECDC","FRL03"
2019,"Dengue",NA,NA,"ECDC","FRL03"
2019,"Dengue",NA,NA,"ECDC","ES300"
2019,"Dengue",NA,NA,"ECDC","FRL03"
2020,"Dengue",NA,NA,"ECDC","FRJ13"
2020,"Dengue",NA,NA,"ECDC","FRL05"
2020,"Dengue",NA,NA,"ECDC","FRL05"
2020,"Dengue",NA,NA,"ECDC","FRL05"
2020,"Dengue",NA,NA,"ECDC","FRL03"
2020,"Dengue",NA,NA,"ECDC","FRL03"
2020,"Dengue",NA,NA,"ECDC","ITH32"
2020,"Dengue",NA,NA,"ECDC","ITH32"
2020,"Dengue",NA,NA,"ECDC","ITH32"
2020,"Dengue",NA,NA,"ECDC","ITH32"
2020,"Dengue",NA,NA,"ECDC","ITH32"
2020,"Dengue",NA,NA,"ECDC","FRL03"
2020,"Dengue",NA,NA,"ECDC","FRJ12"
2020,"Dengue",NA,NA,"ECDC","FRL03"
2020,"Dengue",NA,NA,"ECDC","ITH32"
2020,"Dengue",NA,NA,"ECDC","ITH32"
2020,"Dengue",NA,NA,"ECDC","ITH32"
2020,"Dengue",NA,NA,"ECDC","FRJ12"
2020,"Dengue",NA,NA,"ECDC","FRL03"
2020,"Dengue",NA,NA,"ECDC","ITH32"
2020,"Dengue",NA,NA,"ECDC","ITH32"
2020,"Dengue",NA,NA,"ECDC","FRL03"
2020,"Dengue",NA,NA,"ECDC","FRL03"
2020,"Dengue",NA,NA,"ECDC","ITH32"
2021,"Dengue",NA,NA,"ECDC","FRL05"
2021,"Dengue",NA,NA,"ECDC","FR101"
2021,"Dengue",NA,NA,"ECDC","FRJ13"
2022,"Dengue",NA,NA,"ECDC","FRJ15"
2022,"Dengue",NA,NA,"ECDC","FRL05"
2022,"Dengue",NA,NA,"ECDC","FRL05"
2022,"Dengue",NA,NA,"ECDC","FRL05"
2022,"Dengue",NA,NA,"ECDC","FRJ26"
2022,"Dengue",NA,NA,"ECDC","FRL05"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRL05"
2022,"Dengue",NA,NA,"ECDC","FRL05"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRL03"
