"nutM_code","year","year_start","year_end","response"
"ES300",NA,2018,2019,1
"ES511",NA,2018,2023,1
"ES620",2018,NA,NA,1
"FR101",NA,2021,2024,1
"FR103",2024,NA,NA,1
"FR105",2024,NA,NA,1
"FR106",2024,NA,NA,1
"FR107",NA,2023,2024,1
"FRI11",2023,NA,NA,1
"FRJ12",NA,2015,2023,1
"FRJ13",NA,2014,2024,1
"FRJ14",2024,NA,NA,1
"FRJ15",NA,2022,2024,1
"FRJ23",2022,NA,NA,1
"FRJ26",NA,2022,2024,1
"FRJ28",2022,NA,NA,1
"FRK21",2023,NA,NA,1
"FRK23",NA,2023,2024,1
"FRK24",2023,NA,NA,1
"FRK26",NA,2019,2023,1
"FRL01",2023,NA,NA,1
"FRL03",NA,2010,2024,1
"FRL04",NA,2013,2023,1
"FRL05",NA,2010,2024,1
"FRL06",2024,NA,NA,1
"FRM01",2022,NA,NA,1
"HR033",2024,NA,NA,1
"HR037",2010,NA,NA,1
"ITC33",2023,NA,NA,1
"ITC42",2024,NA,NA,1
"ITC43",2024,NA,NA,1
"ITC44",2024,NA,NA,1
"ITC46",2023,NA,NA,1
"ITC47",2023,NA,NA,1
"ITC49",2023,NA,NA,1
"ITC4B",2022,NA,NA,1
"ITC4C",NA,2022,2024,1
"ITF31",2017,NA,NA,1
"ITF35",2024,NA,NA,1
"ITF48",2023,NA,NA,1
"ITF63",2017,NA,NA,1
"ITF65",NA,2017,2024,1
"ITH10",2017,NA,NA,1
"ITH32",2020,NA,NA,1
"ITH34",NA,2020,2024,1
"ITH35",2024,NA,NA,1
"ITH36",2023,NA,NA,1
"ITH54",NA,2017,2023,1
"ITH57",2007,NA,NA,1
"ITH57",2017,NA,NA,1
"ITI14",2023,NA,NA,1
"ITI16",2023,NA,NA,1
"ITI18",2023,NA,NA,1
"ITI19",NA,2017,2024,1
"ITI32",NA,2017,2024,1
"ITI33",2024,NA,NA,1
"ITI43",NA,2017,2024,1
"ITI44",NA,2017,2023,1
