"longitude","latitude","year","year_start","year_end","response"
2.75,48.75,2023,NA,NA,1
4.25,45.75,2023,NA,NA,1
4.75,45.75,2010,NA,NA,1
11.75,45.75,2020,NA,NA,1
9.75,45.25,2023,NA,NA,1
6.25,44.75,2019,NA,NA,1
10.75,44.75,2017,NA,NA,1
11.25,44.75,2007,NA,NA,1
1.25,44.25,2022,NA,NA,1
6.25,44.25,2016,NA,NA,1
11.25,44.25,2007,NA,NA,1
12.25,44.25,2007,NA,NA,1
12.75,44.25,2007,NA,NA,1
3.25,43.75,NA,2018,2023,1
3.75,43.75,2014,NA,NA,1
4.25,43.75,NA,2015,2023,1
5.25,43.75,2013,NA,NA,1
5.25,43.75,2023,NA,NA,1
6.25,43.75,NA,2010,2012,1
7.25,43.75,NA,2010,2023,1
0.25,43.25,2022,NA,NA,1
1.25,43.25,2022,NA,NA,1
4.75,43.25,2010,NA,NA,1
6.25,43.25,NA,2014,2022,1
6.75,43.25,2010,NA,NA,1
13.25,43.25,2017,NA,NA,1
2.75,42.75,NA,2022,2023,1
16.75,42.75,2010,NA,NA,1
17.75,42.75,2010,NA,NA,1
9.25,42.25,2022,NA,NA,1
1.75,41.75,NA,2018,2023,1
12.25,41.75,2017,NA,NA,1
12.75,41.75,2007,NA,NA,1
12.75,41.75,NA,2018,2023,1
12.75,41.25,NA,2017,2023,1
13.25,41.25,2023,NA,NA,1
44.75,40.25,2019,NA,NA,1
1.25,39.25,2022,NA,NA,1
-0.25,38.75,2015,NA,NA,1
1.25,38.75,2022,NA,NA,1
-1.25,38.25,NA,2015,2018,1
16.75,38.25,2017,NA,NA,1
138.75,37.75,2016,NA,NA,1
-5.75,36.75,2018,NA,NA,1
139.75,35.75,2014,NA,NA,1
72.25,35.25,NA,2008,2018,1
72.75,35.25,2013,NA,NA,1
73.25,35.25,2013,NA,NA,1
69.25,34.75,2004,NA,NA,1
71.75,34.75,NA,2013,2016,1
72.25,34.75,NA,2013,2014,1
72.75,34.75,NA,2011,2015,1
73.25,34.75,NA,2010,2014,1
113.75,34.75,2019,NA,NA,1
71.25,34.25,2018,NA,NA,1
71.75,34.25,NA,2011,2017,1
72.25,34.25,NA,2011,2019,1
72.75,34.25,NA,2009,2017,1
73.25,34.25,NA,2010,2018,1
113.75,34.25,NA,2016,2017,1
71.25,33.75,NA,2010,2011,1
71.75,33.75,2011,NA,NA,1
72.25,33.75,2008,NA,NA,1
72.75,33.75,NA,2009,2018,1
73.25,33.75,NA,2008,2019,1
76.75,33.75,2019,NA,NA,1
71.25,33.25,2011,NA,NA,1
71.75,33.25,2011,NA,NA,1
72.25,33.25,NA,2008,2016,1
73.25,33.25,NA,2007,2012,1
76.75,33.25,NA,2015,2019,1
-117.25,32.75,NA,2014,2015,1
-116.75,32.75,2014,NA,NA,1
-115.75,32.75,2015,NA,NA,1
