"Longitude","Latitude","Admin","Year","disease"
78.117,9.933,"-999",2009,"chik"
9.45059,0.38364,"-999",2007,"chik"
78.52349,17.38649,"-999",2009,"chik"
73.18758,22.30655,"-999",2007,"chik"
78,11,"1",2009,"chik"
105.85,21.03333,"-999",2009,"chik"
-12.22,12.572,"1",2009,"chik"
111.81667,2.3,"-999",2009,"chik"
76.78333,9.26667,"-999",2017,"chik"
76.96667,9.85,"-999",2017,"chik"
55.233,-21.033,"-999",2009,"chik"
99.274,1.38,"-999",2009,"chik"
75.867,15.667,"-999",2009,"chik"
76.64972,12.30722,"-999",2007,"chik"
76.6,8.88333,"-999",2007,"chik"
-53,4,"0",2006,"chik"
76.5087,9.9904,"1",2007,"chik"
76.5087,9.9904,"1",2007,"chik"
113.0012,2.55743,"1",2009,"chik"
105,-5,"1",2010,"chik"
48.12316,-21.23884,"-999",2010,"chik"
105.5,-5.617,"-999",2010,"chik"
78,11,"1",2010,"chik"
55.267,-21,"-999",2010,"chik"
47.317,-18.533,"-999",2010,"chik"
47.63333,-21.3,"-999",2010,"chik"
48.01055,-22.14862,"-999",2010,"chik"
48.53333,-20.58333,"-999",2010,"chik"
49.38333,-18.16667,"-999",2010,"chik"
45.13833,-12.84306,"0",2010,"chik"
55.6,-21.1,"0",2010,"chik"
77.2119,28.6713,"1",2007,"chik"
43.36848,-11.74309,"0",2010,"chik"
55.6,-21.1,"0",2010,"chik"
13,-1,"1",2010,"chik"
13.58333,-1.63333,"-999",2010,"chik"
13.21775,-1.55746,"-999",2010,"chik"
13.15857,-1.4085,"-999",2010,"chik"
13.67533,-0.65487,"-999",2010,"chik"
12.47359,-1.13032,"-999",2010,"chik"
12.70818,-0.81742,"-999",2010,"chik"
55.71937,-21.03801,"-999",2010,"chik"
55.33938,-21.24181,"-999",2010,"chik"
76.24444,12.78414,"-999",2010,"chik"
76.24444,12.78414,"-999",2010,"chik"
55.6,-21.1,"0",2010,"chik"
9.45059,0.38364,"-999",2010,"chik"
55.267,-21,"-999",2010,"chik"
76.91666,8.48333,"-999",2007,"chik"
55.4504,-20.88231,"-999",2010,"chik"
55.57711,-21.35795,"-999",2010,"chik"
73.85674,18.52043,"-999",2010,"chik"
75.917,16.667,"2",2010,"chik"
75.7,16.83333,"-999",2010,"chik"
6.73333,43.43333,"-999",2010,"chik"
6,44,"1",2010,"chik"
4.8307,43.33814,"-999",2010,"chik"
4.85,45.75,"-999",2010,"chik"
113.74472,23.04889,"-999",2010,"chik"
72.88404,19.07132,"-999",2010,"chik"
77.2119,28.6713,"1",2010,"chik"
80.91972,26.84943,"-999",2010,"chik"
86.53333,20.3,"-999",2010,"chik"
86.40766,20.20335,"-999",2010,"chik"
57.47101,-20.26026,"-999",2011,"chik"
73.81568,15.39585,"-999",2011,"chik"
74.04764,14.99312,"-999",2011,"chik"
74.13697,15.53223,"-999",2011,"chik"
73.80898,15.59154,"-999",2011,"chik"
47.317,-18.533,"-999",2011,"chik"
166.45,-22.26667,"-999",2011,"chik"
165.5,-21.5,"0",2011,"chik"
88.7109,22.71005,"-999",2007,"chik"
11.8825,-4.24778,"-999",2011,"chik"
73.781,20.001,"-999",2006,"chik"
74.53333,20.55,"-999",2006,"chik"
6,44,"1",2011,"chik"
15.2662,-4.2767,"-999",2011,"chik"
15,-3.5,"1",2011,"chik"
84.5,19.5,"2",2011,"chik"
12.20111,44.4175,"-999",2007,"chik"
73.83333,15.48333,"-999",2011,"chik"
11.02394,44.53461,"1",2007,"chik"
86.18333,22.8,"-999",2011,"chik"
43.36848,-11.74309,"0",2005,"chik"
75.81667,26.91667,"-999",2007,"chik"
84.5,19.5,"2",2011,"chik"
83,25.33333,"-999",2011,"chik"
110,-7.5,"1",2011,"chik"
109.3,-0.41667,"-999",2011,"chik"
86.15,25.75,"1",2011,"chik"
100.36667,-0.31667,"-999",2011,"chik"
77.2119,28.6713,"1",2011,"chik"
76.91666,8.48333,"-999",2011,"chik"
76.5,10,"2",2011,"chik"
57.47972,-20.24389,"-999",2012,"chik"
85.5,23.75,"1",2007,"chik"
106.81861,-6.4,"-999",2012,"chik"
78.47444,17.37528,"-999",2012,"chik"
101.16174,4.80144,"1",2012,"chik"
106.78917,-6.59444,"-999",2007,"chik"
77.4,23.26667,"-999",2012,"chik"
73.85674,18.52043,"-999",2006,"chik"
73.25,18.3,"-999",2006,"chik"
85.0014,20.7524,"1",2007,"chik"
73.83333,15.48333,"-999",2012,"chik"
76.9337,8.45755,"-999",2012,"chik"
6,44,"1",2012,"chik"
74.88333,12.86667,"-999",2012,"chik"
-11.66667,8,"2",2012,"chik"
75.81667,26.91667,"-999",2012,"chik"
88.71747,26.52202,"-999",2012,"chik"
79.65,21.16667,"-999",2012,"chik"
110,-7.5,"1",2007,"chik"
107.62056,-6.91278,"-999",2012,"chik"
89.39048,26.85892,"-999",2012,"chik"
89.13248,27.02967,"-999",2012,"chik"
109.6753,-6.8886,"-999",2007,"chik"
88.41667,22.58333,"-999",2007,"chik"
78.16666,11.65,"-999",2012,"chik"
15.31357,-4.32758,"-999",2012,"chik"
112.58789,-7.64566,"1",2007,"chik"
124.64722,8.48222,"-999",2012,"chik"
120.33333,15.91667,"2",2012,"chik"
121.33333,14.16667,"2",2012,"chik"
104.76952,11.74781,"-999",2012,"chik"
100.56081,-0.68651,"-999",2012,"chik"
73.18758,22.30655,"-999",2012,"chik"
77.2119,28.6713,"1",2012,"chik"
110.71639,-7.54972,"-999",2012,"chik"
123.55,13.21667,"2",2012,"chik"
120.52083,16.97917,"1",2012,"chik"
121.75,17.5,"-999",2012,"chik"
120.98222,14.60417,"-999",2012,"chik"
122.56691,10.6957,"1",2012,"chik"
125.61278,7.07306,"-999",2012,"chik"
126.43333,7.35,"-999",2012,"chik"
109.72167,-7.76528,"-999",2012,"chik"
110.21361,-7.22917,"-999",2012,"chik"
110.58917,-7.77028,"-999",2012,"chik"
107.56056,-7.12833,"-999",2012,"chik"
124.00844,13.25578,"-999",2012,"chik"
108.1905,-7.2069,"-999",2012,"chik"
106.60167,-6.43306,"-999",2012,"chik"
107.93889,-6.85306,"-999",2012,"chik"
110.92056,-7.81444,"-999",2012,"chik"
112.165,-7.4739,"-999",2012,"chik"
73.85674,18.52043,"-999",2012,"chik"
