"Longitude","Latitude","Admin","Year","disease"
-61.033402,-17.404373,-999,1997,"dengue"
-63.180714,-17.784324,-999,2000,"dengue"
-63.180714,-17.784324,-999,2001,"dengue"
-63.498631,-17.500664,-999,2002,"dengue"
-63.135642,-17.8269,-999,2002,"dengue"
-63.394403,-17.357356,-999,2002,"dengue"
-63.180714,-17.784324,-999,2002,"dengue"
-63.180714,-17.784324,-999,2003,"dengue"
-64.7167,-21.8833,-999,2003,"dengue"
-61.507,-17.2378,-999,2003,"dengue"
-62.025576,-16.131911,-999,2004,"dengue"
-64.052625,-13.260581,-999,2004,"dengue"
-63.180714,-17.784324,-999,2004,"dengue"
-64.3667,-22.65,-999,2004,"dengue"
-66.1667,-17.38414,-999,2005,"dengue"
-62.025576,-16.131911,-999,2005,"dengue"
-64.052625,-13.260581,-999,2005,"dengue"
-63.180714,-17.784324,-999,2005,"dengue"
-65.4204,-16.9743,-999,2005,"dengue"
-62.025576,-16.131911,-999,2006,"dengue"
-64.052625,-13.260581,-999,2006,"dengue"
-63.180714,-17.784324,-999,2006,"dengue"
-65.4204,-16.9743,-999,2006,"dengue"
-62.025576,-16.131911,-999,2007,"dengue"
-64.052625,-13.260581,-999,2007,"dengue"
-63.180714,-17.784324,-999,2007,"dengue"
-65.4204,-16.9743,-999,2007,"dengue"
-64.730705,-21.530693,-999,2007,"dengue"
-62.025576,-16.131911,-999,2008,"dengue"
-64.052625,-13.260581,-999,2008,"dengue"
-63.180714,-17.784324,-999,2008,"dengue"
-68.764,-11.0209,-999,2008,"dengue"
-65.4204,-16.9743,-999,2008,"dengue"
-66.099998,-10.983333,-999,2009,"dengue"
-67.599998,-15.733333,-999,2009,"dengue"
-67.550003,-15.816667,-999,2009,"dengue"
-67.5,-16,-999,2009,"dengue"
-67.727135,-16.188892,-999,2009,"dengue"
-67.5,-16.5,-999,2009,"dengue"
-65.5,-16.5,-999,2009,"dengue"
-65.366669,-16.916668,-999,2009,"dengue"
-63.25,-17.333332,-999,2009,"dengue"
-69.050003,-17.35,-999,2009,"dengue"
-63.166668,-17.5,-999,2009,"dengue"
-62.866669,-17.783333,-999,2009,"dengue"
-63.816666,-17.966667,-999,2009,"dengue"
-63.400002,-17.35,-999,2009,"dengue"
-64.900002,-14.833333,-999,2009,"dengue"
-62.025576,-16.131911,-999,2009,"dengue"
-64.052625,-13.260581,-999,2009,"dengue"
-63.180714,-17.784324,-999,2009,"dengue"
-68.764,-11.0209,-999,2009,"dengue"
-66.0574,-11.011,-999,2009,"dengue"
-65.4204,-16.9743,-999,2009,"dengue"
-68.137321,-16.497324,-999,2009,"dengue"
-149.58,-17.68,-999,1979,"dengue"
-149.828167,-17.538969,-999,1979,"dengue"
-149.425449,-17.649911,-999,1982,"dengue"
-149.425449,-17.649911,-999,1983,"dengue"
-149.425449,-17.649911,-999,1984,"dengue"
-149.425449,-17.649911,-999,1985,"dengue"
-149.425449,-17.649911,-999,1986,"dengue"
-149.425449,-17.649911,-999,1987,"dengue"
-139.558754,-8.901353,-999,1988,"dengue"
-149.572692,-17.542243,-999,1988,"dengue"
-140.1,-8.9,-999,1989,"dengue"
-140.887313,-18.139,-999,1989,"dengue"
-140.144463,-8.862005,-999,1989,"dengue"
-149.425449,-17.649911,-999,1989,"dengue"
-149.572692,-17.542243,-999,1989,"dengue"
-140.1,-8.9,-999,1990,"dengue"
-140.887313,-18.139,-999,1990,"dengue"
-140.144463,-8.862005,-999,1990,"dengue"
-149.425449,-17.649911,-999,1990,"dengue"
-149.572692,-17.542243,-999,1990,"dengue"
-149.572692,-17.542243,-999,1991,"dengue"
-149.425449,-17.649911,-999,1992,"dengue"
-149.572692,-17.542243,-999,1992,"dengue"
-149.572692,-17.542243,-999,1993,"dengue"
-151.441841,-16.803884,-999,1994,"dengue"
-149.572692,-17.542243,-999,1994,"dengue"
-149.572692,-17.542243,-999,1995,"dengue"
-149.601202,-17.575303,-999,1996,"dengue"
-149.572692,-17.542243,-999,1996,"dengue"
-149.601202,-17.575303,-999,1997,"dengue"
-149.572692,-17.542243,-999,1997,"dengue"
-139.028,-9.801,-999,2001,"dengue"
-151.372,-16.84,-999,2001,"dengue"
-149.804,-17.534,-999,2001,"dengue"
-139.02317,-9.757107,-999,2001,"dengue"
-147.666578,-23.866687,-999,2001,"dengue"
-151.738071,-16.503908,-999,2001,"dengue"
-134.978771,-23.126468,-999,2001,"dengue"
-151.441841,-16.803884,-999,2001,"dengue"
-151.502266,-16.608558,-999,2001,"dengue"
-149.425449,-17.649911,-999,2001,"dengue"
-146.355457,-16.151698,-999,2001,"dengue"
