"Longitude","Latitude","Admin","Year","disease"
-63.397741,-17.355111,-999,2016,"zik"
-38.501416,-12.972241,2,2015,"zik"
-38.328569,-12.697206,2,2015,"zik"
-43.172898,-22.905149,2,2015,"zik"
-47.810033,-21.172211,2,2015,"zik"
-49.376287,-20.812268,2,2015,"zik"
-47.272461,-22.821989,2,2015,"zik"
-48.243349,-1.361064,2,2015,"zik"
-65.855616,-3.421399,1,2015,"zik"
-54.930698,-1.999915,1,2015,"zik"
-56.921121,-12.682581,1,2015,"zik"
-41.700702,-12.581148,1,2015,"zik"
-45.274487,-4.961679,1,2015,"zik"
-48.298297,-10.176788,1,2015,"zik"
-46.629258,-23.543561,1,2015,"zik"
-42.729656,-7.720058,1,2015,"zik"
-62.075179,2.732801,1,2015,"zik"
-52.021589,-25.252274,1,2015,"zik"
-39.320746,-5.499209,1,2015,"zik"
-36.954038,-8.814019,1,2015,"zik"
-36.781949,-7.240351,1,2015,"zik"
-36.954222,-5.403284,1,2015,"zik"
-40.308897,-19.183585,1,2015,"zik"
-43.209467,-22.91421,1,2015,"zik"
-36.781967,-9.571605,1,2015,"zik"
-56.132684,-15.646428,2,2015,"zik"
-37.998878,-9.385988,2,2015,"zik"
-37.248349,-9.37045,2,2015,"zik"
-54.638723,-16.465493,2,2015,"zik"
-53.477058,-15.863393,2,2015,"zik"
-56.097879,-15.601373,2,2015,"zik"
-37.732641,-9.118682,2,2015,"zik"
-35.708921,-9.649889,2,2015,"zik"
-36.663968,-9.755596,2,2015,"zik"
-35.720569,-8.913843,2,2015,"zik"
-36.305846,-9.577442,2,2015,"zik"
-54.241014,-25.349689,2,2015,"zik"
-42.799168,-5.101366,2,2015,"zik"
-54.237936,-25.34845,-999,2015,"zik"
-38.522234,-3.736906,2,2015,"zik"
-34.928141,-8.166942,2,2015,"zik"
-34.88717,-8.060047,2,2015,"zik"
-34.843657,-7.990426,2,2015,"zik"
-40.077006,-13.860283,2,2015,"zik"
-39.066788,-16.443479,2,2015,"zik"
-38.403304,-12.787074,2,2015,"zik"
-47.062688,-22.910396,2,2015,"zik"
-60.021648,-3.119505,2,2015,"zik"
-36.132806,-9.762592,2,2015,"zik"
-36.633139,-9.406156,2,2015,"zik"
-35.942005,-9.309568,2,2015,"zik"
-35.587665,-9.097276,2,2015,"zik"
-36.991436,-9.401685,2,2015,"zik"
-63.5806,-11.505862,1,2015,"zik"
-47.921882,-15.82817,1,2016,"zik"
-48.258203,-15.941728,2,2016,"zik"
-48.204828,-7.192789,2,2015,"zik"
-48.324292,-10.249098,2,2015,"zik"
-48.476159,-8.058068,2,2015,"zik"
-54.785115,-20.784534,1,2015,"zik"
-52.002963,0.901595,1,2015,"zik"
-37.385702,-10.576339,1,2015,"zik"
-40.316209,-20.310513,-999,2015,"zik"
-40.299946,-20.258459,-999,2015,"zik"
-44.555374,-18.513983,1,0,"zik"
-44.282905,-2.539223,2,2015,"zik"
104.340354,11.675959,1,2010,"zik"
9.357176,4.08281,-999,2010,"zik"
9.250445,4.152411,-999,2010,"zik"
-23.513321,14.932914,1,2015,"zik"
-109.421866,-27.151411,-999,2014,"zik"
-109.349636,-27.113505,2,2014,"zik"
-74.029983,8.669735,1,2015,"zik"
-75.57406,8.049159,1,2015,"zik"
-74.030018,5.025944,1,2015,"zik"
-75.154533,4.092406,1,2015,"zik"
-73.653564,9.336752,1,2015,"zik"
-72.898823,7.946197,1,2015,"zik"
-75.527883,2.53511,1,2015,"zik"
-74.723276,8.813913,1,2015,"zik"
-74.874112,10.696534,1,2015,"zik"
-74.192924,11.233067,2,2015,"zik"
-74.818017,10.983687,2,2015,"zik"
-74.666595,5.456649,2,2015,"zik"
-75.60526,4.982675,2,2015,"zik"
-75.601064,5.474523,2,2015,"zik"
-75.872358,5.060421,2,2015,"zik"
-75.705408,5.420619,2,2015,"zik"
-72.737751,8.642273,2,2015,"zik"
-72.503099,7.937258,2,2015,"zik"
-72.408393,8.361271,2,2015,"zik"
-72.469699,7.843734,2,2015,"zik"
-75.242446,4.444622,2,2015,"zik"
-75.713745,4.804416,2,2015,"zik"
-73.216677,7.11127,2,2015,"zik"
-75.958018,4.949704,2,2015,"zik"
-73.126092,7.117203,2,2015,"zik"
-75.680576,4.831773,2,2015,"zik"
-75.341303,7.198385,1,2015,"zik"
-75.394841,9.292155,2,2015,"zik"
-75.885681,8.75959,2,2015,"zik"
-75.347304,10.2524,2,2015,"zik"
-75.412674,10.334616,2,2015,"zik"
-72.624364,7.87871,2,2015,"zik"
-75.368498,10.445753,2,2015,"zik"
-81.707575,12.544754,2,2015,"zik"
-75.479405,10.390911,2,2015,"zik"
-74.912666,4.860683,2,2015,"zik"
-74.931203,4.714558,2,2015,"zik"
-74.884335,4.14949,2,2015,"zik"
-75.118041,5.030367,2,2015,"zik"
-75.518341,2.664338,2,2015,"zik"
-76.196294,4.091245,2,2016,"zik"
-76.535789,3.452248,2,2016,"zik"
-75.196804,7.987671,2,2015,"zik"
-74.993263,6.187948,2,2015,"zik"
-76.624758,7.882408,2,2015,"zik"
-74.599675,6.205244,2,2015,"zik"
-74.995078,6.042387,2,2015,"zik"
-74.787293,6.551327,2,2015,"zik"
-75.581222,6.244125,2,2015,"zik"
-75.552955,6.331808,2,2015,"zik"
-75.625319,5.615096,2,2015,"zik"
-75.614694,6.167426,2,2015,"zik"
-71.002298,6.5469,1,2016,"zik"
-75.527634,0.435307,1,0,"zik"
-74.405663,10.4112,1,2016,"zik"
-75.247975,5.297943,1,2016,"zik"
-75.99277,5.315774,1,2016,"zik"
-75.27241,2.937352,2,2016,"zik"
-159.780258,-21.207511,2,2014,"zik"
-159.778515,-21.228995,0,2014,"zik"
-3.501891,8.984096,2,1999,"zik"
-3.782215,8.656293,-999,1999,"zik"
-89.119397,13.780828,2,2015,"zik"
-88.561422,13.325746,2,0,"zik"
-88.371237,13.340458,2,0,"zik"
138.12112,9.517322,-999,2007,"zik"
138.112987,9.54302,1,2007,"zik"
-52.311777,4.929864,1,2015,"zik"
-54.025139,5.483035,1,2015,"zik"
-53.125631,3.931918,0,2016,"zik"
-149.480514,-17.559954,2,2014,"zik"
-149.481134,-23.347037,2,2014,"zik"
-151.457474,-16.726556,2,2014,"zik"
-146.313539,-15.312068,2,2014,"zik"
-151.443467,-16.730187,-999,2013,"zik"
-140.102902,-8.908933,-999,2013,"zik"
-140.098561,-8.907751,2,2013,"zik"
-151.457474,-16.726556,2,2013,"zik"
9.451452,0.403505,2,2007,"zik"
9.577138,0.991577,2,2007,"zik"
-89.535624,14.967499,1,2015,"zik"
-90.788211,14.30066,1,2015,"zik"
-58.930276,4.860018,0,2016,"zik"
-72.307472,18.594153,2,2015,"zik"
-72.288193,18.513731,-999,2016,"zik"
-72.305228,18.54332,-999,2016,"zik"
-87.162232,13.319741,1,2015,"zik"
-87.485165,13.536852,-999,2015,"zik"
110.663717,-7.740495,2,1977,"zik"
110.663717,-7.740495,2,1978,"zik"
106.863507,-6.182987,1,2012,"zik"
116.244486,5.301436,2,2014,"zik"
-61.023831,14.638044,1,2015,"zik"
-93.129281,16.756858,1,2015,"zik"
-99.99621,25.59205,1,2015,"zik"
166.455059,-22.198278,2,2014,"zik"
-86.236174,12.114903,2,2016,"zik"
3.935037,7.84191,1,1971,"zik"
3.935037,7.84191,1,1972,"zik"
3.935037,7.84191,1,1973,"zik"
3.935037,7.84191,1,1974,"zik"
3.935037,7.84191,1,1975,"zik"
3.894567,7.404473,2,1975,"zik"
3.286264,7.435857,-999,1975,"zik"
8.605628,7.484514,1,1965,"zik"
7.870815,6.990741,-999,1970,"zik"
7.870815,6.990741,-999,1971,"zik"
7.809992,7.040969,-999,1970,"zik"
7.809992,7.040969,-999,1971,"zik"
7.932985,5.883715,2,1953,"zik"
-77.926729,9.132412,0,2015,"zik"
-55.732098,-22.546149,2,2015,"zik"
123.892987,10.309952,2,2012,"zik"
-66.591156,18.208921,1,2016,"zik"
-17.366062,14.764294,2,1991,"zik"
-12.30988,12.538624,-999,2008,"zik"
-12.326242,12.383515,-999,1988,"zik"
-12.326242,12.383515,-999,1990,"zik"
-12.007692,12.424297,-999,1988,"zik"
-12.310513,12.538614,-999,1990,"zik"
-12.180191,12.555483,-999,1988,"zik"
-12.820766,12.635156,-999,1988,"zik"
-12.820766,12.635156,-999,1990,"zik"
-12.292349,12.802637,-999,1990,"zik"
-11.756187,12.834711,-999,1988,"zik"
-11.756187,12.834711,-999,1990,"zik"
-11.968381,13.133416,-999,1988,"zik"
-11.968381,13.133416,-999,1990,"zik"
-55.203838,5.851977,1,2015,"zik"
101.119286,16.301622,1,2014,"zik"
104.322016,15.11845,1,2013,"zik"
99.813428,13.528235,1,2012,"zik"
99.008731,18.574414,1,2013,"zik"
100.04487,9.53969,2,2014,"zik"
101.243454,16.723142,2,2014,"zik"
104.33064,15.114621,2,2013,"zik"
99.007018,18.572163,2,2013,"zik"
99.749996,13.553368,2,2012,"zik"
34.084645,2.889743,1,1967,"zik"
34.084645,2.889743,1,1968,"zik"
