"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","secondaryLand","total_population","population_density"
"AD",-0.433398813009262,5.55391931533813,14.8488101959229,7.52553176879883,15.282208442688,2.48812866210938,3.6411726474762,3.78347325325012,2.84029006958008,76.2864608764648,76.5445938110352,76.1157455444336,77.9985885620117,0.184793293476105,0.0488860979676247,0.0397295542061329,0.0031330157071352,0.00069177575642243,0.0596785768866539,0.17553149163723,0.487556219100952,0.663087725639343,9.45489119077143,0.0199548310007137
"AL013",0.802994728088379,9.04266262054443,18.7634944915771,10.444221496582,17.9604988098145,4.57398509979248,3.87693786621094,2.34933662414551,4.43711757659912,80.5483016967773,72.3728103637695,66.8033676147461,76.834846496582,0.0854166373610497,0.137491717934608,0.00653803674504161,0.000463130680145696,0.285295963287354,0,0.483181476593018,0,0.483181476593018,10.9170160087156,0.00470267351974599
"AL015",2.8680911064148,10.3409976959229,19.8261795043945,12.0587282180786,16.9580898284912,5.95544290542603,4.66618585586548,2.34243655204773,6.20806550979614,78.1009826660156,72.8813934326172,68.7369766235352,76.3927536010742,0.0703042447566986,0.102622121572495,0.00744712166488171,0.00142312084790319,0.315593153238297,0.00489107659086585,0.410192251205444,0.00278174201957881,0.412973970174789,11.1538619563951,0.00311992318132147
"AL014",4.38450241088867,11.5623502731323,20.7993640899658,13.4121398925781,16.4148597717285,5.02803707122803,4.11225700378418,1.75919902324677,4.89244413375854,76.8558731079102,73.1061553955078,68.7277755737305,75.16064453125,0.0862118154764175,0.109782055020332,0.000395053473766893,0.000460950628621504,0.338447332382202,7.99142799223773e-06,0.390560299158096,4.54502969660098e-06,0.390564858913422,10.6607995882378,0.00643560461653298
"AL011",1.25537347793579,9.20016479492188,18.8525733947754,10.9393653869629,17.5972003936768,4.59644508361816,3.89374899864197,1.89886367321014,4.09317064285278,81.5616302490234,74.0412216186523,68.0056304931641,77.3079376220703,0.0794177129864693,0.130220100283623,0.000928896653931588,0.000523405731655657,0.342864394187927,0,0.433100521564484,0,0.433100521564484,11.1404925268287,0.0044205964223863
"AL012",7.10292911529541,13.3043346405029,22.1873340606689,15.542727470398,15.0844049453735,4.56026887893677,3.57329964637756,1.45389795303345,4.53941297531128,74.3099365234375,73.1413879394531,70.2821350097656,73.9238739013672,0.110502570867538,0.109598636627197,0.000194677370018326,0.00102796184364706,0.288573741912842,0.00769333075731993,0.335782647132874,0.00446794461458921,0.340250581502914,10.2419635002529,0.0133091692336865
"AL021",3.42085242271423,10.7819261550903,20.3274555206299,12.6859216690063,16.9066028594971,4.03332424163818,3.36911344528198,1.44797122478485,3.58994030952454,80.1856918334961,72.714729309082,66.1636810302734,75.8024291992188,0.0771656557917595,0.127031356096268,0.00907957646995783,0.000654885894618928,0.341451287269592,0,0.438445180654526,0,0.438445180654526,11.3983938564411,0.00344450489160744
"AL022",6.63497400283813,13.0282917022705,22.0060348510742,15.2073974609375,15.3710603713989,4.25125169754028,3.41043186187744,1.42833614349365,4.09783697128296,75.4253768920898,73.0201416015625,69.517951965332,74.2338256835938,0.127436801791191,0.127292051911354,3.84809226261495e-07,0.00130356242880225,0.317783564329147,0.00284833530895412,0.374808311462402,0.00166043802164495,0.376468777656555,11.2125134385482,0.00677415899137042
"AL034",1.26941227912903,8.76119136810303,18.8110008239746,10.867621421814,17.5415897369385,3.32500457763672,2.62368869781494,1.05449461936951,2.78986120223999,82.9629058837891,72.9041748046875,63.0746917724609,75.8052215576172,0.0900854244828224,0.100229792296886,0.022607171908021,0.000485398777527735,0.0501280464231968,0.519665896892548,0.0823629647493362,0.0770894140005112,0.159452378749847,11.0026135113365,0.00297775360231488
"AL031",4.73580646514893,11.7529640197754,21.3168907165527,13.6999921798706,16.5810852050781,3.67232966423035,2.99165892601013,1.19908237457275,3.52511858940125,78.7520217895508,71.5985946655273,63.9311599731445,74.6747512817383,0.116848699748516,0.160324722528458,0.0207009296864271,0.000649270368739963,0.280620157718658,0,0.418453812599182,0,0.418453812599182,10.9200126839561,0.00600791773015782
