"Area Under the Curve (AUC)","Prevalence-pseudo-absence calibrated Sorensen index (SIppc)","Threshold value maximising the SIppc"
"0.884","0.974","0.54"
"0.897","0.983","0.45"
"0.938","0.991","0.61"
"0.913","0.991","0.55"
"0.952","0.983","0.5"
"0.957","0.975","0.42"
"0.943","1","0.44"
"0.92","0.983","0.4"
"0.952","0.991","0.35"
"0.871","0.983","0.55"
"0.844","0.958","0.39"
"0.854","0.975","0.43"
"0.938","0.991","0.42"
"0.888","0.975","0.37"
"0.888","0.983","0.46"
"0.882","0.983","0.56"
"0.943","0.991","0.31"
"0.913","0.983","0.44"
"0.865","0.983","0.55"
"0.911","1","0.49"
"0.904","0.975","0.46"
"0.898","0.991","0.39"
"0.911","0.975","0.44"
"0.91","0.966","0.57"
"0.859","0.991","0.47"
"0.834","0.974","0.56"
"0.87","0.983","0.51"
"0.882","0.991","0.48"
"0.892","0.983","0.6"
"0.857","0.967","0.47"
"0.886","0.983","0.29"
"0.954","1","0.54"
"0.915","0.991","0.46"
"0.905","0.991","0.43"
"0.924","1","0.59"
"0.846","0.966","0.49"
"0.92","1","0.61"
"0.851","0.983","0.43"
"0.908","0.965","0.61"
"0.859","0.983","0.58"
"0.802","0.974","0.52"
"0.897","0.983","0.57"
"0.89","0.991","0.51"
"0.888","0.983","0.45"
"0.894","0.991","0.51"
"0.909","0.991","0.48"
"0.804","0.983","0.49"
"0.883","0.958","0.48"
"0.863","0.974","0.52"
"0.846","0.983","0.55"
"0.896","0.983","0.48"
"0.848","0.958","0.46"
"0.857","0.958","0.4"
"0.871","0.966","0.47"
"0.907","0.983","0.54"
"0.896","0.991","0.45"
"0.868","0.975","0.45"
"0.862","1","0.48"
"0.883","0.991","0.54"
"0.891","0.991","0.54"
"0.827","0.957","0.56"
"0.936","0.975","0.48"
"0.831","0.974","0.54"
"0.9","0.967","0.43"
"0.911","0.975","0.32"
"0.887","0.967","0.43"
"0.861","0.983","0.51"
"0.836","0.974","0.41"
"0.894","0.966","0.47"
"0.821","0.95","0.5"
"0.84","0.983","0.45"
"0.873","0.951","0.38"
"0.803","0.94","0.5"
"0.863","0.949","0.5"
"0.891","0.982","0.6"
"0.892","0.959","0.37"
"0.905","0.991","0.43"
"0.952","0.991","0.42"
"0.863","0.957","0.57"
"0.936","0.991","0.49"
"0.847","0.974","0.62"
"0.892","0.983","0.42"
"0.902","0.966","0.52"
"0.818","0.946","0.6"
"0.902","0.983","0.56"
"0.86","0.967","0.37"
"0.915","0.982","0.59"
"0.933","0.983","0.52"
"0.954","0.991","0.49"
"0.828","0.975","0.45"
"0.918","0.974","0.46"
"0.839","0.943","0.43"
"0.817","0.967","0.43"
"0.896","0.983","0.35"
"0.892","0.983","0.51"
"0.931","0.959","0.43"
"0.915","0.991","0.58"
"0.795","0.975","0.4"
"0.92","0.983","0.41"
"0.9","0.983","0.37"
"0.886 (0.878-0.894)","0.978 (0.975-0.981)","0.48 (0.466-0.494)"
