"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","secondaryLand","total_population","population_density"
"AD",-1.06339287757874,5.50026226043701,15.0375938415527,7.38409996032715,16.1009864807129,2.42777061462402,3.8821108341217,3.82966470718384,2.93537521362305,76.698112487793,76.6637420654297,75.6407165527344,78.4604644775391,0.154106631875038,0.0738092288374901,0.0206027198582888,0.0158376228064299,0.000134825488203205,0.0505546033382416,0.161364242434502,0.52359014749527,0.684954345226288,9.82841520326062,0.0207431646148758
"AL013",0.224178820848465,8.96633720397949,18.816967010498,10.7715940475464,18.5927867889404,4.46511030197144,4.03274774551392,2.1910400390625,4.31905889511108,80.0659027099609,72.8217468261719,66.2457275390625,76.2245330810547,0.142563492059708,0.134197205305099,0.00334325269795954,0.0113333556801081,0.10491743683815,0,0.602032244205475,0,0.602032244205475,12.1193600023243,0.00522060179390579
"AL015",2.34547019004822,10.2788372039795,19.877799987793,12.3164739608765,17.5323295593262,5.82923316955566,4.81442260742188,2.17217898368835,6.15485715866089,77.4018325805664,73.3683395385742,68.3176574707031,76.1416397094727,0.140421271324158,0.0812468528747559,0.00376187521032989,0.00771452579647303,0.130027011036873,0.00294021284207702,0.545858204364777,0.00328490836545825,0.549143075942993,12.4180059082027,0.00347352555108276
"AL014",3.88087892532349,11.5134773254395,20.8351669311523,13.6408891677856,16.954288482666,4.92856025695801,4.26761817932129,1.53131055831909,4.88289833068848,76.2841949462891,73.5192947387695,68.4514389038086,75.080680847168,0.20116925239563,0.0926226079463959,1.26550290246996e-07,0.00611576437950134,0.130115896463394,4.80395237900666e-06,0.495836228132248,5.36714287591167e-06,0.495841592550278,11.8118745289435,0.00713047399673916
"AL011",0.675103187561035,9.13283634185791,18.8930168151855,11.2226390838623,18.2179145812988,4.48222970962524,4.0383095741272,1.73912084102631,4.01156377792358,81.0727615356445,74.4366149902344,67.4892959594727,76.9416046142578,0.179227560758591,0.139814108610153,0.00123454804997891,0.0069983541034162,0.129199922084808,0,0.530580520629883,0,0.530580520629883,12.1400597880928,0.00481722910702185
"AL012",6.67389583587646,13.2867660522461,22.2100048065186,15.7154026031494,15.5361099243164,4.54375791549683,3.7160177230835,1.21291756629944,4.50594139099121,73.7265701293945,73.5779876708984,70.1748962402344,73.9775543212891,0.269808351993561,0.103308193385601,1.86689521797234e-05,0.016415698453784,0.0980935543775558,0.0041058911010623,0.361733883619308,0.00435730069875717,0.366091161966324,12.2158500808685,0.0158741842865977
"AL021",2.88866233825684,10.7413015365601,20.3680324554443,12.9063997268677,17.4793701171875,3.95112037658691,3.48856353759766,1.31943786144257,3.45819783210754,79.7689743041992,73.1279449462891,65.6907119750977,75.6118698120117,0.194181889295578,0.13849700987339,0.00760967703536153,0.0100909639149904,0.126383796334267,0,0.51706463098526,0,0.51706463098526,12.8937103800512,0.00389637777343157
"AL022",6.19417715072632,13.0106773376465,22.0292110443115,15.3805246353149,15.835033416748,4.2515697479248,3.55441689491272,1.19081878662109,4.03024053573608,74.8950271606445,73.4579849243164,69.3619995117188,74.2435302734375,0.317883014678955,0.130412340164185,1.33197253227024e-09,0.0217406544834375,0.103808999061584,0.00148505799006671,0.376244843006134,0.00155847729183733,0.377803355455399,13.2837448164551,0.00802551541013904
"AL034",0.689475476741791,8.70148372650146,18.8420333862305,11.107292175293,18.1525573730469,3.21849226951599,2.71854281425476,1.02311933040619,2.57629466056824,82.5319519042969,73.4335556030273,62.6795768737793,75.3461990356445,0.196143865585327,0.102233648300171,0.0184507612138987,0.00562667287886143,0.017522182315588,0.325719982385635,0.0972890704870224,0.179667934775352,0.276957005262375,12.3063098720262,0.00333058672967763
"AL031",4.23725128173828,11.7319793701172,21.3452415466309,13.8725652694702,17.1079902648926,3.6011233329773,3.10508799552917,1.11754167079926,3.34208941459656,78.3333053588867,72.0350341796875,63.5951385498047,74.6100387573242,0.278676092624664,0.181534186005592,0.0131416087970138,0.00756068807095289,0.0899122953414917,0,0.426772713661194,0,0.426772713661194,11.9449064209387,0.00657178861860401
"AL032",7.66506385803223,14.1661720275879,23.361967086792,16.5922546386719,15.6969041824341,3.58935523033142,2.85645937919617,1.02418851852417,3.6119065284729,75.4224395751953,72.5080871582031,66.876953125,74.4644470214844,0.438651561737061,0.178577765822411,0.00168878387194127,0.0137664414942265,0.0298386495560408,0.0142198819667101,0.167592570185661,0.0130970841273665,0.18068964779377,12.6063225112054,0.00680380983294205
"AL035",7.54802989959717,13.3806915283203,22.6018047332764,16.1927604675293,15.0537738800049,4.89840602874756,3.01638793945312,0.88390702009201,4.84739017486572,75.47119140625,74.9716033935547,68.7752838134766,75.5205841064453,0.219706103205681,0.179769262671471,0.0364452078938484,0.00258015538565814,0.0219886563718319,0.0070100175216794,0.278564989566803,0.0100627690553665,0.288627773523331,11.4288419283517,0.00418928639178217
"AL033",4.40591239929199,11.5235452651978,21.2086868286133,13.8363742828369,16.8027744293213,4.65970516204834,3.20311903953552,0.93310135602951,4.32608985900879,77.6865768432617,73.0722427368164,63.467529296875,74.6711578369141,0.235614612698555,0.212615087628365,0.0258407257497311,0.00225416105240583,0.0521929673850536,0.00928555615246296,0.402392506599426,0.00894764345139265,0.411340147256851,11.2671564915676,0.00392415613211892
"AT11",-0.293669372797012,9.45923900604248,18.6008834838867,9.58773899078369,18.8945541381836,1.59764635562897,2.12479496002197,2.9049723148346,2.20694231987,81.9124374389648,70.6314239501953,70.9044189453125,80.4304275512695,0.330332338809967,0.144056931138039,0.000293113174848258,0.0192636512219906,9.04228913967131e-10,0.0436933189630508,0.235237658023834,0.207428976893425,0.44266664981842,12.8207234287727,0.0032430069887256
