"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","secondaryLand","total_population","population_density"
"AD",2.34257674217224,7.41590929031372,16.7162475585938,9.68286991119385,14.3736715316772,2.43763113021851,3.47996950149536,3.6098530292511,3.023193359375,72.1250839233398,74.0555877685547,73.1118545532227,76.666130065918,0.150419533252716,0.0718106478452682,0.018674373626709,0.0172322504222393,0.000117885916552041,0.0504867024719715,0.163153737783432,0.528104901313782,0.691258609294891,19118.849609375,40.3509046466362
"AL013",2.64789795875549,9.34821319580078,20.8772640228271,11.796778678894,18.2293663024902,5.13332271575928,3.9281497001648,2.27405261993408,4.53260183334351,77.6180648803711,70.4247512817383,63.3541107177734,74.644416809082,0.138439863920212,0.124984972178936,0.00315055041573942,0.0133178681135178,0.0924302637577057,0,0.626063406467438,0,0.626063406467438,155682.84375,67.0627931842716
"AL015",4.57281160354614,10.8274507522583,22.0840473175049,13.4899415969849,17.5112361907959,7.00108480453491,4.47004079818726,2.01042032241821,6.36183738708496,75.9225082397461,70.3190994262695,65.2583312988281,74.3158874511719,0.136729434132576,0.06948571652174,0.00212210975587368,0.00977601483464241,0.115122906863689,0.00285206944681704,0.575604259967804,0.00356237427331507,0.57916659116745,222650.03125,62.2789663826297
"AL014",6.08573770523071,12.0333366394043,23.0613136291504,14.84446144104,16.9755764007568,5.54251861572266,4.01757431030273,1.57602095603943,5.39692449569702,74.1016082763672,70.2133636474609,65.1518478393555,72.4288787841797,0.198017328977585,0.0885772258043289,7.82252651543303e-10,0.00839632283896208,0.114631399512291,4.65993707621237e-06,0.516237258911133,5.82048915021005e-06,0.516243100166321,107961.4140625,65.1730640837328
"AL011",3.26501512527466,9.66978931427002,20.924488067627,12.3373804092407,17.6594734191895,4.82624912261963,4.01008033752441,2.0021915435791,4.38062477111816,77.3530883789062,71.3576202392578,65.0726089477539,74.5387496948242,0.176229178905487,0.134589940309525,0.00127067894209176,0.00880128145217896,0.114747487008572,0,0.551416456699371,0,0.551416456699371,144089.453125,57.1753286000626
"AL012",8.57451343536377,13.7815055847168,24.3779201507568,16.9967937469482,15.8034076690674,4.94728994369507,3.50980663299561,1.27309381961823,4.95276832580566,72.1067352294922,70.4859924316406,67.9498062133789,71.4072799682617,0.265204429626465,0.0973020568490028,9.45439393440495e-10,0.0220563374459743,0.0884395763278008,0.00389851746149361,0.376223981380463,0.00471663009375334,0.380940645933151,243919.5,316.967142561681
"AL021",5.27204656600952,11.2848796844482,22.3521423339844,14.0626516342163,17.0800971984863,4.23116731643677,3.54988479614258,1.62934482097626,3.86153054237366,75.7780914306641,70.1293411254883,64.0016098022461,72.9610900878906,0.190874859690666,0.131086379289627,0.00776741746813059,0.0128707326948643,0.116785012185574,0,0.534443557262421,0,0.534443557262421,393925,119.041033896166
"AL022",8.14000701904297,13.4894037246704,24.1409473419189,16.6232986450195,16.000940322876,4.49463558197021,3.43686962127686,1.32840549945831,4.45703268051147,72.6784744262695,70.4585876464844,67.3982925415039,71.639762878418,0.312347412109375,0.122067309916019,1.16526854831989e-09,0.029222309589386,0.0951848328113556,0.00140363385435194,0.391221642494202,0.00168629980180413,0.392907947301865,730583.625,441.389850666933
"AL034",3.41514086723328,9.47381401062012,20.7851409912109,12.3361110687256,17.3699989318848,3.38062810897827,2.91762661933899,1.55431735515594,2.87890338897705,77.0094451904297,69.5172653198242,60.8099555969238,72.2304153442383,0.191863223910332,0.093681812286377,0.0156665109097958,0.00716199353337288,0.01624964363873,0.318380802869797,0.0998877733945847,0.19976232945919,0.299650102853775,178185.515625,48.2242296783382
"AL031",6.34741973876953,12.2503843307495,23.3392810821533,15.0919818878174,16.9918613433838,3.94272065162659,3.22913193702698,1.44896876811981,3.56108260154724,74.9046325683594,69.0879516601562,61.8591423034668,71.7611770629883,0.273979753255844,0.173310711979866,0.0131998555734754,0.00989765115082264,0.0824644416570663,0,0.444745153188705,0,0.444745153188705,110313.8359375,60.6919121792198
"AL032",9.37125873565674,14.6016149520874,25.4396800994873,17.9019355773926,16.0684223175049,3.78816866874695,2.89449667930603,1.18944764137268,3.68888378143311,73.4009170532227,69.7206192016602,64.9575653076172,71.8222045898438,0.431050568819046,0.172979474067688,0.00182449992280453,0.01837108284235,0.0257139392197132,0.0130875101312995,0.179680496454239,0.0147251198068261,0.194405600428581,242201.78125,130.719713013852
"AL035",9.34842872619629,13.8852195739746,24.4765892028809,17.547887802124,15.1281604766846,5.50910234451294,3.02568745613098,1.02744495868683,4.87168455123901,73.8266067504883,72.4123306274414,67.8299713134766,73.2960891723633,0.214280501008034,0.171949461102486,0.0361564680933952,0.00327692204155028,0.0185213498771191,0.00645016552880406,0.294480174779892,0.0110121266916394,0.30549231171608,74733.3125,27.3937859173985
"AL033",6.51715087890625,12.0707063674927,23.0571193695068,15.0730714797974,16.5399684906006,5.34968519210815,3.2544960975647,1.21225738525391,4.45748996734619,74.8258361816406,70.2598114013672,62.5803146362305,72.1185302734375,0.23114700615406,0.201946616172791,0.0255217924714088,0.00266941613517702,0.045933187007904,0.00916584860533476,0.423181176185608,0.00957820471376181,0.432759374380112,55999.578125,19.5036864944366
"AT11",3.02879905700684,10.5619697570801,21.2270736694336,11.3277568817139,18.1982765197754,1.44417321681976,2.13513588905334,2.94817733764648,2.25777006149292,77.7864303588867,64.3458633422852,66.6233291625977,78.7789993286133,0.315147697925568,0.127931192517281,0.000238767970586196,0.0221168529242277,9.04228913967131e-10,0.0403361469507217,0.246576383709908,0.227958992123604,0.474535375833511,387367.9375,97.9848707836124
"AT12",2.20421314239502,9.21923351287842,19.6218318939209,10.2582349777222,17.4176158905029,1.81581890583038,2.31125497817993,3.50926756858826,2.46883630752563,79.1210021972656,66.5735702514648,69.3106155395508,79.720573425293,0.285555750131607,0.132807955145836,0.000354200165020302,0.024745324626565,9.09828462569706e-12,0.172884598374367,0.0791107937693596,0.304198026657104,0.383308827877045,3256847.25,170.529990268774
"AT13",3.3394820690155,10.5178956985474,21.1459369659424,11.431830406189,17.8064556121826,1.49666321277618,1.90750968456268,2.81852245330811,2.23527050018311,77.4224853515625,63.5367546081543,65.4517288208008,77.2904281616211,0.293036490678787,0.105264022946358,8.1255002726266e-10,0.138908743858337,0,0.203736081719398,0,0.259054690599442,0.259054690599442,439519.90625,1036.75877321031
"AT21",-1.49914598464966,6.21067333221436,16.5295848846436,7.65823602676392,18.0287303924561,2.74899911880493,3.71691298484802,5.39887380599976,3.97578692436218,78.8700942993164,71.3085098266602,75.7652816772461,82.2447128295898,0.0888775065541267,0.0701310932636261,0.0304183401167393,0.0155264073982835,1.98166844045389e-10,0,0.790913105010986,0,0.790913105010986,645974.0625,68.3322018265189
"AT22",-0.251236230134964,7.17088842391968,17.4451007843018,8.35169124603271,17.6963348388672,2.31858205795288,3.22435021400452,4.93576383590698,3.2280158996582,79.1279220581055,70.5014343261719,75.2130355834961,82.5555953979492,0.101890072226524,0.0784722790122032,0.018749050796032,0.0176986772567034,7.7081820093472e-11,0.0458048917353153,0.717156827449799,0.019283713772893,0.736440539360046,1328863.75,81.170008143397
"AT31",1.3935352563858,8.37278366088867,18.4134140014648,9.48086643218994,17.0198783874512,3.04151940345764,3.12964081764221,4.69087314605713,3.25836181640625,81.3172378540039,70.2904815673828,73.2708435058594,82.429084777832,0.224757343530655,0.185311406850815,0.00210021832026541,0.031564611941576,1.96677513989894e-15,0.0759235322475433,0.335051625967026,0.140567570924759,0.475619196891785,1537092.625,128.847943855532
"AT32",-2.64994549751282,4.38528108596802,14.6155958175659,6.22158765792847,17.2655429840088,3.74576163291931,4.28935527801514,6.60737037658691,4.37901878356934,78.7018966674805,73.8028030395508,77.6982955932617,82.2056350708008,0.0790412724018097,0.114508889615536,0.0702089220285416,0.0162748154252768,1.8244286081881e-09,0,0.703218996524811,0,0.703218996524811,519938.90625,72.5889766649285
"AT33",-3.73077130317688,3.09250569343567,13.1948471069336,5.09403038024902,16.9256191253662,3.34225559234619,4.30247592926025,6.9572925567627,4.27780389785767,75.4383392333984,72.8845977783203,77.5367660522461,80.0824508666992,0.0769431665539742,0.0865478441119194,0.0696060955524445,0.0167127586901188,3.03582270433367e-10,0,0.72899329662323,0,0.72899329662323,874676.5625,69.4258909145339
"AT34",-1.87330114841461,4.9555835723877,14.5745792388916,6.56180334091187,16.4478797912598,3.99554300308228,4.57467699050903,6.54199123382568,4.28359794616699,76.6037292480469,72.411491394043,76.8792495727539,80.4367828369141,0.10915320366621,0.15127669274807,0.0697136744856834,0.0390976294875145,2.14559950109106e-05,0,0.622231006622314,0,0.622231006622314,431809.125,164.44321528667
"BAG1652",3.54992699623108,10.08704662323,20.8553466796875,11.9141664505005,17.3054180145264,3.67774105072021,3.1854772567749,2.70506620407104,3.88140797615051,79.645622253418,69.7449569702148,69.2100143432617,79.4256973266602,0.183489918708801,0.18208746612072,0.031837921589613,0.00962506141513586,0.000943670165725052,0.067382737994194,0.43271404504776,0.0766370072960854,0.509351074695587,1749738.875,65.4257455657486
"BAG1653",3.52354335784912,10.4848766326904,21.1930465698242,11.99342918396,17.6695022583008,3.17762446403503,2.87317037582397,2.66328549385071,3.33143281936646,79.7197647094727,69.1026611328125,69.6725997924805,79.4455795288086,0.217933058738708,0.145844042301178,0.0282209236174822,0.00833091884851456,0.00185310665983707,0.0909367948770523,0.386238694190979,0.110912680625916,0.497151345014572,1307450.25,53.3417004814046
"BE10",5.48743295669556,10.2678413391113,18.377269744873,12.2212133407593,12.889838218689,2.7201075553894,2.15280270576477,2.6451256275177,2.69752526283264,85.8212203979492,72.5183639526367,72.5561370849609,83.8504257202148,0.367621451616287,0.179511547088623,4.81039252875348e-09,0.405557990074158,0,0,0,0.0473090894520283,0.0473090894520283,176823.125,1169.6885421031
"BE21",5.6843695640564,10.4776544570923,18.6441879272461,12.3642129898071,12.9598188400269,2.76674437522888,2.26315331459045,2.70921730995178,2.72730803489685,85.4773712158203,71.7897720336914,72.0232620239258,83.6101226806641,0.27474769949913,0.188178390264511,1.77118186783787e-09,0.211101904511452,0,0,0,0.306983143091202,0.306983143091202,1434582.625,503.385284428915
