"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","secondaryLand","total_population","population_density"
"AD",-0.667180001735687,5.88782453536987,15.4168834686279,8.06793308258057,16.0840644836426,2.75740766525269,3.87370419502258,3.67241787910461,2.9795069694519,76.7333374023438,76.1958160400391,75.3157348632812,77.7717208862305,0.145064353942871,0.0381217710673809,0.0381655134260654,0.00292086438275874,0.000550899305380881,0.0581231042742729,0.170648097991943,0.54640543460846,0.717053472995758,9.26154150391378,0.0195467606964196
"AL013",0.158363997936249,8.92276859283447,19.221586227417,11.3203287124634,19.0632228851318,4.97372627258301,3.80683183670044,1.96865558624268,4.03792190551758,80.7772979736328,72.0436401367188,65.2012481689453,74.5877151489258,0.0993741080164909,0.154361888766289,0.00530393794178963,0.00121066975407302,0.236734136939049,0,0.501402258872986,0,0.501402258872986,11.1767982313286,0.00481457873067613
"AL015",2.33488202095032,10.2379274368286,20.3390884399414,12.8839597702026,18.004207611084,6.43872976303101,4.40293455123901,1.95151078701019,5.7923903465271,77.9024276733398,72.3956985473633,67.1241607666016,74.4566116333008,0.0827434062957764,0.116495981812477,0.00667060306295753,0.0015642570797354,0.274369925260544,0.0045365416444838,0.426285564899445,0.00258854543790221,0.428874135017395,11.357122170327,0.00317677848899569
"AL014",3.91158962249756,11.4856996536255,21.3332653045654,14.2338085174561,17.4216766357422,5.42770767211914,3.93699431419373,1.41902542114258,4.48821830749512,76.5427551269531,72.4866333007812,67.3478240966797,73.5075607299805,0.096216507256031,0.12437891215086,0.00102058437187225,0.000545039307326078,0.294930875301361,7.41216035748948e-06,0.408766448497772,4.22937046096195e-06,0.408770680427551,10.8445526771931,0.00654653083907336
"AL011",0.654868960380554,9.11460781097412,19.3285179138184,11.8056182861328,18.6736469268799,4.9739842414856,3.77549600601196,1.5968337059021,3.68747878074646,81.7262496948242,73.5416946411133,66.6770248413086,75.3091812133789,0.0897119790315628,0.146434396505356,0.00103991769719869,0.000605767767410725,0.295174777507782,0,0.454088181257248,0,0.454088181257248,11.3204546090927,0.00449200616797032
"AL012",6.74028968811035,13.2575159072876,22.6998100280762,16.3112869262695,15.9595203399658,5.01705932617188,3.40221047401428,1.13773012161255,4.13703060150146,73.8373031616211,72.4551162719727,69.2839660644531,72.6654968261719,0.124307997524738,0.124466478824615,0.000480309914564714,0.0012388025643304,0.248927518725395,0.00729857152327895,0.346888870000839,0.00423298496752977,0.351121872663498,10.4350261198332,0.0135600491627773
"AL021",2.88322830200195,10.7326221466064,20.7905559539795,13.4984073638916,17.9073276519775,4.43492078781128,3.19968295097351,1.28884315490723,3.16947388648987,80.3643493652344,72.0553817749023,65.2286605834961,74.1424713134766,0.0888663679361343,0.143945842981339,0.0102289784699678,0.000826691975817084,0.293316334486008,0,0.456643760204315,0,0.456643760204315,11.5749325865756,0.00349785350608464
"AL022",6.2522497177124,12.9853839874268,22.506010055542,15.9784832000732,16.2537593841553,4.73272609710693,3.25332760810852,1.14680123329163,3.66386270523071,75.0764617919922,72.3283462524414,68.6047134399414,72.93896484375,0.144333109259605,0.14484977722168,1.05781634829327e-06,0.00157116516493261,0.273062944412231,0.00271319667808712,0.385024070739746,0.00157810829114169,0.386602163314819,11.4053735743087,0.0068906774891987
"AL034",0.655030071735382,8.72184467315674,19.2060470581055,11.6862268447876,18.5510177612305,3.65973711013794,2.4926745891571,1.0718115568161,2.38934636116028,83.6015243530273,72.3697662353516,62.5864639282227,74.0064010620117,0.103554539382458,0.112926170229912,0.0254952907562256,0.000607008812949061,0.0418936982750893,0.498636364936829,0.0859300345182419,0.0736109912395477,0.159541040658951,11.18008137304,0.00302578360572619
"AL031",4.27614831924438,11.7343683242798,21.7717590332031,14.4790802001953,17.4956111907959,4.08753156661987,2.83495545387268,1.1116703748703,3.08773756027222,78.8064270019531,70.7936096191406,63.1352882385254,73.2192764282227,0.130667328834534,0.182774096727371,0.0231373719871044,0.000782439310569316,0.239726200699806,0,0.420510113239288,0,0.420510113239288,11.0971756185385,0.00610538834366436
