"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","secondaryLand","total_population","population_density"
"AD",2.78341603279114,8.08251953125,18.7250423431396,12.1781749725342,15.9416255950928,2.73333334922791,3.25922989845276,2.29532885551453,2.84361124038696,74.1513366699219,74.9368286132812,72.1157608032227,76.593505859375,0.0941915065050125,0.0601658821105957,0.0389862917363644,0.0165985282510519,9.6698226116132e-05,0.0314617678523064,0.165037631988525,0.593461692333221,18944.328125,NA,NA
"AL013",1.06488621234894,9.25117015838623,20.0170059204102,11.7569427490234,18.9521198272705,4.55674266815186,3.97331094741821,1.97523200511932,4.41118621826172,79.0977401733398,73.5109176635742,65.3277206420898,74.0181655883789,0.15328124165535,0.168993338942528,0.00510628800839186,0.0192447789013386,0.079556904733181,0,0.572204411029816,0,147462.234375,NA,NA
"AL015",2.27717518806458,9.89395809173584,20.7291202545166,12.7267026901245,18.4519443511963,6.4827995300293,5.25431251525879,2.06971883773804,6.1384482383728,76.6613693237305,73.6591415405273,66.8464813232422,73.60791015625,0.153391003608704,0.125097587704659,0.00579784531146288,0.0130678378045559,0.104662738740444,0.00170463311951607,0.508467316627502,0.00306586711667478,204120.65625,NA,NA
"AL014",5.98579406738281,13.5413579940796,24.3024196624756,16.2966842651367,18.3166255950928,4.89741086959839,3.92096924781799,1.82135021686554,4.68893337249756,75.7833709716797,73.1128768920898,66.406135559082,73.4648666381836,0.206112802028656,0.119117386639118,5.29486732236961e-10,0.0176411140710115,0.107182405889034,2.7851644972543e-06,0.475808560848236,5.00925625601667e-06,91401.8984375,NA,NA
"AL011",2.97340178489685,10.8775863647461,21.702880859375,13.5305156707764,18.7294788360596,4.05445194244385,3.43457746505737,1.72077810764313,3.80479621887207,80.0492553710938,74.6983261108398,66.9850845336914,75.2459106445312,0.180373772978783,0.168322339653969,0.00163301837164909,0.0120655791833997,0.103184290230274,0,0.521476030349731,0,122749.90625,NA,NA
"AL012",7.90735530853271,14.7841901779175,25.4055118560791,17.8931999206543,17.4981555938721,4.2684473991394,3.43381237983704,1.47343695163727,4.02595901489258,73.5108184814453,72.2787857055664,66.7135543823242,72.3636016845703,0.271547347307205,0.109011933207512,4.8466686219939e-10,0.0301460679620504,0.0787071213126183,0.000744678545743227,0.360951632261276,0.00673275208100677,235412.078125,NA,NA
"AL021",4.27801561355591,11.403470993042,22.1857738494873,14.4575233459473,17.9077568054199,3.63855767250061,3.05824279785156,1.45580995082855,3.33454322814941,78.6310882568359,73.2357330322266,65.643684387207,73.9644317626953,0.19488462805748,0.161146447062492,0.00932514760643244,0.0164901949465275,0.0987251549959183,0,0.513256371021271,0,361039.34375,NA,NA
"AL022",7.54059505462646,14.1839056015015,24.7739868164062,17.4313716888428,17.2333908081055,3.83761072158813,3.16744303703308,1.35266375541687,3.52672553062439,74.2717361450195,72.3796768188477,66.7514343261719,72.5810317993164,0.317286044359207,0.129841193556786,6.39663544355074e-10,0.0358474738895893,0.0808084532618523,0.000144759134855121,0.386583656072617,0.0026218683924526,710354.625,NA,NA
"AL034",2.4338104724884,10.0582990646362,20.9934997558594,12.95924949646,18.5596904754639,3.24493908882141,2.74224615097046,1.34144389629364,3.01471018791199,81.2574615478516,73.7112731933594,63.2662200927734,73.9206314086914,0.199656113982201,0.105069987475872,0.023998562246561,0.00851318426430225,0.0142941940575838,0.36380672454834,0.0964170098304749,0.130898326635361,152994.359375,NA,NA
"AL031",5.66117572784424,12.3041477203369,23.052806854248,15.5754737854004,17.3916320800781,3.78589606285095,2.96158599853516,1.26730573177338,3.46750140190125,77.1532821655273,72.1146621704102,63.8273048400879,72.9780654907227,0.280104637145996,0.179013758897781,0.0151804117485881,0.0144009850919247,0.0764723345637321,0,0.43242546916008,0,89296.921875,NA,NA
"AL032",9.59691905975342,15.7322816848755,26.2853031158447,19.2081985473633,16.688383102417,3.78766965866089,2.87165927886963,1.07343649864197,3.59781575202942,74.8021469116211,71.4969024658203,64.5247039794922,72.8464279174805,0.437205880880356,0.162092924118042,0.00128013314679265,0.0236003901809454,0.030270054936409,0.00527336867526174,0.179912135004997,0.0177978221327066,205581.171875,NA,NA
"AL035",8.56573867797852,14.8168115615845,25.3944396972656,18.1984825134277,16.8287029266357,5.08834171295166,3.09666275978088,0.902352929115295,4.5854640007019,76.1555328369141,73.874626159668,66.1921463012695,74.529655456543,0.211919829249382,0.161130785942078,0.0319297574460506,0.00617054617032409,0.0264290291815996,0.00713462475687265,0.30129674077034,0.0101158656179905,64897.88671875,NA,NA
"AL033",4.94151639938354,11.5969543457031,22.4459495544434,14.8569622039795,17.5044326782227,5.19191074371338,3.2588963508606,1.10905086994171,4.57024765014648,77.0616683959961,72.9483108520508,63.559642791748,73.2096405029297,0.234476611018181,0.174679920077324,0.0219957940280437,0.00597825041040778,0.0564489848911762,0.0137515971437097,0.438588321208954,0.00322378263808787,46785.8125,NA,NA
"AT11",2.19589328765869,11.565544128418,21.3429374694824,12.410756111145,19.1470432281494,1.61748242378235,2.4405357837677,3.22189807891846,1.95977365970612,81.0753707885742,70.8705444335938,69.3806076049805,78.2508697509766,0.299166262149811,0.153049543499947,0.000184729680768214,0.0182048492133617,0,0.0353728868067265,0.230196356773376,0.244131371378899,378985.0625,NA,NA
"AT12",1.32623767852783,10.3848314285278,20.2630271911621,11.6202688217163,18.93678855896,2.36687564849854,2.95699954032898,3.30214691162109,1.87612116336823,82.9863204956055,72.9206924438477,71.7008590698242,79.7355575561523,0.270737558603287,0.124852545559406,0.00297457026317716,0.0246395450085402,0,0.144854202866554,0.0773849114775658,0.354213327169418,3395085.75,NA,NA
"AT13",2.76912903785706,11.974949836731,21.9285850524902,12.8362817764282,19.1594562530518,1.88946878910065,2.49123692512512,2.58157706260681,1.67355716228485,81.6656494140625,70.6571350097656,68.0769424438477,76.9932327270508,0.260276347398758,0.0870762020349503,2.47817016907348e-10,0.129283249378204,0,0.126945942640305,0,0.396418273448944,473392.6875,NA,NA
"AT21",-1.35481023788452,6.50651693344116,16.2347736358643,8.91856575012207,17.5895843505859,2.78646183013916,3.79419612884521,4.88553524017334,3.69847130775452,81.7778701782227,76.1171112060547,78.0675430297852,82.9469528198242,0.0875404924154282,0.0835728198289871,0.0453551858663559,0.01388278324157,0,0,0.765515148639679,0,631982.875,NA,NA
