"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","secondaryLand","total_population","population_density"
"AD",2.45556211471558,7.84134912490845,18.4089813232422,11.1955966949463,15.9534196853638,2.36150503158569,3.06433773040771,2.48932957649231,3.09739685058594,74.1277542114258,74.8790740966797,73.602897644043,77.2594528198242,0.09445670992136,0.0552727095782757,0.0358048640191555,0.0183884371072054,5.72298195038456e-05,0.031436201184988,0.166368409991264,0.598215460777283,17627.111328125,NA,NA
"AL013",0.667717933654785,9.42295551300049,20.8246994018555,10.6542282104492,20.156982421875,3.78990077972412,2.94535565376282,1.33479070663452,4.10534286499023,77.6454391479492,70.2956161499023,57.923713684082,71.5863494873047,0.216483592987061,0.141044735908508,0.0041152723133564,0.027213741093874,0.0205675456672907,0,0.588962078094482,0,111987.671875,NA,NA
"AL015",1.86914598941803,10.0429697036743,21.4727687835693,11.6000204086304,19.6036224365234,5.14515066146851,3.70629978179932,1.34797441959381,5.60260438919067,75.7154769897461,70.8425750732422,59.9040489196777,71.3267974853516,0.264390617609024,0.0836886987090111,0.00348175829276443,0.016171408817172,0.025023901835084,0.00170463311951607,0.517351925373077,0.00344193167984486,140507.984375,NA,NA
"AL014",5.69916677474976,13.694016456604,24.9998626708984,15.3959894180298,19.3006954193115,4.00571203231812,2.9228982925415,1.1776282787323,4.28512954711914,74.4274520874023,70.1184539794922,60.6257400512695,70.5512313842773,0.244903340935707,0.103340931236744,5.29486732236961e-10,0.0206499379128218,0.0295220278203487,2.7851644972543e-06,0.527445375919342,5.62369996259804e-06,51516.65234375,NA,NA
"AL011",2.61045479774475,11.026650428772,22.4271984100342,12.6804237365723,19.816743850708,3.25448441505432,2.61734318733215,1.1609194278717,3.49970769882202,78.6203384399414,71.6723098754883,60.2599563598633,71.9928436279297,0.210461243987083,0.151003360748291,0.00147030060179532,0.0128252850845456,0.0451348386704922,0,0.566159963607788,0,77167.0234375,NA,NA
"AL012",7.65501880645752,14.9323215484619,26.0968399047852,16.978687286377,18.441822052002,3.34297847747803,2.45303416252136,0.887322306632996,3.65566682815552,72.1480941772461,69.5534515380859,61.3608474731445,69.4301376342773,0.306840032339096,0.0925654321908951,4.8466686219939e-10,0.0328333675861359,0.0453500188887119,0.000732629268895835,0.372633814811707,0.00688624754548073,149121.421875,NA,NA
"AL021",3.85583662986755,11.5312585830688,22.8641986846924,13.5815114974976,19.0083637237549,2.82792282104492,2.28853464126587,0.944847702980042,2.98979067802429,77.1922607421875,70.4213104248047,59.4952812194824,70.8100128173828,0.230526983737946,0.143726915121078,0.00843578763306141,0.0174955297261477,0.0839113369584084,0,0.509731411933899,0,224142.96875,NA,NA
"AL022",7.27303266525269,14.3311204910278,25.4736919403076,16.5278987884521,18.2006587982178,2.92347025871277,2.23816895484924,0.804864883422852,3.19731950759888,72.8904037475586,69.7080917358398,61.2102546691895,69.5227508544922,0.352502465248108,0.111311502754688,6.39663544355074e-10,0.0380368046462536,0.067170538008213,0.000139483352540992,0.381323516368866,0.00264907930977643,453766.875,NA,NA
"AL034",1.84813416004181,10.1480464935303,21.6295642852783,12.040545463562,19.7814292907715,2.46778917312622,2.0256495475769,0.847912669181824,2.58514189720154,79.9505767822266,70.9265289306641,57.3628425598145,70.9538497924805,0.217648595571518,0.09459587931633,0.0216261055320501,0.00865324772894382,0.0117521481588483,0.357176959514618,0.0929726138710976,0.138228520750999,104423.46875,NA,NA
"AL031",5.15758562088013,12.4103717803955,23.6315002441406,14.6426591873169,18.473913192749,2.98061776161194,2.16357588768005,0.82290244102478,3.00049757957458,75.7657470703125,69.4153213500977,58.7228126525879,70.1803588867188,0.331808596849442,0.158419981598854,0.0137579357251525,0.0166409723460674,0.0633716881275177,0,0.413598388433456,0,45914.28515625,NA,NA
"AL032",9.22685527801514,15.8432159423828,26.7804794311523,18.2302207946777,17.5536231994629,2.87258529663086,1.95059466362,0.684463739395142,3.10307216644287,73.3627548217773,68.9422454833984,60.6507225036621,70.1721267700195,0.469884097576141,0.137638166546822,0.00108700129203498,0.0261540003120899,0.0258608795702457,0.00464030168950558,0.176493376493454,0.0156748555600643,110779.390625,NA,NA
"AL035",8.13001537322998,14.9032363891602,25.9376239776611,17.2621631622314,17.8076095581055,4.12783193588257,2.23746943473816,0.553258419036865,3.9181182384491,74.763557434082,71.4820022583008,62.0376777648926,71.6502151489258,0.22605288028717,0.136274427175522,0.0270182322710752,0.00657862843945622,0.020061893388629,0.00693607004359365,0.322708636522293,0.0104964142665267,39602.1640625,NA,NA
"AL033",4.40282487869263,11.6976757049561,23.0640258789062,13.9335079193115,18.6611995697021,4.42374992370605,2.47332882881165,0.658787429332733,3.95874834060669,75.6663284301758,70.4153823852539,58.1882247924805,70.1443634033203,0.268534481525421,0.154521465301514,0.0192249808460474,0.00701826950535178,0.0460649393498898,0.0135944094508886,0.436738729476929,0.0034459843300283,28677.14453125,NA,NA
"AT11",2.59865617752075,12.0892715454102,22.2367076873779,11.5692071914673,19.6380519866943,1.21890044212341,1.95829427242279,2.35145020484924,1.78468763828278,78.3712997436523,66.5084457397461,62.7960548400879,75.2567977905273,0.339914888143539,0.0579613298177719,7.03578625689261e-05,0.0194695629179478,0,0.0105122243985534,0.255822688341141,0.296554982662201,327587.65625,NA,NA
"AT12",1.73638808727264,10.7973527908325,20.8975811004639,10.548357963562,19.1611938476562,1.92403519153595,2.58687686920166,2.67566680908203,1.81775486469269,81.0079727172852,70.2995529174805,65.5564346313477,77.4445114135742,0.355983138084412,0.0559059754014015,0.00102451106067747,0.0281430725008249,0,0.0422586500644684,0.0719049572944641,0.444436341524124,3322429.75,NA,NA
"AT13",3.22290945053101,12.3928260803223,22.6392154693604,11.8336591720581,19.4163055419922,1.42169594764709,2.12812209129333,2.21126341819763,1.62992322444916,78.9545516967773,67.4567337036133,61.5655937194824,74.8300704956055,0.311162322759628,0.053706020116806,2.47817016907348e-10,0.129494398832321,0,0.0365479178726673,0,0.469089359045029,484517.5,NA,NA
"AT21",-1.20116710662842,6.78431797027588,16.5961208343506,7.80914497375488,17.7972869873047,2.15035653114319,3.3315486907959,3.93569588661194,3.31472873687744,80.1087493896484,74.5584945678711,73.8166427612305,80.8075637817383,0.108398675918579,0.054683443158865,0.0395773760974407,0.0150763317942619,0,0,0.77813059091568,0,569335.6875,NA,NA
"AT22",-0.332668036222458,7.97328329086304,17.875919342041,8.57253265380859,18.208589553833,2.20039415359497,3.03757071495056,3.60773849487305,2.59922862052917,81.2215423583984,73.6197967529297,72.0523223876953,80.5150680541992,0.177631720900536,0.0335446260869503,0.0124210184440017,0.0229103658348322,0,0.0169314574450254,0.689117014408112,0.0464993119239807,1248108,NA,NA
