"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","secondaryLand","total_population","population_density"
"AD",1.87287712097168,7.37572145462036,17.6565246582031,11.2085800170898,15.7836475372314,2.42680668830872,3.01667356491089,1.93687582015991,2.44877600669861,74.432373046875,74.3664169311523,70.6098480224609,75.1291961669922,0.09445670992136,0.0552727095782757,0.0358048640191555,0.0183884371072054,5.72298195038456e-05,0.031436201184988,0.166368409991264,0.598215460777283,17627.111328125,NA,NA
"AL013",0.396891713142395,8.78431034088135,19.6457786560059,10.6357841491699,19.2488861083984,4.1269211769104,3.33912467956543,1.50300335884094,3.88718366622925,78.1278839111328,70.8402862548828,61.0281410217285,73.544792175293,0.216483592987061,0.141044735908508,0.0041152723133564,0.027213741093874,0.0205675456672907,0,0.588962078094482,0,111987.671875,NA,NA
"AL015",1.66911900043488,9.43519115447998,20.3315658569336,11.6291360855103,18.662446975708,5.6797342300415,4.20707130432129,1.40906143188477,5.37850475311279,75.5121917724609,71.0669021606445,62.0678672790527,72.9389572143555,0.264390617609024,0.0836886987090111,0.00348175829276443,0.016171408817172,0.025023901835084,0.00170463311951607,0.517351925373077,0.00344193167984486,140507.984375,NA,NA
"AL014",5.7067494392395,13.2035436630249,23.925407409668,15.2740602493286,18.218656539917,4.59682941436768,3.60951638221741,1.23578095436096,4.21792078018188,74.2174072265625,70.6225814819336,61.9403114318848,72.8919143676758,0.244903340935707,0.103340931236744,5.29486732236961e-10,0.0206499379128218,0.0295220278203487,2.7851644972543e-06,0.527445375919342,5.62369996259804e-06,51516.65234375,NA,NA
"AL011",2.60425519943237,10.4787263870239,21.3457736968994,12.5418252944946,18.7415199279785,3.73160576820374,3.06362009048462,1.18724656105042,3.54612040519714,78.8895568847656,72.2472457885742,62.472972869873,74.7034301757812,0.210461243987083,0.151003360748291,0.00147030060179532,0.0128252850845456,0.0451348386704922,0,0.566159963607788,0,77167.0234375,NA,NA
"AL012",7.66762256622314,14.4528121948242,24.9990882873535,16.8254795074463,17.3314647674561,3.9742956161499,3.09704923629761,0.904499173164368,3.58131146430969,71.7508392333984,69.8584213256836,62.3827095031738,71.7712326049805,0.306840032339096,0.0925654321908951,4.8466686219939e-10,0.0328333675861359,0.0453500188887119,0.000732629268895835,0.372633814811707,0.00688624754548073,149121.421875,NA,NA
"AL021",3.87268114089966,11.0025367736816,21.7705078125,13.4083633422852,17.8978271484375,3.32644534111023,2.67209506034851,0.94136244058609,3.09816980361938,77.1813735961914,70.8184585571289,61.5977478027344,73.4400634765625,0.230526983737946,0.143726915121078,0.00843578763306141,0.0174955297261477,0.0839113369584084,0,0.509731411933899,0,224142.96875,NA,NA
"AL022",7.28102397918701,13.8367280960083,24.3685398101807,16.3584270477295,17.0875186920166,3.53587889671326,2.80010581016541,0.805630385875702,3.16679573059082,72.5977249145508,70.0012130737305,62.4237785339355,71.9867324829102,0.352502465248108,0.111311502754688,6.39663544355074e-10,0.0380368046462536,0.067170538008213,0.000139483352540992,0.381323516368866,0.00264907930977643,453766.875,NA,NA
"AL034",1.95412075519562,9.68404579162598,20.6198024749756,11.8636999130249,18.6656799316406,2.9067907333374,2.30563688278198,0.779733955860138,2.78949570655823,79.6156234741211,71.0796966552734,59.4107208251953,73.4418487548828,0.217648595571518,0.09459587931633,0.0216261055320501,0.00865324772894382,0.0117521481588483,0.357176959514618,0.0929726138710976,0.138228520750999,104423.46875,NA,NA
"AL031",5.22455358505249,11.9233074188232,22.5544052124023,14.4513673782349,17.3298530578613,3.47232389450073,2.56376695632935,0.758955657482147,3.18928718566895,75.1827545166016,69.7150039672852,60.5519104003906,72.5285720825195,0.331808596849442,0.158419981598854,0.0137579357251525,0.0166409723460674,0.0633716881275177,0,0.413598388433456,0,45914.28515625,NA,NA
