"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","secondaryLand","total_population","population_density"
"AD",4.04223203659058,9.29833221435547,19.5011405944824,12.9090423583984,15.458909034729,2.5621485710144,3.26728343963623,2.0503876209259,2.5362536907196,74.267578125,73.5573043823242,70.5874099731445,73.9696502685547,0.09445670992136,0.0552727095782757,0.0358048640191555,0.0183884371072054,5.72298195038456e-05,0.031436201184988,0.166368409991264,0.598215460777283,17627.111328125,NA,NA
"AL013",2.99613642692566,10.9752435684204,21.9840679168701,12.5262889862061,18.9879302978516,4.33126592636108,3.19702863693237,1.65716338157654,4.24388074874878,76.8055953979492,69.5900726318359,59.9317054748535,73.5522232055664,0.216483592987061,0.141044735908508,0.0041152723133564,0.027213741093874,0.0205675456672907,0,0.588962078094482,0,111987.671875,NA,NA
"AL015",3.92778134346008,11.5370025634766,22.6577854156494,13.5361948013306,18.7300052642822,6.0066442489624,3.94194769859314,1.52723872661591,5.90041828155518,74.9650115966797,70.3128814697266,61.9888191223145,73.1280136108398,0.264390617609024,0.0836886987090111,0.00348175829276443,0.016171408817172,0.025023901835084,0.00170463311951607,0.517351925373077,0.00344193167984486,140507.984375,NA,NA
"AL014",7.28367471694946,14.9467544555664,25.8611717224121,17.1010456085205,18.5774974822998,4.5750207901001,3.39046335220337,1.4783262014389,4.63112497329712,74.9614562988281,71.0987777709961,64.0207061767578,72.8613967895508,0.244903340935707,0.103340931236744,5.29486732236961e-10,0.0206499379128218,0.0295220278203487,2.7851644972543e-06,0.527445375919342,5.62369996259804e-06,51516.65234375,NA,NA
"AL011",4.58601570129395,12.3262796401978,23.3609981536865,14.3076305389404,18.7749805450439,3.76056933403015,3.016765832901,1.45854806900024,3.74641680717468,78.3889923095703,71.7754745483398,63.2797584533691,74.6610336303711,0.210461243987083,0.151003360748291,0.00147030060179532,0.0128252850845456,0.0451348386704922,0,0.566159963607788,0,77167.0234375,NA,NA
"AL012",9.10670948028564,16.1791343688965,26.9320888519287,18.6882343292236,17.8253784179688,3.93183875083923,2.94688701629639,1.15544128417969,3.97485589981079,72.9825210571289,70.7284469604492,64.9166564941406,71.6762466430664,0.306840032339096,0.0925654321908951,4.8466686219939e-10,0.0328333675861359,0.0453500188887119,0.000732629268895835,0.372633814811707,0.00688624754548073,149121.421875,NA,NA
"AL021",5.87664556503296,12.8605613708496,23.8445224761963,15.2213010787964,17.9678764343262,3.3988094329834,2.68155074119568,1.20156681537628,3.30757546424866,77.0321807861328,70.5056838989258,62.1404113769531,73.2684173583984,0.230526983737946,0.143726915121078,0.00843578763306141,0.0174955297261477,0.0839113369584084,0,0.509731411933899,0,224142.96875,NA,NA
"AL022",8.81739521026611,15.589469909668,26.3252811431885,18.2158813476562,17.5078868865967,3.50868606567383,2.7239682674408,1.06489181518555,3.47903943061829,73.569465637207,70.6659851074219,64.6904296875,71.8735198974609,0.352502465248108,0.111311502754688,6.39663544355074e-10,0.0380368046462536,0.067170538008213,0.000139483352540992,0.381323516368866,0.00264907930977643,453766.875,NA,NA
"AL034",4.13466644287109,11.5164995193481,22.6865482330322,13.7182321548462,18.5518817901611,3.04417872428894,2.38426160812378,1.11125755310059,3.02829647064209,79.5494384765625,70.9145660400391,59.3417510986328,73.3281631469727,0.217648595571518,0.09459587931633,0.0216261055320501,0.00865324772894382,0.0117521481588483,0.357176959514618,0.0929726138710976,0.138228520750999,104423.46875,NA,NA
"AL031",7.20701503753662,13.7587013244629,24.6995487213135,16.3402652740479,17.4925327301025,3.59956645965576,2.58463215827942,1.03874897956848,3.45372819900513,75.7617950439453,69.6238632202148,60.6190795898438,72.2583084106445,0.331808596849442,0.158419981598854,0.0137579357251525,0.0166409723460674,0.0633716881275177,0,0.413598388433456,0,45914.28515625,NA,NA
"AL032",10.808292388916,17.139518737793,27.8261318206787,19.996166229248,17.0178394317627,3.50339603424072,2.46284914016724,0.807480573654175,3.5691249370575,74.2570190429688,70.00537109375,62.759952545166,72.1642990112305,0.469884097576141,0.137638166546822,0.00108700129203498,0.0261540003120899,0.0258608795702457,0.00464030168950558,0.176493376493454,0.0156748555600643,110779.390625,NA,NA
"AL035",9.70863246917725,16.1706390380859,26.9593296051025,18.9745025634766,17.2506980895996,4.85930013656616,2.68141388893127,0.670482456684113,4.61095428466797,75.8776397705078,72.1948089599609,64.3579788208008,73.8892440795898,0.22605288028717,0.136274427175522,0.0270182322710752,0.00657862843945622,0.020061893388629,0.00693607004359365,0.322708636522293,0.0104964142665267,39602.1640625,NA,NA
"AL033",6.49361228942871,13.0473499298096,24.1130599975586,15.6067819595337,17.6194496154785,5.09857511520386,2.88584184646606,0.893317878246307,4.55929708480835,75.795280456543,70.3880462646484,60.2682113647461,72.5346298217773,0.268534481525421,0.154521465301514,0.0192249808460474,0.00701826950535178,0.0460649393498898,0.0135944094508886,0.436738729476929,0.0034459843300283,28677.14453125,NA,NA
"AT11",4.40413570404053,13.4056215286255,23.6337127685547,13.7230405807495,19.2295761108398,1.36210608482361,2.06248736381531,2.71187019348145,2.35627675056458,77.6999282836914,67.1633834838867,62.6114273071289,77.1984634399414,0.339914888143539,0.0579613298177719,7.03578625689261e-05,0.0194695629179478,0,0.0105122243985534,0.255822688341141,0.296554982662201,327587.65625,NA,NA
"AT12",3.51402759552002,12.4064693450928,22.4053211212158,12.9001655578613,18.8912944793701,1.97318863868713,2.6533465385437,3.05746555328369,2.2130491733551,79.6058197021484,69.4880447387695,65.5487442016602,79.0116119384766,0.355983138084412,0.0559059754014015,0.00102451106067747,0.0281430725008249,0,0.0422586500644684,0.0719049572944641,0.444436341524124,3322429.75,NA,NA
"AT13",4.96964502334595,13.8838748931885,24.1312160491943,14.1595506668091,19.1615715026855,1.53000891208649,2.16664886474609,2.40647220611572,1.99918103218079,78.2458190917969,67.3359832763672,61.639835357666,76.6405487060547,0.311162322759628,0.053706020116806,2.47817016907348e-10,0.129494398832321,0,0.0365479178726673,0,0.469089359045029,484517.5,NA,NA
"AT21",0.86841881275177,8.52535438537598,18.2248344421387,10.0388870239258,17.3564167022705,2.34562969207764,3.72116327285767,4.46108913421631,4.11871767044067,78.3013229370117,73.3284683227539,72.4551086425781,81.5639343261719,0.108398675918579,0.054683443158865,0.0395773760974407,0.0150763317942619,0,0,0.77813059091568,0,569335.6875,NA,NA
"AT22",1.63376295566559,9.6385908126831,19.4346332550049,10.8393840789795,17.8008689880371,2.36158871650696,3.32611203193665,4.2503342628479,3.25953388214111,79.5345687866211,72.5433959960938,71.4118423461914,81.4804306030273,0.177631720900536,0.0335446260869503,0.0124210184440017,0.0229103658348322,0,0.0169314574450254,0.689117014408112,0.0464993119239807,1248108,NA,NA
"AT31",2.85811018943787,11.392765045166,20.8864269256592,12.2394199371338,18.0283164978027,3.10974407196045,3.70118474960327,4.26681184768677,3.11277461051941,81.1623458862305,71.7307281494141,70.3185501098633,81.6057205200195,0.30874702334404,0.0862820520997047,0.00597087573260069,0.0275630336254835,0,0.0249293558299541,0.34464293718338,0.197140976786613,1410498.375,NA,NA
"AT32",0.171305611729622,6.70434999465942,15.911958694458,8.70741271972656,15.7406539916992,3.30106401443481,4.63725709915161,5.7516713142395,4.05048322677612,79.4475021362305,75.6052398681641,75.2649383544922,82.4496688842773,0.092513844370842,0.110601551830769,0.112216040492058,0.0132091799750924,0,0,0.654712319374084,0,522780.03125,NA,NA
"AT33",-0.507513046264648,6.01728773117065,14.7362499237061,7.85493993759155,15.243763923645,2.78720331192017,4.01292514801025,5.26539134979248,3.55534720420837,75.8505401611328,73.6396102905273,74.8084106445312,80.2362060546875,0.109247654676437,0.0893009901046753,0.111607812345028,0.0116237541660666,0,0,0.657022953033447,0,823133.1875,NA,NA
"AT34",1.16546094417572,7.89082908630371,16.1636638641357,9.38198566436768,14.9982023239136,3.73234915733337,4.64222812652588,5.9223256111145,3.90946078300476,75.640251159668,72.076904296875,74.6097106933594,79.5647888183594,0.134916499257088,0.0707411095499992,0.0624474249780178,0.032794889062643,0.000371939444448799,0,0.690221846103668,0,399161.3125,NA,NA
"BAG1652",4.01499128341675,11.6730918884277,22.6160335540771,13.5189228057861,18.6010437011719,3.47104597091675,3.15220522880554,2.05557537078857,4.01724338531494,78.649787902832,71.0498580932617,64.2698211669922,76.6483459472656,0.270610868930817,0.0820089429616928,0.0153492279350758,0.0143876671791077,2.96069197247562e-06,0.110371090471745,0.450881004333496,0.0411060526967049,1040550,NA,NA
"BAG1653",4.51853847503662,12.5510387420654,23.5350761413574,14.071268081665,19.0165367126465,3.288658618927,3.07180047035217,2.19786071777344,3.55011987686157,78.3947372436523,69.8794403076172,63.9363708496094,76.2597885131836,0.29141840338707,0.0717302039265633,0.015393128618598,0.0124948620796204,6.33066611044342e-06,0.136099129915237,0.384345322847366,0.0787828341126442,732185.75,NA,NA
"BE10",5.94090557098389,12.0560131072998,20.857006072998,14.5211524963379,14.9160995483398,2.71535062789917,2.07950520515442,2.18176054954529,2.2290096282959,85.4871215820312,74.782112121582,70.5989227294922,82.2338714599609,0.329954922199249,0.0406105183064938,7.14613257457586e-10,0.275452643632889,0,0,0,0.353981971740723,198571.296875,NA,NA
"BE21",6.00320529937744,11.9992475509644,20.8965091705322,14.3939428329468,14.8933038711548,2.60164332389832,1.90216863155365,2.06616449356079,2.26158285140991,85.2303848266602,74.0230407714844,69.8525238037109,82.2028503417969,0.252638727426529,0.0398415103554726,1.39280897926142e-09,0.141583770513535,0,1.97564561932317e-10,0,0.546947121620178,1478769,NA,NA
"BE22",5.55176258087158,11.9607543945312,20.9519805908203,14.287504196167,15.4002170562744,2.646888256073,2.06318950653076,2.12683749198914,2.22918796539307,85.0544052124023,73.2209854125977,69.1621551513672,81.8435592651367,0.274557173252106,0.0446936637163162,7.23819393311231e-10,0.128347337245941,0,0,0,0.552401781082153,984256.375,NA,NA
"BE23",5.93906307220459,11.6080331802368,20.410717010498,14.5501108169556,14.4716548919678,2.74691486358643,1.91147899627686,2.0536572933197,2.37361216545105,85.3590698242188,76.1321258544922,73.310905456543,83.1669235229492,0.276880919933319,0.109407089650631,1.29170163454262e-09,0.130882248282433,0,1.60377863767103e-10,0,0.407124817371368,1571949.75,NA,NA
"BE24",5.7010703086853,11.9977979660034,20.9590549468994,14.4632835388184,15.2579860687256,2.62724900245667,2.04795074462891,2.130295753479,2.15912795066833,85.3820877075195,74.4316482543945,70.3674621582031,82.176139831543,0.368521720170975,0.0464684590697289,1.60340363208888e-09,0.188934788107872,0,1.58197274724436e-11,0,0.394554615020752,1580619.25,NA,NA
"BE25",6.07903671264648,11.2842102050781,19.7943153381348,14.5073614120483,13.715277671814,2.8465256690979,2.00289845466614,2.06906342506409,2.55135631561279,84.5643081665039,77.3224716186523,74.9549255371094,82.7611618041992,0.325437784194946,0.117923453450203,3.51083031091548e-07,0.0992713943123817,0,3.12096903876125e-10,0,0.256499230861664,1483263.25,NA,NA
"BE31",5.68331527709961,12.0127248764038,20.9980373382568,14.4864940643311,15.3147230148315,2.61472988128662,2.03347444534302,2.12171459197998,2.12216949462891,85.4155426025391,74.4620361328125,70.3676300048828,82.1545028686523,0.382113188505173,0.0445169433951378,1.92275995125613e-09,0.188256055116653,0,0,0,0.385113835334778,783342.4375,NA,NA
"BE32",5.65242624282837,11.7326135635376,20.6094245910645,14.3372211456299,14.9569988250732,2.98655843734741,2.20515751838684,2.16073369979858,2.37348699569702,86.0479354858398,75.8959732055664,72.5888748168945,83.3302688598633,0.338364362716675,0.0878715738654137,8.31857693839311e-10,0.12818518280983,0,0,0.233010843396187,0.212568044662476,1971932.25,NA,NA
