"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","secondaryLand","total_population","population_density"
"AD",3.05099511146545,7.88826656341553,18.4239406585693,11.3848276138306,15.3729448318481,2.27488827705383,2.77910113334656,2.08369970321655,2.74800825119019,73.1023712158203,72.6540222167969,70.2847747802734,75.6973114013672,0.171516045928001,0.0417806915938854,0.0267916619777679,0.0160337835550308,9.00903323781677e-05,0.0294321347028017,0.15366567671299,0.560689926147461,19010.2109375,NA,NA
"AL013",0.710541367530823,8.82235717773438,20.1993179321289,11.2858772277832,19.4887771606445,3.47991704940796,3.05612134933472,1.730464220047,4.05337858200073,77.0491256713867,69.9883270263672,61.8701972961426,73.0334243774414,0.151827931404114,0.181701391935349,0.00549816945567727,0.0151309967041016,0.0798403322696686,0,0.564388155937195,0,152918.140625,NA,NA
"AL015",1.97608506679535,9.54359912872314,20.9004192352295,12.2836809158325,18.9243335723877,4.69958925247192,3.8525493144989,1.81436419487,5.48759508132935,74.928581237793,70.0766143798828,63.9503936767578,72.733024597168,0.152166664600372,0.129435479640961,0.00591315655037761,0.0103617748245597,0.104838281869888,0.00171009788755327,0.506712019443512,0.00411739060655236,213171.09375,NA,NA
"AL014",5.81878805160522,13.2527351379395,24.3684711456299,15.9360456466675,18.5496807098389,3.75009655952454,3.21430897712708,1.56170403957367,4.23377084732056,73.8577270507812,69.8642120361328,64.7066955566406,72.2794952392578,0.156806781888008,0.129338502883911,5.29486732236961e-10,0.0112146530300379,0.108287133276463,2.79409323411528e-06,0.520213425159454,6.72731857775943e-06,95318.4453125,NA,NA
"AL011",2.73216533660889,10.5221290588379,21.7505893707275,13.1575441360474,19.018424987793,3.09364128112793,2.82306838035583,1.45340263843536,3.54810929298401,78.0120391845703,71.2092437744141,64.5587615966797,74.2089462280273,0.16593511402607,0.19139389693737,0.00190707051660866,0.0100406464189291,0.102545395493507,0,0.515232920646667,0,127230.578125,NA,NA
"AL012",7.78284358978271,14.522647857666,25.4796524047852,17.503231048584,17.6968097686768,3.1460325717926,2.77002811431885,1.24205279350281,3.52449989318848,71.6840744018555,69.2193984985352,65.2019653320312,71.1058578491211,0.193072929978371,0.113559506833553,4.8466686219939e-10,0.023481223732233,0.0801766365766525,0.000748754653614014,0.438449114561081,0.00835338141769171,247346.453125,NA,NA
"AL021",4.04444551467896,11.0389842987061,22.2479915618896,14.0435314178467,18.2035465240479,2.69750213623047,2.48204350471497,1.17703211307526,3.103276014328,76.6751022338867,69.8904037475586,63.1905288696289,72.8254318237305,0.165268987417221,0.181787744164467,0.0107043301686645,0.0138982441276312,0.0980784893035889,0,0.52409017086029,0,378220.3125,NA,NA
"AL022",7.40554332733154,13.9073266983032,24.8476886749268,17.0261192321777,17.4421443939209,2.76377272605896,2.53795266151428,1.12185728549957,3.09205961227417,72.4457473754883,69.3063507080078,65.063102722168,71.3290634155273,0.231400147080421,0.137246087193489,6.39663544355074e-10,0.0297743249684572,0.0819746255874634,0.000145962665555999,0.469372630119324,0.00321962591260672,746310.25,NA,NA
"AL034",2.15279483795166,9.64081859588623,21.0695362091064,12.4989328384399,18.9167404174805,2.33530950546265,2.19887614250183,1.06471514701843,2.89415383338928,79.2368316650391,70.3275527954102,60.7031021118164,72.8272933959961,0.192271873354912,0.122207328677177,0.0291093979030848,0.00795490853488445,0.0141619024798274,0.358429610729218,0.0938183814287186,0.12470069527626,160854.15625,NA,NA
"AL031",5.44460010528564,11.9358053207397,23.10817527771,15.1414203643799,17.6635761260986,2.84840822219849,2.38849329948425,1.00984346866608,3.20895409584045,75.209114074707,68.9352569580078,61.5111961364746,71.7761306762695,0.222947001457214,0.196015045046806,0.0173555444926023,0.0106653580442071,0.0760814175009727,0,0.474533230066299,0,93158.4921875,NA,NA
