"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","secondaryLand","total_population","population_density"
"AD",3.85578656196594,10.5227832794189,21.1712913513184,13.1758871078491,17.3155059814453,2.63352108001709,2.38506531715393,2.06903171539307,2.56530547142029,74.9424362182617,71.2920227050781,68.2754211425781,75.1770706176758,0.178662642836571,0.0785980299115181,0.0452646911144257,0.0136244399473071,5.11625585204456e-05,0.0269092340022326,0.141026645898819,0.515863120555878,21215.412109375,NA,NA
"AL013",1.78141903877258,11.5746965408325,22.7536945343018,12.7090854644775,20.9722747802734,4.2904634475708,2.57753610610962,1.52849161624908,3.45915389060974,79.7136688232422,68.1528549194336,59.1471824645996,71.3164138793945,0.13218092918396,0.194751918315887,0.00605995394289494,0.0192152019590139,0.0288866516202688,0,0.61729234457016,0,144907.5,NA,NA
"AL015",3.05513405799866,12.0975284576416,23.3528537750244,13.5929565429688,20.2977199554443,6.21870231628418,3.14735889434814,1.51093935966492,4.8252477645874,77.5852508544922,69.1907577514648,61.2773704528809,71.5636520385742,0.147100120782852,0.128106445074081,0.0057970117777586,0.011374345049262,0.0383716523647308,0.0017086158040911,0.577805399894714,0.0049912934191525,198234.84375,NA,NA
"AL014",7.07301950454712,15.702672958374,26.8913288116455,17.3889045715332,19.8183116912842,4.9576096534729,2.74791264533997,1.1918728351593,3.79658818244934,76.3552856445312,69.2409439086914,61.3136749267578,70.2926330566406,0.106080196797848,0.138555377721786,5.29486732236961e-10,0.01074886508286,0.039063286036253,2.79167193184549e-06,0.631411373615265,8.15516978036612e-06,75297.5078125,NA,NA
"AL011",3.92734837532043,13.0921516418457,24.6665916442871,14.7527503967285,20.7392444610596,3.93434906005859,2.3598313331604,1.16983211040497,3.01031708717346,80.8813018798828,69.9703674316406,59.6559829711914,71.2099761962891,0.0643184930086136,0.257940858602524,0.00278105470351875,0.0107417069375515,0.048229742795229,0,0.60304319858551,0,103491.171875,NA,NA
"AL012",9.08414173126221,16.9286327362061,27.8808307647705,18.9389820098877,18.796688079834,4.41960573196411,2.31685876846313,0.859287798404694,3.25574493408203,73.9249496459961,68.9162368774414,62.4151268005371,69.5200119018555,0.156770899891853,0.0995578467845917,4.8466686219939e-10,0.0209533181041479,0.0526495464146137,0.000748047255910933,0.517343997955322,0.00981788989156485,202732.71875,NA,NA
"AL021",5.21321725845337,13.5843315124512,25.0408096313477,15.5924940109253,19.8275909423828,3.51130366325378,2.03941583633423,0.923542439937592,2.57849931716919,79.6037673950195,68.7670059204102,58.9097175598145,70.219482421875,0.0843393132090569,0.238993555307388,0.0148336058482528,0.0140176797285676,0.0813154354691505,0,0.560328364372253,0,309085.875,NA,NA
"AL022",8.70311260223389,16.3407688140869,27.3375415802002,18.5041847229004,18.6344318389893,3.95008015632629,2.09192228317261,0.758719682693481,2.82217216491699,74.7377395629883,68.8537292480469,61.947826385498,69.5495452880859,0.178935170173645,0.134022951126099,6.39663544355074e-10,0.0267253033816814,0.0719067305326462,0.000145810525282286,0.537629544734955,0.00376791786402464,612827.5,NA,NA
"AL034",3.19663071632385,12.2249307632446,23.8318939208984,13.9935541152954,20.6352634429932,3.02589297294617,1.78254330158234,0.853118002414703,2.15628385543823,83.0202026367188,68.8391189575195,56.2041358947754,70.1225662231445,0.0643533170223236,0.180581912398338,0.0483819656074047,0.00887215044349432,0.0115776946768165,0.32847785949707,0.0974131003022194,0.20299606025219,134207.875,NA,NA
"AL031",6.55041742324829,14.4333610534668,25.6514453887939,16.5590553283691,19.1010284423828,3.65148067474365,1.9312858581543,0.791657507419586,2.57302856445312,78.2632522583008,67.9942932128906,58.422046661377,69.676399230957,0.137229114770889,0.232905730605125,0.0237757917493582,0.0104231229051948,0.0634338930249214,0,0.529829919338226,0,71635.53125,NA,NA
