"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","secondaryLand","total_population","population_density"
"AD",3.74514627456665,9.20377540588379,19.8258838653564,12.2086143493652,16.080738067627,2.87450480461121,3.05540084838867,2.23938536643982,2.69433426856995,75.1050186157227,74.4054107666016,71.7246551513672,76.8614273071289,0.0966834276914597,0.0665047392249107,0.0431184619665146,0.0200678892433643,8.93027972779237e-05,0.0313368737697601,0.161688670516014,0.58051061630249,19144.14453125,NA,NA
"AL013",2.01478576660156,10.2809925079346,21.4433822631836,12.1983814239502,19.428596496582,4.60437440872192,3.30812811851501,1.27173352241516,3.54243683815002,79.6024856567383,71.6799545288086,60.3633766174316,72.2169189453125,0.150688022375107,0.179330259561539,0.00543484091758728,0.0186855047941208,0.0795449391007423,0,0.564703404903412,0,141413.03125,NA,NA
"AL015",3.14426350593567,10.925311088562,22.0511894226074,13.099892616272,18.906925201416,6.49859476089478,4.11862802505493,1.31213736534119,4.97856569290161,77.4293365478516,71.9118728637695,62.8241729736328,72.2652740478516,0.148220583796501,0.133526682853699,0.00622165435925126,0.012278962880373,0.105468697845936,0.00167733139824122,0.505005300045013,0.00285562011413276,192707.421875,NA,NA
"AL014",7.10910797119141,14.5644950866699,25.566556930542,16.7974720001221,18.4574508666992,5.23812532424927,3.38197541236877,1.19549453258514,4.08589029312134,76.0246734619141,71.6721954345703,63.115119934082,71.8167724609375,0.201544672250748,0.126000761985779,5.29486732236961e-10,0.0199094079434872,0.106681935489178,2.74055696536379e-06,0.471725851297379,4.66573783342028e-06,83771.6953125,NA,NA
"AL011",4.11456298828125,11.911208152771,23.0554504394531,14.0961036682129,18.9408893585205,4.24578905105591,2.993807554245,1.10783064365387,3.30823731422424,80.4447021484375,72.9057998657227,62.7737045288086,73.2540893554688,0.180787578225136,0.177975296974182,0.0017262912588194,0.0127194160595536,0.102436207234859,0,0.511410236358643,0,113556.6328125,NA,NA
"AL012",8.84911346435547,15.812427520752,26.6087818145752,18.2880172729492,17.7596702575684,4.4921293258667,2.89421701431274,0.945846617221832,3.65748071670532,73.8888626098633,70.6018371582031,64.0923233032227,71.1099853515625,0.266775906085968,0.115335375070572,4.8466686219939e-10,0.0320374928414822,0.078460305929184,0.000736631103791296,0.358010143041611,0.00648570340126753,216686.34375,NA,NA
"AL021",5.13486242294312,12.4228382110596,23.4916019439697,14.9297494888306,18.3567390441895,3.76545262336731,2.61355018615723,0.933914840221405,3.05263042449951,79.1268463134766,71.0979690551758,61.9229888916016,72.261116027832,0.194026470184326,0.170370221138,0.00985873583704233,0.0166771523654461,0.0979486852884293,0,0.504946708679199,0,332797.65625,NA,NA
"AL022",8.43180084228516,15.2281579971313,26.0263252258301,17.824836730957,17.5945243835449,3.95330739021301,2.65066981315613,0.849565148353577,3.25889849662781,74.8240356445312,70.4336700439453,63.8475646972656,71.2352905273438,0.313566327095032,0.137348681688309,6.39663544355074e-10,0.0372491292655468,0.080499105155468,0.000144139266922139,0.381789982318878,0.00253605889156461,654034.5,NA,NA
"AL034",3.29919362068176,11.0235071182251,22.3341884613037,13.4764547348022,19.0349922180176,3.32966613769531,2.34638452529907,0.913748800754547,2.68424677848816,81.6410293579102,71.7998199462891,58.9655113220215,71.6269989013672,0.202475860714912,0.111092321574688,0.0253510270267725,0.00945509225130081,0.0141976410523057,0.363076686859131,0.095066025853157,0.121939450502396,141026.78125,NA,NA
"AL031",6.35432243347168,13.2644004821777,24.2172336578369,15.9658546447754,17.8629112243652,4.01069688796997,2.50952076911926,0.801346600055695,3.27664065361023,77.6964797973633,70.3035507202148,60.7804527282715,71.6104049682617,0.277892976999283,0.189322263002396,0.0160492248833179,0.013200618326664,0.0759148821234703,0,0.425217598676682,0,81769.703125,NA,NA
"AL032",10.2974233627319,16.7033863067627,27.3216133117676,19.5037269592285,17.0241889953613,3.95756721496582,2.36658358573914,0.658722877502441,3.55249309539795,75.2279739379883,69.9560165405273,62.6363906860352,71.9453277587891,0.434863895177841,0.17149543762207,0.00135438959114254,0.0226664505898952,0.0299784932285547,0.00531585793942213,0.174055129289627,0.0177030693739653,188418.578125,NA,NA
