"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","secondaryLand","total_population","population_density"
"AD",4.29102659225464,11.6073045730591,25.9720706939697,14.4714546203613,21.6810455322266,2.48675131797791,2.32570886611938,1.76197731494904,2.38506317138672,72.118408203125,66.8425827026367,53.7131462097168,69.2454986572266,0.0966519117355347,0.0665047392249107,0.0431184619665146,0.0353687144815922,1.59495448315283e-05,0.0310240089893341,0.158572748303413,0.568743467330933,18455.4765625,NA,NA
"AL013",3.15304946899414,12.3879222869873,24.0731868743896,14.0391321182251,20.9201374053955,4.09905862808228,2.97012448310852,1.32080745697021,4.02936410903931,73.2455444335938,66.2284317016602,56.793083190918,70.8047790527344,0.150624856352806,0.179330259561539,0.00543484091758728,0.019755719229579,0.0149646969512105,0,0.628276586532593,0,101537.5234375,NA,NA
"AL015",4.42784357070923,13.0754995346069,25.0242900848389,15.0549268722534,20.5964450836182,5.60588788986206,3.67111086845398,1.33022034168243,5.5520510673523,71.1553497314453,66.2578125,57.4746284484863,69.8111953735352,0.148021727800369,0.133526682853699,0.00622165435925126,0.0138956159353256,0.0198505092412233,0.00165776326321065,0.589268565177917,0.00281232199631631,121466.234375,NA,NA
"AL014",8.18875885009766,17.0586166381836,30.4111728668213,19.4070262908936,22.2224140167236,4.33454370498657,2.9364218711853,1.27286982536316,4.0857195854187,71.2375183105469,63.901294708252,49.9868202209473,65.6571502685547,0.200747698545456,0.126000761985779,5.29486732236961e-10,0.0279247108846903,0.0200101882219315,2.70858458861767e-06,0.5511794090271,4.59499369753757e-06,37897.90234375,NA,NA
"AL011",5.11060047149658,14.3424091339111,27.4129371643066,16.5968837738037,22.3023376464844,3.62365007400513,2.55987048149109,1.20112490653992,3.41319966316223,75.2848510742188,65.7052459716797,51.6865921020508,68.4379425048828,0.180434748530388,0.177975296974182,0.0017262912588194,0.0149351451545954,0.0381726250052452,0,0.573810935020447,0,60304.1953125,NA,NA
"AL012",10.1783599853516,18.3602828979492,31.7568492889404,21.0464782714844,21.5784893035889,3.6530327796936,2.43016672134399,0.963689863681793,3.4478223323822,68.9716796875,62.9026222229004,49.3341522216797,63.7930297851562,0.265512108802795,0.115335375070572,4.8466686219939e-10,0.0400684215128422,0.0441526398062706,0.000729254679754376,0.385654032230377,0.00638971291482449,111137.15625,NA,NA
"AL021",6.31735277175903,14.852029800415,28.0743827819824,17.5400562286377,21.7570304870605,3.18092155456543,2.16065335273743,0.939954519271851,2.99058938026428,74.4802551269531,64.4779815673828,50.4763793945312,67.0482711791992,0.193463861942291,0.170370221138,0.00985873583704233,0.0190479885786772,0.085582785308361,0,0.51550430059433,0,168407.625,NA,NA
"AL022",9.81328678131104,17.7606220245361,31.0639820098877,20.576681137085,21.2506942749023,3.24113368988037,2.1855731010437,0.852564036846161,3.02635502815247,69.672119140625,63.0113410949707,49.4603042602539,64.1093826293945,0.312144905328751,0.137348681688309,6.39663544355074e-10,0.044243223965168,0.0699603483080864,0.000142990698805079,0.386794626712799,0.00249863415956497,338380.59375,NA,NA
"AL034",4.20041656494141,13.4495391845703,27.013879776001,16.0615329742432,22.8134632110596,2.80551624298096,1.86372351646423,0.830475747585297,2.70557165145874,78.3126754760742,65.5331039428711,49.0320243835449,67.594841003418,0.202172994613647,0.111092321574688,0.0253510270267725,0.0106241619214416,0.0124046755954623,0.362292915582657,0.0966453030705452,0.122070662677288,80627.4921875,NA,NA
"AL031",7.48577117919922,15.6493797302246,29.0380744934082,18.6216335296631,21.5523014068604,3.28527355194092,2.02109432220459,0.817029118537903,3.13974785804749,74.1931228637695,64.104377746582,49.8639221191406,66.6598281860352,0.276889801025391,0.189322263002396,0.0160492248833179,0.0156807173043489,0.0665710344910622,0,0.433084547519684,0,33631.85546875,NA,NA
"AL032",11.5230312347412,19.0299091339111,32.2209320068359,22.1292514801025,20.6979026794434,3.0907289981842,1.85971117019653,0.681401968002319,3.22514939308167,71.9598999023438,63.7833137512207,50.5774383544922,66.5093154907227,0.432803809642792,0.17149543762207,0.00135438959114254,0.0267767831683159,0.0264352727681398,0.0052543394267559,0.175804033875465,0.0175086297094822,81378.53125,NA,NA
"AL035",10.4072036743164,18.0940036773682,31.3737049102783,21.1798496246338,20.9664993286133,4.48921632766724,2.10446882247925,0.532166421413422,4.18421936035156,73.9382553100586,66.5425720214844,52.8708572387695,68.3462142944336,0.211866348981857,0.173878625035286,0.0344299525022507,0.0124946096912026,0.0189275145530701,0.0069731785915792,0.288063436746597,0.00949351023882627,32572.794921875,NA,NA
"AL033",6.75700044631958,14.9648962020874,28.4862880706787,17.9329357147217,21.7292881011963,4.7991156578064,2.30305671691895,0.642525792121887,4.23294496536255,74.3103713989258,65.0732879638672,49.6096878051758,66.7653961181641,0.235171720385551,0.185734272003174,0.0234470088034868,0.00896802917122841,0.0470809303224087,0.0136929880827665,0.432045251131058,0.00300302659161389,22216.0625,NA,NA
"AT11",4.49949645996094,14.427638053894,25.2168998718262,14.1823768615723,20.7174034118652,1.39894890785217,1.91406440734863,2.47294020652771,2.35348463058472,76.8987274169922,64.9677886962891,62.2746772766113,77.1444625854492,0.318678706884384,0.167155057191849,0.000196381864952855,0.0236030351370573,2.40619273754563e-30,6.55632714785526e-10,0.214599385857582,0.256073415279388,345398.34375,NA,NA
"AT12",3.58181643486023,13.2306690216064,23.6713352203369,13.0657558441162,20.0895195007324,2.09632205963135,2.34105920791626,2.68332004547119,2.36805725097656,79.0958099365234,67.937255859375,67.4597396850586,79.5442733764648,0.29945969581604,0.155002012848854,0.0035886955447495,0.0294272992759943,2.69342872007513e-32,1.02211676622499e-11,0.0753364339470863,0.436842501163483,4204082,NA,NA
"AT13",5.05065059661865,14.7776165008545,25.2812881469727,14.3570404052734,20.2306385040283,1.6487991809845,2.01442360877991,2.12319445610046,2.13856673240662,77.6819686889648,66.0327224731445,64.3082427978516,77.4536743164062,0.285119473934174,0.100767128169537,2.47817016907348e-10,0.137355536222458,0,3.87196089623774e-18,0,0.476757824420929,671967,NA,NA
"AT21",0.756587326526642,9.31100273132324,19.8333015441895,10.4188270568848,19.0767135620117,2.31395387649536,2.67467498779297,3.67099070549011,4.08817005157471,77.7257995605469,71.051628112793,71.9420166015625,80.9499740600586,0.0848150327801704,0.0986280515789986,0.0530956536531448,0.0221817344427109,0,0,0.737145960330963,0,623836.625,NA,NA
"AT22",1.59025347232819,10.4427547454834,20.8701477050781,11.1412763595581,19.2798938751221,2.43529105186462,2.68204116821289,3.7116973400116,3.36522006988525,78.8799819946289,70.5249328613281,72.0720672607422,81.6561279296875,0.101202502846718,0.0988739803433418,0.0287099238485098,0.0257497970014811,2.52466136916892e-24,2.66264251315776e-13,0.682160377502441,0.0623588971793652,1412994.25,NA,NA
"AT31",2.95311236381531,12.1376876831055,22.2049045562744,12.3389348983765,19.2517910003662,3.25371241569519,3.1731595993042,3.80734467506409,3.30110359191895,81.0276870727539,70.3679580688477,72.334846496582,82.0475234985352,0.230913639068604,0.222543150186539,0.0116639751940966,0.0303406082093716,0,2.67131146312141e-17,0.302277952432632,0.197536930441856,1544452.5,NA,NA
