"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","secondaryLand","total_population","population_density"
"AD",4.45482110977173,10.1366653442383,22.7612056732178,13.6827039718628,18.3063850402832,2.33190631866455,2.72732925415039,1.9150265455246,2.34189581871033,74.0301895141602,71.2622909545898,65.5736541748047,72.7730560302734,0.0966519117355347,0.0665047392249107,0.0431184619665146,0.0353687144815922,1.59495448315283e-05,0.0310240089893341,0.158572748303413,0.568743467330933,18455.4765625,NA,NA
"AL013",2.48986220359802,11.4848289489746,24.0132064819336,14.2578191757202,21.5233421325684,3.3842122554779,2.80621480941772,1.43750667572021,3.51995778083801,77.4103164672852,68.620719909668,55.5454597473145,67.3116989135742,0.150624856352806,0.179330259561539,0.00543484091758728,0.019755719229579,0.0149646969512105,0,0.628276586532593,0,101537.5234375,NA,NA
"AL015",3.7134211063385,12.0549955368042,24.6917839050293,15.0372619628906,20.9783611297607,4.53432083129883,3.47694563865662,1.31596291065216,4.91085624694824,75.2771301269531,68.8853225708008,56.7296104431152,67.7309951782227,0.148021727800369,0.133526682853699,0.00622165435925126,0.0138956159353256,0.0198505092412233,0.00165776326321065,0.589268565177917,0.00281232199631631,121466.234375,NA,NA
"AL014",7.72111749649048,15.7050123214722,28.6503658294678,18.8662414550781,20.9292488098145,3.56174659729004,2.98340916633606,1.15580880641937,3.7741265296936,74.1598663330078,68.5623016357422,54.2039566040039,66.5390167236328,0.200747698545456,0.126000761985779,5.29486732236961e-10,0.0279247108846903,0.0200101882219315,2.70858458861767e-06,0.5511794090271,4.59499369753757e-06,37897.90234375,NA,NA
"AL011",4.67109537124634,13.1354532241821,25.9310760498047,16.2727966308594,21.2599792480469,2.95043635368347,2.57848620414734,1.20990872383118,3.0584614276886,78.0412139892578,70.007942199707,55.8955154418945,67.7878494262695,0.180434748530388,0.177975296974182,0.0017262912588194,0.0149351451545954,0.0381726250052452,0,0.573810935020447,0,60304.1953125,NA,NA
"AL012",9.65195465087891,16.9260730743408,29.8407936096191,20.405403137207,20.1888370513916,2.93021130561829,2.530592918396,0.838138997554779,3.16472148895264,72.0862503051758,67.903678894043,54.0753021240234,65.6458206176758,0.265512108802795,0.115335375070572,4.8466686219939e-10,0.0400684215128422,0.0441526398062706,0.000729254679754376,0.385654032230377,0.00638971291482449,111137.15625,NA,NA
"AL021",5.88903331756592,13.620418548584,26.4878463745117,17.1118679046631,20.5988159179688,2.46610546112061,2.21703124046326,0.956259369850159,2.6020245552063,76.5599899291992,68.6199569702148,54.3345985412598,67.0567626953125,0.193463861942291,0.170370221138,0.00985873583704233,0.0190479885786772,0.085582785308361,0,0.51550430059433,0,168407.625,NA,NA
"AL022",9.27171039581299,16.3467750549316,29.2021312713623,19.9834880828857,19.930419921875,2.55635666847229,2.2870819568634,0.763500273227692,2.72678232192993,72.7768020629883,68.0023040771484,54.3131561279297,65.7524948120117,0.312144905328751,0.137348681688309,6.39663544355074e-10,0.044243223965168,0.0699603483080864,0.000142990698805079,0.386794626712799,0.00249863415956497,338380.59375,NA,NA
"AL034",3.88960242271423,12.2334423065186,25.4095077514648,15.5815649032593,21.5199031829834,1.97993981838226,1.90652024745941,0.881635367870331,2.33899426460266,78.7268905639648,68.8078765869141,51.5931282043457,67.2340545654297,0.202172994613647,0.111092321574688,0.0253510270267725,0.0106241619214416,0.0124046755954623,0.362292915582657,0.0966453030705452,0.122070662677288,80627.4921875,NA,NA
"AL031",7.18645286560059,14.4441909790039,27.3591461181641,18.0437526702881,20.1726932525635,2.43394446372986,2.09149360656738,0.805834472179413,2.68539309501648,74.9965667724609,67.5502319335938,52.3625831604004,67.0313415527344,0.276889801025391,0.189322263002396,0.0160492248833179,0.0156807173043489,0.0665710344910622,0,0.433084547519684,0,33631.85546875,NA,NA
"AL032",11.210000038147,17.7797927856445,30.4362754821777,21.4426155090332,19.2262763977051,2.29572939872742,1.95570743083954,0.619965434074402,2.74697184562683,73.270622253418,67.4462509155273,53.1268157958984,67.6613693237305,0.432803809642792,0.17149543762207,0.00135438959114254,0.0267767831683159,0.0264352727681398,0.0052543394267559,0.175804033875465,0.0175086297094822,81378.53125,NA,NA
"AL035",10.1137361526489,16.8725814819336,29.6073760986328,20.5040645599365,19.4936389923096,3.24677515029907,2.1302809715271,0.508496224880219,3.58448052406311,74.4816131591797,69.7377471923828,54.6176834106445,69.2311172485352,0.211866348981857,0.173878625035286,0.0344299525022507,0.0124946096912026,0.0189275145530701,0.0069731785915792,0.288063436746597,0.00949351023882627,32572.794921875,NA,NA
"AL033",6.43280935287476,13.7649774551392,26.8103809356689,17.3766326904297,20.377571105957,3.5897376537323,2.32855129241943,0.710267901420593,3.6066164970398,74.7662124633789,68.3789749145508,52.0457801818848,66.9852294921875,0.235171720385551,0.185734272003174,0.0234470088034868,0.00896802917122841,0.0470809303224087,0.0136929880827665,0.432045251131058,0.00300302659161389,22216.0625,NA,NA
"AT11",3.57267379760742,13.5412015914917,24.0177745819092,14.0638284683228,20.4451007843018,1.14299249649048,1.87705039978027,2.40788888931274,2.24116253852844,79.35009765625,66.9959716796875,64.0922317504883,76.8837814331055,0.318678706884384,0.167155057191849,0.000196381864952855,0.0236030351370573,2.40619273754563e-30,6.55632714785526e-10,0.214599385857582,0.256073415279388,345398.34375,NA,NA
"AT12",2.8687162399292,12.3983907699585,22.8337821960449,13.0819416046143,19.9650650024414,1.71180653572083,2.2971339225769,2.71242642402649,2.27988839149475,80.3342971801758,69.4333190917969,67.3086242675781,78.9324188232422,0.29945969581604,0.155002012848854,0.0035886955447495,0.0294272992759943,2.69342872007513e-32,1.02211676622499e-11,0.0753364339470863,0.436842501163483,4204082,NA,NA
"AT13",4.14397382736206,13.9795360565186,24.620698928833,14.4437704086304,20.4767246246338,1.35423743724823,1.91175186634064,2.15613532066345,2.05387425422668,79.7841567993164,66.6626510620117,61.9091300964355,75.6362762451172,0.285119473934174,0.100767128169537,2.47817016907348e-10,0.137355536222458,0,3.87196089623774e-18,0,0.476757824420929,671967,NA,NA
"AT21",0.459656894207001,8.67282485961914,19.0744476318359,10.3681488037109,18.6147918701172,1.97042214870453,3.0452995300293,4.33725452423096,4.13648223876953,78.2603378295898,73.3359985351562,75.444206237793,82.2820434570312,0.0848150327801704,0.0986280515789986,0.0530956536531448,0.0221817344427109,0,0,0.737145960330963,0,623836.625,NA,NA
"AT22",1.08412957191467,9.68154907226562,19.9289779663086,11.0755157470703,18.8448505401611,1.93728911876678,2.82562804222107,4.05158615112305,3.23867869377136,79.9295425415039,72.7578811645508,74.5116195678711,82.3380737304688,0.101202502846718,0.0988739803433418,0.0287099238485098,0.0257497970014811,2.52466136916892e-24,2.66264251315776e-13,0.682160377502441,0.0623588971793652,1412994.25,NA,NA
"AT31",2.54627513885498,11.3888168334961,21.5715980529785,12.4383382797241,19.0253238677979,2.72739148139954,3.20037508010864,3.91779041290283,3.14601445198059,80.5251312255859,71.7322082519531,72.4933090209961,81.5697784423828,0.230913639068604,0.222543150186539,0.0116639751940966,0.0303406082093716,0,2.67131146312141e-17,0.302277952432632,0.197536930441856,1544452.5,NA,NA
"AT32",0.177001237869263,6.99273920059204,17.0008068084717,9.12869262695312,16.8238067626953,2.73062205314636,3.85996270179749,5.42952489852905,4.00504970550537,77.8822937011719,75.051513671875,78.0384979248047,82.6500473022461,0.0695802345871925,0.135803952813148,0.137151196599007,0.0179888196289539,5.64976968214953e-32,0,0.622728705406189,0,588608.3125,NA,NA
"AT33",-0.395571619272232,6.35151100158691,16.2462768554688,8.3533296585083,16.6418476104736,2.54690289497375,3.25156211853027,4.62228298187256,3.57321763038635,72.9121475219727,72.6051788330078,76.2737197875977,79.50634765625,0.0704532489180565,0.12214057892561,0.155172169208527,0.0190309695899487,6.46000149784646e-32,0,0.61200624704361,0,922903.875,NA,NA
