"NUTM","temperature_winter","temperature_fall","precipitation_spring","precipitation_fall","relative_humidity_winter","relative_humidity_fall","pastures","urbanAreas","primaryNonForest"
"AD",3.15075778961182,11.736590385437,3.07070541381836,2.67329907417297,74.5050582885742,75.6629486083984,0.0595459155738354,0.0158773418515921,0.0280041601508856
"AL013",1.16992747783661,11.7431087493896,2.91510319709778,4.03122997283936,79.1807708740234,73.5074615478516,0.189292088150978,0.0177214369177818,0
"AL015",2.45398283004761,12.6790809631348,3.66134881973267,5.58542680740356,77.2264175415039,73.3479614257812,0.127503231167793,0.0111668184399605,0.0017086158040911
"AL014",6.4403772354126,16.4564113616943,3.19617915153503,4.35349416732788,76.1516799926758,72.1208572387695,0.130475029349327,0.0115851797163486,2.79167193184549e-06
"AL011",3.3154022693634,13.7517337799072,2.72975254058838,3.502765417099,80.3772888183594,73.6153182983398,0.229160889983177,0.010790609754622,0
"AL012",8.4343729019165,18.0069065093994,2.7991349697113,3.70059442520142,73.9331512451172,71.0454254150391,0.0995578467845917,0.0231064595282078,0.000748047255910933
"AL021",4.58812952041626,14.6016149520874,2.40041184425354,2.96779108047485,79.1185913085938,72.3682861328125,0.213387101888657,0.0144668072462082,0
"AL022",8.05386447906494,17.5493755340576,2.56390166282654,3.20075345039368,74.6902542114258,71.1548690795898,0.129475355148315,0.0292643290013075,0.000145810525282286
"AL034",2.54727959632874,13.0881061553955,2.09772109985352,2.52886390686035,82.209114074707,72.2288513183594,0.155288502573967,0.00875630415976048,0.3396355509758
"AL031",5.91452026367188,15.6336126327515,2.27092289924622,2.98828768730164,77.7815170288086,71.6100234985352,0.214032843708992,0.011056843213737,0
"AL032",10.0433950424194,19.2181816101074,2.15113043785095,3.2141261100769,74.8635559082031,71.7018280029297,0.14447771012783,0.0181706100702286,0.00541688269004226
"AL035",8.93752574920654,18.2215976715088,2.42742872238159,3.97867298126221,76.1987533569336,73.1254653930664,0.16666404902935,0.00454619061201811,0.00701860012486577
"AL033",5.16443538665771,14.9080362319946,2.58965754508972,3.92323756217957,77.7403411865234,71.6411743164062,0.21509838104248,0.00462513184174895,0.0127688273787498
"AT11",3.06163644790649,12.2961568832397,1.85048639774323,2.05660486221313,81.43017578125,79.1535720825195,0.0138628501445055,0.012266356498003,0.0252633783966303
"AT12",2.24787449836731,11.3917036056519,2.36932134628296,2.09539175033569,82.7357482910156,80.9865951538086,0.181437358260155,0.0202291719615459,0.0997565165162086
"AT13",3.58857083320618,12.6075220108032,1.94714725017548,1.89196157455444,81.9224395751953,78.9155807495117,0.167120099067688,0.116770669817924,0.0853981450200081
"AT21",-0.0955918654799461,8.74881267547607,3.06247520446777,3.80526113510132,80.5125503540039,83.0389862060547,0.104843080043793,0.0113469772040844,0
"AT22",0.405001640319824,9.46902179718018,2.86561918258667,3.04941630363464,81.8072967529297,83.5960159301758,0.0707503035664558,0.0137368207797408,0.0376910790801048
"AT31",1.83925378322601,10.8562889099121,3.38505697250366,2.97087717056274,83.0105972290039,82.8776397705078,0.231596574187279,0.0194584261626005,0.0563428662717342
"AT32",-0.644852101802826,7.6546745300293,4.04238176345825,3.87534165382385,80.080680847168,83.4436340332031,0.168062180280685,0.00935985986143351,0
"AT33",-1.30125868320465,6.77252721786499,3.61181783676147,3.50542521476746,76.2284240722656,81.1697692871094,0.167167097330093,0.00735623110085726,0
"AT34",0.225076392292976,8.13158893585205,4.44148874282837,4.21422719955444,76.3677825927734,80.6913452148438,0.193980097770691,0.024994969367981,0
"BAG1652",2.67888474464417,12.5145301818848,2.84344434738159,3.55186343193054,81.3487854003906,77.0656661987305,0.153928056359291,0.0112694138661027,0.111602112650871
"BAG1653",3.0255401134491,13.0405120849609,2.77367901802063,3.2695734500885,81.2013473510742,76.685188293457,0.113545522093773,0.00968563370406628,0.139126732945442
"BE10",5.86591005325317,12.8336486816406,2.32545948028564,2.44056534767151,86.3425750732422,84.554443359375,0.106236569583416,0.259109526872635,0
"BE21",6.04168272018433,12.787223815918,2.12319731712341,2.54103422164917,86.2836532592773,83.9545669555664,0.113739192485809,0.125116720795631,2.21877197170706e-10
"BE22",5.58214569091797,12.6434850692749,2.38788676261902,2.48989081382751,86.5458297729492,83.9640274047852,0.12613745033741,0.106464043259621,0
"BE23",6.02540397644043,13.0567684173584,2.09728837013245,2.60284185409546,86.4607162475586,84.0091400146484,0.160267323255539,0.120935201644897,1.80114242964713e-10
"BE24",5.65727424621582,12.7895288467407,2.31785559654236,2.37018632888794,86.2979431152344,84.4283905029297,0.118710622191429,0.169657304883003,1.7766529566976e-11
"BE25",6.13007211685181,13.0454387664795,2.18207502365112,2.75690364837646,85.7632522583008,83.1493225097656,0.153267234563828,0.0903828665614128,1.76672718121829e-10
"BE31",5.62756395339966,12.8040246963501,2.29662775993347,2.32134294509888,86.2447891235352,84.4790802001953,0.116463772952557,0.169366046786308,0
"BE32",5.64998435974121,12.7830944061279,2.43450021743774,2.55252766609192,87.1027374267578,84.7827301025391,0.154192626476288,0.109867237508297,0
"BE33",4.69215250015259,12.084056854248,2.71106195449829,2.77970743179321,88.2727966308594,85.450927734375,0.111448727548122,0.0772271826863289,6.08425290672069e-15
"BE34",4.26574277877808,11.5392923355103,2.98493409156799,3.13088297843933,89.3556671142578,86.8674011230469,0.144608065485954,0.0313570648431778,1.08620630316856e-36
"BE35",5.05112791061401,12.3123569488525,2.71603798866272,2.70806837081909,87.9610900878906,86.0364837646484,0.144322842359543,0.0522919520735741,1.51607310423993e-36
"BG311",2.90101313591003,13.6254777908325,1.7483241558075,1.60744905471802,83.5689926147461,75.4346313476562,0.180027991533279,0.00550112687051296,0.0389622449874878
"BG312",2.35491132736206,13.3308010101318,1.86152517795563,1.67255115509033,83.2061614990234,74.4851303100586,0.198611542582512,0.00587956653907895,0.0340653024613857
"BG313",2.48155117034912,13.9698572158813,2.0003547668457,1.76773405075073,83.515251159668,74.1626052856445,0.175262287259102,0.00775299174711108,0.00345437438227236
"BG314",2.57174110412598,14.7184925079346,1.73828828334808,1.58738768100739,83.3944320678711,73.2562561035156,0.182171225547791,0.00793355889618397,0.00576428044587374
"BG315",1.50542783737183,13.3017110824585,2.25687789916992,1.9532927274704,81.8271865844727,75.0429611206055,0.11973662674427,0.00997901614755392,1.82667481567478e-05
"BG321",2.53093910217285,14.43736743927,1.90952885150909,1.74886500835419,82.5033111572266,74.5058059692383,0.150082513689995,0.00978774297982454,0.00252881995402277
"BG322",0.982873857021332,12.8041467666626,2.2401282787323,1.93899321556091,81.7316055297852,75.1531143188477,0.100690498948097,0.0115150650963187,2.24978812184418e-05
"BG323",2.83543968200684,14.8055858612061,1.88769388198853,1.83403730392456,83.5012130737305,73.8843383789062,0.109987527132034,0.0120809078216553,0.0108000449836254
"BG324",2.77825832366943,14.6103200912476,1.94068837165833,1.91995573043823,83.4518661499023,74.8359222412109,0.0340895056724548,0.00861786119639874,0.00360079645179212
"BG325",2.99591159820557,14.7810964584351,1.75671243667603,1.73776113986969,83.7268142700195,74.7647247314453,0.0691602826118469,0.00818920694291592,0.00942255929112434
"BG331",4.52969360351562,15.757887840271,1.47171759605408,1.85238528251648,81.8025970458984,76.1826858520508,0.027289716526866,0.0132254464551806,5.0600225222297e-05
"BG332",4.11151313781738,15.3739795684814,1.37523877620697,1.73458218574524,82.2197570800781,75.6691055297852,0.0387966707348824,0.0063149300403893,0.00508230505511165
"BG333",3.41308689117432,14.9155282974243,1.70956540107727,1.7819607257843,82.8336029052734,75.8625259399414,0.0340903326869011,0.0081674000248313,6.66132518745144e-06
"BG334",2.89623427391052,14.5693359375,1.838991522789,1.79629004001617,82.9460067749023,75.7745666503906,0.0337090529501438,0.00765405735000968,0.000319375132676214
"BG341",5.20143890380859,16.3581924438477,1.51668679714203,2.04255175590515,80.3559799194336,74.7722930908203,0.0260657016187906,0.00726657686755061,0.0371209532022476
"BG342",2.60261392593384,14.0781574249268,1.61574757099152,1.73008334636688,81.322883605957,74.1099166870117,0.0380607843399048,0.00877408031374216,1.69937156897504e-05
"BG343",4.88118124008179,16.0437717437744,1.51935482025146,1.78872179985046,80.5357513427734,71.882926940918,0.0431673191487789,0.00655516609549522,0.0022381036542356
"BG344",2.83102464675903,14.2646617889404,1.84827423095703,1.77315807342529,80.7441024780273,73.012939453125,0.12336890399456,0.0106346290558577,1.48814024214516e-05
"BG411",1.40868103504181,12.4861974716187,2.37885069847107,2.22835040092468,79.4322280883789,74.1312866210938,0.0368086472153664,0.0517120994627476,2.70453274424654e-05
"BG412",0.788704991340637,11.9388761520386,2.61853265762329,2.22863554954529,80.0987243652344,75.1100387573242,0.0529512129724026,0.0154491513967514,0.0100665166974068
"BG413",1.37274372577667,12.4074630737305,1.89702939987183,1.65314614772797,77.7964935302734,72.183952331543,0.167113453149796,0.00560683198273182,0.0616438314318657
