"NUTM","temperature_winter","temperature_fall","precipitation_spring","precipitation_fall","relative_humidity_winter","relative_humidity_fall","pastures","urbanAreas","primaryNonForest"
"AD",5.38718843460083,15.3568487167358,2.60857748985291,2.61692714691162,75.6893615722656,73.7183074951172,0.0785980299115181,0.0136244399473071,0.0269092340022326
"AL013",4.38386154174805,15.6460542678833,2.5774359703064,3.8052089214325,79.5235748291016,71.18505859375,0.194751918315887,0.0192152019590139,0
"AL015",5.42678117752075,16.3643951416016,3.20535802841187,5.28683137893677,77.5039749145508,71.9383010864258,0.128106445074081,0.011374345049262,0.0017086158040911
"AL014",9.1757926940918,19.9077644348145,2.62461471557617,4.32095384597778,75.8480987548828,71.8066253662109,0.138555377721786,0.01074886508286,2.79167193184549e-06
"AL011",6.25835943222046,17.3902683258057,2.31539750099182,3.54180812835693,80.3467712402344,72.6467666625977,0.257940858602524,0.0107417069375515,0
"AL012",10.7704105377197,21.2277526855469,2.23454427719116,3.81362438201904,73.8960800170898,71.6799163818359,0.0995578467845917,0.0209533181041479,0.000748047255910933
"AL021",7.1395845413208,18.1125526428223,1.98767828941345,3.12874364852905,79.0697860717773,71.9103469848633,0.238993555307388,0.0140176797285676,0
"AL022",10.3429126739502,20.8064517974854,2.03493022918701,3.39902710914612,74.9266586303711,71.6912689208984,0.134022951126099,0.0267253033816814,0.000145810525282286
"AL034",5.42409706115723,16.9298439025879,1.78571760654449,2.58449721336365,81.2047958374023,69.922119140625,0.180581912398338,0.00887215044349432,0.32847785949707
"AL031",8.28661632537842,19.0051002502441,1.87146031856537,3.20945644378662,77.6635818481445,71.6311721801758,0.232905730605125,0.0104231229051948,0
"AL032",12.1121053695679,22.2808074951172,1.77891099452972,3.45071721076965,75.3979034423828,72.8923263549805,0.14447771012783,0.016477407887578,0.00541688269004226
"AL035",10.8747959136963,21.0548610687256,1.94446933269501,4.05251932144165,76.492073059082,75.1060943603516,0.160876139998436,0.00397940957918763,0.00688822567462921
"AL033",7.38741970062256,18.1047191619873,2.09973669052124,4.03030014038086,77.4570999145508,72.2522125244141,0.232273265719414,0.00456976518034935,0.0123030040413141
"AT11",5.73129367828369,16.2858104705811,1.99174630641937,2.41424131393433,82.5532760620117,77.1886215209961,0.0152042480185628,0.0093963909894228,0.0023044110275805
"AT12",4.91573238372803,15.2360010147095,2.57443451881409,2.23038268089294,84.2786331176758,79.4762115478516,0.178447067737579,0.0192529279738665,0.0087498752400279
"AT13",6.328688621521,16.576940536499,2.0782778263092,2.0241072177887,82.7012176513672,76.5147933959961,0.157577559351921,0.109802909195423,0.00697485031560063
"AT21",2.0830225944519,12.5184841156006,3.348881483078,4.46023225784302,84.2766952514648,83.724853515625,0.141926854848862,0.0104546416550875,0
"AT22",2.78628182411194,13.2407341003418,3.22414946556091,3.48858690261841,84.9565734863281,83.3843231201172,0.0888713523745537,0.0129778543487191,0.00339122558943927
"AT31",4.09536075592041,14.3986988067627,3.91120386123657,3.17300033569336,86.4396667480469,83.7731781005859,0.244162708520889,0.0174364373087883,0.00504274340346456
"AT32",1.38911330699921,11.0722751617432,4.66922760009766,4.34976577758789,85.376594543457,86.0498657226562,0.214619189500809,0.00776085024699569,0
"AT33",1.11287033557892,10.1317462921143,3.99976110458374,3.93339133262634,82.6413116455078,84.4538497924805,0.207056939601898,0.00462495628744364,0
"AT34",2.96199631690979,11.4865465164185,4.78326225280762,4.41635227203369,82.7329711914062,82.867546081543,0.219794124364853,0.0179493799805641,0
"BAG1652",5.36856603622437,16.4439468383789,2.58828401565552,3.80826044082642,81.7352676391602,74.6231689453125,0.148582950234413,0.0114541444927454,0.111588589847088
"BAG1653",5.84197950363159,17.04469871521,2.54471850395203,3.4823157787323,81.5592346191406,74.0470886230469,0.107914350926876,0.0098821772262454,0.139103949069977
"BE10",7.45427322387695,16.2864456176758,2.24863386154175,2.52511262893677,87.6046524047852,82.0647277832031,0.105365790426731,0.24699255824089,0
"BE21",7.49701499938965,16.1205425262451,2.12602925300598,2.58327507972717,87.4127883911133,82.3112945556641,0.121684148907661,0.119265787303448,1.75118752832049e-10
"BE22",7.17670106887817,16.141077041626,2.34021210670471,2.35342025756836,87.1545333862305,81.4506683349609,0.133661657571793,0.101485386490822,0
"BE23",7.56221914291382,16.3475475311279,2.10351634025574,2.72744297981262,87.3627471923828,82.7603073120117,0.103301659226418,0.114439524710178,1.4215691124253e-10
"BE24",7.25655317306519,16.2580375671387,2.22738575935364,2.39433169364929,87.474609375,81.9059524536133,0.11682553589344,0.16170334815979,1.40224056324745e-11
"BE25",7.67328548431396,16.2341747283936,2.17343544960022,2.93973636627197,86.3052368164062,82.5473403930664,0.087150901556015,0.0850562751293182,1.00990132922973e-10
"BE31",7.23402738571167,16.2795124053955,2.19923853874207,2.36521172523499,87.5104675292969,81.9007949829102,0.115596413612366,0.161445841193199,0
"BE32",7.31216716766357,16.250394821167,2.34652996063232,2.64788675308228,87.967399597168,82.3948364257812,0.119022861123085,0.104090109467506,0
"BE33",6.45961666107178,15.6955251693726,2.59815263748169,2.62321329116821,88.4250030517578,82.7604370117188,0.115701176226139,0.0699948891997337,3.82777047600415e-16
"BE34",6.10908126831055,15.245044708252,2.76977968215942,3.00512337684631,89.5322341918945,83.5959777832031,0.150477200746536,0.0278812013566494,1.08620630316856e-36
"BE35",6.79852485656738,15.9346990585327,2.53145122528076,2.69544839859009,88.5932006835938,82.7903213500977,0.148413598537445,0.0497092641890049,1.51607310423993e-36
"BG311",6.68794345855713,17.8319511413574,1.73249459266663,1.68254005908966,82.8620223999023,73.5832748413086,0.17880691587925,0.00580647494643927,0.0389569699764252
"BG312",6.07676792144775,17.5618190765381,1.94556856155396,1.66241919994354,82.3323745727539,72.1829681396484,0.198610186576843,0.00630288850516081,0.0340589322149754
"BG313",6.19145679473877,18.1659488677979,2.13420581817627,1.69005560874939,82.7720413208008,71.837760925293,0.168971717357635,0.00815687887370586,0.00344902649521828
