"NUTM","temperature_winter","temperature_fall","precipitation_spring","precipitation_fall","relative_humidity_winter","relative_humidity_fall","pastures","urbanAreas","primaryNonForest"
"AD",2.51494073867798,11.3025436401367,2.75876545906067,2.77479386329651,73.2707138061523,74.5615844726562,0.0665047392249107,0.0200678892433643,0.0313368737697601
"AL013",1.44138336181641,11.0489664077759,3.08855724334717,4.14954948425293,75.2787475585938,73.2501220703125,0.179330259561539,0.0186855047941208,0
"AL015",2.71167159080505,12.0418224334717,3.77316951751709,5.73306083679199,73.1139221191406,72.435188293457,0.133526682853699,0.012278962880373,0.00167733139824122
"AL014",6.64111423492432,16.0319004058838,3.12911152839661,4.48975419998169,72.3062591552734,70.2464065551758,0.126000761985779,0.0199094079434872,2.74055696536379e-06
"AL011",3.56636548042297,13.2456007003784,2.79660415649414,3.78351306915283,76.3336791992188,72.8591690063477,0.177975296974182,0.0127194160595536,0
"AL012",8.60661602020264,17.6394138336182,2.71648621559143,3.84958219528198,70.1748886108398,68.8468017578125,0.115335375070572,0.0320374928414822,0.000736631103791296
"AL021",4.78786849975586,14.1905765533447,2.46149969100952,3.35109686851501,75.3947067260742,71.5158081054688,0.170370221138,0.0166771523654461,0
"AL022",8.23616695404053,17.1728706359863,2.51801037788391,3.41614294052124,70.9035339355469,69.248893737793,0.137348681688309,0.0372491292655468,0.000144139266922139
"AL034",2.74186301231384,12.713568687439,2.157395362854,3.04827880859375,78.6777038574219,71.4440383911133,0.111092321574688,0.00945509225130081,0.363076686859131
"AL031",6.00119066238403,15.3049087524414,2.3089292049408,3.40520405769348,74.6487121582031,70.4624938964844,0.189322263002396,0.013200618326664,0
"AL032",10.0202026367188,18.865104675293,2.14406490325928,3.413494348526,72.4993667602539,70.2378234863281,0.17149543762207,0.0226664505898952,0.00531585793942213
"AL035",8.89837455749512,17.9162712097168,2.37332820892334,4.43708372116089,74.1799621582031,71.9468231201172,0.173878625035286,0.008569804020226,0.00709276646375656
"AL033",5.24778604507446,14.5936689376831,2.58119177818298,4.4864330291748,74.6654815673828,70.6266326904297,0.185734272003174,0.00659365253522992,0.0137218246236444
"AT11",2.38139986991882,11.4453477859497,1.74795377254486,2.16025185585022,79.2156524658203,78.0514144897461,0.167155057191849,0.0186286121606827,0.0330400876700878
"AT12",1.4773086309433,10.3870677947998,2.08014273643494,2.18526744842529,81.1931457519531,80.2813110351562,0.155002012848854,0.0243675075471401,0.13586238026619
"AT13",2.93457388877869,11.624924659729,1.77846014499664,1.97985994815826,79.7173461914062,78.1928253173828,0.100767128169537,0.13029445707798,0.119626969099045
"AT21",-1.24017417430878,7.83996772766113,2.63994789123535,3.86447715759277,79.8301086425781,81.8615493774414,0.0986280515789986,0.0158357862383127,0
"AT22",-0.457714587450027,8.51973819732666,2.56636953353882,3.1219699382782,81.0512542724609,82.370979309082,0.0988739803433418,0.0182357095181942,0.0505027808248997
"AT31",0.879767298698425,9.7632360458374,2.93287706375122,3.15675234794617,82.7264022827148,82.6881256103516,0.222543150186539,0.0245251301676035,0.0756486877799034
"AT32",-1.74463248252869,6.47398090362549,3.48578143119812,4.01467847824097,80.9070434570312,83.1228256225586,0.135803952813148,0.0137060768902302,0
"AT33",-2.56271934509277,5.64263343811035,3.04691934585571,3.65381598472595,77.3067932128906,80.7556838989258,0.12214057892561,0.0134869916364551,0
