"NUTM","temperature_winter","temperature_fall","precipitation_spring","precipitation_fall","relative_humidity_winter","relative_humidity_fall","pastures","urbanAreas","primaryNonForest"
"AD",6.74446201324463,16.2863883972168,2.44041872024536,2.3345148563385,70.1679153442383,71.4943542480469,0.0665047392249107,0.0353687144815922,0.0310240089893341
"AL013",4.63739585876465,15.8178110122681,2.85453701019287,3.41108345985413,74.9316711425781,65.9575500488281,0.179330259561539,0.019755719229579,0
"AL015",5.77816009521484,16.7240829467773,3.5943112373352,4.5487494468689,73.1873168945312,66.4299087524414,0.133526682853699,0.0138956159353256,0.00165776326321065
"AL014",9.23108100891113,20.2307376861572,2.99482250213623,3.69197368621826,72.4022979736328,66.7352981567383,0.126000761985779,0.0279247108846903,2.70858458861767e-06
"AL011",6.29455614089966,17.5908489227295,2.60493755340576,2.9182014465332,76.3764724731445,67.527717590332,0.177975296974182,0.0149351451545954,0
"AL012",11.1656761169434,21.79736328125,2.51778149604797,3.04693245887756,70.3853530883789,65.9195938110352,0.115335375070572,0.0400684215128422,0.000729254679754376
"AL021",7.6180419921875,18.5279235839844,2.24786806106567,2.50250768661499,75.1347045898438,66.3335800170898,0.170370221138,0.0190479885786772,0
"AL022",10.8295745849609,21.368200302124,2.28067421913147,2.59699559211731,71.1332015991211,65.9145355224609,0.137348681688309,0.044243223965168,0.000142990698805079
"AL034",5.75323724746704,17.0536098480225,1.93219923973083,2.28388023376465,77.4755325317383,65.6838302612305,0.111092321574688,0.0106241619214416,0.362292915582657
"AL031",9.00836277008057,19.6411113739014,2.12180972099304,2.60867047309875,73.7367630004883,65.4639053344727,0.189322263002396,0.0156807173043489,0
"AL032",12.9014186859131,23.1607131958008,2.00490570068359,2.64082741737366,71.797721862793,66.3202133178711,0.17149543762207,0.0267767831683159,0.0052543394267559
"AL035",11.7653312683105,22.0941009521484,2.15368413925171,3.45618081092834,73.1303024291992,68.1407241821289,0.173878625035286,0.0124946096912026,0.0069731785915792
