"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density"
"AD",2.10964560508728,7.69697284698486,18.1524639129639,10.5803871154785,16.042818069458,2.52140188217163,2.80984091758728,2.36804533004761,3.42421936988831,74.2856903076172,73.6701431274414,72.8504180908203,77.6684722900391,0.0941915065050125,0.0601658821105957,0.0389862917363644,0.0165985282510519,9.6698226116132e-05,0.0314617678523064,0.165037631988525,0.593461692333221,18944.328125,39.9825718275239
"AL013",0.810136198997498,9.04628658294678,20.8387012481689,11.1151542663574,20.0285663604736,3.95849609375,2.82654762268066,1.19640624523163,4.02007675170898,77.9916763305664,69.8306427001953,55.9816055297852,69.8765182495117,0.15328124165535,0.168993338942528,0.00510628800839186,0.0192447789013386,0.079556904733181,0,0.572204411029816,0,147462.234375,63.5216385323846
"AL015",1.67616486549377,9.38525295257568,21.2030792236328,11.6736679077148,19.5269145965576,5.56278848648071,3.53985047340393,1.22884941101074,5.62076330184937,76.3850631713867,70.0425567626953,57.8110046386719,70.1276321411133,0.158022284507751,0.129737228155136,0.00613437965512276,0.0137719362974167,0.110737852752209,0,0.537981152534485,0,201972.84375,56.4952085364254
"AL014",5.80768442153931,13.4416179656982,24.938304901123,15.6836347579956,19.1306209564209,4.25895690917969,2.79682183265686,1.02250194549561,4.42956066131592,76.0148620605469,69.7250518798828,59.3014259338379,70.2130889892578,0.206124663352966,0.119124017655849,5.29534194271264e-10,0.0176426116377115,0.107192017138004,0,0.475851207971573,0,91400.28125,55.1756054596411
"AL011",2.76878070831299,10.7150440216064,22.3316135406494,12.9892435073853,19.5628318786621,3.55379772186279,2.55970883369446,0.995559453964233,3.66643929481506,79.9475173950195,71.6045379638672,59.0097427368164,71.4513778686523,0.180373772978783,0.168322339653969,0.00163301837164909,0.0120655791833997,0.103184290230274,0,0.521476030349731,0,122749.90625,48.707702564338
"AL012",7.65554666519165,14.5396432876587,25.8526439666748,17.082763671875,18.1970958709717,3.7331759929657,2.45518589019775,0.781789720058441,3.83731698989868,74.1448211669922,68.9179077148438,59.9611434936523,69.3609771728516,0.303784966468811,0.119763344526291,4.93267426904254e-10,0.0331254377961159,0.0899699032306671,0,0.412602871656418,0,230406.734375,299.40764974433
"AL021",4.01599359512329,11.2194051742554,22.7342834472656,13.8258647918701,18.7182884216309,3.16742157936096,2.281893491745,0.806669592857361,3.18659114837646,78.7308349609375,70.3783721923828,58.5073699951172,70.5399780273438,0.19488462805748,0.161146447062492,0.00932514760643244,0.0164901949465275,0.0987251549959183,0,0.513256371021271,0,361039.34375,109.103247463841
"AL022",7.32094573974609,13.9917907714844,25.2799644470215,16.6789093017578,17.959020614624,3.28281831741333,2.23935961723328,0.673394620418549,3.32635378837585,74.7778701782227,69.2243194580078,60.0588417053223,69.4188003540039,0.331411302089691,0.134852454066277,6.481362113675e-10,0.0371618792414665,0.0849700346589088,0,0.406492471694946,0,705756.0625,426.390015289704
"AL034",2.04418540000916,9.81177616119385,21.4575023651123,12.2587280273438,19.4133167266846,2.82953977584839,2.1098849773407,0.760703861713409,2.85467386245728,81.5965576171875,71.1413955688477,56.5139350891113,70.7220611572266,0.199656113982201,0.105069987475872,0.023998562246561,0.00851318426430225,0.0142941940575838,0.36380672454834,0.0964170098304749,0.130898326635361,152994.359375,41.4064807687155
"AL031",5.31922149658203,12.1138210296631,23.4838466644287,14.8470344543457,18.1646251678467,3.29618382453918,2.20291519165039,0.71911096572876,3.23724627494812,77.5040054321289,69.3909225463867,57.8271598815918,70.1431503295898,0.280104637145996,0.179013758897781,0.0151804117485881,0.0144009850919247,0.0764723345637321,0,0.43242546916008,0,89296.921875,49.128931962648
"AL032",9.43056201934814,15.515326499939,26.5373477935791,18.3881587982178,17.1067848205566,3.13383984565735,2.01395440101624,0.582687318325043,3.27950668334961,75.2939224243164,68.2559432983398,59.0788497924805,70.1893081665039,0.50700569152832,0.185002148151398,0.00161175755783916,0.0281470902264118,0.0381116569042206,0,0.226519241929054,0,201888.53125,108.96208413326
