"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density"
"AD",2.78341603279114,8.08251953125,18.7250423431396,12.1781749725342,15.9416255950928,2.73333334922791,3.25922989845276,2.29532885551453,2.84361124038696,74.1513366699219,74.9368286132812,72.1157608032227,76.593505859375,0.0941915065050125,0.0601658821105957,0.0389862917363644,0.0165985282510519,9.6698226116132e-05,0.0314617678523064,0.165037631988525,0.593461692333221,18944.328125,39.9825718275239
"AL013",1.06488621234894,9.25117015838623,20.0170059204102,11.7569427490234,18.9521198272705,4.55674266815186,3.97331094741821,1.97523200511932,4.41118621826172,79.0977401733398,73.5109176635742,65.3277206420898,74.0181655883789,0.15328124165535,0.168993338942528,0.00510628800839186,0.0192447789013386,0.079556904733181,0,0.572204411029816,0,147462.234375,63.5216385323846
"AL015",1.95296919345856,9.56595516204834,20.4159660339355,12.4086837768555,18.4629974365234,6.56471490859985,5.34479331970215,2.106849193573,6.19394445419312,76.9636917114258,73.7463226318359,66.7611694335938,73.7411499023438,0.158022284507751,0.129737228155136,0.00613437965512276,0.0137719362974167,0.110737852752209,0,0.537981152534485,0,201972.84375,56.4952085364254
"AL014",5.98562622070312,13.5411777496338,24.3022575378418,16.2965126037598,18.3166332244873,4.89739513397217,3.92098927497864,1.82138526439667,4.68888902664185,75.7837600708008,73.1129608154297,66.4059677124023,73.4650650024414,0.206124663352966,0.119124017655849,5.29534194271264e-10,0.0176426116377115,0.107192017138004,0,0.475851207971573,0,91400.28125,55.1756054596411
"AL011",2.97340178489685,10.8775863647461,21.702880859375,13.5305156707764,18.7294788360596,4.05445194244385,3.43457746505737,1.72077810764313,3.80479621887207,80.0492553710938,74.6983261108398,66.9850845336914,75.2459106445312,0.180373772978783,0.168322339653969,0.00163301837164909,0.0120655791833997,0.103184290230274,0,0.521476030349731,0,122749.90625,48.707702564338
"AL012",7.81518983840942,14.6226406097412,25.239709854126,17.7582664489746,17.4245223999023,4.36470365524292,3.52020955085754,1.52527856826782,4.09222173690796,73.6934127807617,72.1992568969727,66.4889068603516,72.4312362670898,0.303784966468811,0.119763344526291,4.93267426904254e-10,0.0331254377961159,0.0899699032306671,0,0.412602871656418,0,230406.734375,299.40764974433
"AL021",4.27801561355591,11.403470993042,22.1857738494873,14.4575233459473,17.9077568054199,3.63855767250061,3.05824279785156,1.45580995082855,3.33454322814941,78.6310882568359,73.2357330322266,65.643684387207,73.9644317626953,0.19488462805748,0.161146447062492,0.00932514760643244,0.0164901949465275,0.0987251549959183,0,0.513256371021271,0,361039.34375,109.103247463841
"AL022",7.4843111038208,14.0925912857056,24.6790943145752,17.3551559448242,17.1947822570801,3.85911846160889,3.19012808799744,1.36705768108368,3.53479838371277,74.3718414306641,72.3520889282227,66.6727447509766,72.6130218505859,0.331411302089691,0.134852454066277,6.481362113675e-10,0.0371618792414665,0.0849700346589088,0,0.406492471694946,0,705756.0625,426.390015289704
"AL034",2.4338104724884,10.0582990646362,20.9934997558594,12.95924949646,18.5596904754639,3.24493908882141,2.74224615097046,1.34144389629364,3.01471018791199,81.2574615478516,73.7112731933594,63.2662200927734,73.9206314086914,0.199656113982201,0.105069987475872,0.023998562246561,0.00851318426430225,0.0142941940575838,0.36380672454834,0.0964170098304749,0.130898326635361,152994.359375,41.4064807687155
"AL031",5.66117572784424,12.3041477203369,23.052806854248,15.5754737854004,17.3916320800781,3.78589606285095,2.96158599853516,1.26730573177338,3.46750140190125,77.1532821655273,72.1146621704102,63.8273048400879,72.9780654907227,0.280104637145996,0.179013758897781,0.0151804117485881,0.0144009850919247,0.0764723345637321,0,0.43242546916008,0,89296.921875,49.128931962648
"AL032",9.71402931213379,15.6442213058472,26.1499996185303,19.1917457580566,16.4359683990479,3.80098652839661,2.92163729667664,1.10796988010406,3.58774876594543,74.6810073852539,71.1328735351562,63.959545135498,72.5435256958008,0.50700569152832,0.185002148151398,0.00161175755783916,0.0281470902264118,0.0381116569042206,0,0.226519241929054,0,201888.53125,108.96208413326
"AL035",8.44963645935059,14.6384544372559,25.1871452331543,18.0200881958008,16.7375068664551,5.26513957977295,3.15287470817566,0.906231820583344,4.69527149200439,76.0775375366211,73.9416198730469,66.1354446411133,74.4333648681641,0.230157062411308,0.178231775760651,0.0341623090207577,0.00575437163934112,0.0304716415703297,0.00476441532373428,0.347383409738541,0.00103079481050372,57584.03125,21.1076502774219
"AL033",4.94151639938354,11.5969543457031,22.4459495544434,14.8569622039795,17.5044326782227,5.19191074371338,3.2588963508606,1.10905086994171,4.57024765014648,77.0616683959961,72.9483108520508,63.559642791748,73.2096405029297,0.234476611018181,0.174679920077324,0.0219957940280437,0.00597825041040778,0.0564489848911762,0.0137515971437097,0.438588321208954,0.00322378263808787,46785.8125,16.2946909591115
"AT11",2.19589328765869,11.565544128418,21.3429374694824,12.410756111145,19.1470432281494,1.61748242378235,2.4405357837677,3.22189807891846,1.95977365970612,81.0753707885742,70.8705444335938,69.3806076049805,78.2508697509766,0.299166262149811,0.153049543499947,0.000184729680768214,0.0182048492133617,0,0.0353728868067265,0.230196356773376,0.244131371378899,378985.0625,95.8644192847834
"AT12",1.32623767852783,10.3848314285278,20.2630271911621,11.6202688217163,18.93678855896,2.36687564849854,2.95699954032898,3.30214691162109,1.87612116336823,82.9863204956055,72.9206924438477,71.7008590698242,79.7355575561523,0.270737558603287,0.124852545559406,0.00297457026317716,0.0246395450085402,0,0.144854202866554,0.0773849114775658,0.354213327169418,3395085.75,177.768220449747
"AT13",2.76912903785706,11.974949836731,21.9285850524902,12.8362817764282,19.1594562530518,1.88946878910065,2.49123692512512,2.58157706260681,1.67355716228485,81.6656494140625,70.6571350097656,68.0769424438477,76.9932327270508,0.260276347398758,0.0870762020349503,2.47817016907348e-10,0.129283249378204,0,0.126945942640305,0,0.396418273448944,473392.6875,1116.65937073637
"AT21",-1.35481023788452,6.50651693344116,16.2347736358643,8.91856575012207,17.5895843505859,2.78646183013916,3.79419612884521,4.88553524017334,3.69847130775452,81.7778701782227,76.1171112060547,78.0675430297852,82.9469528198242,0.0875404924154282,0.0835728198289871,0.0453551858663559,0.01388278324157,0,0,0.765515148639679,0,631982.875,66.8521909351487
"AT22",-0.651597678661346,7.61011791229248,17.3045692443848,9.59390163421631,17.9561672210693,2.80104541778564,3.56034183502197,4.8059344291687,2.81812143325806,83.1764450073242,75.8408126831055,77.6643829345703,83.0325393676758,0.0989342778921127,0.0834867358207703,0.0242017656564713,0.0183459799736738,0,0.0538454949855804,0.709728479385376,0.0105127990245819,1342887.75,82.0266258321578
