"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density"
"AD",2.46415710449219,7.73250341415405,17.9565258026123,11.0859842300415,15.4923696517944,2.46600461006165,2.97241997718811,2.09483814239502,2.67110180854797,73.3961639404297,72.7970275878906,71.5261993408203,76.0427551269531,0.0941915065050125,0.0601658821105957,0.0389862917363644,0.0165985282510519,9.6698226116132e-05,0.0314617678523064,0.165037631988525,0.593461692333221,18944.328125,39.9825718275239
"AL013",0.239899963140488,8.3500919342041,19.9876613616943,10.559983253479,19.7477626800537,4.03189516067505,3.20481777191162,1.72632741928101,3.81191563606262,77.9752044677734,71.1150512695312,62.5772361755371,73.3007125854492,0.15328124165535,0.168993338942528,0.00510628800839186,0.0192447789013386,0.079556904733181,0,0.572204411029816,0,147462.234375,63.5216385323846
"AL015",1.17310988903046,8.72525024414062,20.3818473815918,11.2240915298462,19.2087364196777,5.54828643798828,4.1558985710144,1.76982200145721,5.17974853515625,76.1013336181641,71.1804504394531,64.1848449707031,73.0501403808594,0.158022284507751,0.129737228155136,0.00613437965512276,0.0137719362974167,0.110737852752209,0,0.537981152534485,0,201972.84375,56.4952085364254
"AL014",5.42210626602173,12.8422718048096,24.2284851074219,15.3322420120239,18.8063774108887,4.54945468902588,3.30835580825806,1.5017716884613,4.08676147460938,74.5875625610352,70.4365539550781,64.5452423095703,72.2086944580078,0.206124663352966,0.119124017655849,5.29534194271264e-10,0.0176426116377115,0.107192017138004,0,0.475851207971573,0,91400.28125,55.1756054596411
"AL011",2.339768409729,10.1010313034058,21.6023445129395,12.549147605896,19.2625770568848,3.70229458808899,2.89560508728027,1.45505452156067,3.32493782043457,78.6767730712891,72.0526351928711,64.9673843383789,74.0033493041992,0.180373772978783,0.168322339653969,0.00163301837164909,0.0120655791833997,0.103184290230274,0,0.521476030349731,0,122749.90625,48.707702564338
"AL012",7.27521514892578,13.9569406509399,25.1789264678955,16.788402557373,17.9037113189697,3.93857359886169,2.90297484397888,1.22093379497528,3.5536618232727,72.5938034057617,69.5965042114258,64.69580078125,71.0000305175781,0.303784966468811,0.119763344526291,4.93267426904254e-10,0.0331254377961159,0.0899699032306671,0,0.412602871656418,0,230406.734375,299.40764974433
"AL021",3.64161372184753,10.6371583938599,22.0885467529297,13.4597682952881,18.4469337463379,3.26429963111877,2.51888203620911,1.20623767375946,2.92751669883728,77.3012237548828,70.7114791870117,63.6834182739258,72.5385437011719,0.19488462805748,0.161146447062492,0.00932514760643244,0.0164901949465275,0.0987251549959183,0,0.513256371021271,0,361039.34375,109.103247463841
"AL022",6.92571449279785,13.4107675552368,24.61305809021,16.3748378753662,17.6873416900635,3.40325975418091,2.59570407867432,1.08910584449768,3.06488513946533,73.2420196533203,69.7953491210938,64.845703125,71.1148147583008,0.331411302089691,0.134852454066277,6.481362113675e-10,0.0371618792414665,0.0849700346589088,0,0.406492471694946,0,705756.0625,426.390015289704
"AL034",1.76607537269592,9.24930477142334,20.9137516021729,11.9325523376465,19.1476764678955,2.87741637229919,2.28892612457275,1.07247018814087,2.7003436088562,80.0026931762695,71.4000854492188,61.1109275817871,72.4265060424805,0.199656113982201,0.105069987475872,0.023998562246561,0.00851318426430225,0.0142941940575838,0.36380672454834,0.0964170098304749,0.130898326635361,152994.359375,41.4064807687155
"AL031",5.03263187408447,11.5527782440186,22.956880569458,14.5642156600952,17.9242496490479,3.41099548339844,2.39614367485046,1.03902184963226,3.07199239730835,75.91748046875,69.7039642333984,61.9890403747559,71.4572830200195,0.280104637145996,0.179013758897781,0.0151804117485881,0.0144009850919247,0.0764723345637321,0,0.43242546916008,0,89296.921875,49.128931962648
