"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density","total_population_density"
"AD",3.19209337234497,8.43708038330078,19.5969505310059,12.5512390136719,16.404857635498,3.03121447563171,3.28259372711182,2.11586284637451,2.67487359046936,74.6144485473633,74.4853363037109,70.2166137695312,75.0947875976562,0.0936185643076897,0.0566466152667999,0.0367029421031475,0.0178468078374863,6.119111640146e-05,0.0314546711742878,0.166115581989288,0.597553610801697,18749.42578125,NA,39.5712245943616
"AL013",1.93192291259766,9.70065784454346,20.6795139312744,12.1779451370239,18.7475891113281,4.87212371826172,3.94044208526611,1.89515995979309,4.18722200393677,79.6222457885742,74.3022308349609,64.7610702514648,74.9229965209961,0.177354022860527,0.151631459593773,0.00449328077957034,0.0256104059517384,0.0516287535429001,0,0.587669014930725,0,131417.8125,NA,56.6102556205194
"AL015",2.77833676338196,9.99380397796631,21.0449657440186,12.8273153305054,18.2666301727295,6.99637079238892,5.25336217880249,2.02044463157654,5.8487982749939,77.428092956543,74.6045761108398,66.421989440918,74.5131988525391,0.212497383356094,0.102989420294762,0.0046259150840342,0.0165965594351292,0.0690646395087242,0,0.550610899925232,0,171551.078125,NA,47.9857279492332
"AL014",6.82797336578369,13.9897899627686,24.9731292724609,16.710412979126,18.1451549530029,5.33839797973633,3.93660974502563,1.64188158512115,4.65957641601562,76.1122436523438,73.8379287719727,65.6625518798828,73.69775390625,0.222634196281433,0.110239170491695,5.29534194271264e-10,0.0214291140437126,0.0709935948252678,0,0.500638425350189,0,70403.1640625,NA,42.5002762606147
"AL011",3.84806156158447,11.3552484512329,22.4016704559326,13.9412870407104,18.5536098480225,4.39602756500244,3.49516344070435,1.61382222175598,3.70210266113281,80.2546920776367,75.4589309692383,66.2702407836914,75.6398468017578,0.187844887375832,0.159474357962608,0.00155097257811576,0.013685773126781,0.075159378349781,0,0.549339711666107,0,98176.984375,NA,38.9570591105943
"AL012",8.68253135681152,15.0805988311768,25.8977508544922,18.1642818450928,17.2152214050293,4.86370468139648,3.54852652549744,1.37776625156403,4.11033964157104,74.0520477294922,73.1451797485352,65.8034515380859,72.6160583496094,0.322992622852325,0.109186641871929,4.93267426904254e-10,0.0374675579369068,0.0690044611692429,0,0.420595228672028,0,184705.109375,NA,240.019558645932
"AL021",5.16981315612793,11.8936347961426,22.8800506591797,14.8674430847168,17.7102355957031,4.06936311721802,3.16856074333191,1.3730765581131,3.30607199668884,78.8228302001953,74.2449798583984,65.0142440795898,74.2903518676758,0.204430505633354,0.152073860168457,0.00889347027987242,0.0185149721801281,0.0868828222155571,0,0.523032307624817,0,287206.71875,NA,86.7916094229244
"AL022",8.37522602081299,14.5666065216064,25.3419704437256,17.7570629119873,16.9667453765869,4.34883880615234,3.23922681808472,1.25950992107391,3.54480719566345,74.6885604858398,73.4017639160156,66.0292510986328,72.837776184082,0.348328679800034,0.123768150806427,6.481362113675e-10,0.0409481152892113,0.073150210082531,0,0.408692985773087,0,567287.6875,NA,342.732876980119
"AL034",3.27934765815735,10.5049304962158,21.6927337646484,13.3498802185059,18.4133853912354,3.67072343826294,2.95250177383423,1.23493731021881,3.03596925735474,81.5628051757812,75.0211868286133,62.5529861450195,74.4072875976562,0.203153282403946,0.0997867062687874,0.0228102318942547,0.00932368822395802,0.0125340195372701,0.362634181976318,0.0974059328436852,0.135006055235863,124196.890625,NA,33.6127173851786
"AL031",6.54664373397827,12.7930030822754,23.7384414672852,15.9833269119263,17.1917972564697,4.32127523422241,3.08763241767883,1.18376922607422,3.50573897361755,77.4297637939453,73.2880935668945,63.2518844604492,73.2485580444336,0.294455081224442,0.168073192238808,0.0145011022686958,0.0174591094255447,0.0672441497445107,0,0.435864955186844,0,66217.0234375,NA,36.4309493644571
"AL032",10.588267326355,16.116304397583,26.7909774780273,19.5967864990234,16.2027111053467,4.38849592208862,2.99089741706848,0.994313418865204,3.67830967903137,75.0779647827148,72.4047775268555,63.413932800293,72.7828903198242,0.523727416992188,0.16866397857666,0.00146941805724055,0.0318764932453632,0.0337400622665882,0,0.226920202374458,0,152419.15625,NA,82.2627656162765
"AL035",9.31765842437744,15.125862121582,25.8284530639648,18.4170417785645,16.5107955932617,5.96168184280396,3.22425150871277,0.82510632276535,4.58844995498657,76.5175323486328,75.2581176757812,65.7064971923828,74.7243270874023,0.234278544783592,0.162676557898521,0.0311932526528835,0.00640725111588836,0.0257235392928123,0.00476441532373428,0.365574419498444,0.00133779598399997,45641.71484375,NA,16.7301478217312
