"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density","total_population_density"
"AD",3.49192023277283,8.94356727600098,19.6447257995605,12.1808319091797,16.1528053283691,2.44041991233826,3.20980954170227,2.07532906532288,2.71768856048584,74.7597045898438,74.7326507568359,71.3476181030273,76.0653228759766,0.0936185643076897,0.0566466152667999,0.0367029421031475,0.0178468078374863,6.119111640146e-05,0.0314546711742878,0.166115581989288,0.597553610801697,18749.42578125,NA,39.5712245943616
"AL013",1.71743810176849,10.2827062606812,21.1416149139404,11.5936613082886,19.4241752624512,4.26372194290161,3.07749629020691,1.17827332019806,3.91417288780212,78.3783798217773,70.8703536987305,60.3296089172363,72.2467880249023,0.177354022860527,0.151631459593773,0.00449328077957034,0.0256104059517384,0.0516287535429001,0,0.587669014930725,0,131417.8125,NA,56.6102556205194
"AL015",2.5339994430542,10.5730476379395,21.4236850738525,12.1385669708252,18.889684677124,6.01769781112671,3.83399343490601,1.22820568084717,5.54095268249512,76.6886978149414,71.4084930419922,62.6950759887695,72.5595321655273,0.212497383356094,0.102989420294762,0.0046259150840342,0.0165965594351292,0.0690646395087242,0,0.550610899925232,0,171551.078125,NA,47.9857279492332
"AL014",6.90464544296265,14.5859718322754,25.3706798553467,16.2635459899902,18.4660339355469,4.73309183120728,3.13425040245056,0.985713541507721,4.36311960220337,74.8287734985352,70.6113662719727,62.3446884155273,71.4751510620117,0.222634196281433,0.110239170491695,5.29534194271264e-10,0.0214291140437126,0.0709935948252678,0,0.500638425350189,0,70403.1640625,NA,42.5002762606147
"AL011",3.90459966659546,11.9454326629639,22.8990230560303,13.5818738937378,18.9944229125977,3.87722396850586,2.77952456474304,0.913508772850037,3.52577519416809,78.9695434570312,71.6691741943359,61.8235054016113,72.9394226074219,0.187844887375832,0.159474357962608,0.00155097257811576,0.013685773126781,0.075159378349781,0,0.549339711666107,0,98176.984375,NA,38.9570591105943
"AL012",8.59436988830566,15.6588249206543,26.3000545501709,17.6498508453369,17.7056846618652,4.05383443832397,2.78171443939209,0.805559694766998,3.85039472579956,72.8624801635742,69.6024017333984,62.8812065124512,70.795295715332,0.322992622852325,0.109186641871929,4.93267426904254e-10,0.0374675579369068,0.0690044611692429,0,0.420595228672028,0,184705.109375,NA,240.019558645932
"AL021",4.95303869247437,12.4249277114868,23.3609352111816,14.4316730499268,18.4078979492188,3.34552621841431,2.47229051589966,0.757019758224487,3.14538073539734,77.5505905151367,70.0584564208984,60.968318939209,72.0703506469727,0.204430505633354,0.152073860168457,0.00889347027987242,0.0185149721801281,0.0868828222155571,0,0.523032307624817,0,287206.71875,NA,86.7916094229244
"AL022",8.19496726989746,15.1308135986328,25.7821846008301,17.2413291931152,17.5872173309326,3.48180985450745,2.51602721214294,0.704631149768829,3.34940767288208,73.5494155883789,69.5082855224609,62.8675117492676,71.0425415039062,0.348328679800034,0.123768150806427,6.481362113675e-10,0.0409481152892113,0.073150210082531,0,0.408692985773087,0,567287.6875,NA,342.732876980119
"AL034",3.15737891197205,11.0593481063843,22.2641372680664,13.0496339797974,19.1067562103271,2.9848165512085,2.21979665756226,0.749528288841248,2.66720032691956,79.8026275634766,70.5082168579102,57.7783012390137,71.0787887573242,0.203153282403946,0.0997867062687874,0.0228102318942547,0.00932368822395802,0.0125340195372701,0.362634181976318,0.0974059328436852,0.135006055235863,124196.890625,NA,33.6127173851786
"AL031",6.20601892471313,13.2598075866699,24.0860004425049,15.4736213684082,17.8799800872803,3.50480628013611,2.35851526260376,0.634876549243927,3.23743677139282,76.1958389282227,69.3192367553711,59.8017349243164,71.3756256103516,0.294455081224442,0.168073192238808,0.0145011022686958,0.0174591094255447,0.0672441497445107,0,0.435864955186844,0,66217.0234375,NA,36.4309493644571
