"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density","total_population_density"
"AD",2.53439617156982,8.78283405303955,20.2711639404297,11.4047346115112,17.7367668151855,2.50453543663025,2.84912157058716,1.79868650436401,2.78246212005615,72.8668060302734,71.5407028198242,63.3164558410645,75.1468887329102,0.0936185643076897,0.0566466152667999,0.0367029421031475,0.0178468078374863,6.119111640146e-05,0.0314546711742878,0.166115581989288,0.597553610801697,18749.42578125,NA,39.5712245943616
"AL013",1.53924643993378,10.3783226013184,20.3830070495605,11.2343845367432,18.8437614440918,4.03277778625488,2.91135907173157,1.6863728761673,4.04671430587769,74.6316223144531,67.1102600097656,62.2785720825195,73.1391448974609,0.177354022860527,0.151631459593773,0.00449328077957034,0.0256104059517384,0.0516287535429001,0,0.587669014930725,0,131417.8125,NA,56.6102556205194
"AL015",2.44462442398071,10.6957836151123,20.810827255249,11.8726453781128,18.3662014007568,5.65243005752563,3.57475590705872,1.80749464035034,5.60480880737305,72.9170227050781,67.4238510131836,63.6577835083008,72.5780868530273,0.212497383356094,0.102989420294762,0.0046259150840342,0.0165965594351292,0.0690646395087242,0,0.550610899925232,0,171551.078125,NA,47.9857279492332
"AL014",6.7536039352417,14.8024759292603,25.8304023742676,16.2998218536377,19.0767974853516,4.36153507232666,3.13402414321899,1.4821959733963,4.34073543548584,71.9107055664062,65.6677780151367,57.6084213256836,69.0883560180664,0.222634196281433,0.110239170491695,5.29534194271264e-10,0.0214291140437126,0.0709935948252678,0,0.500638425350189,0,70403.1640625,NA,42.5002762606147
"AL011",3.68133473396301,12.1061868667603,22.9939155578613,13.5068054199219,19.3125820159912,3.62427949905396,2.73069882392883,1.40754568576813,3.58987832069397,75.9121704101562,67.4981384277344,59.225772857666,71.8405914306641,0.187844887375832,0.159474357962608,0.00155097257811576,0.013685773126781,0.075159378349781,0,0.549339711666107,0,98176.984375,NA,38.9570591105943
"AL012",8.60058689117432,15.9053344726562,26.9055004119873,17.7596168518066,18.3049125671387,3.76179647445679,2.7292206287384,1.2113401889801,3.7257673740387,70.0194396972656,64.7287826538086,56.9815101623535,67.5490264892578,0.322992622852325,0.109186641871929,4.93267426904254e-10,0.0374675579369068,0.0690044611692429,0,0.420595228672028,0,184705.109375,NA,240.019558645932
"AL021",4.87344837188721,12.589111328125,23.6143550872803,14.4197902679443,18.7409076690674,3.16314578056335,2.37080597877502,1.12873291969299,3.14863729476929,75.0660095214844,66.3382186889648,57.5629577636719,70.4283218383789,0.204430505633354,0.152073860168457,0.00889347027987242,0.0185149721801281,0.0868828222155571,0,0.523032307624817,0,287206.71875,NA,86.7916094229244
"AL022",8.25103187561035,15.3705835342407,26.30641746521,17.341926574707,18.055383682251,3.26974177360535,2.42694449424744,1.07379174232483,3.20981478691101,70.6840896606445,64.973747253418,57.2928314208984,67.9030609130859,0.348328679800034,0.123768150806427,6.481362113675e-10,0.0409481152892113,0.073150210082531,0,0.408692985773087,0,567287.6875,NA,342.732876980119
"AL034",2.85202693939209,11.1715059280396,22.5735321044922,12.9328899383545,19.7215061187744,2.7642138004303,2.05157804489136,0.97299063205719,2.9127950668335,78.205078125,67.050407409668,55.0947113037109,70.5166854858398,0.203153282403946,0.0997867062687874,0.0228102318942547,0.00932368822395802,0.0125340195372701,0.362634181976318,0.0974059328436852,0.135006055235863,124196.890625,NA,33.6127173851786
"AL031",6.10940265655518,13.3982601165771,24.613166809082,15.5133228302002,18.5037631988525,3.25117564201355,2.23347115516663,0.919349670410156,3.29522919654846,74.4103240966797,65.7800598144531,55.7803039550781,69.6013717651367,0.294455081224442,0.168073192238808,0.0145011022686958,0.0174591094255447,0.0672441497445107,0,0.435864955186844,0,66217.0234375,NA,36.4309493644571
"AL032",10.2500114440918,16.7198333740234,27.6881141662598,19.0570411682129,17.4381008148193,3.08217263221741,2.13117170333862,0.811776518821716,3.31698703765869,72.1825485229492,65.0284652709961,55.8244361877441,68.9555282592773,0.523727416992188,0.16866397857666,0.00146941805724055,0.0318764932453632,0.0337400622665882,0,0.226920202374458,0,152419.15625,NA,82.2627656162765
"AL035",8.90600776672363,15.6622295379639,26.8019237518311,17.9314918518066,17.8959159851074,4.54566287994385,2.38394021987915,0.651982009410858,4.41284847259521,73.9000701904297,68.2342376708984,58.2209739685059,70.9461898803711,0.234278544783592,0.162676557898521,0.0311932526528835,0.00640725111588836,0.0257235392928123,0.00476441532373428,0.365574419498444,0.00133779598399997,45641.71484375,NA,16.7301478217312
"AL033",5.37436676025391,12.6905937194824,24.0423641204834,14.7998456954956,18.6679973602295,4.66833019256592,2.47593307495117,0.799750804901123,4.39096832275391,74.3580017089844,66.7396240234375,55.5002326965332,69.7515716552734,0.241813227534294,0.164087653160095,0.0205049309879541,0.00750425830483437,0.0492018796503544,0.0137215415015817,0.448968797922134,0.00334095116704702,36859.96875,NA,12.8376909034925
"AT11",2.82112431526184,12.5369310379028,21.5891761779785,11.716667175293,18.7680511474609,1.38887357711792,1.93928146362305,2.82182955741882,2.22811150550842,77.8704147338867,66.8140335083008,66.671875,79.0606079101562,0.325124830007553,0.0917581617832184,0.00010968092828989,0.0206296741962433,0,0.031429834663868,0.246222227811813,0.265031635761261,364794.1875,NA,92.2748319220415
"AT12",1.91156029701233,11.2995777130127,20.1432361602783,10.6470746994019,18.2316761016846,2.18944072723389,2.3264467716217,3.12854909896851,2.3146607875824,80.3970718383789,70.0970230102539,71.0200881958008,81.5968246459961,0.305553823709488,0.0792401432991028,0.00216515432111919,0.0278890449553728,0,0.130172312259674,0.076379619538784,0.378256559371948,3509188.75,NA,183.742704969903
"AT13",3.34904146194458,12.8314037322998,21.7194747924805,11.8815155029297,18.370433807373,1.6879243850708,1.92502295970917,2.49477577209473,2.1099910736084,78.8538970947266,68.1572723388672,67.8012847900391,79.4098510742188,0.283172726631165,0.0687904879450798,2.47817016907348e-10,0.131979554891586,0,0.113042965531349,0,0.403014272451401,503652.84375,NA,1188.0383504476
