"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density"
"AD",2.4717218875885,7.87227058410645,18.3363990783691,11.2038145065308,15.8646774291992,2.37395906448364,3.09866046905518,1.8524489402771,2.27382254600525,73.0392379760742,74.4712677001953,69.1158676147461,73.7709503173828,0.0936185643076897,0.0566466152667999,0.0367029421031475,0.0178468078374863,6.119111640146e-05,0.0314546711742878,0.166115581989288,0.597553610801697,18749.42578125,39.5712245943616
"AL013",0.546008765697479,9.18813896179199,19.8827800750732,10.9375133514404,19.3367710113525,3.84883809089661,3.02460074424744,1.64889097213745,3.46634221076965,78.3921890258789,69.116340637207,60.8377380371094,71.4527130126953,0.177354022860527,0.151631459593773,0.00449328077957034,0.0256104059517384,0.0516287535429001,0,0.587669014930725,0,131417.8125,56.6102556205194
"AL015",1.51798903942108,9.57985210418701,20.4119968414307,11.623345375061,18.8940086364746,5.30243253707886,3.73828387260437,1.48454892635345,4.7933292388916,76.1501770019531,69.215461730957,61.2836227416992,70.8941421508789,0.212497383356094,0.102989420294762,0.0046259150840342,0.0165965594351292,0.0690646395087242,0,0.550610899925232,0,171551.078125,47.9857279492332
"AL014",5.94306039810181,13.695650100708,24.2907962799072,15.619460105896,18.3477363586426,4.23184442520142,3.14316296577454,1.24842512607574,3.87688326835632,74.259147644043,68.4344711303711,61.9311103820801,70.8152008056641,0.222634196281433,0.110239170491695,5.29534194271264e-10,0.0214291140437126,0.0709935948252678,0,0.500638425350189,0,70403.1640625,42.5002762606147
"AL011",2.79783725738525,10.9403295516968,21.629077911377,12.8507471084595,18.831241607666,3.443434715271,2.75667071342468,1.30200791358948,3.16990089416504,78.8798294067383,70.1864471435547,62.6487350463867,72.6526718139648,0.187844887375832,0.159474357962608,0.00155097257811576,0.013685773126781,0.075159378349781,0,0.549339711666107,0,98176.984375,38.9570591105943
"AL012",7.83607244491577,14.8376312255859,25.2534446716309,17.0582046508789,17.4173736572266,3.73747611045837,2.76670455932617,0.950195968151093,3.35511708259583,72.1210556030273,67.4674301147461,61.9919815063477,69.7648086547852,0.322992622852325,0.109186641871929,4.93267426904254e-10,0.0374675579369068,0.0690044611692429,0,0.420595228672028,0,184705.109375,240.019558645932
"AL021",4.08390617370605,11.4846229553223,22.0744476318359,13.7119007110596,17.9905414581299,3.10944843292236,2.41692304611206,1.00626957416534,2.7891948223114,77.3959121704102,68.7656402587891,61.7321128845215,71.5079193115234,0.204430505633354,0.152073860168457,0.00889347027987242,0.0185149721801281,0.0868828222155571,0,0.523032307624817,0,287206.71875,86.7916094229244
"AL022",7.47892951965332,14.2975616455078,24.6791019439697,16.6430740356445,17.200174331665,3.26887035369873,2.48227071762085,0.848664581775665,2.89257574081421,72.9075393676758,67.6628036499023,62.2170600891113,69.9607849121094,0.348328679800034,0.123768150806427,6.481362113675e-10,0.0409481152892113,0.073150210082531,0,0.408692985773087,0,567287.6875,342.732876980119
"AL034",2.11527562141418,10.0730800628662,20.7932529449463,12.1151142120361,18.677978515625,2.80707716941833,2.18660354614258,0.889647960662842,2.5152313709259,80.1773300170898,69.4756622314453,60.0713653564453,71.7404708862305,0.203153282403946,0.0997867062687874,0.0228102318942547,0.00932368822395802,0.0125340195372701,0.362634181976318,0.0974059328436852,0.135006055235863,124196.890625,33.6127173851786
"AL031",5.44464445114136,12.3919792175293,22.8487529754639,14.7386083602905,17.4041061401367,3.32422471046448,2.31422281265259,0.805614531040192,2.97827386856079,75.8271484375,67.7876205444336,60.7686920166016,70.7534866333008,0.294455081224442,0.168073192238808,0.0145011022686958,0.0174591094255447,0.0672441497445107,0,0.435864955186844,0,66217.0234375,36.4309493644571
"AL032",9.6569013595581,15.8194742202759,25.9463081359863,18.3349494934082,16.2894077301025,3.33489108085632,2.24899291992188,0.736087203025818,3.17808890342712,73.2200698852539,66.8943023681641,61.1375770568848,70.3668975830078,0.523727416992188,0.16866397857666,0.00146941805724055,0.0318764932453632,0.0337400622665882,0,0.226920202374458,0,152419.15625,82.2627656162765
"AL035",8.29494953155518,14.6965475082397,24.8762893676758,17.1240005493164,16.5813388824463,4.75404214859009,2.55679655075073,0.632751822471619,4.26836967468262,75.0722274780273,70.3356552124023,63.9259300231934,72.3570556640625,0.234278544783592,0.162676557898521,0.0311932526528835,0.00640725111588836,0.0257235392928123,0.00476441532373428,0.365574419498444,0.00133779598399997,45641.71484375,16.7301478217312
"AL033",4.68555068969727,11.6493759155273,22.2011756896973,13.9815073013306,17.5156230926514,4.70782566070557,2.63493227958679,0.682428538799286,4.01235294342041,75.98388671875,68.966423034668,60.6763534545898,70.9330978393555,0.241813227534294,0.164087653160095,0.0205049309879541,0.00750425830483437,0.0492018796503544,0.0137215415015817,0.448968797922134,0.00334095116704702,36859.96875,12.8376909034925
"AT11",1.95288062095642,12.0088634490967,21.1180534362793,11.674352645874,19.1651744842529,1.39521861076355,1.889404296875,2.72079682350159,2.01140284538269,80.0144577026367,65.128547668457,63.4678192138672,76.9149932861328,0.325124830007553,0.0917581617832184,0.00010968092828989,0.0206296741962433,0,0.031429834663868,0.246222227811813,0.265031635761261,364794.1875,92.2748319220415
