"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density","total_population_density"
"AD",3.6985137462616,9.11877632141113,19.6277294158936,12.5243606567383,15.9292154312134,2.44327211380005,3.18856048583984,1.89806818962097,2.45732259750366,73.4801864624023,73.0718307495117,68.3690948486328,73.7839279174805,0.0936185643076897,0.0566466152667999,0.0367029421031475,0.0178468078374863,6.119111640146e-05,0.0314546711742878,0.166115581989288,0.597553610801697,18749.42578125,NA,39.5712245943616
"AL013",2.18501114845276,10.7101993560791,21.5860424041748,12.0330781936646,19.4010314941406,4.38984632492065,3.33795189857483,1.62065935134888,3.96624422073364,76.561408996582,70.0489196777344,60.3129653930664,73.0776824951172,0.177354022860527,0.151631459593773,0.00449328077957034,0.0256104059517384,0.0516287535429001,0,0.587669014930725,0,131417.8125,NA,56.6102556205194
"AL015",2.96643710136414,10.9879512786865,22.0328731536865,12.6922121047974,19.0664367675781,6.07601404190063,4.23253965377808,1.67393720149994,5.53536415100098,74.725341796875,70.6758193969727,62.3148536682129,72.6058044433594,0.212497383356094,0.102989420294762,0.0046259150840342,0.0165965594351292,0.0690646395087242,0,0.550610899925232,0,171551.078125,NA,47.9857279492332
"AL014",6.84191846847534,14.8908681869507,25.5828323364258,16.6767501831055,18.7409152984619,4.57862997055054,3.4052734375,1.50348174571991,4.16279888153076,74.0063323974609,70.802360534668,64.0740814208984,71.8269729614258,0.222634196281433,0.110239170491695,5.29534194271264e-10,0.0214291140437126,0.0709935948252678,0,0.500638425350189,0,70403.1640625,NA,42.5002762606147
"AL011",3.96738815307617,12.2417116165161,22.9996738433838,13.8836841583252,19.0322856903076,3.77870941162109,3.04398441314697,1.46608519554138,3.37753653526306,77.8490600585938,71.5873718261719,63.4006538391113,74.0217971801758,0.187844887375832,0.159474357962608,0.00155097257811576,0.013685773126781,0.075159378349781,0,0.549339711666107,0,98176.984375,NA,38.9570591105943
"AL012",8.59263515472412,15.9683418273926,26.5142860412598,18.1262874603271,17.92165184021,3.96626496315002,3.01198697090149,1.22970533370972,3.6233274936676,72.192024230957,70.3304138183594,64.6914901733398,70.6212615966797,0.322992622852325,0.109186641871929,4.93267426904254e-10,0.0374675579369068,0.0690044611692429,0,0.420595228672028,0,184705.109375,NA,240.019558645932
"AL021",5.20428323745728,12.7595224380493,23.4825553894043,14.7680463790894,18.2782707214355,3.320152759552,2.72016286849976,1.20566201210022,2.99824976921082,76.6390075683594,70.4052276611328,62.2729072570801,72.6849670410156,0.204430505633354,0.152073860168457,0.00889347027987242,0.0185149721801281,0.0868828222155571,0,0.523032307624817,0,287206.71875,NA,86.7916094229244
"AL022",8.27906513214111,15.4415817260742,25.9576435089111,17.705207824707,17.6785793304443,3.44420766830444,2.73179483413696,1.10336685180664,3.12946200370789,72.8321304321289,70.3695678710938,64.6220321655273,70.8984298706055,0.348328679800034,0.123768150806427,6.481362113675e-10,0.0409481152892113,0.073150210082531,0,0.408692985773087,0,567287.6875,NA,342.732876980119
"AL034",3.40561318397522,11.4298143386841,22.3375759124756,13.2192811965942,18.9319629669189,2.9539623260498,2.44719099998474,1.12058162689209,2.6482036113739,79.0781478881836,70.6383285522461,59.3196754455566,72.5415344238281,0.203153282403946,0.0997867062687874,0.0228102318942547,0.00932368822395802,0.0125340195372701,0.362634181976318,0.0974059328436852,0.135006055235863,124196.890625,NA,33.6127173851786
"AL031",6.54031038284302,13.6608066558838,24.3551502227783,15.8717098236084,17.8148384094238,3.49885559082031,2.62643003463745,1.03675615787506,3.14696907997131,75.2946548461914,69.5606231689453,60.7201919555664,71.524169921875,0.294455081224442,0.168073192238808,0.0145011022686958,0.0174591094255447,0.0672441497445107,0,0.435864955186844,0,66217.0234375,NA,36.4309493644571
"AL032",10.4584798812866,16.9777965545654,27.4195880889893,19.536491394043,16.9611072540283,3.40298056602478,2.50507211685181,0.881640672683716,3.19579172134399,73.3504333496094,69.4795532226562,62.1430702209473,70.6931991577148,0.523727416992188,0.16866397857666,0.00146941805724055,0.0318764932453632,0.0337400622665882,0,0.226920202374458,0,152419.15625,NA,82.2627656162765
"AL035",9.06869029998779,15.904167175293,26.4517345428467,18.3354396820068,17.3830432891846,4.80379867553711,2.79475402832031,0.713900685310364,4.16945886611938,75.0929489135742,72.2427978515625,64.2691650390625,72.6021881103516,0.234278544783592,0.162676557898521,0.0311932526528835,0.00640725111588836,0.0257235392928123,0.00476441532373428,0.365574419498444,0.00133779598399997,45641.71484375,NA,16.7301478217312
"AL033",5.76696014404297,12.9484100341797,23.7603149414062,15.1202993392944,17.9933547973633,4.90166616439819,2.93920063972473,0.880221664905548,4.14184761047363,75.3390045166016,70.373291015625,60.3328132629395,71.6301651000977,0.241813227534294,0.164087653160095,0.0205049309879541,0.00750425830483437,0.0492018796503544,0.0137215415015817,0.448968797922134,0.00334095116704702,36859.96875,NA,12.8376909034925
"AT11",3.73510336875916,13.0913572311401,23.1531105041504,13.347261428833,19.418004989624,1.47296535968781,2.05817818641663,2.94337201118469,2.17725300788879,78.0011672973633,65.7924957275391,63.7194175720215,77.3415756225586,0.325124830007553,0.0917581617832184,0.00010968092828989,0.0206296741962433,0,0.031429834663868,0.246222227811813,0.265031635761261,364794.1875,NA,92.2748319220415
"AT12",3.11701917648315,11.975866317749,21.9394912719727,12.4690637588501,18.8224716186523,2.17095398902893,2.51740646362305,3.31180763244629,2.13482904434204,79.5299606323242,68.5404663085938,66.7796783447266,79.22998046875,0.305553823709488,0.0792401432991028,0.00216515432111919,0.0278890449553728,0,0.130172312259674,0.076379619538784,0.378256559371948,3509188.75,NA,183.742704969903
"AT13",4.53745555877686,13.41282081604,23.5787696838379,13.6731662750244,19.0413150787354,1.72633802890778,2.13277769088745,2.80499839782715,1.91741299629211,78.2352447509766,66.5815124511719,63.3314514160156,77.1693344116211,0.283172726631165,0.0687904879450798,2.47817016907348e-10,0.131979554891586,0,0.113042965531349,0,0.403014272451401,503652.84375,NA,1188.0383504476
"AT21",0.255504190921783,8.19652557373047,18.0063762664795,9.76606845855713,17.7508697509766,2.45731925964355,3.52280879020691,4.20005989074707,3.94257378578186,78.4424819946289,72.4329223632812,72.1414489746094,81.3039398193359,0.0903922393918037,0.0737314596772194,0.0431088879704475,0.0151024665683508,0,0,0.773531377315521,0,617723.625,NA,65.3438239503755
"AT22",1.04368603229523,9.31654644012451,19.1251258850098,10.5303430557251,18.0814399719238,2.46310138702393,3.17031288146973,4.20412635803223,3.06600332260132,79.5226287841797,71.3517684936523,71.7278671264648,81.3655395507812,0.11574263125658,0.0659461989998817,0.02028445340693,0.0222704466432333,0,0.0505294241011143,0.710377812385559,0.0139045268297195,1340373.75,NA,81.8730650171589
"AT31",2.48436689376831,10.9417400360107,20.556661605835,11.8984413146973,18.0722942352295,3.39399886131287,3.51555633544922,4.42663145065308,3.07912564277649,81.1331558227539,70.7855453491211,70.8358840942383,81.3731689453125,0.226895093917847,0.150330245494843,0.00853356253355742,0.0276570171117783,0,0.0746719911694527,0.357590526342392,0.149597823619843,1533068.875,NA,128.5106499894
"AT32",-0.372326135635376,6.34848546981812,15.7263870239258,8.49867725372314,16.0987129211426,3.4627366065979,4.45659160614014,5.45894575119019,3.97743439674377,79.551887512207,74.747673034668,75.0684051513672,81.7251892089844,0.0799112468957901,0.113617181777954,0.114718310534954,0.0136024011299014,0,0,0.661403834819794,0,547296.25,NA,76.4083515245746
"AT33",-1.0582103729248,5.60429239273071,14.6354961395264,7.63495826721191,15.6937065124512,3.10291409492493,3.95450925827026,4.82820129394531,3.45516705513,76.1355590820312,73.2598495483398,74.0768356323242,79.2387542724609,0.0834114402532578,0.0945745334029198,0.118820361793041,0.0126375332474709,0,0,0.669359385967255,0,874026.125,NA,69.3742635989549
"AT34",0.572252750396729,7.35428953170776,16.1482715606689,9.11556816101074,15.5760183334351,4.21959114074707,4.7911205291748,5.44567012786865,3.75960898399353,76.1066360473633,72.2373809814453,73.3111114501953,78.101921081543,0.0993173569440842,0.0985297858715057,0.0779601559042931,0.0336488038301468,0.000408870080718771,0,0.681628704071045,0,427593.09375,NA,162.837650016369
"BAG1652",3.33848524093628,11.3626050949097,22.1296977996826,12.9775619506836,18.7912120819092,3.64717769622803,3.22930550575256,2.16582727432251,3.7558102607727,78.6194610595703,70.5378723144531,65.347038269043,76.7636413574219,0.213104248046875,0.115295954048634,0.0223110374063253,0.0143276983872056,8.81777523318306e-05,0.115374229848385,0.469931602478027,0.0415739752352238,1287454.875,NA,48.1401518150145
"BAG1653",3.8750786781311,12.2947807312012,23.1160488128662,13.592679977417,19.2409706115723,3.44213056564331,3.1613118648529,2.30560040473938,3.41284132003784,78.3376159667969,69.3318634033203,64.9415130615234,76.3465270996094,0.249967828392982,0.0964023545384407,0.0201386194676161,0.0122101781889796,0.000179628608748317,0.139906570315361,0.396829217672348,0.0752638801932335,921045.8125,NA,37.5770702250636
"BE10",5.78142881393433,11.3954916000366,20.2684764862061,14.1674175262451,14.4870462417603,3.10606265068054,2.26774883270264,2.49828600883484,2.26245450973511,85.2104415893555,74.4878158569336,72.8645553588867,82.0925674438477,0.274181127548218,0.0547854788601398,7.14613257457586e-10,0.271831333637238,0,0,0,0.399202108383179,200984.609375,NA,1329.51724908722
"BE21",5.84225034713745,11.3396463394165,20.315185546875,14.0266017913818,14.4729356765747,3.0536539554596,2.0430314540863,2.38364434242249,2.28840374946594,84.9784469604492,73.7992706298828,72.1549224853516,82.1386566162109,0.190164864063263,0.0536384880542755,1.39280897926142e-09,0.137558355927467,0,2.72866312878151e-10,0,0.599649429321289,1523824.375,NA,534.699607440937
"BE22",5.44785022735596,11.2955274581909,20.372802734375,13.9358110427856,14.924952507019,3.10949611663818,2.19989466667175,2.42422223091125,2.20109152793884,84.7438583374023,73.1137466430664,71.4859008789062,81.7385177612305,0.193471819162369,0.0599999986588955,7.23819393311231e-10,0.1231330037117,0,0,0,0.623395144939423,1047056.1875,NA,431.119098607117
"BE23",5.70647954940796,11.0250062942505,19.8897647857666,14.2177286148071,14.1832847595215,3.06450319290161,2.04145169258118,2.39214062690735,2.464106798172,85.2086715698242,75.5381851196289,75.2251892089844,82.9304733276367,0.253564924001694,0.121598526835442,1.29170163454262e-09,0.128066301345825,0,2.21505896957908e-10,0,0.421065300703049,1592743.625,NA,527.263163916694
"BE24",5.5641131401062,11.3376216888428,20.375883102417,14.1071271896362,14.8117685317993,3.03919315338135,2.22129654884338,2.43508505821228,2.16861367225647,85.1010665893555,74.1746826171875,72.6587524414062,82.0625305175781,0.299914419651031,0.0618270449340343,1.60340363208888e-09,0.184434950351715,0,2.18494163733984e-11,0,0.452303111553192,1604896.75,NA,758.910524043761
"BE25",5.68696451187134,10.6615362167358,19.2590465545654,14.1312370300293,13.5720825195312,3.16408562660217,2.18806338310242,2.41268277168274,2.7057375907898,84.6004180908203,76.2748718261719,76.359260559082,82.5774078369141,0.348892211914062,0.135093003511429,3.99082572544174e-10,0.111087828874588,0,7.80785623434111e-32,0,0.284869581460953,1394527.375,NA,442.572920726887
"BE31",5.54839897155762,11.349175453186,20.4137744903564,14.1296081542969,14.8653764724731,3.02582859992981,2.21279120445251,2.42017388343811,2.12949013710022,85.1272811889648,74.2006759643555,72.6666793823242,82.0449295043945,0.314375817775726,0.0599498525261879,1.92275995125613e-09,0.183843299746513,0,0,0,0.441831052303314,792535.3125,NA,736.466513685549
"BE32",5.48512363433838,11.1197547912598,20.0659484863281,14.0134353637695,14.5808238983154,3.35250020027161,2.34133625030518,2.49164724349976,2.45278120040894,85.8217926025391,75.3972702026367,74.6744079589844,83.1218338012695,0.296021491289139,0.102865785360336,8.31857693839311e-10,0.123513415455818,0,4.20389539297445e-45,0.256595551967621,0.221003785729408,1980546.375,NA,521.031763038915
"BE33",4.6589674949646,10.7964687347412,20.0671787261963,13.4118938446045,15.4082117080688,3.56158542633057,2.46950006484985,2.60239911079407,2.46082806587219,86.5507965087891,74.7167434692383,72.8558578491211,83.2587356567383,0.161228537559509,0.0482661575078964,1.42255263124724e-09,0.103669680655003,0,2.03955911404555e-14,0.315039098262787,0.371796518564224,1245980.875,NA,322.386337074916
"BE34",4.34484958648682,10.4278268814087,19.8112258911133,12.790301322937,15.4663753509521,4.28733396530151,2.67229890823364,2.54325199127197,2.71912288665771,87.7800064086914,75.3587112426758,72.8780364990234,84.142463684082,0.13975428044796,0.0505865998566151,9.1480600531213e-05,0.0357802137732506,1.79772238761977e-11,1.12102105904726e-37,0.649743378162384,0.124044023454189,402320.5625,NA,90.2361943404653
"BE35",5.04212188720703,10.9475994110107,20.1803512573242,13.634388923645,15.1382293701172,3.73020195960999,2.52675676345825,2.58299446105957,2.49463868141174,86.6603622436523,75.3299179077148,73.765754699707,83.5234909057617,0.216324135661125,0.0682054087519646,5.47002082385006e-06,0.0608655922114849,0,1.56466587503538e-37,0.116820089519024,0.537779331207275,728967.8125,NA,198.322761941942
"BG311",3.93245244026184,14.1402339935303,24.9646606445312,14.2005434036255,21.0322074890137,1.78053367137909,1.9224454164505,1.45531678199768,1.60377418994904,80.1947555541992,66.9336471557617,59.4302558898926,74.5411911010742,0.386404365301132,0.15380859375,0.00411044899374247,0.00652560545131564,0,0.038883913308382,0,0.407956004142761,75622.5859375,NA,25.1815433701266
"BG312",3.31578350067139,13.707293510437,24.5381546020508,13.874077796936,21.2223682403564,1.64611148834229,2.12219452857971,1.71262049674988,1.61025631427765,79.5224151611328,66.8593902587891,59.6680870056152,73.4409561157227,0.38396829366684,0.144765123724937,0.013993427157402,0.00787295307964087,0,0.0340784415602684,0,0.413421154022217,86858.890625,NA,23.8158551406291
"BG313",3.46010661125183,14.1928367614746,25.3017101287842,14.4770460128784,21.8416042327881,1.67127180099487,2.29674696922302,1.89477598667145,1.68151867389679,79.7612533569336,67.1324310302734,59.9675674438477,73.3218688964844,0.423924177885056,0.129695430397987,0.0206277258694172,0.00890334602445364,0,0.00345546938478947,0,0.411754608154297,101325.9453125,NA,27.7342490240036
"BG314",3.59757399559021,14.6599349975586,26.1290454864502,15.0849208831787,22.5314712524414,1.69050192832947,1.89410483837128,1.75859355926514,1.53587591648102,79.7681427001953,67.0762557983398,59.9075698852539,72.9886932373047,0.514554917812347,0.154447630047798,0.00923832878470421,0.00882629957050085,0,0.00575555907562375,0,0.306025266647339,172353.296875,NA,37.6164125551462
"BG315",2.57518792152405,12.9669809341431,24.3717136383057,13.664249420166,21.7965240478516,1.84274280071259,2.4779908657074,2.42521119117737,1.83421039581299,78.3954849243164,69.4357986450195,64.0093688964844,74.7308731079102,0.305088132619858,0.101552575826645,0.00507578952237964,0.0102074621245265,0,1.6431982658105e-05,0,0.578047752380371,137601.3125,NA,33.2656586512868
"BG321",3.54450750350952,13.881251335144,25.4754009246826,14.6782360076904,21.9308929443359,1.81459999084473,2.01859474182129,1.8631284236908,1.61073350906372,79.5815277099609,69.2348251342773,63.2240219116211,74.6932144165039,0.405203491449356,0.135243609547615,0.00279562035575509,0.0108402380719781,0,0.00252986769191921,0,0.44300788640976,164597.109375,NA,35.3061802631577
"BG322",2.09406661987305,12.1709518432617,23.6807460784912,13.0371932983398,21.5866775512695,1.95231473445892,2.43755960464478,2.41313076019287,1.78684329986572,78.7361373901367,70.2765808105469,64.8588562011719,75.3742523193359,0.250300347805023,0.0854483246803284,0.000478564703371376,0.0126225166022778,0,2.01631501113297e-05,0,0.650564849376678,76641.859375,NA,38.5504763902404
"BG323",3.68309259414673,14.4238586425781,26.0434608459473,15.0738554000854,22.3603668212891,1.87961721420288,1.88325023651123,1.85429561138153,1.60430192947388,80.65185546875,68.1025238037109,62.7295837402344,74.4755325317383,0.511489033699036,0.155182480812073,0.00520324846729636,0.0147093869745731,0,0.0107368873432279,0,0.300535410642624,143488.21875,NA,49.7976169257512
"BG324",3.45627808570862,13.8973960876465,25.5948295593262,14.9098711013794,22.1385517120361,1.7495391368866,1.9185209274292,1.95628011226654,1.58379793167114,80.5807266235352,69.506950378418,65.2318649291992,75.8940124511719,0.428352385759354,0.147227838635445,0.00128270208369941,0.0094697205349803,0,0.00357275642454624,0,0.410011768341064,64207.01953125,NA,27.0026338138807
"BG325",3.96235752105713,14.2509107589722,25.789758682251,15.0783996582031,21.8274002075195,1.76088511943817,1.73292779922485,1.81607747077942,1.57547104358673,80.5789566040039,69.0354537963867,64.3413543701172,75.884635925293,0.496617019176483,0.135959342122078,0.00559184467419982,0.00899164285510778,0,0.0090576522052288,0,0.336419969797134,121618.90625,NA,42.4103770402515
"BG331",5.20425033569336,13.5562267303467,25.4954853057861,16.0953559875488,20.2912330627441,1.50315797328949,1.50734043121338,1.49054157733917,1.64760291576385,79.1727828979492,72.6807022094727,68.4294662475586,77.141845703125,0.337313681840897,0.114697471261024,0.00046078790910542,0.0137352561578155,0,5.06328542542178e-05,0,0.440073221921921,302193.625,NA,79.528063880083
