"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density","total_population_density"
"AD",2.01275086402893,7.84312868118286,18.2939414978027,11.0728425979614,16.2811908721924,2.58710694313049,3.15371799468994,2.41326546669006,2.7337474822998,73.872688293457,74.2682495117188,73.4138488769531,76.5064544677734,0.09445670992136,0.0552727095782757,0.0358048640191555,0.0183884371072054,5.72298195038456e-05,0.031436201184988,0.166368409991264,0.598215460777283,17627.111328125,NA,37.2025463314508
"AL013",0.148577675223351,8.96749114990234,20.5089302062988,11.5215883255005,20.3603496551514,4.17558336257935,3.20787477493286,1.55262231826782,4.14576196670532,78.0473098754883,71.1869888305664,60.6336441040039,73.14013671875,0.216483592987061,0.141044735908508,0.0041152723133564,0.027213741093874,0.0205675456672907,0,0.588962078094482,0,111987.671875,NA,48.2404219838205
"AL015",1.07765305042267,9.28490352630615,20.8646087646484,12.1010265350342,19.7869567871094,5.88954448699951,4.06531810760498,1.62975466251373,5.75320053100586,76.1229400634766,71.3751220703125,62.5299949645996,73.0304870605469,0.275465101003647,0.0863202884793282,0.00368385575711727,0.0170577559620142,0.0264764055609703,0,0.547381401062012,0,138919.390625,NA,38.8580949666037
"AL014",5.48840236663818,13.3456106185913,24.8039875030518,16.149787902832,19.3155841827393,4.61056900024414,3.4224739074707,1.24831068515778,4.39240741729736,74.7428512573242,70.9589920043945,62.2464904785156,72.4022445678711,0.244918704032898,0.103346765041351,5.29534194271264e-10,0.0206517092883587,0.0295246746391058,0,0.527492702007294,0,51515.45703125,NA,31.0983346370101
"AL011",2.40807557106018,10.7042827606201,22.2853527069092,13.479606628418,19.8772773742676,3.82050204277039,3.0324854850769,1.19206297397614,3.60167837142944,78.9605407714844,72.4086761474609,61.5463714599609,73.7992553710938,0.210461243987083,0.151003360748291,0.00147030060179532,0.0128252850845456,0.0451348386704922,0,0.566159963607788,0,77167.0234375,NA,30.6202142241477
"AL012",7.38180446624756,14.4281644821167,25.7222061157227,17.5514030456543,18.3404026031494,4.07614183425903,3.06300711631775,0.974430799484253,3.8124942779541,72.7291488647461,70.1695556640625,62.7613296508789,71.4657669067383,0.343562871217728,0.101694792509079,4.93267426904254e-10,0.0361926332116127,0.0518394857645035,0,0.425956696271896,0,146032.953125,NA,189.766082137243
"AL021",3.72466826438904,11.2343101501465,22.7473030090332,14.3382596969604,19.0226345062256,3.37764096260071,2.62194800376892,0.939389824867249,3.135493516922,77.5263977050781,71.0215377807617,60.5127639770508,72.6547012329102,0.230526983737946,0.143726915121078,0.00843578763306141,0.0174955297261477,0.0839113369584084,0,0.509731411933899,0,224142.96875,NA,67.7342406309732
"AL022",7.04967069625854,13.9064722061157,25.1837387084961,17.1580715179443,18.1340656280518,3.5896475315094,2.7824399471283,0.840385437011719,3.29386115074158,73.4155883789062,70.3267593383789,62.6455001831055,71.542350769043,0.36821374297142,0.115621276199818,6.481362113675e-10,0.039461862295866,0.07062978297472,0,0.400961458683014,0,450942.21875,NA,272.441527270034
"AL034",1.80167007446289,9.8921365737915,21.5851402282715,12.8196907043457,19.7834720611572,2.93508648872375,2.19979071617126,0.877133250236511,2.87034940719604,80.2053451538086,71.285774230957,57.8242721557617,72.8155670166016,0.217648595571518,0.09459587931633,0.0216261055320501,0.00865324772894382,0.0117521481588483,0.357176959514618,0.0929726138710976,0.138228520750999,104423.46875,NA,28.2612271998962
"AL031",5.0955114364624,12.1298904418945,23.5406017303467,15.3606452941895,18.44508934021,3.45477056503296,2.41138100624084,0.8061802983284,3.26809620857239,75.9727172851562,69.9765930175781,59.419994354248,71.9921264648438,0.331808596849442,0.158419981598854,0.0137579357251525,0.0166409723460674,0.0633716881275177,0,0.413598388433456,0,45914.28515625,NA,25.2608907920996
